Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
IQCD,3.5892662988664447e-57,6.06564886762683,5.572847262383995,2.1091035014540825e-13
COL26A1,5.156675216277261e-59,5.2747281620110975,4.904615432041886,2.1091035014540825e-13
FGFBP3,2.828091964908521e-61,4.536622965850061,4.521439131335448,2.1091035014540825e-13
KRT8,4.8909111396319445e-58,4.9963223375999455,4.679213105969158,1.3959002818631208e-9
GDF15,9.78898466936717e-56,4.582234858088469,4.582234858088469,1.3959002818631208e-9
RPP40,2.7255577267699057e-50,5.57164904259454,5.388792777092137,7.71359767749636e-9
SFN,1.128274626311909e-58,4.0453917157804575,3.9089810021793205,1.1845174979830752e-8
NME4,3.390056966323791e-55,3.855158467007538,3.855158467007538,3.146402525185559e-8
TMEM161A,8.35996073676434e-51,4.567355197061261,4.567355197061261,4.0996641914398385e-8
PLOD1,7.082875065470022e-58,3.92339438573115,3.92339438573115,1.0252305951850309e-7
PLIN2,8.027793509801353e-62,2.888616010980865,2.888616010980865,1.0252305951850309e-7
THBS3,7.954063304094218e-61,3.282091050855808,3.0758601581114995,1.0703450115127898e-7
RIOK2,1.4395699740047647e-48,4.762300168170622,4.591931089479841,1.0731887572222253e-7
ERO1A,1.5664753538231012e-61,3.0878876073112167,3.0878876073112167,1.3769711833266824e-7
KRT18,2.3784020279615455e-57,4.22349323032341,3.938993483020827,1.552579762033255e-7
P3H4,4.982548534163789e-56,3.647910428148908,3.647910428148908,3.0862775656146774e-7
PFKFB4,5.147916373154178e-49,4.6929523340950965,4.6929523340950965,3.3261069137387063e-7
P3H3,5.130531518337228e-56,3.5375671418100083,3.522347437057796,4.0729796633521745e-7
LOX,7.548656655068487e-54,3.6265830707393043,3.6265830707393043,5.005927002337483e-7
LDLR,3.8068559605343303e-61,2.5430324620518014,2.5430324620518014,9.8561057671674e-7
CYP2S1,7.242582789758951e-56,3.041891239908086,3.041891239908086,1.0259390177172228e-6
