Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
IQCD,3.5892662988664447e-57,6.06564886762683,6.06564886762683,5.773776213186831e-16
COL26A1,5.156675216277261e-59,5.2747281620110975,5.2747281620110975,5.773776213186831e-16
FGFBP3,2.828091964908521e-61,4.536622965850061,4.536622965850061,3.4851035298018097e-15
KRT8,4.8909111396319445e-58,4.9963223375999455,4.9963223375999455,7.235384332130915e-12
RPP40,2.7255577267699057e-50,5.57164904259454,5.57164904259454,1.4118917500201897e-10
GDF15,9.78898466936717e-56,4.582234858088469,4.3412404662395865,1.855980581800911e-10
SFN,1.128274626311909e-58,4.0453917157804575,4.0453917157804575,1.855980581800911e-10
THBS3,7.954063304094218e-61,3.282091050855808,3.282091050855808,1.3356903787097618e-9
SEPTIN8,9.811730407267266e-59,4.250047260536565,-4.250047260536565,1.7522602404682613e-9
KRT18,2.3784020279615455e-57,4.22349323032341,4.22349323032341,1.8099017256069347e-9
APPL2,3.230251974822333e-60,3.4799557767400167,-3.4799557767400167,2.0509305062659538e-9
RIOK2,1.4395699740047647e-48,4.762300168170622,4.762300168170622,2.184527971447292e-9
TMEM161A,8.35996073676434e-51,4.567355197061261,4.387227329180108,4.114091366036633e-9
NME4,3.390056966323791e-55,3.855158467007538,3.611594222013597,5.124054188991745e-9
SCD5,9.903286679964171e-55,4.6683108822463915,-4.6683108822463915,1.0491825242511764e-8
ADD1,2.4625957450989748e-57,4.169884554260815,-4.169884554260815,1.0491825242511764e-8
ITM2C,2.730179976018383e-57,3.9303602662592816,-3.9303602662592816,1.0491825242511764e-8
PLIN2,8.027793509801353e-62,2.888616010980865,2.7744634207201315,1.0491825242511764e-8
P3H4,4.982548534163789e-56,3.647910428148908,3.6393164329290535,1.5752888429920012e-8
EOGT,1.1837169353776964e-48,4.377809462938458,4.377809462938458,1.887583892764428e-8
P3H3,5.130531518337228e-56,3.5375671418100083,3.5375671418100083,1.887583892764428e-8
LOX,7.548656655068487e-54,3.6265830707393043,3.6034011503440553,3.067288214505651e-8
PFKFB4,5.147916373154178e-49,4.6929523340950965,4.511198316434108,3.984819422552855e-8
SMARCAD1,1.757372938876207e-66,2.540939934563717,1.6174355763571917,6.739500354791752e-8
PLOD1,7.082875065470022e-58,3.92339438573115,3.388186700528344,1.0888791838400465e-7
B4GALT1,1.2422659236582344e-58,2.8091237262277033,2.8091237262277033,1.0925811937224788e-7
CNNM2,1.4979328935594951e-53,3.2144417732681916,3.2144417732681916,1.1582488946045594e-7
NDRG2,1.2725818643204907e-49,6.194795211001274,-6.194795211001274,1.1887328745315428e-7
ATP4A,4.086320854361889e-56,3.9563587729548146,-3.9563587729548146,1.25942047141859e-7
PURA,4.085970688530599e-62,2.643597644016978,-2.643597644016978,1.656547596562945e-7
GNPDA2,1.4356665839159361e-62,2.4579689423724034,-2.4579689423724034,1.8421834143497858e-7
TFB2M,1.2185860785827501e-45,4.533287344501753,4.533287344501753,2.64157987957552e-7
NEU1,2.2980291001694045e-51,3.8552347269766116,3.8552347269766116,2.64157987957552e-7
EPB41L2,6.42805853171047e-57,3.665702683544879,-3.665702683544879,2.64157987957552e-7
ENDOD1,2.1463169242564955e-57,3.520373637472023,-3.520373637472023,2.64157987957552e-7
PEBP1,1.662781009595974e-61,3.0488225814404473,-3.0488225814404473,2.64157987957552e-7
EIF2AK4,2.4542265160967435e-62,2.1823563258470777,2.114611929507472,2.64157987957552e-7
SMC6,2.776595179337818e-62,2.2622636408985883,1.959998896492003,2.64157987957552e-7
GDI1,2.479214994858806e-59,3.318007945811555,-3.318007945811555,3.6705125591060043e-7
