Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
MEX3A,6.011133941385841e-66,3.8124138874216307,-3.2718720626153583,9.507043377538887e-14
IQCD,3.5892662988664447e-57,6.06564886762683,5.554009492849936,3.5338584904055606e-13
ZNF316,9.395695601616534e-65,3.6272498501795667,-3.118162928706351,4.5089381537348165e-13
RCOR2,3.763045900962251e-67,3.402732515189662,-2.8654790999199626,4.5089381537348165e-13
STEEP1,2.8268975505659294e-64,3.5294547973334396,-3.030497810919652,9.576638705955658e-13
COL26A1,5.156675216277261e-59,5.2747281620110975,4.407099748323471,2.7831827457552987e-12
XKR7,1.2695751482763935e-63,3.4462344476588314,-2.955034972238007,2.7831827457552987e-12
CGGBP1,8.544839257998594e-67,3.4980098894957585,-2.6481973277944206,2.2132879734644428e-11
FGFBP3,2.828091964908521e-61,4.536622965850061,3.6262416333158356,5.603792909749627e-11
MORC2,5.474967389342148e-64,3.353478101941345,-2.644121762041703,1.9189929005125823e-10
CBLL1,2.636621368938971e-68,2.16597160254031,-1.9965428194136265,1.9189929005125823e-10
KRT8,4.8909111396319445e-58,4.9963223375999455,4.558345386273796,1.0614008124650594e-9
RNF2,3.314092984882757e-67,2.2561823888622143,-2.2561823888622143,1.3252603214522858e-9
BRD1,2.9621329453634828e-65,2.587975331525403,-2.356736589631126,1.7486184030548899e-9
GDF15,9.78898466936717e-56,4.582234858088469,4.280573851622954,3.1884289183214843e-9
SFN,1.128274626311909e-58,4.0453917157804575,3.8693139412269097,6.847427585391318e-9
PHC2,6.676840085539071e-66,2.31333307272547,-2.31333307272547,1.1986043785127939e-8
MBD3,2.632482084710806e-67,2.0490384737770313,-2.0490384737770313,1.328480965278824e-8
GPC2,1.7281160711139316e-58,4.072171715479882,-3.4904781218688825,1.688924724838856e-8
SUMO2,1.7665258571467156e-63,2.62009242243931,-2.62009242243931,1.903346727940056e-8
ZNF219,3.575021894006061e-64,2.576060663704652,-2.2437318550022987,1.903346727940056e-8
ZNF512,5.53292894121036e-65,2.4872614046912354,-2.4872614046912354,2.530216347780157e-8
MAPK8,2.71836150809306e-57,3.9341923534913086,-3.3849078259224967,3.3048385652102714e-8
GATAD2B,3.847648989125199e-65,2.2363603282271356,-2.2363603282271356,4.269467232913412e-8
NME4,3.390056966323791e-55,3.855158467007538,3.574046377496366,7.249941390930285e-8
RBM15B,5.734533542084548e-65,3.131851885342112,-2.05694737386559,7.474118073327072e-8
TMEM161A,8.35996073676434e-51,4.567355197061261,4.2502717398329874,7.904692539281247e-8
KRT18,2.3784020279615455e-57,4.22349323032341,3.9420846280493933,7.904692539281247e-8
THBS3,7.954063304094218e-61,3.282091050855808,3.006803204624184,7.904692539281247e-8
BRD3,1.1038166928399373e-65,2.1322611163152416,-2.1322611163152416,7.904692539281247e-8
HIRIP3,1.6462863440769914e-56,3.5837728076573985,-3.0778675313855217,8.012920281739629e-8
ZIC1,3.083644853596181e-56,3.905901705068352,-3.35830183408855,1.1953388261537188e-7
NSD2,5.735740187246732e-56,3.6781190937408166,-3.145040337278955,1.5009831120134912e-7
FRG1,1.319594402237193e-66,1.9488192396666513,-1.9488192396666513,1.6275913701885305e-7
KBTBD6,1.5007288735593731e-55,3.826813472780623,-3.254767544201062,1.7919504390992624e-7
ADNP,3.0898464436137135e-64,2.1997556043059276,-2.1997556043059276,1.7919504390992624e-7
GSE1,8.769630327807176e-62,2.6433617616231864,-2.329411451732824,1.884961437850994e-7
NR2C2,5.827629258759704e-60,2.8553623351473405,-2.500920691909876,1.9025675349108494e-7
ZNF280C,1.0730163959678026e-55,3.510469784975525,-3.007024992468759,2.4498485114260004e-7
CEP170,9.468004277880592e-58,3.4150386823115078,-3.4150386823115078,2.6811724646487424e-7
ZIC4,1.6337989143917073e-55,4.1364925045103895,-3.5528519813362855,2.738456030497953e-7
DCP1A,4.825080585544149e-62,2.5745667994648684,-2.283914403720594,2.933647259837792e-7
CBX2,2.0468373344193686e-55,3.461338098064539,-2.971858277772089,3.448467783685819e-7
EP400,4.8000310359401794e-65,1.8201187990695011,-1.7977655451436476,5.003287813278351e-7
YLPM1,4.245493465620857e-64,2.1141918548727787,-2.1141918548727787,5.403412115418609e-7
NFYC,9.685956119837092e-66,1.8624991233435573,-1.7882806859919178,5.478456267034857e-7
STAG1,2.146269727872763e-63,2.1605683887737968,-2.1605683887737968,7.921962609377736e-7
ZMYM2,1.935117870492002e-62,2.1808085975932556,-2.1808085975932556,7.923184658633603e-7
PFKFB4,5.147916373154178e-49,4.6929523340950965,4.316666301929656,8.462728504207545e-7
PCBP4,4.132061417567856e-63,2.560232700324427,-2.3608236705085233,8.946434216897519e-7
SENP3,6.01067719105166e-67,1.8910014933849446,-1.6946559388354494,8.946434216897519e-7
GABPA,7.04568263802832e-66,1.7688356604455713,-1.7688356604455713,1.0149243012890813e-6
NRF1,1.1542442005541419e-67,1.9747028171886356,-1.6554250074739763,1.1122570191375848e-6
RPP40,2.7255577267699057e-50,5.57164904259454,4.045156428603683,1.2091663009708801e-6
HMGB3,1.7685608718380572e-64,2.956908600721441,-2.3255973191058175,1.292808477569822e-6
PPP1R10,2.2140705313072065e-67,1.656208041257262,-1.5481081091126754,1.400140020306279e-6
DCX,2.3862052135940734e-58,3.9695307632387262,-3.207475487643272,1.4668986711026808e-6
SLU7,3.0757024730499164e-65,2.3470357367317938,-1.609644720069479,1.6427973516268973e-6
EOGT,1.1837169353776964e-48,4.377809462938458,3.9031104679666004,1.690387091842909e-6
UBXN7,8.223244774969899e-63,2.117187478963764,-2.117187478963764,2.2704404246849252e-6
RNASEH2B,2.2722948434702674e-61,2.677564483024131,-2.043381408403519,2.35250521217194e-6
SPEN,1.4635208049994048e-66,1.6267732934980828,-1.4980283077333816,2.35250521217194e-6
B4GALT1,1.2422659236582344e-58,2.8091237262277033,2.6524000222099424,2.4145672552694743e-6
SCAF4,1.2695751482763935e-63,1.999834068153472,-1.999834068153472,2.4378216743252617e-6
CYP2S1,7.242582789758951e-56,3.041891239908086,2.783620669151677,2.4971595739197217e-6
RSF1,2.1229812256729407e-65,1.7447515726947458,-1.6641625900050485,3.1202621405274973e-6
BAZ1B,4.2321281516081334e-64,2.4095960468873976,-1.9988369551037657,3.2911642265334884e-6
DMAP1,9.685956119837092e-66,1.7975920544994217,-1.6933470495026413,3.33704243504394e-6
CRACD,6.616490248374262e-57,2.9517496671427423,-2.9517496671427423,3.3467553528809733e-6
ACTL6B,1.6197224973945565e-60,2.644724167487041,-2.478986904409698,3.3467553528809733e-6
DACH1,1.2543494560650352e-58,2.971649111676488,-2.640154237439873,3.432495502005582e-6
