Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
OBSL1,4.4303758667508427e-60,2.2977166529951667,2.108588754646462,3.318089737430459e-9
ITGAV,1.086180104666643e-58,2.578871707629464,-2.578871707629464,1.1442482549123994e-7
PROM1,1.8493659525673125e-62,1.845002415725716,1.5888513682290224,1.5481506275767226e-7
SEPTIN8,9.811730407267266e-59,4.250047260536565,-2.5303895172802235,4.0621416799700353e-7
PEPD,4.199172844068271e-64,1.645214192790469,-1.645214192790469,9.456429714573043e-7
SNX27,7.628657754583819e-64,1.670311840234529,-1.5811623257166438,1.0962928989374953e-6
RHOG,1.442731622403405e-63,2.305473196190384,-1.6203974207063006,1.1561079944407318e-6
CAMK2D,3.809326037861423e-58,2.6582534230319688,-2.330622938007128,2.0432130207867344e-6
PIK3R1,8.024470775799479e-62,1.5311080249829274,-1.4531361191191294,1.101312917936331e-5
RAB21,3.5646823006139124e-66,1.218224167094089,-1.218224167094089,1.101312917936331e-5
LRP1,1.5383366777439843e-56,2.4481384514402293,-2.258726716037202,1.1503136766515485e-5
CPPED1,5.610550974440653e-59,1.8870747351029458,-1.8870747351029458,1.1503136766515485e-5
DPCD,6.327499611673477e-62,1.6724221435996078,1.5251255797690533,1.1503136766515485e-5
ANXA7,5.821698673754452e-65,1.9238861833438214,-1.3350767042896479,1.211570667616046e-5
WASHC4,9.934161974814859e-64,1.330570046422146,-1.330570046422146,1.211570667616046e-5
WASHC5,5.073286094891091e-62,1.4503533351809068,-1.4503533351809068,1.2792567798935664e-5
RAB31,1.5110652240031153e-54,2.5112998301730762,-2.5112998301730762,1.3839005297160697e-5
FABP5,4.825351386143738e-52,3.0846238538567867,-3.0846238538567867,1.9424629417110312e-5
RABGGTA,4.3827865787691026e-64,1.2106437507323555,-1.2106437507323555,1.9424629417110312e-5
RBBP9,4.556744037299524e-61,1.5327297500967738,-1.5327297500967738,2.6436405476867837e-5
PGM2L1,9.968009517927086e-54,2.4823864159889837,-2.4823864159889837,2.655413225190746e-5
CARS1,5.9381705424239553e-64,1.2603105772335432,-1.2603105772335432,2.655413225190746e-5
ENDOD1,2.1463169242564955e-57,3.520373637472023,-2.052718882187051,2.8406096878318748e-5
ZFTRAF1,1.7482193897227948e-63,1.1985638460362473,1.0975072575606752,2.8734250323896756e-5
NME1,8.999309989971903e-67,1.7886485939045649,-1.1513837009882302,3.272162304002109e-5
CNP,2.1605052051934644e-57,3.2877534745090315,-2.07735043772281,3.3738862976931215e-05
GAPDH,2.5838749462457688e-67,1.582013869337036,-1.1843398198696775,3.490150203587649e-5
ICAM1,1.487860149521892e-51,2.825494421576483,-2.6839689253720387,3.556304060342202e-5
CYRIB,1.7515738137908142e-63,1.3236490490005401,-1.3236490490005401,3.612065236083707e-5
CORO1A,2.5997836207357232e-55,2.253823095898209,-2.253823095898209,3.845385215063965e-5
GALNT3,2.8520033734600563e-53,2.108767770099517,1.807451113525337,3.9574521992838864e-5
DYNC2I2,8.592914973735612e-60,1.6494231633030054,1.3335900206049018,3.9574521992838864e-5
PGM3,3.580091378828423e-60,1.7159630572152444,-1.5831696917640556,5.2176560213799954e-5
CCDC8,1.2318755584308642e-59,1.4777033030640752,1.2589483083453707,5.2176560213799954e-5
SNX12,9.796382054719794e-65,1.1932305065685753,-1.1559868240962174,5.2176560213799954e-5
DHRS7,1.2371020277252364e-60,1.5446060147870355,-1.5446060147870355,5.3246460656076196e-5
DNAAF1,6.351160433868795e-53,2.3141297757592163,1.9997572502038388,5.942217861692635e-5
MAPRE2,1.2905231592195113e-57,2.618096510185751,-1.8637817852470562,5.942217861692635e-5
ME3,2.230941582316141e-53,2.337173581788498,-2.337173581788498,6.257979069096592e-5
HDGF,3.3224634441262884e-62,1.483789411985338,1.4117555942583309,6.429427901200582e-5
RUVBL1,2.1283891678404423e-62,1.402252325673036,1.402252325673036,6.429427901200582e-5
FN3KRP,1.2695751482763935e-63,1.6213615343261694,-1.2098999430341237,6.473024015730204e-5
MAPK3,6.02701739042843e-59,2.6324994141485014,-1.730816951249981,6.915447330330084e-5
MVP,6.928584536472162e-54,2.3201753190888788,-2.3201753190888788,7.341744899317823e-5
PRKCA,1.5429564516033482e-54,4.350074509973524,-2.2833055150299515,7.341744899317823e-5
GLTP,1.1895623853024468e-56,2.114715904891387,-1.8401719371367875,7.341744899317823e-5
JPT2,4.8409982597847285e-59,2.097040771878845,1.5318458141309854,7.341744899317823e-5
WBP2,2.6089153431274765e-61,2.2469529595597386,-1.4249969548287282,7.341744899317823e-5
SLC12A7,7.767358091747499e-64,1.354498298103195,1.0366858577131417,7.341744899317823e-5
IFT46,5.327291106256599e-52,2.1427609597505644,1.994349280762588,8.23127367578219e-5
IFT172,1.9181816514733646e-56,1.8315661370230494,1.5290109588524885,8.316232323470978e-5
APPL2,3.230251974822333e-60,3.4799557767400167,-1.4623495137334679,9.1429340210809e-5
SLC12A9,1.4351171180081297e-59,1.5045346046464871,-1.4125776044808305,9.687743349577504e-5
SPAG6,4.948154949200567e-54,2.2811012673687117,2.043204398181775,9.824665662200333e-5
SMAP,5.7799131802113675e-55,1.9833882921068202,1.9247578969364945,1.0136587002487668e-4
IK,3.4057926997701387e-62,1.9165828407644234,1.2012344663335313,1.0136587002487668e-4
ABI1,5.360056757636773e-64,1.8792877426234256,-1.1227549081131478,1.0136587002487668e-4
B3GLCT,3.737972608220302e-61,1.80484317849767,1.3543311420078972,1.0414415451292285e-4
RUVBL2,6.202816506776246e-63,1.25578984695413,1.25578984695413,1.0936035197307079e-4
SPATA33,5.888837986308421e-45,2.9066207985067383,2.671901889403756,1.1028067933274588e-4
NSF,8.736996500237563e-57,1.8834082066596132,-1.8834082066596132,1.1028067933274588e-4
CYFIP2,4.7651992865515946e-57,2.802383049715907,-1.7283307571591102,1.1028067933274588e-4
ZMYND10,5.265768765728299e-56,1.9906586105649815,1.7155978111191033,1.1028067933274588e-4
PTK7,1.763464968219038e-60,1.3465082323214617,1.3465082323214617,1.1028067933274588e-4
