Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
MEX3A,6.011133941385841e-66,3.8124138874216307,3.566226515036977,6.66515872173019e-19
RCOR2,3.763045900962251e-67,3.402732515189662,3.226256945176896,2.5814823000902623e-18
ZNF316,9.395695601616534e-65,3.6272498501795667,3.3954923632930374,4.785907790900588e-18
CGGBP1,8.544839257998594e-67,3.4980098894957585,3.2840356417525634,7.361522017042847e-18
STEEP1,2.8268975505659294e-64,3.5294547973334396,3.3022346451234412,9.626544248442111e-18
XKR7,1.2695751482763935e-63,3.4462344476588314,3.2224426448216317,3.675835211625901e-17
MORC2,5.474967389342148e-64,3.353478101941345,3.1384329820128514,3.3903797389992026e-16
RBM15B,5.734533542084548e-65,3.131851885342112,2.940883024009228,2.5230946313597305e-15
SMARCAD1,1.757372938876207e-66,2.540939934563717,2.384653182524506,2.6205274286202184e-14
DHX8,1.0859686201736367e-64,2.574909295582046,2.4153763493716447,1.3570119815797235e-13
CBLL1,2.636621368938971e-68,2.16597160254031,1.9509720598829112,1.4429693227672516e-13
GPC2,1.7281160711139316e-58,4.072171715479882,3.807095814869662,1.1447374121474887e-12
SIRT1,2.2723400027340334e-61,3.1002214840226223,2.9032397996068866,1.1447374121474887e-12
BRD1,2.9621329453634828e-65,2.587975331525403,2.3328342206514776,1.1447374121474887e-12
SLU7,3.0757024730499164e-65,2.3470357367317938,2.1693696146918846,1.8671719857985977e-12
MAPK8,2.71836150809306e-57,3.9341923534913086,3.6837167304938134,2.740677880268458e-12
ZNF219,3.575021894006061e-64,2.576060663704652,2.3272220119397353,5.351078725644572e-12
HIRIP3,1.6462863440769914e-56,3.5837728076573985,3.352943016367931,9.838306424132807e-12
ZIC1,3.083644853596181e-56,3.905901705068352,3.65613328996254,1.6055709931174142e-11
NSD2,5.735740187246732e-56,3.6781190937408166,3.434545323161638,1.9045026095609015e-11
KBTBD6,1.5007288735593731e-55,3.826813472780623,3.564931915110293,2.292892125789165e-11
ZNF280C,1.0730163959678026e-55,3.510469784975525,3.2806411929203954,3.9923227438964296e-11
ZIC4,1.6337989143917073e-55,4.1364925045103895,3.8702034141889534,4.876281527334189e-11
SUMO2,1.7665258571467156e-63,2.62009242243931,2.4814734803652563,5.773680944459666e-11
CBX2,2.0468373344193686e-55,3.461338098064539,3.2380397214478727,6.121949224073086e-11
RNASEH2B,2.2722948434702674e-61,2.677564483024131,2.458476117508443,6.121949224073086e-11
MCM5,3.9592828653077375e-63,2.5337049233714843,2.5209658112704183,2.8315291461179246e-10
NR2C2,5.827629258759704e-60,2.8553623351473405,2.491113746886711,3.2130437444603943e-10
PCBP4,4.132061417567856e-63,2.560232700324427,2.5265919674026875,3.642086932316924e-10
PHC2,6.676840085539071e-66,2.31333307272547,1.9914216992608296,3.642086932316924e-10
WIZ,3.633504902902461e-62,2.524978120736801,2.1687588073188877,4.040800749240989e-10
DCX,2.3862052135940734e-58,3.9695307632387262,3.475388400094573,4.998008048368484e-10
KIF4A,6.35808627677419e-60,2.6195750517288303,2.441128869388237,7.574373751318799e-10
SMC6,2.776595179337818e-62,2.2622636408985883,2.1159443102441493,8.569435295049121e-10
GSE1,8.769630327807176e-62,2.6433617616231864,2.2095712802062835,9.828680484919285e-10
NCOR1,9.8666369753452e-65,1.8591284447531642,1.8523408743460728,1.0269629522896474e-9
INO80C,7.146966430420508e-56,2.907986582371805,2.722598253621152,1.4016808139722002e-9
MAB21L1,9.694091020584152e-53,4.024899067586986,3.7492616153483738,1.6526031957092165e-9
USP48,3.325787924691334e-66,1.8612379194456565,1.6539947784796247,2.3127455223924117e-9
RBM33,2.9621329453634828e-65,2.0064522903955044,1.7653981976630675,2.375110066118821e-9
NRF1,1.1542442005541419e-67,1.9747028171886356,1.6533697946955854,2.448134252500712e-9
ACTL6B,1.6197224973945565e-60,2.644724167487041,2.6237825410679427,2.6770332953073643e-9
RBM6,3.519178089234102e-58,2.8629657976818272,2.6675125790736836,2.724506438474939e-9
MCM7,2.3612295385996754e-61,2.9658266923783927,2.5730359795935023,2.930705914847207e-9
DDX39A,5.228521364151065e-64,2.263529993023319,2.1683067867578387,3.009993774403455e-9
EBF2,2.7753871775911576e-52,3.396198469368498,3.166397261964116,3.124350805584608e-9
NCAPG,1.18248745529415e-61,2.3746844934712392,2.2602647089629393,3.242588841177116e-9
DCP1A,4.825080585544149e-62,2.5745667994648684,2.092506775084569,3.539218619890641e-9
DACH1,1.2543494560650352e-58,2.971649111676488,2.7456912642873306,3.87871476633585e-9
BAZ1B,4.2321281516081334e-64,2.4095960468873976,2.0570063687688815,4.4512770773999585e-9
MCM6,3.013238883678562e-60,3.273544458238561,2.692917499601858,4.713669693966209e-9
MCM4,3.033552031703546e-63,2.3269927267604764,2.204148526827577,4.713669693966209e-9
SMARCC1,1.3821687968157102e-62,2.436953128060111,2.1803177580265434,4.713669693966209e-9
FRG1,1.319594402237193e-66,1.9488192396666513,1.6958868745876288,5.176953168452787e-9
NSMCE4A,1.3961978073743372e-60,2.5337680492708756,2.18569179403568,5.277957982947277e-9
ZMYM4,2.1347536525162427e-63,2.182147356061069,1.7969091149807852,7.049188974549926e-9
MAD2L1,2.87171341531193e-57,3.0843701167374746,2.866409415317129,7.230316237989918e-9
CLGN,2.7741558640010233e-59,2.991993567254326,2.644321019165897,7.233734175648517e-9
LIG1,4.047609970246366e-62,2.2172696580499185,2.04755072265057,8.866874204666547e-9
NCAPG2,9.545371045693969e-60,2.454735357235922,2.305879893677865,1.3075618009998846e-08
MSL1,3.847727397604474e-61,2.1158803908910784,1.8389960796198288,1.3075618009998846e-08
RB1,5.734533542084548e-65,1.7035661348440172,1.6261965708376493,1.4218467465767798e-8
GNE,3.6106900456460035e-64,1.8385293042476043,1.805152323024604,1.4393677470141e-8
MCM2,2.582993909477488e-60,3.0925660646705815,2.5940917624126243,1.4935121541592995e-8
