Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
MEX3A,6.011133941385841e-66,3.8124138874216307,3.8124138874216307,3.421645344132729e-23
RCOR2,3.763045900962251e-67,3.402732515189662,3.402732515189662,2.357009815697314e-22
ZNF316,9.395695601616534e-65,3.6272498501795667,3.6272498501795667,2.8398352634627187e-22
CGGBP1,8.544839257998594e-67,3.4980098894957585,3.4980098894957585,5.01099282623264e-22
STEEP1,2.8268975505659294e-64,3.5294547973334396,3.5294547973334396,5.902958539680675e-22
XKR7,1.2695751482763935e-63,3.4462344476588314,3.4462344476588314,2.3659114865087663e-21
MORC2,5.474967389342148e-64,3.353478101941345,3.353478101941345,2.5440706501893416e-20
RBM15B,5.734533542084548e-65,3.131851885342112,3.131851885342112,2.416513070372123e-19
SMARCAD1,1.757372938876207e-66,2.540939934563717,2.540939934563717,2.884875381320484e-18
CBLL1,2.636621368938971e-68,2.16597160254031,2.16597160254031,4.765453323202887e-18
DHX8,1.0859686201736367e-64,2.574909295582046,2.574909295582046,1.516738252662813e-17
BRD1,2.9621329453634828e-65,2.587975331525403,2.587975331525403,5.0903437704567696e-17
GPC2,1.7281160711139316e-58,4.072171715479882,4.072171715479882,1.4951333461228562e-16
SIRT1,2.2723400027340334e-61,3.1002214840226223,3.1002214840226223,1.53830883043759e-16
SLU7,3.0757024730499164e-65,2.3470357367317938,2.3470357367317938,1.7814095686116976e-16
ZNF219,3.575021894006061e-64,2.576060663704652,2.576060663704652,2.792629905919529e-16
MAPK8,2.71836150809306e-57,3.9341923534913086,3.9341923534913086,3.991746655863967e-16
HIRIP3,1.6462863440769914e-56,3.5837728076573985,3.5837728076573985,1.6962043989876643e-15
SMARCA5,2.5696973659097338e-65,2.609333865683034,2.609333865683034,1.8473689042879786e-15
ZIC1,3.083644853596181e-56,3.905901705068352,3.905901705068352,2.8263008881285944e-15
NSD2,5.735740187246732e-56,3.6781190937408166,3.6781190937408166,3.171013672691899e-15
KBTBD6,1.5007288735593731e-55,3.826813472780623,3.826813472780623,3.624785933532107e-15
MSH6,1.5180883744090746e-63,2.8691872000521705,2.8691872000521705,4.068196751371037e-15
ZNF280C,1.0730163959678026e-55,3.510469784975525,3.510469784975525,6.9784261914723426e-15
HMGB3,1.7685608718380572e-64,2.956908600721441,2.956908600721441,6.9784261914723426e-15
RNASEH2B,2.2722948434702674e-61,2.677564483024131,2.677564483024131,7.182125067798308e-15
WIZ,3.633504902902461e-62,2.524978120736801,2.524978120736801,7.998528194767877e-15
ZIC4,1.6337989143917073e-55,4.1364925045103895,4.1364925045103895,8.407043851508855e-15
NR2C2,5.827629258759704e-60,2.8553623351473405,2.8553623351473405,8.504320821489882e-15
GSE1,8.769630327807176e-62,2.6433617616231864,2.6433617616231864,9.577703839823923e-15
CBX2,2.0468373344193686e-55,3.461338098064539,3.461338098064539,1.0993757138560592e-14
DCX,2.3862052135940734e-58,3.9695307632387262,3.9695307632387262,1.6808874786866113e-14
DCP1A,4.825080585544149e-62,2.5745667994648684,2.5745667994648684,2.3387177897018748e-14
SUMO2,1.7665258571467156e-63,2.62009242243931,2.5670563321290274,2.5149146295376844e-14
PHC2,6.676840085539071e-66,2.31333307272547,2.2107266359678697,2.5149146295376844e-14
NRF1,1.1542442005541419e-67,1.9747028171886356,1.9747028171886356,3.0004068144358123e-14
HMGB2,8.505791382440211e-59,4.00791357546305,4.00791357546305,4.181575683491132e-14
MCM6,3.013238883678562e-60,3.273544458238561,3.273544458238561,4.5894053065465354e-14
ZMYM4,2.1347536525162427e-63,2.182147356061069,2.182147356061069,8.194455486858158e-14
MBD3,2.632482084710806e-67,2.0490384737770313,1.891989366319983,8.194455486858158e-14
KDM1A,2.588335778422943e-63,2.6276604345576295,2.6276604345576295,8.442540257277681e-14
MCM7,2.3612295385996754e-61,2.9658266923783927,2.9658266923783927,1.0896043276200189e-13
HDAC2,3.5039039342458094e-63,2.753266073181205,2.753266073181205,1.159505545203244e-13
BAZ1B,4.2321281516081334e-64,2.4095960468873976,2.4095960468873976,1.159505545203244e-13
RBM33,2.9621329453634828e-65,2.0064522903955044,2.0064522903955044,1.159505545203244e-13
LIG3,2.154117264160474e-66,2.0287028480105853,2.0287028480105853,1.1753104584505182e-13
PDS5A,1.3637506412035926e-65,2.075977154610719,2.075977154610719,1.2272083615567758e-13
SENP3,6.01067719105166e-67,1.8910014933849446,1.8910014933849446,1.3230798774432688e-13
USP48,3.325787924691334e-66,1.8612379194456565,1.8612379194456565,1.3230798774432688e-13
KIF4A,6.35808627677419e-60,2.6195750517288303,2.6195750517288303,1.3476304006964968e-13
SMC6,2.776595179337818e-62,2.2622636408985883,2.2622636408985883,1.767774901983849e-13
NSMCE4A,1.3961978073743372e-60,2.5337680492708756,2.5337680492708756,1.9200141897255458e-13
MCM3,9.600595828617835e-58,3.5928351001371013,3.5928351001371013,2.703771369205089e-13
MCM5,3.9592828653077375e-63,2.5337049233714843,2.5337049233714843,2.703771369205089e-13
RNF2,3.314092984882757e-67,2.2561823888622143,1.805183994126537,2.703771369205089e-13
PCBP4,4.132061417567856e-63,2.560232700324427,2.560232700324427,2.8500169883566424e-13
MSH2,6.892864297461776e-63,2.560742370415582,2.560742370415582,2.929802379677031e-13
MCM2,2.582993909477488e-60,3.0925660646705815,3.0925660646705815,2.9859873096905095e-13
INO80C,7.146966430420508e-56,2.907986582371805,2.907986582371805,3.0356628320039824e-13
MAB21L1,9.694091020584152e-53,4.024899067586986,4.024899067586986,3.1652041560663187e-13
BPTF,7.066140451927295e-60,2.616637325535038,2.616637325535038,3.270997663484024e-13
FEN1,1.68331995785954e-60,3.071202417286198,3.071202417286198,3.922355057444745e-13
FRG1,1.319594402237193e-66,1.9488192396666513,1.905479415902679,3.997862909709689e-13
NFYC,9.685956119837092e-66,1.8624991233435573,1.8624991233435573,3.997862909709689e-13
SMARCC1,1.3821687968157102e-62,2.436953128060111,2.436953128060111,4.066465579652044e-13
DNAJC9,1.8617770111856936e-66,1.983234726813837,1.983234726813837,4.215425802680731e-13
NASP,7.874604373686746e-60,3.1159716133224755,3.1159716133224755,4.94892270944435e-13
CLGN,2.7741558640010233e-59,2.991993567254326,2.991993567254326,4.94892270944435e-13
RIOX2,4.803434789301388e-61,2.456749910900413,2.456749910900413,4.94892270944435e-13
ZNF512,5.53292894121036e-65,2.4872614046912354,2.2004687320392016,4.94892270944435e-13
RBM6,3.519178089234102e-58,2.8629657976818272,2.8629657976818272,5.49451357973435e-13
CTDSPL2,5.975588413800285e-66,1.8355400631424565,1.8355400631424565,5.49451357973435e-13
XRCC1,9.916779183808319e-63,2.455933325745921,2.455933325745921,5.500037292741425e-13
MSL1,3.847727397604474e-61,2.1158803908910784,2.1158803908910784,5.722159202445319e-13
EBF2,2.7753871775911576e-52,3.396198469368498,3.396198469368498,6.656911945263309e-13
DACH1,1.2543494560650352e-58,2.971649111676488,2.971649111676488,6.656911945263309e-13
EHMT1,2.068581365761192e-64,1.9835128752767588,1.9835128752767588,6.656911945263309e-13
EP400,4.8000310359401794e-65,1.8201187990695011,1.8201187990695011,6.656911945263309e-13
PPP1R10,2.2140705313072065e-67,1.656208041257262,1.656208041257262,6.656911945263309e-13
EED,8.689790068027954e-62,2.253766867475509,2.253766867475509,7.711440119650273e-13
UBTF,1.438571725538246e-63,2.3895709478427136,2.3895709478427136,8.556176588885988e-13
POGZ,6.860605474467981e-65,2.057539653091517,2.057539653091517,8.720254997701498e-13
SPEN,1.4635208049994048e-66,1.6267732934980828,1.6267732934980828,9.149905978443666e-13
NCOR1,9.8666369753452e-65,1.8591284447531642,1.8591284447531642,1.0150103869927668e-12
CBX1,3.772205360385239e-64,2.4255983909895207,2.4255983909895207,1.0551556297371879e-12
NCAPG,1.18248745529415e-61,2.3746844934712392,2.3746844934712392,1.1878141142942609e-12
SMARCA4,1.2386552887965586e-59,2.855328907766289,2.855328907766289,1.2037941245586485e-12
GTF2I,3.2413519558866477e-62,2.6521151975639192,2.6521151975639192,1.2037941245586485e-12
DDX39A,5.228521364151065e-64,2.263529993023319,2.263529993023319,1.2224346455143146e-12
ATF7IP,2.9351159375755647e-66,1.7276619491620302,1.7276619491620302,1.2327902593877796e-12
GATAD2B,3.847648989125199e-65,2.2363603282271356,1.9481584384874004,1.2714631448081649e-12
SMC2,9.938313683533697e-63,2.2734931690894236,2.2734931690894236,1.335987723513583e-12
NCAPD2,2.242329190545053e-64,1.924847562445816,1.924847562445816,1.5327794141029007e-12
TMA16,3.3345250041716154e-62,2.330124307846404,2.330124307846404,1.5482053727844412e-12
MAD2L1,2.87171341531193e-57,3.0843701167374746,3.0843701167374746,1.6065284615391707e-12
MCM4,3.033552031703546e-63,2.3269927267604764,2.3269927267604764,1.6065284615391707e-12
CBX3,5.2972214768821215e-64,2.405070803221019,2.405070803221019,1.6263712549246874e-12
QKI,4.417380703997554e-61,2.910700419286325,-2.910700419286325,1.687882218959499e-12
LIG1,4.047609970246366e-62,2.2172696580499185,2.2172696580499185,1.687882218959499e-12
SUPT16H,6.867032793193306e-64,2.270419084426859,2.270419084426859,1.7110297360992598e-12
TMPO,4.628691128746237e-61,2.8983018997450536,2.8983018997450536,1.733498370768366e-12
ADNP,3.0898464436137135e-64,2.1997556043059276,2.028021715844357,1.864773055292458e-12
BRD3,1.1038166928399373e-65,2.1322611163152416,1.886805399429118,1.864773055292458e-12
SMC4,4.177548489299927e-65,1.8508551202738701,1.8508551202738701,1.874157291599197e-12
TOP2B,3.725858288874482e-62,2.5781934654194814,2.5781934654194814,1.894915256209458e-12
ZMYM2,1.935117870492002e-62,2.1808085975932556,2.162589420270127,1.894915256209458e-12
TRIM33,5.868865593422399e-63,2.1973988721217346,2.1973988721217346,2.075106672093052e-12
ZNF618,1.4862924861594211e-59,2.4546040967786524,2.4546040967786524,2.302906714904088e-12
ACTL6B,1.6197224973945565e-60,2.644724167487041,2.644724167487041,2.3622073359086184e-12
DMAP1,9.685956119837092e-66,1.7975920544994217,1.7975920544994217,2.6032349971007058e-12
HNRNPA0,4.360636904798457e-63,2.5497574218413597,2.5497574218413597,3.0164618519624086e-12
RSF1,2.1229812256729407e-65,1.7447515726947458,1.7447515726947458,3.2552049882532656e-12
PRKCA,1.5429564516033482e-54,4.350074509973524,-4.350074509973524,3.267084768280123e-12
KIF11,2.242397269825887e-59,2.4247484183928094,2.4247484183928094,3.4799650758498127e-12
MLH1,4.1530619354323616e-60,2.3432387454851913,2.3432387454851913,3.6333268654909224e-12
RFC3,2.6813705334683236e-64,1.9557666982155375,1.9557666982155375,3.814012613225102e-12
NCAPG2,9.545371045693969e-60,2.454735357235922,2.454735357235922,3.879853299906095e-12
SRSF8,9.709705602514009e-58,2.4941587200567614,2.4941587200567614,3.8949933864608355e-12
SNX5,1.0474242980854087e-63,2.2792810888942583,-2.2792810888942583,3.8949933864608355e-12
CHAMP1,3.208942203738504e-62,2.430924994346956,2.430924994346956,4.0388848280007615e-12
RHOG,1.442731622403405e-63,2.305473196190384,-2.305473196190384,4.333349561781305e-12
TAF6,7.743731315644621e-66,1.6110667973983972,1.6110667973983972,4.333349561781305e-12
SSRP1,3.1839698794223255e-62,2.5230988904711964,2.5230988904711964,5.039958736061765e-12
DNMT3A,2.9734371212219967e-64,1.885664828849336,1.885664828849336,5.039958736061765e-12
DBR1,4.917527052527227e-65,1.8246307285970147,1.8246307285970147,5.109512687216876e-12
PARP1,1.248699901267999e-63,2.3191035495503556,2.3191035495503556,5.9937891173658265e-12
RB1,5.734533542084548e-65,1.7035661348440172,1.7035661348440172,6.558599102825834e-12
SEPTIN8,9.811730407267266e-59,4.250047260536565,-3.312388732201061,7.268600498118493e-12
NCAPD3,3.750847479443738e-58,2.4073922231938116,2.4073922231938116,7.461080284579147e-12
TRIP13,3.1879264918945958e-62,2.145384449653257,2.145384449653257,7.93522336757678e-12
KMT2A,1.3027045352661523e-57,2.607762036841798,2.607762036841798,8.219645062772028e-12
SPIN1,7.269007537822793e-60,2.4409662640047003,2.4409662640047003,8.219645062772028e-12
UHRF1,2.4372654375189075e-61,2.1811139900390977,2.1811139900390977,8.558418109747975e-12
WDR70,2.1148238171020415e-62,1.943106788163771,1.943106788163771,9.062303927285844e-12
RTF1,1.8818837577399534e-66,1.6270848868763288,1.6270848868763288,9.067381511026445e-12
LRWD1,1.3052440119392096e-61,2.194766328787466,2.194766328787466,9.134093913770465e-12
SIN3B,5.837580912481399e-63,1.8945605620162205,1.8945605620162205,9.134093913770465e-12
ZC3H18,8.329511533454454e-66,1.4905150168432435,1.4905150168432435,9.463177616609146e-12
