Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
IQCD,3.589266298866446e-57,6.06564886762683,-6.06564886762683,5.773776213186956e-16
COL26A1,5.156675216277555e-59,5.2747281620110975,-5.2747281620110975,5.773776213186956e-16
FGFBP3,2.828091964908441e-61,4.536622965850061,-4.536622965850061,3.4851035298017596e-15
KRT8,4.890911139631389e-58,4.996322337599953,-4.996322337599953,7.235384332129985e-12
RPP40,2.725557726769945e-50,5.5716490425945455,-5.5716490425945455,1.4118917500201594e-10
GDF15,9.78898466936745e-56,4.582234858088469,-4.3412404662395865,1.8559805818009179e-10
SFN,1.1282746263119735e-58,4.0453917157804575,-4.0453917157804575,1.8559805818009179e-10
THBS3,7.95406330409422e-61,3.2820910508558043,-3.2820910508558043,1.3356903787097815e-9
SEPTIN8,9.811730407266709e-59,4.250047260536565,4.250047260536565,1.7522602404681856e-9
KRT18,2.3784020279618846e-57,4.223493230323395,-4.223493230323395,1.8099017256072534e-9
APPL2,3.230251974822242e-60,3.4799557767400167,3.4799557767400167,2.0509305062658657e-9
RIOK2,1.439569974004765e-48,4.762300168170622,-4.762300168170622,2.1845279714472922e-9
TMEM161A,8.35996073676446e-51,4.567355197061259,-4.387227329180108,4.114091366036663e-9
NME4,3.390056966323888e-55,3.855158467007545,-3.611594222013597,5.124054188991782e-9
SCD5,9.903286679964735e-55,4.6683108822463915,4.6683108822463915,1.0491825242511764e-8
ADD1,2.4625957450989052e-57,4.169884554260811,4.169884554260811,1.0491825242511764e-8
ITM2C,2.730179976018616e-57,3.9303602662592816,3.9303602662592816,1.0491825242511764e-8
PLIN2,8.027793509801812e-62,2.888616010980858,-2.7744634207201315,1.0491825242511764e-8
P3H4,4.982548534163932e-56,3.6479104281489114,-3.639316432929057,1.575288842991973e-8
EOGT,1.1837169353777806e-48,4.37780946293846,-4.37780946293846,1.887583892764489e-8
P3H3,5.13053151833752e-56,3.5375671418100083,-3.5375671418100083,1.887583892764489e-8
LOX,7.548656655068595e-54,3.6265830707393043,-3.6034011503440553,3.06728821450564e-8
PFKFB4,5.147916373154325e-49,4.6929523340950965,-4.511198316434108,3.984819422552913e-8
