Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M19062	DODD_NASOPHARYNGEAL_CARCINOMA_UP	http://www.broadinstitute.org/gsea/msigdb/cards/DODD_NASOPHARYNGEAL_CARCINOMA_UP.html	Genes up-regulated in nasopharyngeal carcinoma (NPC) compared to the normal tissue.	17119049	435/1821	Arthur Liberzon	4.42765283704849e-30	1.61033733683454e-26	5	1406.75	1127.5	1.10691320926212e-30	1	1.28898801622207	-1.18218832559119	-1	98.6496753402523	2252	1	3371	3
2	M17572	SMID_BREAST_CANCER_LUMINAL_B_DN	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_LUMINAL_B_DN.html	Genes down-regulated in the luminal B subtype of breast cancer.	18451135	188/564	Jessica Robertson	5.78214057760404e-28	1.05148226403729e-24	5	257	244.5	1.44553514440102e-28	2	1.40552937942356	-1.45241827434584	-1	100	537	2	485	4
3	M5889	NABA_MATRISOME	http://www.broadinstitute.org/gsea/msigdb/cards/NABA_MATRISOME.html	Ensemble of genes encoding extracellular matrix and extracellular matrix-associated proteins 	22159717	246/1028	Alexandra Naba	1.15072318569593e-26	1.3950600754587e-23	825	612.75	487	2.87680796423984e-27	3	1.34012565592283	-1.42980579659454	-1	90.8820185511734	825	3	1474	149
4	M14033	REACTOME_MRNA_SPLICING	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MRNA_SPLICING.html	Genes involved in mRNA Splicing		94/111	Reactome	4.55782046240912e-25	4.14419825544549e-22	5	1396.25	1359.5	1.13945511560228e-25	1	0.753919747980961	0.753919747980961	1	47.8330222856356	1	2384	335	2865
5	M13087	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA.html	Genes involved in Processing of Capped Intron-Containing Pre-mRNA		120/140	Reactome	2.84077196620698e-24	1.99644407169384e-21	5	1455.75	1463	7.10192991551746e-25	2	0.742557349656819	0.742557349656819	1	45.6076733431702	2	2464	462	2895
6	M2531	REACTOME_MRNA_PROCESSING	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MRNA_PROCESSING.html	Genes involved in mRNA Processing		127/161	Reactome	3.2935563459343e-24	1.99644407169384e-21	5	1460	1470	8.23389086483576e-25	3	0.738854933416191	0.738854933416191	1	45.380271388318	3	2475	465	2897
7	M19391	LIU_PROSTATE_CANCER_DN	http://www.broadinstitute.org/gsea/msigdb/cards/LIU_PROSTATE_CANCER_DN.html	Genes down-regulated in prostate cancer samples.	16618720	201/481	Arthur Liberzon	1.40936781449973e-23	7.32267248762218e-21	465	268.25	237	3.52341953624934e-24	4	1.23197276345635	-1.24721850646053	-1	73.6043067177292	461	4	595	13
8	M2044	KEGG_SPLICEOSOME	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_SPLICEOSOME.html	Spliceosome		110/128	KEGG	2.30670269635432e-23	1.04868471333008e-20	5	1427.5	1419.5	5.76675674088581e-24	4	0.747986011543304	0.747986011543304	1	44.3422654588729	4	2435	404	2867
9	M1834	BOQUEST_STEM_CELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BOQUEST_STEM_CELL_UP.html	Genes up-regulated in freshly isolated CD31- [GeneID=5175] (stromal stem cells from adipose tissue) versus the CD31+ (non-stem) counterparts.	15635089	132/260	Arthur Liberzon	2.97798745739801e-21	1.20343782028406e-18	950	563.5	545.5	7.44496864349507e-22	5	1.40445263863426	-1.44674232849511	-1	74.6755113544466	947	5	1158	144
10	M12671	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	http://www.broadinstitute.org/gsea/msigdb/cards/SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN.html	Genes down-regulated in nsopharyngeal carcinoma relative to the normal tissue.	16912175	85/349	Leona Saunders	2.4002619169409e-20	8.72975259191406e-18	40	234.5	21	6.00065479235229e-21	1	1.60236451124483	1.73903983302569	1	81.1069848451754	36	6	895	1
