Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	M5889	NABA_MATRISOME	http://www.broadinstitute.org/gsea/msigdb/cards/NABA_MATRISOME.html	Ensemble of genes encoding extracellular matrix and extracellular matrix-associated proteins 	22159717	246/1028	Alexandra Naba	4.37534535155383e-95	1.59131310436013e-91	825	1256.25	1316.5	1.82306056314742e-96	1	2.00086646486822	-1.5357505713454	-0.666666666666667	78.5825087261945
2	M17572	SMID_BREAST_CANCER_LUMINAL_B_DN	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_LUMINAL_B_DN.html	Genes down-regulated in the luminal B subtype of breast cancer.	18451135	188/564	Jessica Robertson	6.37511551220256e-87	1.15931475589403e-83	5	917.416666666667	699.25	2.65629813008435e-88	2	2.01721116503584	0.0905778670641736	0	64.9645125182359
3	M19391	LIU_PROSTATE_CANCER_DN	http://www.broadinstitute.org/gsea/msigdb/cards/LIU_PROSTATE_CANCER_DN.html	Genes down-regulated in prostate cancer samples.	16618720	201/481	Arthur Liberzon	7.96255672228262e-83	9.65327293298064e-80	465	845.333333333333	837.25	3.31773196761776e-84	3	1.8729337965144	0.778797160516231	0.333333333333333	44.8982290021302
4	M2129	CHICAS_RB1_TARGETS_CONFLUENT	http://www.broadinstitute.org/gsea/msigdb/cards/CHICAS_RB1_TARGETS_CONFLUENT.html	Genes up-regulated in confluent IMR90 cells (fibroblast) after knockdown of RB1 [GeneID=5925] by RNAi.	20385362	271/567	Arthur Liberzon	1.15239813524728e-79	1.04781800447359e-76	415	923.583333333333	681	4.80165889686366e-81	3	1.82704229451994	0.771479682963741	0.333333333333333	53.0653898328811
5	M8124	SMID_BREAST_CANCER_BASAL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_BASAL_UP.html	Genes up-regulated in basal subtype of breast cancer samles.	18451135	243/648	Jessica Robertson	1.64509581213765e-75	9.9720224479077e-73	2820	1201.83333333333	951.75	6.85456588390678e-77	3	1.89002821817987	0.103970654703001	0	55.8991855501876
6	M9516	PUJANA_BRCA2_PCC_NETWORK	http://www.broadinstitute.org/gsea/msigdb/cards/PUJANA_BRCA2_PCC_NETWORK.html	Genes constituting the BRCA2-PCC network of transcripts whose expression positively correlated (Pearson correlation coefficient, PCC >= 0.4) with that of BRCA2 [GeneID=675] across a compendium of normal tissues.	17922014	211/423	Leona Saunders	1.51318024618865e-75	9.9720224479077e-73	5	828.875	874.5	6.30491769245272e-77	1	1.36964905836621	-0.573984858768154	-0.333333333333333	28.9637646117197
7	M1834	BOQUEST_STEM_CELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BOQUEST_STEM_CELL_UP.html	Genes up-regulated in freshly isolated CD31- [GeneID=5175] (stromal stem cells from adipose tissue) versus the CD31+ (non-stem) counterparts.	15635089	132/260	Arthur Liberzon	4.50426790986232e-75	2.34028891259561e-72	950	1475.04166666667	1681.5	1.87677829577596e-76	5	2.15241532864745	-0.711742494786206	-0.333333333333333	53.2863961602295
8	M7854	WHITEFORD_PEDIATRIC_CANCER_MARKERS	http://www.broadinstitute.org/gsea/msigdb/cards/WHITEFORD_PEDIATRIC_CANCER_MARKERS.html	Differentially expressed genes in a panel of xenografts representing 8 common pediatric tumors compared to the normal tissues.	17210681	50/116	Jessica Robertson	2.96937796157872e-71	1.34995345578273e-68	295	386.666666666667	219.75	1.23724081732445e-72	2	1.5484320353655	-0.665370606945759	-0.333333333333333	29.2718569739874
9	M14127	HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	http://www.broadinstitute.org/gsea/msigdb/cards/HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP.html	Genes up-regulated in multiple myeloma (MM) cell lines treated with both decitabine [PubChem=451668] TSA [PubChem=5562].	18172295	178/461	Jessica Robertson	3.21236527343979e-69	1.2981524999445e-66	700	644.833333333333	479.5	1.3384855305999e-70	6	1.92540344331628	1.48208283026728	0.666666666666667	36.912263865476
10	M2879	BLUM_RESPONSE_TO_SALIRASIB_DN	http://www.broadinstitute.org/gsea/msigdb/cards/BLUM_RESPONSE_TO_SALIRASIB_DN.html	Selected genes down-regulated in response to the Ras inhibitor salirasib [PubChem=5469318] in a panel of cancer cell lines with constantly active HRAS [GeneID=3265].	17409441	181/342	Jessica Robertson	9.25305345114749e-68	3.36533554018234e-65	55	599.375	451	3.85543893797814e-69	1	1.53310108018505	-0.657540538995309	-0.333333333333333	26.0477268999585
11	M16010	KOBAYASHI_EGFR_SIGNALING_24HR_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KOBAYASHI_EGFR_SIGNALING_24HR_DN.html	Genes down-regulated in H1975 cells (non-small cell lung cancer, NSCLC) resistant to gefitinib [PubChem=123631] after treatment with EGFR inhibitor CL-387785 [PubChem=2776] for 24h.	17145885	96/251	Arthur Liberzon	2.7896195026113e-67	9.22349648272481e-65	20	377.041666666667	167.75	1.16234145942135e-68	1	1.548429586551	-0.722527100703967	-0.333333333333333	28.9923249324938
12	M18811	PUJANA_XPRSS_INT_NETWORK	http://www.broadinstitute.org/gsea/msigdb/cards/PUJANA_XPRSS_INT_NETWORK.html	Genes constituting the XPRSS-Int network: intersection of genes whose expression correlates with BRCA1, BRCA2, ATM, and CHEK2 [GeneID=672;675;472;11200] in a compendium of normal tissues.	17922014	99/168	Leona Saunders	2.89995551435537e-66	8.78928183809207e-64	5	699.916666666667	546.5	1.20831479764805e-67	2	1.41929721284836	-0.59732980901935	-0.333333333333333	28.0780187112538
13	M18506	CROONQUIST_IL6_DEPRIVATION_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CROONQUIST_IL6_DEPRIVATION_DN.html	Genes down-regulated in the ANBL-6 cell line (multiple myeloma, MM) after withdrawal of IL6 [GeneID=3569].	12791645	42/98	Arthur Liberzon	3.04539544255519e-64	8.52007940351786e-62	10	317.083333333333	73.75	1.26891476773131e-65	6	1.54519139998383	-0.742478544708951	-0.333333333333333	25.7320184590304
14	M2001	WU_CELL_MIGRATION	http://www.broadinstitute.org/gsea/msigdb/cards/WU_CELL_MIGRATION.html	Genes associated with migration rate of 40 human bladder cancer cells.	18724390	76/184	Jessica Robertson	2.45423235249376e-63	6.03588866209409e-61	500	746.708333333333	441.5	1.02259681353906e-64	5	2.10214591288467	-0.261642104056518	0	44.6413494308306
15	M4455	EGUCHI_CELL_CYCLE_RB1_TARGETS	http://www.broadinstitute.org/gsea/msigdb/cards/EGUCHI_CELL_CYCLE_RB1_TARGETS.html	RB1 [GeneID=5925] target genes involved in cell cycle regulation: genes down-regulated by doxorubicin [PubChem=31703] only in cells expressing RB1.	16862181	12/23	Leona Saunders	2.48936843363792e-63	6.03588866209409e-61	325	327.666666666667	18.75	1.03723684734912e-64	1	1.75565634863138	-0.938026136194674	-0.333333333333333	37.7851062413162
16	M8513	SMID_BREAST_CANCER_NORMAL_LIKE_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_NORMAL_LIKE_UP.html	Genes up-regulated in the normal-like subtype of breast cancer.	18451135	143/476	Jessica Robertson	3.97990379864463e-62	9.04681882229407e-60	15	1036.70833333333	894.25	1.65829324943523e-63	9	1.923304820075	1.53891020233469	0.666666666666667	30.0530394297422
17	M5884	NABA_CORE_MATRISOME	http://www.broadinstitute.org/gsea/msigdb/cards/NABA_CORE_MATRISOME.html	Ensemble of genes encoding core extracellular matrix including ECM glycoproteins, collagens and proteoglycans	22159717	107/275	Alexandra Naba	2.37359439431423e-60	5.07809577183581e-58	1755	1698.5	1783.5	9.88997664297602e-62	2	2.02385566876781	-2.12561907020323	-1	50.4912021243343
18	M9192	CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN.html	Genes down-regulated in luminal-like breast cancer cell lines compared to the mesenchymal-like ones.	16288205	240/460	Arthur Liberzon	2.11882770249559e-58	4.28120908554247e-56	380	1113	1372.25	8.82844876039825e-60	11	1.70724345257984	0.803126300194887	0.333333333333333	24.1399546989481
19	M17923	BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP.html	Genes up-regulated in cultured stromal stem cells from adipose tissue, compared to the freshly isolated cells.	15635089	176/425	Arthur Liberzon	2.35198507816838e-58	4.50219459436758e-56	470	1009.125	841	9.79993782570156e-60	12	1.95421579587012	-0.575463664178828	-0.333333333333333	31.0891839100442
20	M2044	KEGG_SPLICEOSOME	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_SPLICEOSOME.html	Spliceosome		110/128	KEGG	5.44601666786841e-58	9.9035813105187e-56	5	1141.95833333333	956	2.26917361161181e-59	1	1.25217306739042	-0.42223784738717	-0.333333333333333	25.0373049329549
