Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	Ontology	GOID	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M17474	GO_EXTRACELLULAR_SPACE	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EXTRACELLULAR_SPACE.html	That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.		418/1376	Gene Ontology	CC	GO:0005615	1.72779476539231e-39	1.03304849022806e-35	5	781	506	4.31948691348077e-40	1	1.27887450313947	-1.3150155658615	-1	100	1008	1	2111	4
2	M11015	GO_MRNA_PROCESSING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_MRNA_PROCESSING.html	Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide.		284/432	Gene Ontology	BP	GO:0006397	2.46395174945764e-25	7.36598375500363e-22	5	2229	2219	6.15987937364415e-26	1	0.76980191672157	0.763271946822119	1	36.3592218033826	1	3694	744	4477
3	M13414	GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS.html	Splicing of RNA via a series of two transesterification reactions.		201/267	Gene Ontology	BP	GO:0000375	5.79283132844795e-25	1.15451128375968e-21	5	2201.5	2162	1.44820783211199e-25	2	0.753470413651078	0.755220507693444	1	35.2591887469473	2	3641	683	4480
4	M16096	GO_RNA_SPLICING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RNA_SPLICING.html	The process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA.		259/367	Gene Ontology	BP	GO:0008380	7.34319200528906e-24	1.09762362499058e-20	5	2255.75	2267	1.83579800132227e-24	3	0.753938836193047	0.755699390549704	1	33.633026822233	3	3712	822	4486
5	M16984	GO_EXTRACELLULAR_MATRIX	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EXTRACELLULAR_MATRIX.html	A structure lying external to one or more cells, which provides structural support for cells or tissues; may be completely external to the cell (as in animals and bacteria) or be part of the cell (as in plants).		161/426	Gene Ontology	CC	GO:0031012	1.31603329040558e-21	1.57371260866699e-18	2125	1669.25	1770.5	3.29008322601397e-22	2	1.39179785182744	-1.52391779927362	-1	55.3796753969354	2121	2	3134	1420
6	M17542	GO_SPLICEOSOMAL_COMPLEX	http://www.broadinstitute.org/gsea/msigdb/cards/GO_SPLICEOSOMAL_COMPLEX.html	Any of a series of ribonucleoprotein complexes that contain snRNA(s) and small nuclear ribonucleoproteins (snRNPs), and are formed sequentially during the spliceosomal splicing of one or more substrate RNAs, and which also contain the RNA substrate(s) from the initial target RNAs of splicing, the splicing intermediate RNA(s), to the final RNA products. During cis-splicing, the initial target RNA is a single, contiguous RNA transcript, whether mRNA, snoRNA, etc., and the released products are a spliced RNA and an excised intron, generally as a lariat structure. During trans-splicing, there are two initial substrate RNAs, the spliced leader RNA and a pre-mRNA.		132/172	Gene Ontology	CC	GO:0005681	1.91642126304154e-21	1.90971378862089e-18	5	2188	2138	4.79105315760387e-22	4	0.757070482135176	0.757070482135176	1	29.9816442773713	4	3564	712	4472
7	M16924	GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION.html	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of structures in the space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane, and also covers the host cell environment outside an intracellular parasite.		144/304	Gene Ontology	BP	GO:0043062	2.72902935437684e-21	2.33098092997416e-18	670	655.25	414.5	6.82257338594212e-22	3	1.40700667189387	-1.42628025964893	-1	55.4483118884578	669	3	1789	160
8	M16534	GO_BIOLOGICAL_ADHESION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_BIOLOGICAL_ADHESION.html	The attachment of a cell or organism to a substrate, another cell, or other organism. Biological adhesion includes intracellular attachment between membrane regions.		367/1032	Gene Ontology	BP	GO:0022610	1.95863783335933e-20	1.46383695070693e-17	975	652.25	512.5	4.89659458339833e-21	4	1.1809163999084	-1.21411487034399	-1	44.4322977049095	975	4	1580	50
9	M14697	GO_CELLULAR_COMPONENT_MORPHOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELLULAR_COMPONENT_MORPHOGENESIS.html	The process in which cellular structures, including whole cells or cell parts, are generated and organized.		367/900	Gene Ontology	BP	GO:0032989	2.85617492425602e-20	1.89745220801408e-17	5455	2488	2247.5	7.14043731064008e-21	5	1.16468265967075	-1.13471857471043	-1	43.528188852378	5452	5	4480	15
10	M15229	GO_CELL_PROJECTION_ORGANIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELL_PROJECTION_ORGANIZATION.html	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon.		408/902	Gene Ontology	BP	GO:0030030	3.37415056689996e-19	2.01740462394949e-16	4250	2049.25	1972.5	8.43537641724993e-20	6	1.1878389412634	-1.162197108062	-1	41.668110410101	4246	6	3934	11
