Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	Ontology	GOID	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	M13550	GO_CHROMATIN_ORGANIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN_ORGANIZATION.html	Any process that results in the specification, formation or maintenance of the physical structure of eukaryotic chromatin.		227/663	Gene Ontology	BP	GO:0006325	9.46999420273955e-138	5.66210953381798e-134	5	1616.125	1346.5	3.94583091780818e-139	1	1.47321926560947	-0.130415552937074	0	51.0074718133955
2	M10125	GO_CHROMOSOME_ORGANIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMOSOME_ORGANIZATION.html	A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome.		391/1009	Gene Ontology	BP	GO:0051276	8.39789123041852e-136	2.51054958333362e-132	10	1520.08333333333	1501.75	3.49912134600776e-137	1	1.43914170426844	-0.655332797542377	-0.333333333333333	50.6180191089921
3	M16989	GO_CHROMOSOME	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMOSOME.html	A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information.		370/880	Gene Ontology	CC	GO:0005694	1.53348253989462e-135	3.05623070200997e-132	30	1302.04166666667	1208.5	6.38951058289408e-137	2	1.42742222224303	-0.608881869865542	-0.333333333333333	44.291970636409
4	M17269	GO_NUCLEAR_CHROMOSOME	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NUCLEAR_CHROMOSOME.html	A chromosome that encodes the nuclear genome and is found in the nucleus of a eukaryotic cell during the cell cycle phases when the nucleus is intact.		213/523	Gene Ontology	CC	GO:0000228	3.48875500788069e-128	5.21481654802966e-125	15	1289.66666666667	1212.25	1.45364791995028e-129	4	1.45953800115042	-0.615663382966569	-0.333333333333333	41.5215256568613
5	M12761	GO_CHROMATIN_MODIFICATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN_MODIFICATION.html	The alteration of DNA, protein, or sometimes RNA, in chromatin, which may result in changing the chromatin structure.		200/539	Gene Ontology	BP	GO:0016568	6.46007293801242e-118	7.72495521927526e-115	5	1696.08333333333	1395	2.69169705750516e-119	2	1.4455295877364	-0.137981346198093	0	43.8431906391681
6	M17301	GO_CHROMATIN	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN.html	The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome.		184/441	Gene Ontology	CC	GO:0000785	6.22777513938715e-103	6.2059779263993e-100	10	1381.33333333333	980.25	2.59490630807799e-104	4	1.47504801786905	-0.123522768851629	0	38.2410578507
7	M18956	GO_CHROMATIN_BINDING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN_BINDING.html	Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.		170/435	Gene Ontology	MF	GO:0003682	1.55971624443411e-98	1.33222048935308e-95	20	1349.66666666667	913	6.49881768514204e-100	3	1.41208200693756	-0.120549252397631	0	37.3590164159873
8	M17474	GO_EXTRACELLULAR_SPACE	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EXTRACELLULAR_SPACE.html	That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.		418/1376	Gene Ontology	CC	GO:0005615	6.76885827798195e-98	5.05887545550676e-95	5	2216.20833333333	2237.75	2.8203576158258e-99	1	1.83494705553416	-0.0707115744876163	0	78.4399523459981
9	M11015	GO_MRNA_PROCESSING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_MRNA_PROCESSING.html	Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide.		284/432	Gene Ontology	BP	GO:0006397	2.20984437721319e-85	1.46807328126196e-82	5	1683.54166666667	1255.25	9.20768490505501e-87	1	1.16617098981228	-0.496865735012522	-0.333333333333333	25.3456914586135
10	M16984	GO_EXTRACELLULAR_MATRIX	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EXTRACELLULAR_MATRIX.html	A structure lying external to one or more cells, which provides structural support for cells or tissues; may be completely external to the cell (as in animals and bacteria) or be part of the cell (as in plants).		161/426	Gene Ontology	CC	GO:0031012	2.02796508312797e-82	1.21252032320221e-79	2125	2497.91666666667	2802.5	8.44985451303322e-84	2	1.99889666257655	-0.767918903249646	-0.333333333333333	63.0825272010437
