Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M5925	HALLMARK_E2F_TARGETS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_E2F_TARGETS.html	Genes encoding cell cycle related targets of E2F transcription factors.		117/200	Arthur Liberzon	2.56316218190457e-91	1.28158109095229e-89	5	1	1	6.40790545476146e-92	1	1.82904097363047	-1.84891066445589	-1	100	1	1	1	1
2	M5901	HALLMARK_G2M_CHECKPOINT	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_G2M_CHECKPOINT.html	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.		98/200	Arthur Liberzon	3.35592946708051e-50	8.38982366770127e-49	5	2	2	8.38982366770118e-51	2	1.82748325945619	-1.89909143238654	-1	54.0224291809247	2	2	2	2
3	M5909	HALLMARK_MYOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_MYOGENESIS.html	Genes involved in development of skeletal muscle (myogenesis).		84/200	Arthur Liberzon	1.55347139576523e-19	2.58911899294204e-18	15	9.25	9.5	3.88367848941309e-20	3	1.67735554703038	1.68138586083505	1	18.1165542294777	13	3	15	6
4	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION.html	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.		124/200	Arthur Liberzon	6.34914184383061e-18	7.93642730478827e-17	40	30.25	36.5	1.58728546095766e-18	4	1.67481901023744	1.71050443874765	1	16.5573801669612	39	4	44	34
5	M5926	HALLMARK_MYC_TARGETS_V1	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V1.html	A subgroup of genes regulated by MYC - version 1 (v1).		186/200	Arthur Liberzon	1.28458593311801e-12	1.28458593311801e-11	5	12.25	4.5	3.21146483279656e-13	3	1.29653194070189	-1.34140101022092	-1	8.65478568483051	3	37	4	5
6	M5946	HALLMARK_COAGULATION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_COAGULATION.html	Genes encoding components of blood coagulation system; also up-regulated in platelets.		78/138	Arthur Liberzon	1.79144995254507e-09	1.49287496045422e-08	20	21	23.5	4.47862488437138e-10	5	1.69070591013403	1.73460828404179	1	8.10756888520958	17	5	30	32
7	M5898	HALLMARK_DNA_REPAIR	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR.html	Genes involved in DNA repair.		99/150	Arthur Liberzon	8.42770626187429e-09	6.01979018705306e-08	5	8.75	5	2.10692657212728e-09	3	1.2783303559283	-1.35453239011449	-1	5.64571328726557	6	22	3	4
8	M5928	HALLMARK_MYC_TARGETS_V2	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V2.html	A subgroup of genes regulated by MYC - version 2 (v2).		45/58	Arthur Liberzon	2.66442868606748e-07	1.48023815892638e-06	5	5.75	5.5	6.66107238071696e-08	3	1.50984021266577	-1.54695944349059	-1	5.38225247483462	4	9	7	3
9	M5947	HALLMARK_IL2_STAT5_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING.html	Genes up-regulated by STAT5 in response to IL2 stimulation.		74/200	Arthur Liberzon	2.50661329063808e-07	1.48023815892638e-06	15	13.5	12.5	6.26653381563686e-08	5	1.4157107139202	1.47666190589144	1	5.04463397925756	11	14	5	24
10	M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_CHOLESTEROL_HOMEOSTASIS.html	Genes involved in cholesterol homeostasis.		45/74	Arthur Liberzon	5.29861383042091e-07	2.64930691521045e-06	20	20.5	20	1.32465372081132e-07	6	1.56682344213282	1.76685072294687	1	5.3429371186396	20	20	6	36
11	M5906	HALLMARK_ESTROGEN_RESPONSE_EARLY	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_EARLY.html	Genes defining early response to estrogen.		63/200	Arthur Liberzon	9.38880545588974e-07	4.26763884358624e-06	10	15	15	2.34720219037602e-07	6	1.68372610838976	1.79723855018662	1	5.52956068312764	24	6	20	10
12	M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB.html	Genes regulated by NF-kB in response to TNF [GeneID=7124].		45/200	Arthur Liberzon	1.04844889410934e-06	4.36853705878893e-06	15	16.75	16	2.62112326581625e-07	8	1.31008031597149	1.27114635656561	1	4.28692410349049	14	27	8	18
13	M5932	HALLMARK_INFLAMMATORY_RESPONSE	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE.html	Genes defining inflammatory response.		48/200	Arthur Liberzon	1.26611831538208e-06	4.86968582839261e-06	15	17.5	14	3.16529729132092e-07	9	1.40272740046209	1.4337010978892	1	4.55172935326902	12	33	9	16
14	M5907	HALLMARK_ESTROGEN_RESPONSE_LATE	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_LATE.html	Genes defining late response to estrogen.		72/200	Arthur Liberzon	2.65940410887879e-06	9.13170265762037e-06	30	16.75	17	6.64851690261059e-07	7	1.64763934968357	1.72769355015058	1	5.07543940952235	26	7	23	11
15	M5944	HALLMARK_ANGIOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ANGIOGENESIS.html	Genes up-regulated during formation of blood vessels (angiogenesis).		19/36	Arthur Liberzon	2.73951079728611e-06	9.13170265762037e-06	40	29.75	36.5	6.84878402908846e-07	8	1.85272044023224	1.73799012579357	1	5.71130487528078	37	8	36	38
16	M5948	HALLMARK_BILE_ACID_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_BILE_ACID_METABOLISM.html	Genes involve in metabolism of bile acids and salts.		43/112	Arthur Liberzon	3.03067139275613e-06	9.4708481023629e-06	45	27.25	28.5	7.57668709281407e-07	10	1.14340548200263	1.14340548200263	1	3.50089269639013	16	42	10	41
17	M5897	HALLMARK_IL6_JAK_STAT3_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_IL6_JAK_STAT3_SIGNALING.html	Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.		24/87	Arthur Liberzon	8.08430816167016e-06	2.26276009211236e-05	30	21.5	23	2.02108316757504e-06	11	1.34331265197898	1.37976352993338	1	3.80615149453617	27	19	11	29
18	M5935	HALLMARK_FATTY_ACID_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_FATTY_ACID_METABOLISM.html	Genes encoding proteins involved in metabolism of fatty acids.		109/158	Arthur Liberzon	8.1459363316045e-06	2.26276009211236e-05	15	14.25	12.5	2.03649030383182e-06	7	1.37652603304141	1.44106320689939	1	3.90107838073788	7	25	12	13
19	M5905	HALLMARK_ADIPOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ADIPOGENESIS.html	Genes up-regulated during adipocyte differentiation (adipogenesis).		134/200	Arthur Liberzon	9.98995502908773e-06	2.62893553397046e-05	5	20.75	19.5	2.4974981135016e-06	5	1.2726237262694	1.3307907503083	1	3.55311093217774	5	39	17	22
20	M5921	HALLMARK_COMPLEMENT	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_COMPLEMENT.html	Genes encoding components of the complement system, which is part of the innate immune system.		99/200	Arthur Liberzon	1.35162099084117e-05	3.37905247710292e-05	10	18	14.5	3.37906960423142e-06	8	1.54515568380605	1.59742449225241	1	4.21747243193405	8	16	13	35
