"","C1_vs_C2","C1_vs_C3","C1_vs_C4","C2_vs_C3","C2_vs_C4","C3_vs_C4"
"GO_CHROMATIN_ORGANIZATION",0.804658976281594,-1.54092129125509,1.38268020187896,-1.85818577052779,-1.25248684875372,1.6817614147536
"GO_CHROMOSOME_ORGANIZATION",0.796089298474781,-1.52628495762435,-1.69506455689148,-1.75315473878311,-1.31970457157371,1.56612274114362
"GO_CHROMOSOME",0.828768322902741,-1.47273394260354,-1.53909114644517,-1.73026597038822,-1.30015428041222,1.56018579775315
"GO_NUCLEAR_CHROMOSOME",0.82973745078796,-1.49602032844218,-1.51721108009234,-1.7687520740678,-1.32491953757918,1.58318527159413
"GO_CHROMATIN_MODIFICATION",0.761668764906294,-1.4991059667544,1.26649978645419,-1.81503166320144,-1.18683811316687,1.64491911457367
"GO_CHROMATIN",0.856709721703133,-1.56159359281791,1.45861971792598,-1.87123345067376,-1.30956147750012,1.6859224682529
"GO_CHROMATIN_BINDING",0.877616784676458,-1.47892482948213,1.31774929079661,-1.82619301485017,-1.25303356919125,1.6394898236647
"GO_EXTRACELLULAR_SPACE",-1.3150155658615,1.77874037967757,-2.3576641421966,1.54332042445096,2.09847150159298,-2.17212204458911
"GO_MRNA_PROCESSING",0.763271946822119,-1.05116259374004,-1.42419419561197,-1.47498773449533,-1.01332265580141,1.2192008227515
"GO_EXTRACELLULAR_MATRIX",-1.52391779927362,-1.92111874178994,-2.70470895377097,1.83352430340963,1.91014770698596,-2.20143993505893
"GO_NUCLEAR_CHROMATIN",0.870394593033057,-1.55248607663413,1.42406115934647,-1.8955405714055,-1.24419364203776,1.7528842043526
"GO_NUCLEOPLASM_PART",0.733559593900042,-1.16801949215592,1.46387527771081,-1.49697393436417,-1.06698182839991,1.41339092386169
"GO_DNA_REPLICATION",0.851867417971277,-1.52528209309521,-1.44155509561561,-1.83249036443497,-1.32897443744779,1.50834899350245
"GO_SEQUENCE_SPECIFIC_DNA_BINDING",0.884676603121701,-1.60365524789148,1.34530106882901,-1.91018136113236,-1.29249717682148,1.71884184418785
"GO_BIOLOGICAL_ADHESION",-1.21411487034399,1.52649269075073,2.14085482154894,1.49811234821224,1.98231539753146,1.77691523089664
"GO_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER",0.789371833599323,-1.2413160858264,-1.68281885653312,-1.62816797646194,-1.1578822035153,1.4577176297705
"GO_PROTEINACEOUS_EXTRACELLULAR_MATRIX",-1.56004314194814,-2.13980035860677,-2.76148850445103,1.77954380503525,1.73113367826235,-2.3785093831979
"GO_SYSTEM_PROCESS",-1.17825763077396,1.6675089883252,2.28998594757626,1.53656001285086,1.94591502214964,1.79718812189197
"GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION",-1.42628025964893,1.69793151484351,-2.3020391972866,1.65611309891782,1.86040938528986,-1.97246991111148
"GO_NEURON_PROJECTION",-1.24695520710928,-1.45731800981875,2.26766458067441,1.52855236866225,1.97724170537561,1.91037757521313
