"","C1_vs_C2","C1_vs_C3","C1_vs_C4","C2_vs_C3","C2_vs_C4","C3_vs_C4"
"HALLMARK_E2F_TARGETS",0.808548442372422,-1.57258504071891,-1.52897265720334,-1.84891066445589,-1.45947499423327,1.46391538919956
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-1.58025035894446,-2.0067292301844,-2.42421880725814,1.71050443874765,-2.23711609045655,-2.09704592530996
"HALLMARK_MYOGENESIS",-1.39883480234391,1.62341032592795,2.97667489055,1.68138586083505,2.32241204016995,1.86824416039024
"HALLMARK_G2M_CHECKPOINT",0.825526024032492,-1.58470661152692,-1.45585453449752,-1.89909143238654,-1.49922783693886,1.58159422549582
"HALLMARK_ESTROGEN_RESPONSE_EARLY",-1.38964968939267,1.87882993982601,2.33331582116954,1.79723855018662,2.15945147059036,-3.04423519423293
"HALLMARK_HYPOXIA",-1.18409493633996,1.37789627315073,-2.16091555332193,1.54091582261507,-1.90600734624349,-1.86473731108707
"HALLMARK_IL2_STAT5_SIGNALING",-1.12493545955725,1.64875134132141,-1.84886810878974,1.47666190589144,1.94466363282612,-1.92468753027171
"HALLMARK_ESTROGEN_RESPONSE_LATE",-1.23638928236236,1.76722181972783,2.26728097748302,1.72769355015058,1.8122469409633,-2.16446657708322
"HALLMARK_COAGULATION",-1.30101387784027,1.82199056504142,-1.89100258685919,1.73460828404179,2.00844128474574,-2.13901794130885
"HALLMARK_COMPLEMENT",-1.23537559704229,1.5466531000817,1.91992091787098,1.59742449225241,1.69318278389358,-1.78321532631698
"HALLMARK_APICAL_JUNCTION",-1.24868450949987,1.2109682659232,1.74833285351503,1.29239186128307,1.71112401751036,1.69864462218903
"HALLMARK_ANGIOGENESIS",-1.81243714411023,-2.86835412872587,-2.94877465979229,1.73799012579357,1.570061676543,-2.47093735808777
"HALLMARK_UV_RESPONSE_DN",-1.18323551311744,1.56458149748828,2.14869197828248,1.58037699457716,2.2611915727096,1.96094400861213
"HALLMARK_GLYCOLYSIS",-1.15369519341959,-1.46057494147709,-1.98373075649529,1.53571092538285,-1.6660752490539,-1.8761256549923
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",-1.19319524504839,-1.62169717283903,-1.97956133283224,1.27114635656561,2.02647748487284,-1.94352227861557
"HALLMARK_MYC_TARGETS_V1",0.81636931372099,-1.25907175020217,-1.40963019586083,-1.34140101022092,-1.12908929018366,1.19007223643506
"HALLMARK_P53_PATHWAY",-1.05224032415667,1.7770674459417,2.36760714292239,1.5943421623285,1.95760410484214,-2.51113336701854
"HALLMARK_APOPTOSIS",-1.04046596553435,1.52083812232142,2.32706727757085,1.58240391342762,2.00352121255177,-1.99322064467859
"HALLMARK_INFLAMMATORY_RESPONSE",-1.34603315446734,1.11850514572945,-1.88272415991948,1.4337010978892,1.98980350762331,-1.767820428383
"HALLMARK_XENOBIOTIC_METABOLISM",-1.08872745791864,1.40513743817816,2.38509194337871,1.28916032783464,1.85409314551122,-1.66551324458574
