"","C1_vs_C2","C1_vs_C3","C1_vs_C4","C2_vs_C3","C2_vs_C4","C3_vs_C4"
"Spliceosome",0.747986011543304,-0.995226639761913,-1.03580513221425,-1.52085377858137,-0.892712773565403,1.16318522825661
"DNA replication",0.793995181480309,-1.71019578700293,-1.38066660178636,-2.04124443034585,-1.47703151913153,1.32046747185818
"Glutamatergic synapse",-1.3701380426399,2.28332092240667,2.29238077468995,1.99552152953619,2.5089831583829,2.08128021301283
"ECM-receptor interaction",-1.63319697759418,1.66706448700778,-2.3989817523378,1.7789811223781,2.11278996479742,-2.22326484816204
"Serotonergic synapse",-1.12268909141924,2.25277332242159,2.43534420870421,1.92209634191981,2.68701421253152,2.08275696762996
"Cholinergic synapse",-1.27402039099212,1.91473854340468,2.06021699421777,1.77066698448127,2.38465999209794,1.91265779644879
"Circadian entrainment",-1.2555881743475,2.00935528122364,2.12728241578389,1.7737557356053,2.51878637128482,2.12313376502207
"GABAergic synapse",-1.58800825605545,2.31239965437111,2.41653196562195,2.11081455831552,2.83370822475315,2.0494142941084
"Gap junction",-1.33145441704805,-1.58577120319891,1.89164339194798,1.71962859620958,2.16377034009392,1.94889151412726
"Salivary secretion",-1.32652787901087,2.70551313983748,2.72008701953066,2.13795684930012,2.53784169749147,2.08414676504091
"Gastric acid secretion",-1.46188074701971,2.41883097700721,2.60625246119636,2.13698997112654,2.44615353002255,1.7353255681567
"Arginine and proline metabolism",-1.18422172030589,2.2178353341907,2.37121950791355,1.86984900972664,2.30148983822469,1.08811394115655
"Retrograde endocannabinoid signaling",-1.13671218403255,2.00935528122364,2.22714458668125,1.72012994643928,2.34819013729142,2.34318713928847
"Dopaminergic synapse",-1.00826660594604,-1.3316416115268,2.2245095240675,1.71961796816926,2.24304614544355,2.00314206401626
"Focal adhesion",-1.20519223799625,1.3800035951398,1.68968064377723,1.40390501360112,1.56563634697298,1.70084301461871
"Amoebiasis",-1.16636442557858,1.47187979348871,1.68020266422792,1.34379309204846,1.79255197793283,1.66159784325263
"Aldosterone-regulated sodium reabsorption",-1.35831346305691,2.40946561130012,2.90253053606364,2.31237434279305,2.37555846227989,2.13465419542722
"Long-term depression",-1.06695496403201,1.82800369408139,2.1476712079628,1.53022407781486,2.23198998791402,2.06564892855952
"PI3K-Akt signaling pathway",-1.11387723773202,-1.2653068477551,1.75465259102272,1.40042875073079,1.69632630749636,1.61675854697563
"Protein digestion and absorption",-1.46621541825225,2.47989783594514,3.26886054431435,2.51031864922476,2.41962858589651,0.863758145781017
