ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0019882,antigen processing and presentation,16/297,120/18860,0.13333333333333333,8.4668911335578,10.379086268900876,6.811633061375784e-11,1.5275457966048133e-7,1.233496562131889e-7,HLA-DRA/HLA-A/PSMB8/RFTN1/TAPBP/HLA-B/HLA-DRB1/CD74/HLA-DPB1/ICAM1/HLA-C/TAP1/TAP2/RAB8B/ARL8B/SAR1B,16
GO:0006909,phagocytosis,22/297,251/18860,0.08764940239043825,5.565884609709311,9.21114771747763,8.439479539253112e-11,1.5275457966048133e-7,1.233496562131889e-7,ITGAV/RAB5A/RAP1A/LRP1/RAB31/ANO6/PLPP4/ELMO2/P2RX7/ITGB2/CD14/C4A/C4B/ITGAM/CORO1A/PIK3CA/RAP1GAP/DOCK1/APPL2/SNX3/ARAP1/ARL8B,22
GO:0016197,endosomal transport,23/297,300/18860,0.07666666666666666,4.8684624017957345,8.54325745518266,4.501691664280657e-10,3.739439009868912e-7,3.0196051556865276e-7,RAB5A/RAB13/SNX1/SNX17/SORL1/SNX27/ANKFY1/VPS26C/CORO1A/WASHC5/EEA1/WASHC4/WDR81/STX12/RAB8B/EHD4/RAB21/SNX12/SNX3/CCDC22/VPS26B/ARL8B/SNX5,23
GO:0110053,regulation of actin filament organization,22/297,274/18860,0.08029197080291971,5.098675317653419,8.644488562251322,4.553947863096216e-10,3.739439009868912e-7,3.0196051556865276e-7,BIN1/HIP1R/PIK3R1/LMOD1/CDC42EP1/COTL1/PREX1/ASAP3/SCIN/SORBS3/RHOC/CORO1A/CAPG/PIK3CA/WASHC5/WASHC4/KANK2/FERMT2/CYRIB/CYFIP1/ARAP1/WASF2,22
GO:0032956,regulation of actin cytoskeleton organization,25/297,357/18860,0.0700280112044818,4.446896603759349,8.316771361259748,5.164971008106232e-10,3.739439009868912e-7,3.0196051556865276e-7,BIN1/HIP1R/PIK3R1/LMOD1/RHOG/CDC42EP1/LRP1/COTL1/PREX1/ASAP3/ARHGEF26/SCIN/SORBS3/RHOC/CORO1A/CAPG/PIK3CA/WASHC5/WASHC4/KANK2/FERMT2/CYRIB/CYFIP1/ARAP1/WASF2,25
GO:0019883,antigen processing and presentation of endogenous antigen,9/297,32/18860,0.28125,17.859848484848484,12.073690374541819,1.0773889592904038e-9,6.344639367103785e-7,5.123310125747953e-7,HLA-DRA/HLA-A/TAPBP/HLA-B/HLA-DRB1/CD74/HLA-C/TAP1/TAP2,9
GO:0032970,regulation of actin filament-based process,26/297,402/18860,0.06467661691542288,4.107074057322814,7.965000054568785,1.2593654118901817e-9,6.344639367103785e-7,5.123310125747953e-7,BIN1/HIP1R/PIK3R1/LMOD1/RHOG/CDC42EP1/LRP1/CAMK2D/COTL1/PREX1/ASAP3/ARHGEF26/SCIN/SORBS3/RHOC/CORO1A/CAPG/PIK3CA/WASHC5/WASHC4/KANK2/FERMT2/CYRIB/CYFIP1/ARAP1/WASF2,26
GO:0030100,regulation of endocytosis,23/297,318/18860,0.07232704402515723,4.592889058297863,8.173207999790195,1.4021302468737646e-9,6.344639367103785e-7,5.123310125747953e-7,BIN1/HIP1R/ITGAV/RAP1A/LRP1/RAB31/SNX17/ANO6/ANKFY1/HIP1/APOE/CD14/C4A/C4B/RAP1GAP/APPL2/EHD4/NCDN/RAB21/SNX12/SNX3/CD151/ARAP1,23
GO:0002483,antigen processing and presentation of endogenous peptide antigen,8/297,25/18860,0.32,20.32053872053872,12.2269995566902,2.9507579320805097e-9,1.1868604126812718e-6,9.583923716242779e-7,HLA-DRA/HLA-A/TAPBP/HLA-B/HLA-DRB1/HLA-C/TAP1/TAP2,8
GO:0007015,actin filament organization,27/297,469/18860,0.057569296375266525,3.6557472378367897,7.36688618392908,7.3574587595324864e-09,2.2022647652707143e-6,1.7783336008016207e-6,BIN1/HIP1R/PIK3R1/LMOD1/RHOG/CDC42EP1/COTL1/PREX1/ASAP3/SH3KBP1/ELMO2/SCIN/HIP1/SORBS3/RHOC/CORO1A/CAPG/PIK3CA/WASHC5/WASHC4/KANK2/RUFY3/FERMT2/CYRIB/CYFIP1/ARAP1/WASF2,27
