ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009063,amino acid catabolic process,15/303,111/18860,0.13513513513513514,8.411381678708413,10.006872700316334,2.9510691108982097e-10,6.711337745656662e-7,5.604281112761019e-7,QDPR/FAH/ASRGL1/GSTZ1/DDAH1/GLUD1/GCSH/ATP2B4/IVD/ALDH5A1/RIDA/ABAT/ALDH6A1/KYAT1/SDSL,15
GO:0044282,small molecule catabolic process,26/303,373/18860,0.06970509383378017,4.338739503977207,8.322053274804995,3.913316469770648e-10,6.711337745656662e-7,5.604281112761019e-7,PFKM/QDPR/FAH/BDH2/CRYL1/NUDT3/ASRGL1/GSTZ1/ALDH1L1/DDAH1/GLUD1/ALDH2/LDHB/GCSH/ATP2B4/IVD/MPI/PGM1/ALDH5A1/RIDA/OXCT1/ABAT/ALDH6A1/KYAT1/SDSL/PARK7,26
GO:0170033,L-amino acid metabolic process,17/303,177/18860,0.096045197740113,5.978258842833436,8.502909579074307,4.1820497347059276e-9,3.0113164683311783e-6,2.5145901827003643e-6,QDPR/FAH/ENOPH1/ASRGL1/GSTZ1/DDAH1/GLUD1/ATP2B4/IVD/ALDH5A1/RIDA/ALDH6A1/KYAT1/PYCR3/SDSL/PARK7/PSAT1,17
GO:0042552,myelination,16/303,157/18860,0.10191082802547771,6.343360450694751,8.590835865320264,5.112803790843883e-9,3.0113164683311783e-6,2.5145901827003643e-6,S100B/MAPK3/MAPK1/JAM2/ANK2/SIRT2/PLP1/TSC1/CD9/CTNNB1/KCNJ10/GPM6B/PLEC/SBF2/PALS1/NDRG1,16
GO:1901606,alpha-amino acid catabolic process,13/303,98/18860,0.1326530612244898,8.256886913181114,9.203448533056887,5.818755347512293e-9,3.0113164683311783e-6,2.5145901827003643e-6,QDPR/FAH/ASRGL1/GSTZ1/DDAH1/GLUD1/GCSH/ATP2B4/IVD/RIDA/ALDH6A1/KYAT1/SDSL,13
GO:0007272,ensheathment of neurons,16/303,159/18860,0.10062893081761007,6.263569753201736,8.516738059297248,6.145543812920772e-9,3.0113164683311783e-6,2.5145901827003643e-6,S100B/MAPK3/MAPK1/JAM2/ANK2/SIRT2/PLP1/TSC1/CD9/CTNNB1/KCNJ10/GPM6B/PLEC/SBF2/PALS1/NDRG1,16
GO:0008366,axon ensheathment,16/303,159/18860,0.10062893081761007,6.263569753201736,8.516738059297248,6.145543812920772e-9,3.0113164683311783e-6,2.5145901827003643e-6,S100B/MAPK3/MAPK1/JAM2/ANK2/SIRT2/PLP1/TSC1/CD9/CTNNB1/KCNJ10/GPM6B/PLEC/SBF2/PALS1/NDRG1,16
GO:1901605,alpha-amino acid metabolic process,18/303,207/18860,0.08695652173913043,5.412541254125412,8.156923081673561,7.102266429366124e-9,3.0450967315907254e-6,2.5427982834612135e-6,QDPR/FAH/ENOPH1/ASRGL1/GSTZ1/DDAH1/GLUD1/GCSH/ATP2B4/IVD/ALDH5A1/RIDA/ALDH6A1/KYAT1/PYCR3/SDSL/PARK7/PSAT1,18
GO:0032970,regulation of actin filament-based process,25/303,402/18860,0.06218905472636816,3.8709094790076026,7.434760203076692,8.79951754525097e-9,3.3535939089123137e-6,2.8004078644009228e-6,RND2/GMFB/ANK2/CYFIP2/CYRIA/TMOD2/TSC1/TMOD1/SRI/RDX/ADD1/ATP1A2/SPTBN1/TJP1/CD47/GPM6B/SPTAN1/ARPC5L/CDC42EP4/ARHGEF10L/ADD3/LIMCH1/CORO2B/CFL2/NCKAP1,25
GO:0170040,proteinogenic amino acid catabolic process,12/303,85/18860,0.1411764705882353,8.787419918462435,9.19474828046898,1.0996623646429441e-8,3.516340225173406e-6,2.936308655116415e-6,QDPR/FAH/ASRGL1/GSTZ1/DDAH1/GLUD1/GCSH/ATP2B4/IVD/RIDA/ALDH6A1/SDSL,12
GO:0007015,actin filament organization,27/303,469/18860,0.057569296375266525,3.58335620342418,7.2392704620385535,1.127689285041034e-8,3.516340225173406e-6,2.936308655116415e-6,RND2/GMFB/RHOB/ABI1/CYFIP2/CYRIA/TMOD2/TSC1/TMOD1/MARCKS/RDX/ADD1/SPTBN1/TJP1/CD47/SPTAN1/PLEC/ARPC1A/ARPC5L/SORBS1/CDC42EP4/ARHGEF10L/ADD3/LIMCH1/CORO2B/CFL2/NCKAP1,27
GO:0170035,L-amino acid catabolic process,12/303,87/18860,0.13793103448275862,8.585410265164446,9.061469268789386,1.4406426508519484e-8,4.1178369103518186e-6,3.4385865376913616e-6,QDPR/FAH/ASRGL1/GSTZ1/DDAH1/GLUD1/ATP2B4/IVD/RIDA/ALDH6A1/KYAT1/SDSL,12
GO:0110053,regulation of actin filament organization,20/303,274/18860,0.072992700729927,4.54337404543374,7.549637084807257,2.0518109171572562e-8,4.854164365866895e-6,4.053454423668505e-6,GMFB/CYFIP2/CYRIA/TMOD2/TSC1/TMOD1/RDX/ADD1/SPTBN1/TJP1/CD47/SPTAN1/ARPC5L/CDC42EP4/ARHGEF10L/ADD3/LIMCH1/CORO2B/CFL2/NCKAP1,20
GO:0016054,organic acid catabolic process,19/303,248/18860,0.07661290322580645,4.768710742041947,7.633942503598113,2.1480990795502155e-8,4.854164365866895e-6,4.053454423668505e-6,QDPR/FAH/BDH2/CRYL1/ASRGL1/GSTZ1/ALDH1L1/DDAH1/GLUD1/LDHB/GCSH/ATP2B4/IVD/ALDH5A1/RIDA/ABAT/ALDH6A1/KYAT1/SDSL,19
GO:0046395,carboxylic acid catabolic process,19/303,248/18860,0.07661290322580645,4.768710742041947,7.633942503598113,2.1480990795502155e-8,4.854164365866895e-6,4.053454423668505e-6,QDPR/FAH/BDH2/CRYL1/ASRGL1/GSTZ1/ALDH1L1/DDAH1/GLUD1/LDHB/GCSH/ATP2B4/IVD/ALDH5A1/RIDA/ABAT/ALDH6A1/KYAT1/SDSL,19
GO:0032535,regulation of cellular component size,23/303,361/18860,0.06371191135734072,3.9656985089090626,7.269980303271946,2.2643332318912632e-8,4.854164365866895e-6,4.053454423668505e-6,MSN/RND2/LRRC8A/CYFIP2/CYRIA/GPRC5B/TMOD2/TSC1/NHERF1/TMOD1/RDX/ADD1/AQP4/SPTBN1/SPTAN1/SPART/NRCAM/AP2M1/ARPC5L/CDC42EP4/ADD3/CFL2/NCKAP1,23
GO:0170039,proteinogenic amino acid metabolic process,16/303,175/18860,0.09142857142857143,5.690900518623291,7.966277977172637,2.435372591972891e-8,4.913722347333539e-6,4.103188125546896e-6,QDPR/FAH/ENOPH1/ASRGL1/GSTZ1/DDAH1/GLUD1/GCSH/ATP2B4/IVD/ALDH5A1/RIDA/ALDH6A1/PYCR3/SDSL/PSAT1,16
GO:0072657,protein localization to membrane,26/303,458/18860,0.056768558951965066,3.5335149235447565,7.013752770736677,2.8305189523740928e-8,5.393711114801743e-6,4.504001210181232e-6,ANK2/CAMK2G/NHERF2/LZTFL1/EHD3/CAMK2B/RAB6B/NHERF1/PALM/PRNP/RAB6A/ATP2B4/RDX/DPP6/RAB7A/CD81/SPTBN1/STX4/VAMP3/LYPLAL1/RRAGA/PALS1/AP2M1/SORBS1/RRAGC/FARP1,26
GO:0021762,substantia nigra development,9/303,46/18860,0.1956521739130435,12.178217821782178,9.699239308457678,4.141730289146648e-8,7.18885067000439e-6,6.003026752518628e-6,CNP/SIRT2/PADI2/PLP1/GLUD1/CKB/MAOB/GNB4/NDRG2,9
GO:0006520,amino acid metabolic process,20/303,286/18860,0.06993006993006994,4.352742966604353,7.300579199384506,4.19174966181014e-8,7.18885067000439e-6,6.003026752518628e-6,QDPR/FAH/ENOPH1/ASRGL1/GSTZ1/DDAH1/GLUD1/GCSH/ATP2B4/IVD/SLC1A3/ALDH5A1/RIDA/ABAT/ALDH6A1/KYAT1/PYCR3/SDSL/PARK7/PSAT1,20
GO:0072659,protein localization to plasma membrane,20/303,295/18860,0.06779661016949153,4.219947418470661,7.122608466305607,6.986358578391417e-8,1.1411052344705982e-5,9.528762752783483e-6,ANK2/CAMK2G/NHERF2/EHD3/CAMK2B/NHERF1/PALM/PRNP/ATP2B4/RDX/DPP6/RAB7A/CD81/SPTBN1/STX4/VAMP3/LYPLAL1/PALS1/AP2M1/SORBS1,20
GO:0032956,regulation of actin cytoskeleton organization,22/303,357/18860,0.06162464985994398,3.8357785358367775,6.912133305986416,8.30858363007827e-8,1.2953837205076576e-5,1.0817060314566016e-5,RND2/GMFB/CYFIP2/CYRIA/TMOD2/TSC1/TMOD1/RDX/ADD1/SPTBN1/TJP1/CD47/GPM6B/SPTAN1/ARPC5L/CDC42EP4/ARHGEF10L/ADD3/LIMCH1/CORO2B/CFL2/NCKAP1,22
GO:1902903,regulation of supramolecular fiber organization,23/303,395/18860,0.05822784810126582,3.624347244851067,6.735532737854009,1.1694570195323998e-7,1.7440163378244048e-5,1.4563352632254739e-5,GMFB/CYFIP2/CYRIA/TMOD2/TSC1/TMOD1/RDX/ADD1/PPP2CB/MAP1A/SPTBN1/TJP1/CD47/SPTAN1/PARK7/ARPC5L/CDC42EP4/ARHGEF10L/ADD3/LIMCH1/CORO2B/CFL2/NCKAP1,23
