ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0016072,rRNA metabolic process,105/802,270/18860,0.3888888888888889,9.145192574120255,28.40895336752209,2.481325706876136e-73,9.860788359125765e-70,8.731654566407288e-70,FBLL1/RPP40/SMARCA4/SMARCB1/TCOF1/FRG1/METTL16/DDX51/GTF3C2/DDX17/NSUN5/TRIR/RIOK2/TFB2M/NHP2/MACROH2A2/GTF3C4/GTF3C3/SPIN1/PES1/MPHOSPH10/NOP56/POLR1G/BUD23/RRP9/DKC1/UTP20/TOP1/FBL/MTREX/RBM34/NOP2/SNU13/RRP1/GEMIN4/RPP30/EXOSC10/EXOSC9/TBL3/DDX10/KRR1/EXOSC2/BYSL/BOP1/RRP1B/PDCD11/BMS1/NOLC1/WDR43/PWP2/TSR1/EXOSC6/NOL9/RPL7L1/DHX37/FTSJ3/PELP1/KRI1/WDR36/DDX54/BRIX1/EMG1/UTP4/EXOSC8/DDX27/EBNA1BP2/NOL10/WDR18/NOC4L/UTP14A/NIFK/GTPBP4/NAT10/DDX47/ESF1/HEATR1/NOL11/POLR1B/EXOSC4/NOP10/EXOSC3/UTP3/DDX21/DCAF13/IMP3/DDX18/LYAR/GAR1/DDX56/UTP6/MRTO4/DIMT1/WDR3/DIS3/DDX52/NOP58/LAS1L/YTHDF2/UTP18/SART1/MACROH2A1/GTF3C1/WDR75/WBP11/GTF3C5,105
GO:0022613,ribonucleoprotein complex biogenesis,131/802,496/18860,0.26411290322580644,6.210934357654251,24.784746919873907,6.89310893872143e-68,1.3696607461239483e-64,1.2128243780076707e-64,FBLL1/RPP40/LUC7L3/SLU7/XRCC5/RBM10/SRSF1/NCBP1/FRG1/SART3/METTL16/RIOX2/DDX51/DDX17/CLP1/TMA16/NSUN5/PRPF18/RIOK2/TFB2M/LUC7L/MDN1/NHP2/PTBP2/LUC7L2/PES1/MPHOSPH10/NOP56/BUD23/RRP9/DKC1/UTP20/NPM1/FBL/COIL/MTREX/RBM34/NOP2/SNU13/RRP1/GEMIN4/RPP30/EXOSC10/EXOSC9/TBL3/DDX10/KRR1/EXOSC2/BYSL/BOP1/RRP1B/PDCD11/BMS1/NOLC1/WDR43/PWP2/TSR1/DNTTIP2/EXOSC6/NOL9/RPL7L1/DHX37/FTSJ3/PELP1/KRI1/WDR36/DDX54/BRIX1/EMG1/ZNF622/UTP4/EXOSC8/DDX27/SRPK1/EBNA1BP2/MYBBP1A/NOL10/WDR18/NOC4L/UTP14A/GTPBP4/CRNKL1/NAT10/DDX47/ESF1/HEATR1/NOL11/DDX31/XAB2/EXOSC4/NOP10/EXOSC3/UTP3/DDX21/PNO1/DCAF13/IMP3/DDX18/NLE1/LYAR/GAR1/DDX56/UTP6/MRTO4/ISY1/DIMT1/WDR3/DIS3/DDX52/NOP58/NOP16/NOC2L/LAS1L/YTHDF2/UTP18/SART1/PRPF3/HTATSF1/PSIP1/SNRNP200/SURF6/PRPF6/U2AF2/SNRPE/USP39/DDX42/WDR75/YTHDC1/DDX23/METTL17/WBP11,131
GO:0008380,RNA splicing,128/802,490/18860,0.2612244897959184,6.143009822382819,24.309302933412493,1.1521038170751205e-65,1.526153523018843e-62,1.3513975650814485e-62,AQR/BCAS2/SMNDC1/LUC7L3/SLU7/LSM8/HNRNPA1/SFPQ/ELAVL4/HNRNPH3/FUS/NCBP2/PCBP4/RBM6/RBM10/SRSF1/NCBP1/PPIL2/TRA2A/FRG1/DHX8/WTAP/SART3/NONO/KHDRBS2/ALYREF/METTL16/RBM15B/SREK1/DDX17/CLP1/PRPF18/SRSF8/RBM4/UPF3B/LUC7L/DNAJC17/RBM22/DBR1/PTBP2/USP22/LUC7L2/TRRAP/DDX39A/MPHOSPH10/TCERG1/DHX16/SYNCRIP/PRPF40A/NPM1/TIA1/HNRNPH1/COIL/MTREX/SNU13/GEMIN4/EXOSC10/THOC5/RRP1B/CWF19L1/THOC7/JMJD6/SUPT6H/ZBTB8OS/DAZAP1/THOC1/PUS7/SRPK1/PRMT1/RBM42/CRNKL1/DDX47/XAB2/RBM28/PPP4R2/LSM7/CCNL1/ISY1/RBM19/RBM8A/PUS1/IVNS1ABP/SART1/HNRNPR/PRPF3/PPIH/HTATSF1/PQBP1/PSIP1/SNRNP200/PRPF6/ZRANB2/HNRNPL/DDX5/HNRNPA2B1/POLR2A/U2AF2/RBMX/HNRNPA3/HNRNPM/SNRPE/SRSF3/SRSF2/KHDRBS1/SRSF4/ILF3/PPP1R8/IK/SNW1/ZNF638/SRSF7/USP39/DDX42/SUGP2/DHX40/DHX38/SGF29/YTHDC1/RBM14/CDC5L/RBM4B/DDX23/PNN/RBM12/ARGLU1/ACIN1/AKAP8L/WBP11,128
GO:0042254,ribosome biogenesis,105/802,318/18860,0.330188679245283,7.764786147837952,25.638997125861447,6.746304870977473e-65,6.702453889316119e-62,5.934972943073077e-62,FBLL1/RPP40/XRCC5/RBM10/FRG1/METTL16/RIOX2/DDX51/DDX17/TMA16/NSUN5/RIOK2/TFB2M/MDN1/NHP2/PES1/MPHOSPH10/NOP56/BUD23/RRP9/DKC1/UTP20/NPM1/FBL/MTREX/RBM34/NOP2/SNU13/RRP1/GEMIN4/RPP30/EXOSC10/EXOSC9/TBL3/DDX10/KRR1/EXOSC2/BYSL/BOP1/RRP1B/PDCD11/BMS1/NOLC1/WDR43/PWP2/TSR1/DNTTIP2/EXOSC6/NOL9/RPL7L1/DHX37/FTSJ3/PELP1/KRI1/WDR36/DDX54/BRIX1/EMG1/ZNF622/UTP4/EXOSC8/DDX27/EBNA1BP2/MYBBP1A/NOL10/WDR18/NOC4L/UTP14A/GTPBP4/NAT10/DDX47/ESF1/HEATR1/NOL11/DDX31/EXOSC4/NOP10/EXOSC3/UTP3/DDX21/PNO1/DCAF13/IMP3/DDX18/NLE1/LYAR/GAR1/DDX56/UTP6/MRTO4/DIMT1/WDR3/DIS3/DDX52/NOP58/NOP16/NOC2L/LAS1L/YTHDF2/UTP18/SART1/SURF6/WDR75/METTL17/WBP11,105
GO:0006364,rRNA processing,89/802,223/18860,0.3991031390134529,9.38539301969292,26.54602759926456,3.024778458562878e-63,2.4040939188657754e-60,2.1288072393633058e-60,FBLL1/RPP40/FRG1/METTL16/DDX51/DDX17/NSUN5/RIOK2/TFB2M/NHP2/PES1/MPHOSPH10/NOP56/BUD23/RRP9/DKC1/UTP20/FBL/MTREX/RBM34/NOP2/SNU13/RRP1/GEMIN4/RPP30/EXOSC10/EXOSC9/TBL3/DDX10/KRR1/EXOSC2/BYSL/BOP1/RRP1B/PDCD11/BMS1/NOLC1/WDR43/PWP2/TSR1/EXOSC6/NOL9/RPL7L1/DHX37/FTSJ3/PELP1/KRI1/WDR36/DDX54/BRIX1/EMG1/UTP4/EXOSC8/DDX27/EBNA1BP2/NOL10/WDR18/NOC4L/UTP14A/GTPBP4/NAT10/DDX47/ESF1/HEATR1/NOL11/EXOSC4/NOP10/EXOSC3/UTP3/DDX21/DCAF13/IMP3/DDX18/LYAR/GAR1/DDX56/UTP6/MRTO4/DIMT1/WDR3/DIS3/DDX52/NOP58/LAS1L/YTHDF2/UTP18/SART1/WDR75/WBP11,89
GO:0000375,"RNA splicing, via transesterification reactions",95/802,348/18860,0.27298850574712646,6.419654885774071,21.50533803767389,2.401229424014075e-50,1.5904142885053225e-47,1.4082999937682552e-47,AQR/BCAS2/SMNDC1/LUC7L3/SLU7/LSM8/HNRNPA1/SFPQ/HNRNPH3/NCBP2/PCBP4/RBM6/RBM10/SRSF1/NCBP1/TRA2A/FRG1/DHX8/WTAP/SART3/KHDRBS2/METTL16/RBM15B/DDX17/PRPF18/SRSF8/RBM4/UPF3B/LUC7L/DNAJC17/RBM22/DBR1/PTBP2/LUC7L2/DDX39A/MPHOSPH10/DHX16/SYNCRIP/PRPF40A/NPM1/TIA1/HNRNPH1/COIL/MTREX/SNU13/GEMIN4/EXOSC10/CWF19L1/JMJD6/DAZAP1/SRPK1/RBM42/CRNKL1/XAB2/LSM7/ISY1/RBM19/RBM8A/SART1/HNRNPR/PRPF3/PPIH/HTATSF1/PQBP1/PSIP1/SNRNP200/PRPF6/HNRNPL/DDX5/HNRNPA2B1/U2AF2/RBMX/HNRNPA3/HNRNPM/SNRPE/SRSF3/SRSF2/KHDRBS1/SRSF4/ILF3/IK/SNW1/SRSF7/USP39/DDX42/DHX40/DHX38/YTHDC1/RBM14/CDC5L/RBM4B/DDX23/PNN/ARGLU1/ACIN1,95
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",93/802,344/18860,0.2703488372093023,6.357579887490576,21.134208169655377,7.014866257643886e-49,3.4846348134846003e-46,3.085618144645199e-46,AQR/BCAS2/LUC7L3/SLU7/LSM8/HNRNPA1/SFPQ/HNRNPH3/NCBP2/PCBP4/RBM6/RBM10/SRSF1/NCBP1/TRA2A/FRG1/DHX8/WTAP/SART3/KHDRBS2/METTL16/RBM15B/DDX17/PRPF18/SRSF8/RBM4/UPF3B/LUC7L/DNAJC17/RBM22/DBR1/PTBP2/LUC7L2/DDX39A/DHX16/SYNCRIP/PRPF40A/NPM1/TIA1/HNRNPH1/COIL/MTREX/SNU13/GEMIN4/EXOSC10/CWF19L1/JMJD6/DAZAP1/SRPK1/RBM42/CRNKL1/XAB2/LSM7/ISY1/RBM19/RBM8A/SART1/HNRNPR/PRPF3/PPIH/HTATSF1/PQBP1/PSIP1/SNRNP200/PRPF6/HNRNPL/DDX5/HNRNPA2B1/U2AF2/RBMX/HNRNPA3/HNRNPM/SNRPE/SRSF3/SRSF2/KHDRBS1/SRSF4/ILF3/IK/SNW1/SRSF7/USP39/DDX42/DHX40/DHX38/YTHDC1/RBM14/CDC5L/RBM4B/DDX23/PNN/ARGLU1/ACIN1,93
GO:0000398,"mRNA splicing, via spliceosome",93/802,344/18860,0.2703488372093023,6.357579887490576,21.134208169655377,7.014866257643886e-49,3.4846348134846003e-46,3.085618144645199e-46,AQR/BCAS2/LUC7L3/SLU7/LSM8/HNRNPA1/SFPQ/HNRNPH3/NCBP2/PCBP4/RBM6/RBM10/SRSF1/NCBP1/TRA2A/FRG1/DHX8/WTAP/SART3/KHDRBS2/METTL16/RBM15B/DDX17/PRPF18/SRSF8/RBM4/UPF3B/LUC7L/DNAJC17/RBM22/DBR1/PTBP2/LUC7L2/DDX39A/DHX16/SYNCRIP/PRPF40A/NPM1/TIA1/HNRNPH1/COIL/MTREX/SNU13/GEMIN4/EXOSC10/CWF19L1/JMJD6/DAZAP1/SRPK1/RBM42/CRNKL1/XAB2/LSM7/ISY1/RBM19/RBM8A/SART1/HNRNPR/PRPF3/PPIH/HTATSF1/PQBP1/PSIP1/SNRNP200/PRPF6/HNRNPL/DDX5/HNRNPA2B1/U2AF2/RBMX/HNRNPA3/HNRNPM/SNRPE/SRSF3/SRSF2/KHDRBS1/SRSF4/ILF3/IK/SNW1/SRSF7/USP39/DDX42/DHX40/DHX38/YTHDC1/RBM14/CDC5L/RBM4B/DDX23/PNN/ARGLU1/ACIN1,93
GO:0051052,regulation of DNA metabolic process,104/802,497/18860,0.20925553319919518,4.920896952789054,18.66824516980203,2.282216715227507e-43,1.007725469590457e-40,8.923333893573749e-41,SMARCA5/KDM1A/ACTL6B/KAT7/YEATS4/WIZ/NSD2/HMGB1/HNRNPA1/PARP1/H1-4/XRCC5/H1-5/H1-3/H1-2/XRCC1/MCM4/MCM5/MCM7/FUS/DEK/MLH1/ATRX/MCM2/YLPM1/TAF6/LIG3/SMARCA4/PMS2/TOP2B/SMARCB1/TRIM28/HNRNPD/MCM6/MDC1/TAF5/TERF2/SETMAR/INO80C/PAXIP1/WAPL/PBRM1/ARID1B/H1-10/SMARCC1/SMARCE1/SIRT1/MCRS1/SMARCD1/EHMT2/EP400/PPP1R10/BRD8/SENP3/CBX8/DMAP1/BAZ1A/UBQLN4/MRGBP/NSMCE4A/TERF2IP/DACH1/USP22/SMC3/TRRAP/ORC5/DKC1/PARN/PCNA/SRC/CDK2/MCM3/RFC4/RFC2/RFC5/RFC3/MSH2/KPNA2/MSH6/EXOSC10/PDS5A/EXOSC6/RIF1/PPP4R3A/SUPT6H/CREBBP/SMC6/PRMT1/GNL3/GTPBP4/NAT10/SMARCAD1/RIOX1/EXOSC3/PPP4R2/ORC3/ARID1A/TFRC/HNRNPA2B1/TP53BP1/ARID2/SMARCC2/DPF2/SGF29,104
GO:0033044,regulation of chromosome organization,62/802,244/18860,0.2540983606557377,5.975430276767099,16.485194013941715,4.593677717068799e-31,1.8255275247631408e-28,1.616491011385368e-28,SMARCA5/ACTL6B/SMC2/RB1/HNRNPA1/PARP1/XRCC5/XRCC1/SFPQ/FEN1/NCAPD3/ATRX/YLPM1/SMARCA4/SMARCB1/MAD2L1/HNRNPD/NUMA1/TERF2/SETMAR/INO80C/WAPL/CENPV/PBRM1/NCAPG2/ARID1B/SMARCC1/SMARCE1/SIRT1/MCRS1/SMARCD1/PPP1R10/RIOK2/NSMCE4A/TERF2IP/BAZ1B/BUB3/DKC1/PARN/SRC/CDK2/EXOSC10/NCAPH/NCAPD2/TRIP13/SMC6/NCAPG/GNL3/NAT10/SMC4/ARID1A/ZNF207/RAD21/MACROH2A1/HNRNPA2B1/H3-3A/IK/ARID2/SMARCC2/DPF2/HECW2/DYNC1LI1,62
