ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0044782,cilium organization,32/85,441/18860,0.07256235827664399,16.100306789382422,21.589911490129616,1.6744485863701954e-30,2.109805218826446e-27,1.9176842757587082e-27,SPAG6/ZMYND10/RFX2/CFAP298/IFT88/DNAL1/ODF2/RSPH4A/DNAAF3/DYNC2H1/DNAAF1/DYNC2LI1/TRAF3IP1/DNAH5/RSPH1/DYNC2I2/LRRC46/IFT74/ODAD4/RSPH9/TMEM231/IFT46/IFT172/B9D1/SPAG1/IFT56/UNC119B/IFT70A/TTC8/IFT140/IFT122/WDR35,32
GO:0060271,cilium assembly,31/85,408/18860,0.07598039215686274,16.858708189158012,21.78988743551515,4.01160233964338e-30,2.5273094739753297e-27,2.2971701818589463e-27,SPAG6/ZMYND10/RFX2/CFAP298/IFT88/DNAL1/ODF2/RSPH4A/DNAAF3/DYNC2H1/DNAAF1/DYNC2LI1/TRAF3IP1/DNAH5/RSPH1/DYNC2I2/LRRC46/IFT74/ODAD4/RSPH9/TMEM231/IFT46/IFT172/B9D1/SPAG1/IFT56/UNC119B/TTC8/IFT140/IFT122/WDR35,31
GO:0007018,microtubule-based movement,28/85,496/18860,0.056451612903225805,12.525616698292222,17.502504131609072,1.534980126130549e-23,6.446916529748306e-21,5.859853955193113e-21,SPAG6/ZMYND10/CFAP298/IFT88/RSPH4A/ARMC3/CFAP52/DNAAF3/DYNC2H1/DNAAF1/DYNC2LI1/TRAF3IP1/DNAH5/ROPN1L/DYNC2I2/LRRC46/IFT74/ODAD4/DPCD/RSPH9/IFT46/DNAH9/IFT172/IFT56/IFT70A/IFT140/IFT122/WDR35,28
GO:0099111,microtubule-based transport,22/85,232/18860,0.09482758620689655,21.040567951318458,20.665681102815814,2.2177702890545693e-23,6.985976410521893e-21,6.349826511819398e-21,SPAG6/IFT88/RSPH4A/DNAAF3/DYNC2H1/DNAAF1/DYNC2LI1/TRAF3IP1/DNAH5/ROPN1L/DYNC2I2/IFT74/ODAD4/DPCD/IFT46/DNAH9/IFT172/IFT56/IFT70A/IFT140/IFT122/WDR35,22
GO:0042073,intraciliary transport,13/85,50/18860,0.26,57.68941176470589,27.006690988272037,3.762561806090941e-20,9.48165575134917e-18,8.618246831635672e-18,IFT88/DYNC2H1/DYNC2LI1/TRAF3IP1/DYNC2I2/IFT74/IFT46/IFT172/IFT56/IFT70A/IFT140/IFT122/WDR35,13
GO:0035082,axoneme assembly,13/85,107/18860,0.12149532710280374,26.957669048927983,18.117614861988706,1.567821871818086e-15,3.2924259308179806e-13,2.9926143798913637e-13,SPAG6/ZMYND10/DNAL1/RSPH4A/DNAAF3/DNAAF1/DNAH5/RSPH1/LRRC46/ODAD4/RSPH9/SPAG1/IFT56,13
GO:0001578,microtubule bundle formation,13/85,138/18860,0.09420289855072464,20.901960784313726,15.78839957958391,4.572825174787542e-14,8.231085314617575e-12,7.481554571682475e-12,SPAG6/ZMYND10/DNAL1/RSPH4A/DNAAF3/DNAAF1/DNAH5/RSPH1/LRRC46/ODAD4/RSPH9/SPAG1/IFT56,13
GO:0003341,cilium movement,16/85,269/18860,0.05947955390334572,13.197463371965886,13.557296913262517,6.127892408617911e-14,9.65143054357321e-12,8.772561763916168e-12,SPAG6/ZMYND10/CFAP298/RSPH4A/ARMC3/CFAP52/DNAAF3/DYNC2H1/DNAAF1/DNAH5/ROPN1L/LRRC46/ODAD4/DPCD/RSPH9/DNAH9,16
GO:0003351,epithelial cilium movement involved in extracellular fluid movement,9/85,51/18860,0.17647058823529413,39.155709342560556,18.358643432763625,1.2948381277822802e-12,1.7835375925781143e-10,1.6211269011904666e-10,SPAG6/RSPH4A/DNAAF3/DNAAF1/DNAH5/ROPN1L/ODAD4/DPCD/DNAH9,9
GO:0035720,intraciliary anterograde transport,7/85,19/18860,0.3684210526315789,81.74613003095975,23.693289599085816,1.4155060258556463e-12,1.7835375925781143e-10,1.6211269011904666e-10,IFT88/TRAF3IP1/IFT74/IFT46/IFT172/IFT56/IFT122,7
GO:0010970,transport along microtubule,13/85,183/18860,0.07103825136612021,15.762134361941497,13.502057701124045,1.7685607267496034e-12,2.0258059233677275e-10,1.8413340389507836e-10,IFT88/DYNC2H1/DYNC2LI1/TRAF3IP1/DYNC2I2/IFT74/IFT46/IFT172/IFT56/IFT70A/IFT140/IFT122/WDR35,13
GO:0060972,left/right pattern formation,12/85,145/18860,0.08275862068965517,18.362677484787017,14.121622700028002,2.1888217539217115e-12,2.1699200151282944e-10,1.9723249594482743e-10,CFAP52/DNAAF3/DYNC2H1/DNAAF1/DYNC2LI1/DNAH5/IFT74/ODAD4/DPCD/IFT172/IFT140/IFT122,12
GO:0006858,extracellular transport,9/85,54/18860,0.16666666666666666,36.98039215686274,17.81530971210859,2.238806364814907e-12,2.1699200151282944e-10,1.9723249594482743e-10,SPAG6/RSPH4A/DNAAF3/DNAAF1/DNAH5/ROPN1L/ODAD4/DPCD/DNAH9,9
GO:0030705,cytoskeleton-dependent intracellular transport,13/85,210/18860,0.06190476190476191,13.735574229691878,12.48727226902334,1.0175799345925661e-11,9.158219411333095e-10,8.324262923584301e-10,IFT88/DYNC2H1/DYNC2LI1/TRAF3IP1/DYNC2I2/IFT74/IFT46/IFT172/IFT56/IFT70A/IFT140/IFT122/WDR35,13
GO:0035721,intraciliary retrograde transport,6/85,14/18860,0.42857142857142855,95.0924369747899,23.69670497199998,2.0432261287293253e-11,1.7163099481326332e-9,1.5600210723210568e-9,DYNC2H1/DYNC2LI1/DYNC2I2/IFT140/IFT122/WDR35,6
GO:0007368,determination of left/right symmetry,11/85,138/18860,0.07971014492753623,17.68627450980392,13.237367529286608,2.8925575257597884e-11,2.2778890515358333e-9,2.070462228964901e-9,CFAP52/DNAAF3/DYNC2H1/DNAAF1/DYNC2LI1/DNAH5/IFT74/ODAD4/DPCD/IFT172/IFT140,11
GO:0009799,specification of symmetry,11/85,148/18860,0.07432432432432433,16.4912559618442,12.730228627953833,6.195671546746001e-11,4.336970082722201e-9,3.942041311613831e-9,CFAP52/DNAAF3/DYNC2H1/DNAAF1/DYNC2LI1/DNAH5/IFT74/ODAD4/DPCD/IFT172/IFT140,11
GO:0009855,determination of bilateral symmetry,11/85,148/18860,0.07432432432432433,16.4912559618442,12.730228627953833,6.195671546746001e-11,4.336970082722201e-9,3.942041311613831e-9,CFAP52/DNAAF3/DYNC2H1/DNAAF1/DYNC2LI1/DNAH5/IFT74/ODAD4/DPCD/IFT172/IFT140,11
GO:0070286,axonemal dynein complex assembly,7/85,42/18860,0.16666666666666666,36.98039215686274,15.706615991271512,6.972408030141177e-10,4.623807430514675e-8,4.202758967752688e-8,ZMYND10/DNAL1/DNAAF3/DNAAF1/DNAH5/ODAD4/SPAG1,7
