ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0003779,actin binding,32/312,445/18662,0.07191011235955057,4.301238836070297,9.190629123219006,4.139607227532302e-12,2.1857126161370554e-9,1.7778523671928201e-9,ABLIM1/EPB41L2/MSN/GMFB/TMOD2/CAMK2B/TMOD1/MARCKS/RDX/ADD1/NCALD/MAP1A/SPTBN1/SPTAN1/SNTB1/FLNC/PLEC/MTSS2/ARPC1A/PDLIM5/ARPC5L/SORBS1/EPB41L1/ANTXR1/PHPT1/IMPACT/ADD3/LIMCH1/CORO2B/CFL2/STK38L/TLN2,32
GO:0003924,GTPase activity,27/312,340/18662,0.07941176470588235,4.749943438914027,9.099226076429714,2.2627792474153998e-11,5.9737372131766555e-9,4.859020699713069e-9,RAP2A/RND2/RHOB/SEPTIN8/GNB5/GNG5/TUBB2A/RAB6B/MRAS/KRAS/GNAI2/GNAO1/RAB6A/GNAQ/RAB7A/RAB5B/RRAS2/GNB1/GNB2/GNA12/GNA13/SEPTIN2/SEPTIN7/RAB12/RRAGA/RRAGC/RAB23,27
GO:0005525,GTP binding,28/312,379/18662,0.07387862796833773,4.418983830593329,8.768385624838224,5.2141684951053536e-11,9.176936551385422e-9,7.464493845624507e-9,RAP2A/RND2/RHOB/TUBA4A/SEPTIN8/EHD3/TUBB2A/RAB6B/MRAS/RP2/GLUD1/KRAS/GNAI2/GNAO1/RAB6A/GNAQ/RAB7A/RAB5B/RRAS2/GNA12/GNA13/SEPTIN2/SEPTIN7/RAB12/RRAGA/RRAGC/AK3/RAB23,28
GO:0019001,guanyl nucleotide binding,28/312,403/18662,0.06947890818858561,4.155818540433925,8.3512747382282555,2.1611042923064877e-10,2.282126132675651e-8,1.856274844760099e-8,RAP2A/RND2/RHOB/TUBA4A/SEPTIN8/EHD3/TUBB2A/RAB6B/MRAS/RP2/GLUD1/KRAS/GNAI2/GNAO1/RAB6A/GNAQ/RAB7A/RAB5B/RRAS2/GNA12/GNA13/SEPTIN2/SEPTIN7/RAB12/RRAGA/RRAGC/AK3/RAB23,28
GO:0032561,guanyl ribonucleotide binding,28/312,403/18662,0.06947890818858561,4.155818540433925,8.3512747382282555,2.1611042923064877e-10,2.282126132675651e-8,1.856274844760099e-8,RAP2A/RND2/RHOB/TUBA4A/SEPTIN8/EHD3/TUBB2A/RAB6B/MRAS/RP2/GLUD1/KRAS/GNAI2/GNAO1/RAB6A/GNAQ/RAB7A/RAB5B/RRAS2/GNA12/GNA13/SEPTIN2/SEPTIN7/RAB12/RRAGA/RRAGC/AK3/RAB23,28
GO:0043295,glutathione binding,5/312,10/18662,0.5,29.90705128205128,11.92251311033419,2.976235209830193e-7,2.6190869846505702e-5,2.13035783440477e-5,LANCL1/GSTM4/GSTM1/GSTM3/GSTM2,5
GO:1900750,oligopeptide binding,5/312,12/18662,0.4166666666666667,24.922542735042736,10.808993686671467,9.09960428344494e-7,6.863701516655612e-5,5.582915109241407e-5,LANCL1/GSTM4/GSTM1/GSTM3/GSTM2,5
GO:0051287,NAD binding,8/312,53/18662,0.1509433962264151,9.028543783260764,7.6320273165940105,2.571876040738555e-6,1.6974381868874462e-4,1.3806913481859612e-4,QDPR/SIRT2/BDH2/CRYL1/GLUD1/ALDH2/LDHB/HSD17B8,8
GO:0003925,G protein activity,9/312,73/18662,0.1232876712328767,7.374341412012645,7.115336706111374,3.453335890056509e-6,1.7279774519088259e-4,1.4055318986818202e-4,RAP2A/MRAS/KRAS/GNAO1/GNAQ/RAB7A/RAB5B/GNA12/GNA13,9
GO:0005200,structural constituent of cytoskeleton,11/312,115/18662,0.09565217391304348,5.721348940914159,6.622239789445668,3.6329324104311013e-6,1.7279774519088259e-4,1.4055318986818202e-4,GFAP/MSN/TUBA4A/ANK2/TUBB2A/SPTBN1/SPTAN1/PLEC/ERBIN/ADD3/TLN2,11
