ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0031491,nucleosome binding,35/829,74/18662,0.47297297297297297,10.647311968180485,17.92826931889374,6.953483562380248e-28,2.938504523934732e-25,2.31652441394718e-25,SMARCA5/MTA2/MBD3/PARP1/H1-4/H1-5/H1-3/H1-2/SMARCA4/HIRA/RBBP4/SMARCB1/CHD4/ARID1B/GATAD2B/H1-10/HDAC2/SMARCC1/SMARCE1/VRK1/EED/RCC1/SSRP1/SUPT6H/PARP2/NOC2L/SUPT16H/ARID1A/MACROH2A1/HMGN1/HMGN2/H3-3A/GLYR1/SMARCC2/DNTTIP1,35
GO:0042393,histone binding,51/829,176/18662,0.2897727272727273,6.523207040245642,15.872988432693917,8.480532536608173e-28,2.938504523934732e-25,2.31652441394718e-25,CHD2/SMARCA5/YEATS4/DEK/NCAPD3/ATRX/NASP/MCM2/SMARCA4/HIRA/RBBP4/CHD3/CHD4/SART3/BRD3/RBBP5/PHC2/DNAJC9/HDAC2/SMARCC1/SIRT1/TONSL/RSF1/UHRF1/VRK1/HPF1/BAZ1B/SBNO1/HAT1/PTMA/NPM1/RCC1/PTMS/ANP32A/SET/SSRP1/CHAF1B/NCAPD2/RNF20/ATAD2/SUPT6H/PHF6/ANP32E/ASF1A/NOC2L/BRD4/TP53BP1/GLYR1/SMARCC2/UHRF2/TBL1XR1,51
GO:0120545,nucleic acid conformation isomerase activity,48/829,161/18662,0.2981366459627329,6.711491057848639,15.692688516890966,7.630261180508722e-27,1.762590332697515e-24,1.3895107202400093e-24,SMARCA5/AQR/TOP2A/XRCC6/XRCC5/MCM4/MCM5/MCM7/ATRX/MCM2/SMARCA4/TOP2B/CHD3/DHX8/MCM6/DDX51/DDX17/EP400/DDX39A/DHX16/TOP1/MCM3/RFC4/RFC2/RFC5/RFC3/MTREX/RECQL/DDX10/DHX57/DHX37/DDX54/DDX27/DDX47/SMARCAD1/DDX31/DDX21/DDX18/DDX56/DDX52/SNRNP200/DDX5/ERCC3/HLTF/DDX42/DHX40/DHX38/DDX23,48
GO:0004386,helicase activity,45/829,148/18662,0.30405405405405406,6.844700550973169,15.391307332632058,1.218646819423099e-25,2.111305614650519e-23,1.6644149981068114e-23,SMARCA5/AQR/XRCC6/XRCC5/MCM4/MCM5/MCM7/ATRX/MCM2/SMARCA4/CHD3/DHX8/MCM6/DDX51/DDX17/EP400/DDX39A/DHX16/MCM3/RFC4/RFC2/RFC5/RFC3/MTREX/RECQL/DDX10/DHX57/DHX37/DDX54/DDX27/DDX47/SMARCAD1/DDX31/DDX21/DDX18/DDX56/DDX52/SNRNP200/DDX5/ERCC3/HLTF/DDX42/DHX40/DHX38/DDX23,45
GO:0140098,"catalytic activity, acting on RNA",71/829,420/18662,0.16904761904761906,3.80550864495376,12.538123627293343,1.0533890203212361e-22,1.4599971821652332e-20,1.1509661085194138e-20,FBLL1/RNMT/AQR/RNASEH2A/RPP40/SLU7/APEX1/FEN1/DHX8/METTL16/DDX51/DDX17/DUS3L/NSUN5/AARSD1/PCIF1/TFB2M/DBR1/DDX39A/BUD23/DHX16/RNGTT/PARN/FBL/MTREX/NOP2/PRIM2/POLR2H/RPP30/EXOSC10/EXOSC9/DDX10/EXOSC2/JMJD6/DHX57/TRMT1L/DHX37/FTSJ3/DDX54/EMG1/TOE1/DDX27/PUS7/ELAC2/POLR3C/NAT10/DDX47/DDX31/POLR1B/EXOSC4/EXOSC3/DDX21/DDX18/TRMT1/DDX56/CNOT7/DIMT1/DIS3/DDX52/PUS1/SNRNP200/DDX5/POLR2A/PPP1R8/PAN2/ALKBH5/MEPCE/DDX42/DHX40/DHX38/DDX23,71
GO:0140097,"catalytic activity, acting on DNA",52/829,254/18662,0.2047244094488189,4.6086452703665355,12.485049410413108,1.047391871588146e-20,1.2097376116843087e-18,9.536778620249959e-19,CHD2/SMARCA5/TOP2A/XRCC6/XRCC5/LIG1/XRCC1/DNMT1/APEX1/MCM4/MCM5/MCM7/FEN1/MLH1/ATRX/MCM2/LIG3/SMARCA4/PMS2/TOP2B/RBBP4/BPTF/CHD3/MCM6/CHD4/TERF2/SETMAR/NIPBL/WAPL/RSF1/PDS5B/DNMT3A/MAU2/DKC1/POLA1/TOP1/PCNA/MCM3/RFC4/RFC2/RFC5/RFC3/MSH2/RECQL/CDK7/MSH6/NTHL1/PDS5A/SMARCAD1/ERCC3/HLTF/SMUG1,52
GO:0120543,macromolecular conformation isomerase activity,54/829,283/18662,0.19081272084805653,4.2954728546036565,12.044326902011468,5.63697546052803e-20,5.5806057059227506e-18,4.399383855660222e-18,SMARCA5/AQR/TOP2A/XRCC6/XRCC5/MCM4/MCM5/MCM7/ATRX/MCM2/SMARCA4/TOP2B/CHD3/DHX8/MCM6/KIF22/DDX51/DDX17/EP400/KIFC1/SMC3/DDX39A/DHX16/KIF5C/KIF4A/TOP1/MCM3/RFC4/RFC2/RFC5/RFC3/MTREX/RECQL/KIF11/DDX10/DHX57/DHX37/DDX54/DDX27/DDX47/SMARCAD1/DDX31/DDX21/DDX18/DDX56/DDX52/SNRNP200/DDX5/ERCC3/HLTF/DDX42/DHX40/DHX38/DDX23,54
GO:0030515,snoRNA binding,20/829,32/18662,0.625,14.069662243667068,15.953847742401416,9.768372027922487e-20,8.461852269187854e-18,6.670769845383909e-18,XRCC5/NUDT1/NHP2/NOP56/RRP9/DKC1/SNU13/TBL3/BYSL/BMS1/TSR1/DHX37/HEATR1/NOP10/DDX21/IMP3/GAR1/UTP6/WDR3/NOP58,20
GO:0031492,nucleosomal DNA binding,22/829,42/18662,0.5238095238095238,11.791716928025734,15.09586032538944,2.9782886367058077e-19,2.293282250263472e-17,1.8078734531582624e-17,MTA2/MBD3/H1-4/H1-5/H1-3/H1-2/SMARCA4/RBBP4/SMARCB1/CHD4/GATAD2B/H1-10/HDAC2/SMARCC1/SMARCE1/VRK1/RCC1/MACROH2A1/HMGN1/HMGN2/H3-3A/SMARCC2,22
GO:0016887,ATP hydrolysis activity,63/829,400/18662,0.1575,3.5455548854041012,11.096111414688185,1.2204881986972797e-18,8.457983216972148e-17,6.667719738146192e-17,CHD2/SMARCA5/AQR/SMC2/XRCC6/XRCC5/MCM4/MCM5/MCM7/MLH1/ATRX/MCM2/SMARCA4/PMS2/CHD3/DHX8/MCM6/SMC1A/KIF22/CHD4/ATF7IP/DDX51/DDX17/KIFC1/MDN1/SMC3/MORC2/DDX39A/DHX16/KIF5C/MCM3/RFC4/RFC2/RFC5/MTREX/MSH2/RECQL/DDX10/MORC3/TRIP13/DHX57/ATAD2/DHX37/DDX54/ATP2A3/DDX27/SMC6/DDX47/SMARCAD1/DDX31/DDX21/SMC4/DDX18/DDX56/DDX52/SNRNP200/DDX5/ERCC3/DDX42/DHX40/DHX38/DDX23/ACIN1,63
