category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,25/203,155/9376,0.16129032258064516,7.449547115843,12.044368052203234,2.304175623166528e-15,6.382566476171282e-13,4.438569884626048e-13,534/3122/3105/3685/5868/3106/3123/3115/1536/3689/929/3107/3684/526/528/11151/529/523/6890/6891/8411/23673/347733/51606/51382,25
Cellular Processes,Transport and catabolism,hsa04144,Endocytosis,24/203,250/9376,0.096,4.433970443349754,8.186613462826116,7.544281214246132e-10,1.0448829481730893e-7,7.266334011616011e-8,274/22905/3105/5868/6642/11031/9922/55616/64744/30011/26052/3106/3107/9897/8411/23325/30844/29934/8724/9815/112936/116985/51100/27131,24
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,17/203,180/9376,0.09444444444444444,4.362123700054735,6.775298281525396,3.273794926473237e-7,3.022803982110289e-5,2.1021209527880785e-5,3122/3105/5295/6892/23586/3106/3123/972/3115/3107/208/6772/5290/6890/6891/3716/6041,17
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,19/203,232/9376,0.08189655172413793,3.7825717683030406,6.384107901428916,6.047232845881242e-7,4.1877087457727596e-5,2.9122200284112293e-5,2246/3685/3675/3696/5295/9459/79784/85477/3689/2247/3684/208/5290/5305/1793/51571/3679/23191/10163,19
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,12/203,95/9376,0.12631578947368421,5.834171635986518,7.044731456655224,8.670413959644536e-7,4.803409333643073e-5,3.340391062347263e-5,534/3122/3123/3115/3689/3383/526/528/529/523/51606/51382,12
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,15/203,160/9376,0.09375,4.330049261083744,6.320004342959245,1.8188207319944272e-06,8.038801239881519e-5,5.5903500927163895e-5,4685/3122/3105/3685/3696/214/54413/3106/3123/3115/3689/3383/3107/3684/1462,15
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,17/203,205/9376,0.08292682926829269,3.830157395170011,6.094767360230044,2.0460682720955693e-6,8.038801239881519e-5,5.5903500927163895e-5,3122/3105/5295/6892/23586/3106/3123/3115/3383/3107/208/6772/5290/6890/6891/7431/3716,17
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,10/203,70/9376,0.14285714285714285,6.598170302603799,6.993451419438575,2.3216754483412328e-6,8.038801239881519e-5,5.5903500927163895e-5,3122/3105/6645/3106/3123/3115/3689/3383/3107/8082,10
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,10/203,79/9376,0.12658227848101267,5.846480014965393,6.434969855206286,7.118014188758907e-6,2.190766589206908e-4,1.5235047912782223e-4,534/6506/26052/526/528/529/523/4905/51606/51382,10
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,15/203,181/9376,0.08287292817679558,3.827667855101652,5.7143886677049744,8.407022630396983e-6,2.328745268619964e-4,1.6194580435396292e-4,3122/5868/817/3123/972/3115/3689/929/3684/11151/208/6772/8411/51606/3716,15
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,10/203,82/9376,0.12195121951219512,5.632584404661781,6.267681127517078,9.989850827003302e-6,2.515626071890832e-4,1.7494188529584728e-4,3122/3105/6892/3106/3123/972/3115/3107/6890/6891,10
Organismal Systems,Excretory system,hsa04966,Collecting duct acid secretion,6/203,28/9376,0.21428571428571427,9.8972554539057,7.013804949968127,2.4211496372448406e-5,5.588820412640173e-4,3.8865823124193495e-4,534/526/528/529/523/51382,6
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,13/203,154/9376,0.08441558441558442,3.8989188151749725,5.395874187180263,2.8046037315508e-5,5.975963335689012e-4,4.1558095779254767e-4,3685/3675/3696/5295/9459/3689/3383/3684/208/5290/7143/10979/3679,13
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,20/203,333/9376,0.06006006006006006,2.7740055326262225,4.903416472370144,3.4068655569819824e-5,6.740726852028636e-4,4.6876420821631787e-4,534/3105/3685/3675/3696/5295/3106/3107/526/528/208/529/523/6772/5290/7143/51606/51382/3716/3679,20
