category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,15/210,97/9376,0.15463917525773196,6.904270986745213,8.84722191563333,3.3291873175818597e-9,7.896387323617266e-7,4.913033005107202e-7,5578/5595/5594/818/10681/117/2787/816/2771/2775/2776/2782/2783/59345/55970,15
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,17/210,133/9376,0.12781954887218044,5.706838524883638,8.274733251190264,5.870919943209863e-9,7.896387323617266e-7,4.913033005107202e-7,5578/4128/818/10681/2787/816/2771/2775/1312/4129/2776/5516/2782/2783/5520/59345/55970,17
Environmental Information Processing,Signaling molecules and interaction,hsa04517,IgSF CAM signaling,25/210,299/9376,0.08361204013377926,3.733078515687211,7.269790470120552,1.1701809607208978e-8,1.049262261446405e-6,6.528377991390272e-7,2037/5578/4478/5595/5594/58494/7277/287/5781/199731/7280/51678/8573/1499/5962/6711/7082/6709/92154/10552/4897/81873/10580/2036/94030,25
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,15/210,115/9376,0.13043478260869565,5.82360248447205,7.877653010137235,3.614089361041106e-8,1.944380076240115e-6,1.209768859801128e-6,5578/5595/5594/818/10681/2787/816/3845/2771/2775/2776/2782/2783/59345/55970,15
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,15/210,115/9376,0.13043478260869565,5.82360248447205,7.877653010137235,3.614089361041106e-8,1.944380076240115e-6,1.209768859801128e-6,5578/4128/5595/5594/10681/2787/3845/2771/2775/4129/2776/2782/2783/59345/55970,15
Organismal Systems,Nervous system,hsa04730,Long-term depression,10/210,60/9376,0.16666666666666666,7.441269841269841,7.5759611274076955,7.278749018889871e-7,3.263305810135626e-5,2.030387884216648e-5,5578/5595/5594/3845/2771/2775/2776/5516/2768/10672,10
Organismal Systems,Excretory system,hsa04960,Aldosterone-regulated sodium reabsorption,8/210,38/9376,0.21052631578947367,9.399498746867168,7.852782922719868,1.5208098472191975e-6,5.8442549843137736e-5,3.636222040719585e-5,482/5578/5595/5594/9351/3845/476/477,8
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,13/210,116/9376,0.11206896551724138,5.0036124794745485,6.567209859645572,1.7789229069996195e-6,5.9816282747862204e-5,3.7216939764860464e-5,5578/5595/5594/10681/2787/2771/2775/6507/2776/2782/2783/59345/55970,13
Organismal Systems,Excretory system,hsa04961,Endocrine and other factor-regulated calcium reabsorption,9/210,53/9376,0.16981132075471697,7.581671159029649,7.272799779438002,2.2533175803673623e-6,6.734915879098005e-5,4.1903800617357975e-5,482/5578/160/476/493/2776/477/1175/1173,9
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,14/210,140/9376,0.1,4.464761904761905,6.251738594829328,2.8077160009960475e-6,7.552756042679367e-5,4.699229938509175e-5,5595/5594/10681/2787/22808/3845/2771/2776/22800/2782/2783/10672/59345/55970,14
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,18/210,232/9376,0.07758620689655173,3.464039408866995,5.752132644503409,4.286792494998286e-6,9.708963429805527e-5,6.040795090350534e-5,4478/5595/5594/26999/81553/22808/23396/3845/5962/22800/2768/10672/79837/10552/81873/55970/1073/10787,18
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,11/210,89/9376,0.12359550561797752,5.518245050829321,6.482349180885355,4.331136102515477e-6,9.708963429805527e-5,6.040795090350534e-5,5578/10681/2787/2771/2775/11345/2782/2783/18/59345/55970,11
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,14/210,149/9376,0.09395973154362416,4.195078299776287,5.950449018048384,5.865313057250177e-6,1.213668624923306e-4,7.551293733625734e-5,8613/5578/5595/5594/5781/7248/22808/23396/3845/22800/2768/10672/56894/55326,14
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,10/210,76/9376,0.13157894736842105,5.874686716791979,6.458287746750216,6.74446495910533e-6,1.2959007671423814e-4,8.062931793216148e-5,482/5578/818/816/2771/476/495/2776/477/3766,10
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,17/210,227/9376,0.07488986784140969,3.3436542899097965,5.4103457986865555,1.2770015269369177e-5,2.290089404973539e-4,1.4248648616348766e-4,5578/5595/5594/10681/2787/7248/3845/2771/2775/1499/2776/2782/2783/2768/10672/59345/55970,17
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,12/210,130/9376,0.09230769230769231,4.121318681318681,5.424231324192458,3.296081725076617e-5,5.541537400285062e-4,3.4478749624156714e-4,5578/5595/5594/10681/2787/3845/2771/2775/2782/2783/59345/55970,12
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,13/210,154/9376,0.08441558441558442,3.7689548546691403,5.2440767065533445,4.001028240257413e-5,6.331038803701436e-4,3.9390928185816014e-4,482/5578/5595/5594/818/816/2771/476/493/2776/477/5516/5520,13
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,16/210,233/9376,0.06866952789699571,3.0659309217249135,4.833422458727133,6.641692664239165e-5,9.925640703779641e-4,6.175608968503084e-4,482/1465/287/29767/1837/476/7111/477/6711/2273/6709/6641/2318/5339/10611/83660,16
Organismal Systems,Endocrine system,hsa04916,Melanogenesis,10/210,101/9376,0.09900990099009901,4.420556341348421,5.231254333696281,8.3446098147661e-5,0.0011740777349170564,7.304964189075013e-4,5578/5595/5594/818/816/3845/2771/2775/1499/2776,10
Organismal Systems,Endocrine system,hsa04919,Thyroid hormone signaling pathway,11/210,122/9376,0.09016393442622951,4.025604996096799,5.091347682125877,8.729202490089639e-5,0.0011740777349170564,7.304964189075013e-4,5213/482/5578/5595/5594/3845/476/1499/477/5333/113026,11
Metabolism,Amino acid metabolism,hsa00340,Histidine metabolism,5/210,22/9376,0.22727272727272727,10.147186147186147,6.501379745238232,1.0370950188854309e-4,0.0012788882318092512,7.957081935342241e-4,4128/217/4129/223/55748,5
Cellular Processes,Transport and catabolism,hsa04140,Autophagy - animal,13/210,169/9376,0.07692307692307693,3.4344322344322347,4.833785000620612,1.0459308959034769e-4,0.0012788882318092512,7.957081935342241e-4,5595/5594/7248/22808/10533/3845/7879/11345/22800/5516/10670/23001/64121,13
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,7/210,50/9376,0.14,6.2506666666666675,5.634522326930187,1.127927895376852e-4,0.0013191852341581443,8.207804822193112e-4,4128/217/1152/4129/223/65263/55748,7
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,12/210,149/9376,0.08053691275167785,3.595781399808245,4.834330627402383,1.2501350904839124e-4,0.0014011930805840518,8.718047341532547e-4,5578/5595/5594/10681/2787/2771/2775/2776/2782/2783/59345/55970,12
Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,14/210,200/9376,0.07,3.1253333333333337,4.598547831878109,1.5603376350287743e-4,0.00166611498327498,0.0010366358142857438,5595/5594/7277/5781/10006/26999/7280/9368/2768/7082/10672/10552/81873/10787,14
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,9/210,89/9376,0.10112359550561797,4.514927768860353,5.0428847676513096,1.6103713592992373e-4,0.00166611498327498,0.0010366358142857438,5578/5595/5594/7277/7280/3845/2771/2776/7082,9
Human Diseases,Substance dependence,hsa05032,Morphine addiction,9/210,91/9376,0.0989010989010989,4.415698587127158,4.955809927447893,1.9105278873594015e-4,0.001845396385587885,0.0011481824508255674,5578/10681/2787/2771/2775/2782/2783/59345/55970,9
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,14/210,204/9376,0.06862745098039216,3.0640522875816996,4.511376933162151,1.9208586913182444e-4,0.001845396385587885,0.0011481824508255674,960/5578/4478/5595/5594/287/5781/818/816/22808/3845/1499/5962/22800,14
