category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,Chromosome,hsa03082,ATP-dependent chromatin remodeling,39/388,117/9376,0.3333333333333333,8.054982817869416,15.954265622139088,1.605061419494456e-25,3.980552320346251e-23,3.8352520234235955e-23,8467/9219/51412/8089/53615/6597/5928/6598/2186/1107/1108/125476/55193/317772/57492/57459/3066/6599/6605/10445/6602/57634/51773/10902/55929/11177/55257/55506/9031/8295/84295/8289/8099/9555/9112/196528/54815/6601/5977,39
Genetic Information Processing,Transcription,hsa03040,Spliceosome,53/388,243/9376,0.21810699588477367,5.270544312926902,14.013596540284803,1.9631853743170523e-24,2.434349864153145e-22,2.3454898945787943e-22,9716/10286/10285/10569/51691/3178/2521/22916/6426/4686/29896/1659/10189/10523/8559/10929/55696/10915/8449/55660/4809/8563/80145/9984/51340/56949/51690/57461/9939/9092/9129/10465/10084/23020/24148/1655/11338/27316/220988/4670/6635/6428/6427/6429/22938/6432/10713/11325/9785/988/9416/22985/51729,53
Genetic Information Processing,Replication and repair,hsa03030,DNA replication,17/388,36/9376,0.4722222222222222,11.41122565864834,13.003181996526934,9.063318939391553e-15,7.492343656563685e-13,7.218854032427658e-13,10535/3978/4173/4174/4176/2237/4171/4175/79621/5422/5111/4172/5984/5982/5985/5983/5558,17
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,32/388,158/9376,0.20253164556962025,4.8941667754143285,10.256394280252167,3.9296665776546195e-14,2.436393278145864e-12,2.347458718756839e-12,5925/4173/4174/4176/546/4171/1021/4085/4089/4175/8243/25836/23063/10274/3066/23047/9126/23383/9184/5001/5111/1017/4172/1022/7532/4999/9319/5529/23244/1387/23595/5885,32
Genetic Information Processing,Translation,hsa03008,Ribosome biogenesis in eukaryotes,34/388,183/9376,0.18579234972677597,4.489662554222297,9.904905062235294,8.778686933719136e-14,4.354228719124692e-12,4.195288282008935e-12,345630/10799/6949/55781/23195/55651/10199/10528/1736/2091/4809/10556/10607/9790/23160/5822/134430/10436/84916/10813/26354/23560/55226/55127/55505/55272/55131/54433/55813/10482/10885/51602/51096/84128,34
Genetic Information Processing,Replication and repair,hsa03410,Base excision repair,15/388,44/9376,0.3409090909090909,8.23805060918463,9.998401160230733,1.0483965127464738e-10,4.3333722526854255e-9,4.1751931297096414e-9,3146/142/3978/7515/328/2237/3980/5111/5984/5982/5985/5983/4913/10038/23583,15
Genetic Information Processing,Translation,hsa03015,mRNA surveillance pathway,22/388,103/9376,0.21359223300970873,5.161445300770693,8.823129267222537,1.4318323768707332e-10,5.072777563770598e-9,4.887608263904609e-9,8731/2521/22916/4686/10189/10978/65109/8732/10914/5529/11052/80335/8189/26528/23283/10482/9939/4440/11051/79869/5411/22985,22
Genetic Information Processing,Replication and repair,hsa03430,Mismatch repair,10/388,23/9376,0.43478260869565216,10.506499327655758,9.483726955447734,9.271388213335669e-9,2.8741303461340575e-7,2.769217268983154e-7,3978/4292/5395/5111/5984/5982/5985/5983/4436/2956,10
Genetic Information Processing,"Folding, sorting and degradation",hsa03018,RNA degradation,16/388,78/9376,0.20512820512820512,4.956912503304256,7.290863151079183,8.890265697646946e-8,2.449762103351603e-6,2.360339547796324e-6,51691/80153/55802/5073/23517/5394/5393/23404/118460/11340/54512/51010/29883/51690/22894/9924,16
Genetic Information Processing,Replication and repair,hsa03420,Nucleotide excision repair,12/388,63/9376,0.19047619047619047,4.602847324496809,5.961304433621854,8.377873360792558e-6,2.077074143260622e-4,2.0012556473691055e-4,3978/5436/5111/5984/5982/5985/5983/1022/5437/2071/5430/5887,12
Genetic Information Processing,Transcription,hsa03022,Basal transcription factors,10/388,44/9376,0.22727272727272727,5.49203373945642,6.205145249383128,9.21282886123663e-6,2.077074143260622e-4,2.0012556473691055e-4,2963/6878/2969/6877/6908/1022/9519/2959/2071/2962,10
Genetic Information Processing,Translation,hsa03013,Nucleocytoplasmic transport,14/388,108/9376,0.12962962962962962,3.1324933180603285,4.631018472453445,1.3743791366527602e-4,0.0027471604574014212,0.0026468821045421164,23636/22916/4686/10189/65109/3838/8563/80145/9984/57510/10482/9939/5411/22985,14
Genetic Information Processing,Chromosome,hsa03083,Polycomb repressive complex,12/388,83/9376,0.14457831325301204,3.4937274872686626,4.741110081284381,1.4400437881539709e-4,0.0027471604574014212,0.0026468821045421164,3054/5928/11335/84733/1912/3066/6045/57332/8726/1387/54881/6015,12
Environmental Information Processing,Signal transduction,hsa04330,Notch signaling pathway,9/388,62/9376,0.14516129032258066,3.5078150981044236,4.116169115804655,9.40153458907597e-4,0.01665414698636315,0.016046228208422896,3066/23013/3516/1387/1488/7090/1487/22938/9612,9
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,18/388,205/9376,0.08780487804878048,2.1218003520241386,3.3740702833089475,0.002083568769726593,0.03444833699281301,0.03319088496336397,5925/1385/1021/7337/1108/3066/6714/6908/1017/7532/9519/2959/3516/1387/8841/5902/8359/22938,18
Genetic Information Processing,Transcription,hsa03020,RNA polymerase,6/388,34/9376,0.17647058823529413,4.264402668283808,3.961806136477584,0.0024271018600094015,0.037620078830145724,0.03624685014619304,5436/10849/5437/10623/84172/5430,6
Genetic Information Processing,Information processing in viruses,hsa03250,Viral life cycle - HIV-1,9/388,73/9376,0.1232876712328767,2.9792402203078656,3.5271050637048385,0.0030178153917746133,0.04402460100941789,0.04241759095559364,6829/6598/6827/11052/1387/11168/7936/79869/7469,9
