ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-877300,Interferon gamma signaling,13/230,96/11230,0.13541666666666666,6.6118659420289845,7.984641328022797,7.137598971046849e-8,2.5533881642614635e-5,2.0300937504148574e-5,HLA-DRA/HLA-A/GBP2/CAMK2D/TRIM3/HLA-B/HLA-DRB1/HLA-DPB1/ICAM1/HLA-C/STAT1/JAK1/GBP1,13
R-HSA-1236975,Antigen processing-Cross presentation,13/230,97/11230,0.13402061855670103,6.5437023756163155,7.928988450225485,8.0944227506365e-8,2.5533881642614635e-5,2.0300937504148574e-5,HLA-A/ITGAV/S100A1/PSMB8/PSMB9/TAPBP/HLA-B/CYBB/CD14/HLA-C/PSMB10/TAP1/TAP2,13
R-HSA-74752,Signaling by Insulin receptor,12/230,82/11230,0.14634146341463414,7.145281018027571,8.075851232394003,9.563251551541062e-8,2.5533881642614635e-5,2.0300937504148574e-5,ATP6V1G2/FGF1/PIK3R1/FGF2/ATP6V1B2/ATP6V1C1/AKT2/ATP6V1E1/ATP6V1A/PIK3CA/ATP6V1H/ATP6V1D,12
R-HSA-917977,Transferrin endocytosis and recycling,8/230,31/11230,0.25806451612903225,12.600280504908836,9.351856451798522,1.4404630412709598e-7,2.884527240145097e-5,2.2933687893919228e-5,ATP6V1G2/STEAP3/ATP6V1B2/ATP6V1C1/ATP6V1E1/ATP6V1A/ATP6V1H/ATP6V1D,8
R-HSA-1222556,ROS and RNS production in phagocytes,8/230,36/11230,0.2222222222222222,10.850241545893718,8.55940538754532,5.058170182805779e-7,8.103188632854856e-5,6.442511495994729e-5,ATP6V1G2/CYBB/ATP6V1B2/ATP6V1C1/ATP6V1E1/ATP6V1A/ATP6V1H/ATP6V1D,8
R-HSA-1236974,ER-Phagosome pathway,11/230,82/11230,0.13414634146341464,6.549840933191941,7.293350720402764,8.165846741161245e-7,1.0901405399450263e-4,8.667258383162374e-5,HLA-A/S100A1/PSMB8/PSMB9/TAPBP/HLA-B/CD14/HLA-C/PSMB10/TAP1/TAP2,11
R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",7/230,29/11230,0.2413793103448276,11.7856071964018,8.409173562156635,1.4667350491341565e-6,1.6783639633663705e-4,1.3343980522197965e-4,HLA-A/TAPBP/HLA-B/HLA-C/TAP1/TAP2/SAR1B,7
R-HSA-77387,Insulin receptor recycling,7/230,30/11230,0.23333333333333334,11.392753623188407,8.24176759883659,1.8800258610131359e-06,1.8823758933394024e-4,1.4965995340959832e-4,ATP6V1G2/ATP6V1B2/ATP6V1C1/ATP6V1E1/ATP6V1A/ATP6V1H/ATP6V1D,7
R-HSA-9857377,Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy,5/230,12/11230,0.4166666666666667,20.344202898550726,9.694420651923995,2.4305249639071637e-6,2.1631672178773758e-4,1.7198451498992212e-4,ATP6V1B2/ATP6V1C1/ATP6V1E1/ATP6V1A/ATP6V1H,5
R-HSA-6798695,Neutrophil degranulation,26/230,469/11230,0.05543710021321962,2.7067766756280713,5.459777208729684,3.651995364415253e-6,2.925248286896617e-4,2.3257444162855034e-4,CPNE3/ITGAV/RAP1A/RHOG/RAB31/COTL1/ANO6/TMBIM1/IDH1/HLA-B/CYBB/ITGB2/PYGL/CAPN1/CD14/HLA-C/ITGAM/SERPINB1/CHI3L1/MNDA/MVP/GHDC/CPPED1/ATP6V1D/CYFIP1/PLEKHO2,26
R-HSA-913531,Interferon Signaling,19/230,286/11230,0.06643356643356643,3.2436910915171784,5.5577134894215785,6.457660876584081e-6,4.7023512383125894e-4,3.738645770653941e-4,HLA-DRA/HLA-A/PSMB8/GBP2/CAMK2D/TRIM3/RIGI/HLA-B/HLA-DRB1/HLA-DPB1/ICAM1/HLA-C/STAT1/TUBB2B/JAK1/GBP1/FNTA/RNASEL/IFIT5,19
R-HSA-917937,Iron uptake and transport,8/230,58/11230,0.13793103448275862,6.7346326836581705,6.33129070961535,2.1738637581596898e-5,0.0014443499117402978,0.001148343119262606,ATP6V1G2/STEAP3/ATP6V1B2/ATP6V1C1/ATP6V1E1/ATP6V1A/ATP6V1H/ATP6V1D,8
R-HSA-909733,Interferon alpha/beta signaling,9/230,76/11230,0.11842105263157894,5.782036613272311,6.048427639759179,2.344138433536064e-5,0.0014443499117402978,0.001148343119262606,HLA-A/PSMB8/GBP2/HLA-B/HLA-C/STAT1/JAK1/RNASEL/IFIT5,9
R-HSA-1474244,Extracellular matrix organization,19/230,318/11230,0.059748427672955975,2.9172819250751982,5.01516788399468,2.8841401983448594e-5,0.0016501402134815946,0.001311958511277173,CAPN5/ITGAV/CAPN2/ITGA3/ITGB8/SNTB2/CAPNS1/ITGB2/ICAM1/CAPN1/FGF2/SPARC/ITGAM/VCAN/ACAN/TNR/CD151/ITGA7/SSPN,19
R-HSA-4420097,VEGFA-VEGFR2 Pathway,10/230,98/11230,0.10204081632653061,4.982253771073647,5.72523724085727,3.093676991156615e-5,0.0016520235132776325,0.0013134558453682472,ITGAV/PIK3R1/ELMO2/CYBB/AKT2/PIK3CA/DOCK1/ITPR2/CYFIP1/WASF2,10
R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,9/230,86/11230,0.10465116279069768,5.109706774519718,5.531942108011152,6.337348520546998e-5,0.0030902964473246463,0.0024569674099893697,PIK3R1/PLPP4/ELMO2/NCKIPSD/PIK3CA/DOCK1/ITPR2/CYFIP1/WASF2,9
R-HSA-194138,Signaling by VEGF,10/230,107/11230,0.09345794392523364,4.56318569687119,5.354975558663779,6.610572582397776e-5,0.0030902964473246463,0.0024569674099893697,ITGAV/PIK3R1/ELMO2/CYBB/AKT2/PIK3CA/DOCK1/ITPR2/CYFIP1/WASF2,10
R-HSA-9013404,RAC2 GTPase cycle,9/230,87/11230,0.10344827586206896,5.050974512743628,5.484741808141836,6.944486398482351e-5,0.0030902964473246463,0.0024569674099893697,PIK3R1/CDC42EP1/PREX1/CYBB/PIK3CA/DOCK1/GIT2/CYFIP1/WASF2,9
R-HSA-1660499,Synthesis of PIPs at the plasma membrane,7/230,53/11230,0.1320754716981132,6.448728465955702,5.749215547015417,9.538376704988236e-5,0.004021178810892408,0.00319707363241988,SYNJ1/RAB5A/PIK3R1/PIK3C2A/PIK3CA/PIP4K2A/MTMR1,7
R-HSA-9012999,RHO GTPase cycle,22/230,442/11230,0.049773755656108594,2.4302577218178243,4.4360157893454835,1.0718445344555149e-4,0.004192020890918463,0.0033329031329333994,PIK3R1/RHOG/CDC42EP1/ARHGEF6/STEAP3/PREX2/PREX1/ARHGEF26/ELMO2/ANKFY1/CYBB/RHOC/PIK3CA/MTMR1/DOCK1/WDR81/FERMT2/VIM/GIT2/CYFIP1/ARAP1/WASF2,22
R-HSA-9013149,RAC1 GTPase cycle,13/230,185/11230,0.07027027027027027,3.431022326674501,4.820921589436878,1.0990316942482863e-4,0.004192020890918463,0.0033329031329333994,PIK3R1/CDC42EP1/ARHGEF6/PREX2/PREX1/CYBB/PIK3CA/DOCK1/FERMT2/GIT2/CYFIP1/ARAP1/WASF2,13
