ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-1630316,Glycosaminoglycan metabolism,4/13,136/11230,0.029411764705882353,25.407239819004527,9.74872678117839,1.3519312562491557e-5,3.4832651843933794e-4,1.711077634438853e-4,HEXB/B3GAT3/GLB1/SLC35B2,4
R-HSA-71387,Metabolism of carbohydrates and carbohydrate derivatives,5/13,299/11230,0.016722408026755852,14.445587856959094,8.022122675375803,1.3973529692756962e-5,3.4832651843933794e-4,1.711077634438853e-4,HEXB/B3GAT3/GLB1/SLC35B2/ADPGK,5
R-HSA-3781865,Diseases of glycosylation,4/13,145/11230,0.027586206896551724,23.83023872679045,9.419556648644697,1.7416325921966896e-5,3.4832651843933794e-4,1.711077634438853e-4,HEXB/ALG6/B3GAT3/GLB1,4
R-HSA-2022857,Keratan sulfate degradation,2/13,15/11230,0.13333333333333333,115.17948717948717,15.063917752375009,1.2879669899033255e-4,0.0017422557403270465,8.558449250729352e-4,HEXB/GLB1,2
R-HSA-5668914,Diseases of metabolism,4/13,270/11230,0.014814814814814815,12.797720797720798,6.680032511463813,1.968797332640591e-4,0.0017422557403270465,8.558449250729352e-4,HEXB/ALG6/B3GAT3/GLB1,4
R-HSA-428157,Sphingolipid metabolism,3/13,107/11230,0.028037383177570093,24.219985621854782,8.21574069939923,2.2438717526258167e-4,0.0017422557403270465,8.558449250729352e-4,HEXB/GLB1/CERS2,3
R-HSA-2024101,CS/DS degradation,2/13,20/11230,0.1,86.38461538461539,13.010550572195855,2.3230076537693952e-4,0.0017422557403270465,8.558449250729352e-4,HEXB/GLB1,2
R-HSA-3781860,Diseases associated with N-glycosylation of proteins,2/13,20/11230,0.1,86.38461538461539,13.010550572195855,2.3230076537693952e-4,0.0017422557403270465,8.558449250729352e-4,ALG6/GLB1,2
R-HSA-446203,Asparagine N-linked glycosylation,4/13,312/11230,0.01282051282051282,11.074950690335307,6.144018835346783,3.426207634667626e-4,0.0022841384231117507,0.0011220329095987546,ALG6/COPG1/GLB1/MAGT1,4
R-HSA-1638074,Keratan sulfate/keratin metabolism,2/13,37/11230,0.05405405405405406,46.6943866943867,9.477511496925894,8.052848950727898e-4,0.0043924630640333985,0.002157701154262021,HEXB/GLB1,2
R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,2/13,37/11230,0.05405405405405406,46.6943866943867,9.477511496925894,8.052848950727898e-4,0.0043924630640333985,0.002157701154262021,HEXB/GLB1,2
R-HSA-9840310,Glycosphingolipid catabolism,2/13,39/11230,0.05128205128205128,44.299802761341226,9.221204018043533,8.94800783781219e-4,0.004474003918906095,0.002197756311041591,HEXB/GLB1,2
R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,2/13,41/11230,0.04878048780487805,42.13883677298312,8.983636193002457,9.889056138666222e-4,0.004564179756307487,0.0022420532136247307,HEXB/B3GAT3,2
R-HSA-1660662,Glycosphingolipid metabolism,2/13,58/11230,0.034482758620689655,29.787798408488065,7.48274323899061,0.0019714861893702683,0.008449226525872579,0.004150497240779513,HEXB/GLB1,2
R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",2/13,80/11230,0.025,21.596153846153847,6.293576914618205,0.0037151144065545386,0.014860457626218154,0.007299873921651024,ALG6/GLB1,2
R-HSA-8856688,Golgi-to-ER retrograde transport,2/13,134/11230,0.014925373134328358,12.893226176808266,4.714902434894651,0.010113830263348339,0.03792686348755627,0.01863073995879957,COPG1/GALNT2,2
R-HSA-2206281,Mucopolysaccharidoses,1/13,11/11230,0.09090909090909091,78.53146853146853,8.757923266719494,0.01266590817109392,0.04470320530974325,0.021959469274961597,GLB1,1
