ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0044782,cilium organization,49/419,136/5514,0.3602941176470588,4.741436192615471,12.668532556677844,6.681533796091298e-22,2.7167116414907215e-18,2.466540949778124e-18,9742/79659/28981/89891/57539/51626/145173/6738/26160/123872/89765/55764/83538/51364/403/84747/9576/80173/6102/56912/27077/90506/345895/221421/57728/79989/26146/79969/26123/9368/5990/1767/56683/352909/9696/8100/123016/5991/11020/92104/202018/83544/29105/79598/116143/207/95681/79583/4957,49,ATRT_vs_EPN_like,Down,GO_BP
GO:0060271,cilium assembly,47/419,130/5514,0.36153846153846153,4.757811639434551,12.433204340536983,4.142069305439345e-21,8.420826897958189e-18,7.645387923250412e-18,9742/79659/28981/89891/57539/51626/145173/6738/26160/123872/89765/55764/83538/51364/403/84747/9576/80173/6102/56912/27077/90506/345895/221421/57728/79989/26146/79969/26123/5990/1767/56683/352909/9696/8100/123016/5991/11020/202018/83544/29105/79598/116143/207/95681/79583/4957,47,ATRT_vs_EPN_like,Down,GO_BP
GO:0007018,microtubule-based movement,50/419,169/5514,0.2958579881656805,3.8934628800610076,10.95509949736033,4.3608337003735894e-18,5.9103832752396715e-15,5.3661206270912896e-15,5813/54585/9742/79659/28981/89891/57539/51626/25911/10383/4131/493/26160/123872/1783/146845/3796/55764/83538/51364/403/127829/9576/80173/56912/219681/83853/89953/90506/345895/221421/57728/1770/79989/26146/9368/1767/56683/83658/352909/8100/5991/361/11020/4130/92104/7345/29105/23230/10300,50,ATRT_vs_EPN_like,Down,GO_BP
GO:0003341,cilium movement,25/419,44/5514,0.5681818181818182,7.477218485571709,12.36944276176773,1.9210767158084892e-17,1.9527744816193294e-14,1.7729515900895716e-14,54585/79659/28981/25911/10383/493/123872/146845/83538/51364/9576/219681/83853/90506/345895/221421/1770/9368/1767/56683/352909/5991/361/29105/23230,25,ATRT_vs_EPN_like,Down,GO_BP
GO:0120031,plasma membrane bounded cell projection assembly,56/419,240/5514,0.23333333333333334,3.0706443914081145,9.405242378620718,5.0262628465394084e-15,3.868013557112298e-12,3.5118242537066895e-12,5962/9742/79659/28981/1809/89891/57539/51626/145173/6738/26160/123872/23580/89765/55764/83538/51364/5217/403/84747/9576/80173/6102/56912/10152/27077/90506/345895/221421/57728/79989/26146/79969/26123/9368/2823/5990/1767/84687/56683/352909/9696/8100/123016/5991/11020/202018/83544/5064/29105/79598/116143/207/95681/79583/4957,56,ATRT_vs_EPN_like,Down,GO_BP
GO:0030031,cell projection assembly,57/419,248/5514,0.22983870967741934,3.02465547771191,9.355466745470792,5.707840959831232e-15,3.868013557112298e-12,3.5118242537066895e-12,5962/9742/79659/28981/1809/89891/57539/51626/145173/6738/26160/123872/23580/89765/55764/83538/51364/5217/403/84747/9576/80173/6102/56912/10152/27077/90506/345895/221421/57728/79989/26146/79969/26123/9368/2823/5990/1767/84687/56683/352909/9696/8100/123016/5991/11020/202018/83544/5064/29105/79598/116143/207/5881/95681/79583/4957,57,ATRT_vs_EPN_like,Down,GO_BP
GO:0007017,microtubule-based process,74/419,390/5514,0.18974358974358974,2.497007527079126,8.793882137061154,1.9766702387513794e-14,1.1481630272518727e-11,1.0424334627520432e-11,23363/5813/54585/9742/79659/28981/89891/57539/51626/3996/50810/25911/1027/4204/10383/1069/4131/493/26160/123872/1783/146845/89765/3796/55764/83538/51364/403/127829/9576/80173/56912/1499/219681/83853/5516/89953/51673/10726/90506/345895/79643/221421/80129/57728/2064/1770/79989/26146/79969/5728/9368/9053/1767/56683/83658/352909/9696/8100/5991/361/11020/4130/92104/58497/83544/7345/29105/79598/23230/10300/166614/116143/4957,74,ATRT_vs_EPN_like,Down,GO_BP
GO:0042073,intraciliary transport,17/419,25/5514,0.68,8.94873508353222,11.422214865390714,4.226976780399677e-14,2.148360948638136e-11,1.9505273116923247e-11,9742/79659/28981/89891/57539/51626/26160/55764/403/80173/56912/57728/79989/26146/8100/11020/92104,17,ATRT_vs_EPN_like,Down,GO_BP
GO:0001539,cilium or flagellum-dependent cell motility,18/419,33/5514,0.5454545454545454,7.178129746148839,10.207350012310918,1.794935744605319e-12,7.298208737565228e-10,6.626147006664058e-10,54585/79659/28981/25911/10383/493/146845/9576/219681/83853/90506/345895/221421/1770/1767/5991/29105/23230,18,ATRT_vs_EPN_like,Down,GO_BP
GO:0060285,cilium-dependent cell motility,18/419,33/5514,0.5454545454545454,7.178129746148839,10.207350012310918,1.794935744605319e-12,7.298208737565228e-10,6.626147006664058e-10,54585/79659/28981/25911/10383/493/146845/9576/219681/83853/90506/345895/221421/1770/1767/5991/29105/23230,18,ATRT_vs_EPN_like,Down,GO_BP
GO:0099111,microtubule-based transport,34/419,117/5514,0.2905982905982906,3.824245762193257,8.854175402345497,2.3152338209863914e-12,8.557946105573334e-10,7.769880392535192e-10,5813/9742/79659/28981/89891/57539/51626/25911/4131/26160/123872/55764/83538/403/127829/9576/80173/56912/83853/345895/57728/1770/79989/26146/9368/1767/352909/8100/5991/361/11020/4130/92104/7345,34,ATRT_vs_EPN_like,Down,GO_BP
GO:0003351,epithelial cilium movement involved in extracellular fluid movement,12/419,14/5514,0.8571428571428571,11.279918172519602,11.043360368604393,2.5278041843205384e-12,8.565043177872757e-10,7.776323924922919e-10,25911/123872/83538/9576/83853/345895/1770/9368/1767/352909/5991/361,12,ATRT_vs_EPN_like,Down,GO_BP
GO:0060294,cilium movement involved in cell motility,17/419,32/5514,0.53125,6.9911992840095465,9.746488008283434,1.3402020846178397e-11,4.191739750812412e-9,3.805739846764991e-9,54585/79659/28981/25911/10383/493/146845/9576/219681/83853/90506/345895/221421/1770/1767/29105/23230,17,ATRT_vs_EPN_like,Down,GO_BP
GO:0035082,axoneme assembly,13/419,19/5514,0.6842105263157895,9.004145207888456,10.021594463228237,4.1955416382385376e-11,1.1897644078718146e-8,1.0802039450142268e-8,123872/89765/83538/51364/9576/90506/345895/221421/79989/1767/352909/83544/116143,13,ATRT_vs_EPN_like,Down,GO_BP
GO:0006858,extracellular transport,12/419,16/5514,0.75,9.869928400954654,10.188415580162125,4.389194815070639e-11,1.1897644078718146e-8,1.0802039450142268e-8,25911/123872/83538/9576/83853/345895/1770/9368/1767/352909/5991/361,12,ATRT_vs_EPN_like,Down,GO_BP
GO:0035720,intraciliary anterograde transport,9/419,10/5514,0.9,11.843914081145586,9.841827954577226,7.275468236077935e-10,1.848878365493305e-7,1.6786228357845602e-7,28981/26160/55764/80173/56912/79989/26146/8100/11020,9,ATRT_vs_EPN_like,Down,GO_BP
GO:0001578,microtubule bundle formation,15/419,33/5514,0.45454545454545453,5.981774788457367,8.230762550752274,3.6983700467528495e-9,8.845630947115934e-7,8.031073531865166e-7,4131/123872/89765/83538/51364/9576/51673/90506/345895/221421/79989/1767/352909/83544/116143,15,ATRT_vs_EPN_like,Down,GO_BP
GO:0030317,flagellated sperm motility,13/419,27/5514,0.48148148148148145,6.3362503314770615,7.970388860255352,1.7598936181127706e-8,3.766172342761329e-6,3.419361173806918e-6,54585/28981/25911/10383/493/146845/9576/219681/83853/90506/1767/29105/23230,13,ATRT_vs_EPN_like,Down,GO_BP
GO:0097722,sperm motility,13/419,27/5514,0.48148148148148145,6.3362503314770615,7.970388860255352,1.7598936181127706e-8,3.766172342761329e-6,3.419361173806918e-6,54585/28981/25911/10383/493/146845/9576/219681/83853/90506/1767/29105/23230,13,ATRT_vs_EPN_like,Down,GO_BP
GO:0060972,left/right pattern formation,14/419,35/5514,0.4,5.2639618138424815,7.2564731424393365,9.111401016466555e-8,1.8523478266476507e-5,1.681772808670958e-5,9742/79659/51626/25911/26160/123872/146845/55764/83538/80173/57669/1767/352909/5991,14,ATRT_vs_EPN_like,Down,GO_BP
GO:0003002,regionalization,22/419,85/5514,0.25882352941176473,3.406092938368665,6.4104844947287205,1.9571488465805876e-7,3.789412957236509e-5,3.440461656620612e-5,6045/9742/79659/51626/25911/10409/26160/123872/146845/55764/83538/80173/1499/57728/26146/6604/57669/5087/1767/352909/5991/286204,22,ATRT_vs_EPN_like,Down,GO_BP
GO:0035721,intraciliary retrograde transport,7/419,9/5514,0.7777777777777778,10.235481304693716,7.951170020799139,4.3906696889172975e-7,8.114755888698968e-5,7.367501722025341e-5,9742/79659/89891/57539/51626/55764/57728,7,ATRT_vs_EPN_like,Down,GO_BP
GO:0007389,pattern specification process,23/419,96/5514,0.23958333333333334,3.1528937947494033,6.1019358240783586,4.6894535062696335e-7,8.290138241953187e-5,7.52673384278609e-5,6045/9742/79659/51626/25911/10409/26160/123872/146845/55764/83538/80173/1499/57728/26146/6604/57669/5087/1767/352909/123016/5991/286204,23,ATRT_vs_EPN_like,Down,GO_BP
GO:0007224,smoothened signaling pathway,15/419,45/5514,0.3333333333333333,4.386634844868735,6.5410818146731415,5.239245347433827e-7,8.876154826110809e-5,8.058786593618611e-5,9742/79659/28981/6738/26160/55764/403/56912/27077/57728/79989/26146/26123/11020/79583,15,ATRT_vs_EPN_like,Down,GO_BP
GO:0070925,organelle assembly,65/419,468/5514,0.1388888888888889,1.8277645186953064,5.367660309536209,6.22292144663275e-7,1.0120959440803504e-4,9.18896232140676e-5,23363/5962/23241/9742/1153/79659/28981/89891/57539/51626/145173/10254/1069/6738/26160/123872/89765/94030/3796/55764/83538/51364/403/84747/9576/80173/6102/56912/5339/27077/90506/345895/79643/221421/57728/79989/10058/26146/79969/26123/5728/5990/91807/6311/1767/10670/56683/352909/9696/8100/7111/123016/5991/8723/11020/202018/83544/29105/79598/116143/207/3297/95681/79583/4957,65,ATRT_vs_EPN_like,Down,GO_BP
GO:0009799,specification of symmetry,13/419,35/5514,0.37142857142857144,4.887964541425162,6.616595435263528,7.358525842886452e-7,1.1081394843398633e-4,1.0060955216765219e-4,9742/79659/51626/25911/26160/123872/146845/83538/80173/1499/1767/352909/5991,13,ATRT_vs_EPN_like,Down,GO_BP
GO:0009855,determination of bilateral symmetry,13/419,35/5514,0.37142857142857144,4.887964541425162,6.616595435263528,7.358525842886452e-7,1.1081394843398633e-4,1.0060955216765219e-4,9742/79659/51626/25911/26160/123872/146845/83538/80173/1499/1767/352909/5991,13,ATRT_vs_EPN_like,Down,GO_BP
GO:0061512,protein localization to cilium,12/419,30/5514,0.4,5.2639618138424815,6.715125358723181,7.773984348139875e-7,1.1288935842691691e-4,1.0249384627415993e-4,54585/9742/79659/57539/55764/83538/51364/403/57728/79989/9696/207,12,ATRT_vs_EPN_like,Down,GO_BP
GO:0048609,multicellular organismal reproductive process,41/419,247/5514,0.1659919028340081,2.184437594813176,5.461449405402649,1.0401535070648516e-6,1.4478596067241234e-4,1.3145322289542292e-4,54585/6045/28981/25911/4204/2591/1069/493/18/146845/89765/9576/1499/219681/83853/51673/90506/84058/5730/79989/79969/5728/5990/3014/3306/57599/84687/65975/352909/3020/57095/11020/23345/7345/928/8607/207/3297/6305/4957/80025,41,ATRT_vs_EPN_like,Down,GO_BP
GO:0007423,sensory organ development,31/419,162/5514,0.19135802469135801,2.5182533368690883,5.624353548481923,1.0682682784486892e-6,1.4478596067241234e-4,1.3145322289542292e-4,8842/8575/9742/145173/1027/493/26160/10763/55764/10152/1499/5594/6657/27077/57728/4646/26146/9368/6604/2823/5087/8100/7111/123016/11020/23513/2782/1687/79583/286204/22882,31,ATRT_vs_EPN_like,Down,GO_BP
GO:0007368,determination of left/right symmetry,12/419,32/5514,0.375,4.934964200477327,6.401403053865729,1.7632052137774308e-6,2.3126427094254947e-4,2.0996810474422582e-4,9742/79659/51626/25911/26160/123872/146845/83538/80173/1767/352909/5991,12,ATRT_vs_EPN_like,Down,GO_BP
GO:0007276,gamete generation,36/419,209/5514,0.1722488038277512,2.266777814573318,5.353771251754643,2.0155538761444473e-6,2.5610131438760385e-4,2.3251800801442688e-4,54585/6045/28981/25911/4204/2591/1069/493/146845/89765/9576/1499/219681/83853/90506/5730/79989/79969/5728/5990/3014/3306/57599/65975/352909/3020/57095/11020/23345/7345/8607/207/3297/6305/4957/80025,36,ATRT_vs_EPN_like,Down,GO_BP
GO:0007283,spermatogenesis,29/419,152/5514,0.19078947368421054,2.5107712598919734,5.416091804210946,2.5597124802890227e-6,3.153876043895505e-4,2.8634486980458064e-4,54585/28981/25911/2591/1069/493/146845/89765/9576/219681/83853/90506/79989/79969/5990/3014/3306/57599/65975/352909/3020/57095/11020/23345/8607/3297/6305/4957/80025,29,ATRT_vs_EPN_like,Down,GO_BP
GO:0048232,male gamete generation,29/419,153/5514,0.1895424836601307,2.4943609902194765,5.375356188179912,2.939670284742391e-6,3.515499816988989e-4,3.19177203981163e-4,54585/28981/25911/2591/1069/493/146845/89765/9576/219681/83853/90506/79989/79969/5990/3014/3306/57599/65975/352909/3020/57095/11020/23345/8607/3297/6305/4957/80025,29,ATRT_vs_EPN_like,Down,GO_BP
GO:0007286,spermatid development,15/419,51/5514,0.29411764705882354,3.870560157237119,5.905613953549099,3.1644117983996877e-6,3.6761423920837516e-4,3.3376217073647236e-4,28981/146845/89765/9576/219681/83853/90506/79989/5990/3306/65975/3020/57095/6305/80025,15,ATRT_vs_EPN_like,Down,GO_BP
GO:0070286,axonemal dynein complex assembly,7/419,11/5514,0.6363636363636364,8.374484703840313,7.020324369248558,3.516272557095874e-6,3.9714345047643955e-4,3.6057215958290145e-4,123872/83538/51364/1767/352909/83544/116143,7,ATRT_vs_EPN_like,Down,GO_BP
GO:0010970,transport along microtubule,22/419,104/5514,0.21153846153846154,2.7838259592436203,5.266225241773431,7.653679200505111e-6,8.410772872771292e-4,7.63625973148547e-4,5813/9742/79659/28981/89891/57539/51626/4131/26160/55764/403/127829/80173/56912/57728/79989/26146/8100/11020/4130/92104/7345,22,ATRT_vs_EPN_like,Down,GO_BP
GO:0048515,spermatid differentiation,15/419,55/5514,0.2727272727272727,3.5890648730744195,5.533458327807218,8.893475269586576e-6,9.516018538457636e-4,8.639727914249341e-4,28981/146845/89765/9576/219681/83853/90506/79989/5990/3306/65975/3020/57095/6305/80025,15,ATRT_vs_EPN_like,Down,GO_BP
GO:0003006,developmental process involved in reproduction,41/419,271/5514,0.15129151291512916,1.9909818668592416,4.797216711386876,1.1609092703692636e-5,0.0012103223316208785,0.00109886877494872,54585/6045/28981/25911/1027/4204/2591/1069/493/10409/146845/89765/9576/1499/219681/83853/51673/90506/57728/79989/4254/79969/5990/3014/5087/3306/57599/84687/65975/352909/3020/57095/11020/23345/8607/207/3297/6305/118429/4957/80025,41,ATRT_vs_EPN_like,Down,GO_BP
GO:0000226,microtubule cytoskeleton organization,41/419,272/5514,0.15073529411764705,1.9836620805840235,4.771015058011766,1.2724231934494824e-5,0.001293418176141399,0.0011743126682703514,23363/3996/50810/1027/4204/10383/1069/4131/26160/123872/1783/89765/3796/83538/51364/9576/1499/5516/51673/10726/90506/345895/79643/221421/80129/79989/26146/79969/5728/9053/1767/352909/9696/4130/58497/83544/79598/10300/166614/116143/4957,41,ATRT_vs_EPN_like,Down,GO_BP
GO:0090660,cerebrospinal fluid circulation,5/419,6/5514,0.8333333333333334,10.966587112171839,7.004127448282768,1.393755279961978e-5,0.0013821973093476592,0.0012549164998271263,83538/1770/9368/352909/361,5,ATRT_vs_EPN_like,Down,GO_BP
GO:0043010,camera-type eye development,21/419,101/5514,0.2079207920792079,2.736217774522082,5.049807056750706,1.6342549246617833e-5,0.0015821144103987644,0.0014364240653606199,8842/9742/145173/1027/493/26160/10763/55764/10152/1499/27077/57728/26146/6604/2823/7111/123016/2782/79583/286204/22882,21,ATRT_vs_EPN_like,Down,GO_BP
GO:0001654,eye development,23/419,117/5514,0.19658119658119658,2.586989780307203,4.975305642543515,1.7143894108079412e-5,0.001621094731243044,0.0014718148503558017,8842/9742/145173/1027/493/26160/10763/55764/10152/1499/6657/27077/57728/26146/6604/2823/5087/7111/123016/2782/79583/286204/22882,23,ATRT_vs_EPN_like,Down,GO_BP
GO:0097435,supramolecular fiber organization,53/419,396/5514,0.13383838383838384,1.7613003543791133,4.509022450718216,2.2883323511571177e-5,0.002114627122682918,0.001919899893662204,23363/118/5962/120/9101/1809/65108/6709/50810/1027/4204/6711/4131/4082/10409/26160/23580/3796/81873/5217/7082/10580/5339/10152/11315/5516/50848/51673/348110/1627/388/4646/57482/91807/1471/55740/81553/84687/10552/7111/123016/948/10458/961/4130/58497/22998/57026/171024/10300/7248/5881/83481,53,ATRT_vs_EPN_like,Down,GO_BP
GO:0043217,myelin maintenance,6/419,10/5514,0.6,7.895942720763723,6.258688637194172,2.9998591456166836e-5,0.0026195321061093504,0.002378310274193049,23136/5339/64398/5728/10397/207,6,ATRT_vs_EPN_like,Down,GO_BP
GO:0048880,sensory system development,23/419,121/5514,0.19008264462809918,2.501469456991262,4.788758002461555,3.0279884158174977e-5,0.0026195321061093504,0.002378310274193049,8842/9742/145173/1027/493/26160/10763/55764/10152/1499/6657/27077/57728/26146/6604/2823/5087/7111/123016/2782/79583/286204/22882,23,ATRT_vs_EPN_like,Down,GO_BP
GO:0150063,visual system development,23/419,121/5514,0.19008264462809918,2.501469456991262,4.788758002461555,3.0279884158174977e-5,0.0026195321061093504,0.002378310274193049,8842/9742/145173/1027/493/26160/10763/55764/10152/1499/6657/27077/57728/26146/6604/2823/5087/7111/123016/2782/79583/286204/22882,23,ATRT_vs_EPN_like,Down,GO_BP
GO:0030705,cytoskeleton-dependent intracellular transport,22/419,114/5514,0.19298245614035087,2.5396306996608464,4.763224174834026,3.532329118042363e-5,0.002992177123741718,0.002716639959862844,5813/9742/79659/28981/89891/57539/51626/4131/26160/55764/403/127829/80173/56912/57728/79989/26146/8100/11020/4130/92104/7345,22,ATRT_vs_EPN_like,Down,GO_BP
GO:0030029,actin filament-based process,52/419,394/5514,0.1319796954314721,1.7368401923845755,4.352265205477779,4.061266627060607e-5,0.00332717308459167,0.0030207875340210184,23363/118/5962/120/1809/65108/6709/3996/6717/6711/2037/10160/2036/4082/23396/23580/81873/5217/7082/10580/84168/23136/5339/10152/476/50848/348110/1627/388/4646/9368/57482/57669/91807/55740/81553/84687/10552/7111/123016/10458/961/114793/22998/781/57026/171024/477/7248/9578/5881/83660,52,ATRT_vs_EPN_like,Down,GO_BP
