ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0030029,actin filament-based process,127/894,394/5514,0.3223350253807107,1.9880932102340478,8.95267488202187,1.9737878419471347e-16,9.872886785419569e-13,8.402103192457068e-13,118/2037/120/6709/6711/81553/1809/57580/10006/23396/26999/388/84168/2036/10580/10787/4082/7248/4646/6717/81873/5962/5879/28988/114793/5048/3996/830/10552/8976/4035/22902/5339/817/5295/10152/7111/5898/10160/7082/348110/961/287/65108/2764/1465/23580/391/29767/83660/11188/1073/2475/23122/23191/9444/64236/9922/5217/63916/4763/10611/5290/477/1785/2059/23136/57669/1739/57551/3636/274/3845/2017/9578/55160/55740/50488/116985/476/399687/85477/9368/2824/51571/57026/23406/29085/10163/84687/119/781/140465/25802/8572/84978/5872/57482/5881/55616/5911/613/5829/11135/30011/10391/10458/10801/1266/2039/79778/4983/26084/8153/10634/56907/79784/55604/57731/9026/22998/22808/54749/2318/4644/25959/7168,127,ATRT_vs_Glial,Down,GO_BP
GO:0030036,actin cytoskeleton organization,118/894,363/5514,0.325068870523416,2.004954979939727,8.713565739271132,1.3399417545466228e-15,3.3511943281211036e-12,2.851960239677128e-12,118/2037/120/6709/6711/81553/1809/57580/10006/23396/26999/388/84168/2036/10580/10787/4082/7248/4646/81873/5962/5879/28988/114793/5048/3996/830/10552/8976/4035/22902/5339/5295/10152/7111/5898/10160/7082/348110/961/65108/2764/1465/23580/391/29767/83660/11188/1073/2475/23122/23191/64236/9922/5217/63916/4763/10611/5290/1785/2059/23136/57669/1739/57551/3636/274/3845/2017/9578/55160/55740/50488/116985/399687/85477/9368/2824/51571/57026/23406/29085/10163/84687/119/25802/8572/84978/5872/57482/5881/55616/5911/613/5829/11135/30011/10391/10458/10801/1266/2039/79778/4983/26084/8153/10634/56907/79784/55604/57731/9026/22998/22808/2318/4644/25959/7168,118,ATRT_vs_Glial,Down,GO_BP
GO:0099536,synaptic signaling,95/894,278/5514,0.34172661870503596,2.1076963932209933,8.33652560638169,3.487157820791484e-14,5.814254473199667e-11,4.9480934130809686e-11,2775/1267/2776/5594/64854/4131/23396/5595/2670/18/2771/2767/5879/5048/818/5530/4130/11315/817/5868/9581/10160/57465/6814/1399/1837/2782/590/6285/29767/347733/5621/23191/7915/23557/4204/9101/5728/5217/1312/5270/55327/1499/9885/4763/8867/477/25927/6812/27020/6507/1739/6506/23154/3845/5906/29/207/5789/50488/54899/84896/8573/5534/6810/3556/9342/6196/8572/57406/8773/2898/163/5881/23230/613/6855/2893/5027/8825/8898/7204/66004/28964/10458/54413/156/2890/4983/6844/6856/26232/23236/6622/3766,95,ATRT_vs_Glial,Down,GO_BP
GO:0099537,trans-synaptic signaling,90/894,263/5514,0.34220532319391633,2.11064893969939,8.118493350325533,1.6022446980270863e-13,2.0036069948828714e-10,1.705125673374089e-10,2775/1267/5594/64854/4131/23396/5595/2670/18/2771/5879/5048/818/5530/4130/11315/817/5868/9581/10160/57465/6814/1837/590/6285/29767/347733/5621/23191/7915/23557/4204/9101/5728/5217/1312/5270/55327/1499/9885/4763/8867/477/25927/6812/27020/6507/1739/6506/23154/3845/5906/29/207/5789/50488/54899/84896/8573/5534/6810/3556/9342/6196/8572/57406/8773/2898/163/5881/23230/613/6855/2893/5027/8825/8898/7204/66004/28964/10458/54413/2890/4983/6844/6856/26232/23236/6622/3766,90,ATRT_vs_Glial,Down,GO_BP
GO:0098657,import into cell,125/894,422/5514,0.2962085308056872,1.8269506027545406,7.77559020374062,4.401772376046608e-13,4.4035330849970266e-10,3.7475299976278916e-10,55198/495/1808/5594/64854/23396/140885/5595/975/5869/4646/2670/55207/5879/28988/6653/9146/5530/11315/8976/23301/493/4035/5868/4735/30845/27131/5898/57465/7249/961/22905/64422/56262/53916/287/51479/3685/7879/10203/23011/5621/29934/9135/85021/23102/29924/196527/6642/482/208/27342/23654/63916/8867/5290/477/928/1785/6272/9784/8724/26052/6507/1739/3636/6506/23154/7525/274/160/5906/2060/2017/376497/207/10043/8660/116985/476/399687/55680/6845/9368/2824/84896/481/5534/27347/10163/1173/51517/25938/112574/781/196051/824/977/8140/163/1175/613/6855/11031/5027/51606/30011/5289/8898/54413/156/2890/4983/6844/55604/53353/55333/9026/8522/7275/6622/1454/10947/4644/3766,125,ATRT_vs_Glial,Down,GO_BP
GO:0007268,chemical synaptic transmission,88/894,260/5514,0.3384615384615385,2.0875580795043884,7.901978919348889,6.260324561345056e-13,4.473449065121139e-10,3.8070304550495355e-10,2775/1267/5594/64854/4131/23396/5595/2670/18/2771/5879/5048/818/5530/4130/11315/817/5868/9581/57465/6814/1837/590/6285/29767/347733/5621/23191/7915/23557/4204/9101/5728/5217/1312/5270/55327/1499/9885/4763/8867/477/25927/6812/27020/6507/1739/6506/23154/3845/5906/29/207/5789/50488/54899/84896/8573/5534/6810/9342/6196/8572/57406/8773/2898/163/5881/23230/613/6855/2893/5027/8825/8898/7204/66004/28964/10458/54413/2890/4983/6844/6856/26232/23236/6622/3766,88,ATRT_vs_Glial,Down,GO_BP
GO:0098916,anterograde trans-synaptic signaling,88/894,260/5514,0.3384615384615385,2.0875580795043884,7.901978919348889,6.260324561345056e-13,4.473449065121139e-10,3.8070304550495355e-10,2775/1267/5594/64854/4131/23396/5595/2670/18/2771/5879/5048/818/5530/4130/11315/817/5868/9581/57465/6814/1837/590/6285/29767/347733/5621/23191/7915/23557/4204/9101/5728/5217/1312/5270/55327/1499/9885/4763/8867/477/25927/6812/27020/6507/1739/6506/23154/3845/5906/29/207/5789/50488/54899/84896/8573/5534/6810/9342/6196/8572/57406/8773/2898/163/5881/23230/613/6855/2893/5027/8825/8898/7204/66004/28964/10458/54413/2890/4983/6844/6856/26232/23236/6622/3766,88,ATRT_vs_Glial,Down,GO_BP
GO:0007267,cell-cell signaling,118/894,405/5514,0.291358024691358,1.797033722760792,7.329562037282616,7.567251603847147e-12,4.7314240653054286e-9,4.0265744060470876e-9,2775/1267/2776/5594/64854/4131/23396/5578/5781/5595/2670/6717/18/2771/2767/5879/5048/818/5530/4130/11315/817/5868/9581/10160/8723/57465/6814/1399/56262/287/9230/1837/25874/2782/590/6285/29767/347733/5621/23191/7915/23557/4204/9101/11165/5728/5217/5213/1312/5270/55327/1499/9885/4763/8867/477/25927/6812/27020/6507/1739/6506/23154/3845/5906/29/207/5789/50488/8660/54899/6845/84896/5019/8573/5534/29085/6810/3556/781/9342/5978/6196/8572/57406/8773/2898/163/5881/23230/613/6855/3033/2893/5027/8825/30011/8898/7204/66004/28964/10458/4282/54413/156/2890/4983/6844/6856/2746/5097/26232/23236/183/6622/9854/3766,118,ATRT_vs_Glial,Down,GO_BP
GO:0032535,regulation of cellular component size,67/894,186/5514,0.3602150537634409,2.2217290899906184,7.4557450123405475,1.840720596247384e-11,1.0230316024921573e-8,8.706285486812189e-9,118/2664/120/6709/6711/81553/57580/4131/26999/10787/7248/81873/5962/5879/5048/830/394/361/22902/4897/5868/7111/56262/51704/23580/29767/23011/1073/1185/2475/23122/4478/23191/56996/23557/5728/196527/5217/5290/4504/1785/23111/2059/1739/274/2017/85477/9368/51571/57026/23406/27347/1173/119/50809/25802/57482/57609/5027/11135/10458/2039/8153/55604/57731/9026/25959,67,ATRT_vs_Glial,Down,GO_BP
GO:0048666,neuron development,131/894,484/5514,0.2706611570247934,1.6693798879582893,6.78192707637315,1.3805174684960831e-10,6.905348377417408e-8,5.876644886945433e-8,81618/2664/1267/5306/1809/57580/10006/4131/5578/26999/5781/10787/2670/2823/5879/28988/23787/5048/3996/818/5530/4130/8976/22902/1400/4897/10152/10160/57465/1399/4684/79969/9448/10890/9201/6285/4685/347733/23303/23011/23122/3983/23191/403/23557/9922/347/4204/5870/55364/51347/54862/5728/4134/482/1499/51560/166614/23654/10611/4504/1785/3675/23111/5803/50810/6812/11021/8724/23136/27020/6507/57551/144402/1608/23154/55619/64398/9742/160/5906/2017/207/55740/214/7345/5789/50488/9368/2824/1501/51062/84687/2879/7431/5526/5364/51517/9907/2596/54776/5978/5872/6500/10752/5881/5911/23230/10300/57609/7074/8898/7204/28964/6091/10458/54413/56896/79778/4983/8153/10381/81628/57731/547/22911/80243/8522/288/22924/7368,131,ATRT_vs_Glial,Down,GO_BP
GO:1902903,regulation of supramolecular fiber organization,73/894,221/5514,0.33031674208144796,2.0373227246500045,6.923103905965715,2.431169447691798e-10,1.1055190524867614e-7,9.408276790876205e-8,118/120/6709/6711/81553/57580/4131/26999/10787/7248/81873/5962/1027/5879/5516/830/4130/11315/5295/10152/7111/7082/348110/961/2764/23580/29767/1073/2475/23122/1639/23191/4204/9101/5217/1410/5290/50810/2059/1739/57551/3636/274/2017/55160/116985/85477/51571/57026/23406/10163/119/25802/57482/55616/10300/5829/11135/10382/10391/28964/10458/2039/10634/55604/57731/22911/9026/22998/6622/22924/25959/7168,73,ATRT_vs_Glial,Down,GO_BP
GO:0090066,regulation of anatomical structure size,75/894,230/5514,0.32608695652173914,2.011234315728042,6.890902104341677,2.6887901265678573e-10,1.120777351091035e-7,9.538129185824926e-8,118/2664/120/6709/6711/81553/57580/4131/26999/5781/10787/7248/81873/5962/5879/5048/830/394/361/22902/4897/5868/7111/56262/51704/23580/29767/23011/1073/1185/2475/23122/4478/23191/56996/23557/5728/196527/5217/490/5290/4504/477/1785/23111/2059/1739/274/2017/10273/85477/9368/51571/57026/23406/27347/1173/2729/119/50809/25802/57482/6271/57609/5027/11135/10458/2039/8153/55604/57731/183/583/9026/25959,75,ATRT_vs_Glial,Down,GO_BP
GO:0031175,neuron projection development,122/894,446/5514,0.273542600896861,1.6871520149276191,6.6579988900544365,3.179810776368955e-10,1.1632213536932779e-7,9.899339536470921e-8,81618/2664/1267/5306/1809/57580/10006/4131/5578/26999/5781/10787/2670/2823/5879/28988/5048/3996/818/5530/4130/8976/22902/1400/4897/10152/10160/57465/1399/4684/9448/10890/9201/6285/4685/347733/23303/23011/23122/3983/23191/23557/9922/347/4204/5870/55364/51347/54862/5728/4134/482/1499/51560/23654/10611/4504/1785/3675/23111/5803/50810/6812/11021/8724/23136/27020/144402/1608/23154/55619/160/5906/2017/207/55740/214/7345/5789/50488/9368/2824/1501/51062/84687/2879/7431/5526/5364/51517/9907/2596/54776/5978/5872/6500/10752/5881/5911/23230/10300/57609/7074/7204/28964/6091/10458/54413/56896/79778/4983/8153/10381/81628/57731/547/22911/80243/8522/288/22924/7368,122,ATRT_vs_Glial,Down,GO_BP
GO:0051493,regulation of cytoskeleton organization,88/894,288/5514,0.3055555555555556,1.8846010439970173,6.782671076903461,3.2557175033398424e-10,1.1632213536932779e-7,9.899339536470921e-8,118/120/6709/6711/81553/5594/57580/4131/26999/5595/10787/10982/7248/81873/5962/1027/5879/5048/5516/830/4130/4035/5295/10763/10152/7111/5898/7082/348110/961/79643/79969/2764/23580/391/29767/1073/2475/23122/1639/23191/4204/5217/5290/50810/2059/1739/57551/3636/274/2017/55160/116985/85477/2824/51571/57026/23406/10163/5364/119/25932/25802/824/57482/5881/55616/10300/5829/5027/11135/10382/10391/28964/10458/2039/26084/8153/10634/55604/57731/22911/9026/22998/6622/22924/25959/7168,88,ATRT_vs_Glial,Down,GO_BP
GO:0000902,cell morphogenesis,116/894,419/5514,0.27684964200477324,1.7075491342442055,6.6272490121431735,4.1615399440552894e-10,1.3877348533443037e-7,1.1810012304392696e-7,2664/1267/5306/10006/4131/5578/26999/5781/10787/10672/5962/2823/5879/28988/114793/5048/3996/5530/4130/8976/22902/5339/4897/10763/10152/65082/10160/57465/348110/4684/9448/10890/989/9201/6285/23580/391/347733/23303/23011/23122/4478/3983/23191/55364/51347/54862/5728/6642/1499/23654/10611/4504/1785/23111/5803/6812/2059/23136/27020/57669/6507/1739/5064/144402/3679/55619/960/2017/55740/214/7345/5789/50488/116985/9368/1501/51062/10163/5364/2596/25932/54776/5978/10752/2768/5881/5911/23230/57609/5027/11135/30011/7074/7204/6091/10458/54413/2039/56896/4983/28316/26084/8153/10381/81628/79784/57731/547/22911/80243/8522/288/22924/7168/7368,116,ATRT_vs_Glial,Down,GO_BP
