ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0042254,ribosome biogenesis,72/415,193/5514,0.37305699481865284,4.956713902241088,15.962180318778383,1.6040966513625508e-33,5.595089119952577e-30,5.399895885323618e-30,10799/55781/64216/51575/64745/84128/79954/54475/27292/1662/25926/84916/55003/25879/79050/3669/10436/22984/23517/10199/55813/55027/11056/9188/27340/22894/55272/55720/51106/55226/23560/5394/5822/9790/55127/57647/9775/56902/23160/10885/5393/51096/57050/54606/4839/26155/10607/51202/64794/23016/65083/10556/705/134430/4931/51010/10514/117246/10813/27043/23029/4869/90459/30836/55661/23481/55299/23246/90441/83743/84135/2091,72,ATRT_vs_Glial,Up,GO_BP
GO:0006364,rRNA processing,61/415,142/5514,0.4295774647887324,5.707687086373664,16.212847472805798,1.6788047569474233e-32,2.927835496116306e-29,2.825693480377821e-29,10799/55781/64216/51575/84128/79954/27292/1662/25926/84916/55003/25879/79050/3669/10436/22984/23517/10199/55813/11056/9188/27340/22894/55272/55720/51106/55226/23560/5394/5822/9790/55127/57647/9775/23160/10885/5393/51096/57050/54606/4839/10607/51202/23016/65083/10556/705/134430/4931/51010/117246/10813/27043/23029/90459/55661/23481/55299/23246/84135/2091,61,ATRT_vs_Glial,Up,GO_BP
GO:0016072,rRNA metabolic process,63/415,166/5514,0.3795180722891566,5.042560603861228,15.086566890544475,8.360802397586803e-30,9.720826254260923e-27,9.381700374555297e-27,10799/55781/64216/51575/84128/79954/27292/1662/25926/84916/55003/25879/79050/3669/10436/22984/23517/10199/84172/55813/11056/9188/27340/22894/55272/55720/51106/55226/23560/5394/5822/9790/55127/57647/9775/23160/10885/5393/51096/57050/54606/4839/10607/51202/23016/65083/10556/705/134430/4931/51010/117246/10813/27043/23029/54464/90459/55661/23481/55299/23246/84135/2091,63,ATRT_vs_Glial,Up,GO_BP
GO:0022613,ribonucleoprotein complex biogenesis,78/415,302/5514,0.2582781456953642,3.4316763743716585,12.398883570847259,4.2370451772239966e-24,3.694703394539325e-21,3.5658080202006155e-21,10799/55781/64216/51575/64745/84128/79954/54475/27292/1662/25926/84916/55003/25879/79050/6936/3669/10436/22984/23517/10199/55813/55027/11056/9188/27340/22894/55272/55720/51106/55226/23560/5394/5822/9790/55127/57647/6732/9775/56902/23160/10885/5393/51096/57050/54606/4839/26155/10607/51202/64794/23016/65083/10556/705/134430/4931/51010/10514/117246/10813/27043/23029/8161/4869/90459/30836/55661/23481/55299/8559/23246/90441/83743/8683/6633/84135/2091,78,ATRT_vs_Glial,Up,GO_BP
GO:0042274,ribosomal small subunit biogenesis,35/415,74/5514,0.47297297297297297,6.28427222403126,13.055007667127082,1.2508258248178283e-20,8.725760953929171e-18,8.4213494479314e-18,10799/55781/64745/84128/79954/27292/25926/84916/25879/10436/10199/55813/11056/27340/55272/55720/55226/5394/5822/9790/55127/57647/56902/23160/10885/51096/57050/10607/65083/705/134430/4869/30836/84135/2091,35,ATRT_vs_Glial,Up,GO_BP
GO:0030490,maturation of SSU-rRNA,22/415,35/5514,0.6285714285714286,8.351669535283992,12.446432478625058,6.695521291789593e-17,3.89232971096035e-14,3.756539840551424e-14,10799/55781/79954/25926/84916/25879/10199/55813/11056/27340/55272/55720/55226/5822/9790/55127/57647/23160/10885/57050/10607/705,22,ATRT_vs_Glial,Up,GO_BP
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",15/415,23/5514,0.6521739130434783,8.665269774751179,10.508510898256466,3.0974097370625027e-12,1.5433950232677156e-9,1.4895513291918621e-9,10799/79954/84916/25879/55813/27340/55720/5822/9790/55127/57647/23160/57050/10607/705,15,ATRT_vs_Glial,Up,GO_BP
GO:0006259,DNA metabolic process,70/415,401/5514,0.1745635910224439,2.3193822672235074,7.826732147884266,4.875998369427575e-12,2.1259352890704224e-9,2.0517687875564977e-9,54929/4015/56916/79677/3838/8091/2071/9319/7037/2956/5111/56647/5558/4436/4172/11198/4175/55270/6749/23244/4678/3669/4171/5983/5531/4999/4176/2237/8208/5982/4174/56897/5422/64802/55671/4173/55226/23595/23560/6778/5394/55183/23411/79697/6418/983/3978/29128/151987/4931/51010/23347/4869/54780/10498/54464/11284/5937/3276/6240/1490/5965/3835/83743/6282/3148/3009/1022/29089/10919,70,ATRT_vs_Glial,Up,GO_BP
GO:0009101,glycoprotein biosynthetic process,28/415,90/5514,0.3111111111111111,4.133654618473896,8.550432465242759,2.8524787327152543e-11,1.1054939799678674e-8,1.0669271330085828e-8,285203/2683/8693/6646/5373/79644/113189/10905/55568/79709/11285/283464/5074/126792/2590/347734/7358/152002/55858/4245/9375/29929/81031/3074/54916/84061/8985/26229,28,ATRT_vs_Glial,Up,GO_BP
GO:0006260,DNA replication,32/415,117/5514,0.27350427350427353,3.6339820821748536,8.214952881077435,4.839628044374722e-11,1.688062261877903e-8,1.629171630095827e-8,5111/5558/4172/11198/4175/6749/23244/4678/4171/5983/4999/4176/2237/8208/5982/4174/56897/5422/4173/23595/23560/6418/983/3978/10498/11284/5937/6240/5965/83743/6282/10919,32,ATRT_vs_Glial,Up,GO_BP
