ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0006325,chromatin organization,155/701,331/5514,0.46827794561933533,3.6834302313053,19.215813501409418,6.289180223647184e-57,2.8389359529543387e-53,2.586508119346268e-53,8545/22880/6045/23774/53615/57459/29890/8019/8479/7468/84733/57634/23013/51773/9031/55929/51412/23411/8467/55729/8971/10951/8089/6599/3148/57332/11143/84864/4152/4221/345630/23234/7290/546/57492/1788/51317/10445/125476/3007/23028/9611/3066/6605/58499/11177/4297/339287/10902/2186/11168/25942/6598/6597/84656/201161/9112/5925/114991/5885/22976/6601/5929/10927/8359/3008/9555/50809/142/4676/54780/11335/79813/3054/7443/317772/55257/27336/64426/23168/26097/51780/9739/7913/3020/1108/6602/8805/9730/6015/91746/10363/9329/55506/54969/6419/10155/222229/55193/4204/79718/8295/54892/9219/3009/23558/9656/3151/55023/10428/196528/5928/8289/3146/23310/10919/84823/3006/54815/6421/25836/11011/115426/6596/7153/8841/23468/23186/23326/112869/29128/1107/9416/2332/6733/5977/4001/9810/328/64710/54971/1106/10013/23476/4796/10432/4171/7158/6294/3150/1786/9733/4678/10473/79366,155,ATRT_vs_MB,Down,GO_BP
GO:0045934,negative regulation of nucleobase-containing compound metabolic process,168/701,461/5514,0.3644251626898048,2.866534018647052,15.975586003433879,2.471334435650676e-43,5.577801821263576e-40,5.081844021098522e-40,283248/8545/6045/1912/53615/51222/57459/7468/7182/84733/7750/57060/26168/2551/5514/23013/57466/51773/55929/1602/1385/23411/51592/8467/55729/8971/10951/3148/57332/57507/84864/4152/4221/345630/7290/51523/1788/51317/10445/3007/1153/10949/23028/359948/9611/6664/3066/6605/3980/143684/9839/2186/4150/25942/6597/8241/9112/79066/5925/23211/6601/54386/23309/3008/9555/142/11335/79813/57727/3054/5494/9745/64426/84324/23168/55758/10409/7515/1108/8805/9730/6015/7541/26145/5469/1027/10363/55506/1996/10155/7090/4204/79718/22938/81857/9219/8452/3009/55192/4292/5928/4781/3146/2547/10919/1021/9774/3182/3006/6429/54815/5814/7251/6421/7936/25836/7520/6426/56893/1810/6829/9612/8841/23468/23186/7469/4841/112869/29128/3184/4848/1107/5977/207/112939/49854/3609/328/51538/23063/6432/27316/57215/3191/10013/2072/22985/1655/1488/6427/7014/1487/2521/1020/10657/7158/4784/6935/11338/5716/1786/55915/4089/3178/6714/10516/90806/56257,168,ATRT_vs_MB,Down,GO_BP
GO:0051253,negative regulation of RNA metabolic process,155/701,405/5514,0.38271604938271603,3.010408411264331,16.0394298799547,7.476330297230597e-43,1.1249384987232973e-39,1.0249130691677172e-39,283248/8545/6045/1912/53615/51222/57459/7468/7182/84733/7750/57060/2551/5514/23013/57466/51773/55929/1602/1385/23411/51592/8467/55729/10951/3148/57332/57507/84864/4152/4221/345630/7290/51523/1788/51317/3007/1153/10949/23028/359948/9611/6664/3066/6605/143684/9839/2186/4150/25942/6597/8241/9112/79066/5925/23211/6601/23309/3008/9555/142/11335/79813/57727/3054/5494/9745/64426/84324/23168/55758/10409/1108/8805/9730/6015/7541/26145/5469/1027/10363/55506/1996/10155/7090/4204/79718/22938/81857/9219/8452/3009/55192/5928/4781/3146/2547/10919/1021/9774/3182/3006/6429/54815/5814/7251/6421/7936/25836/7520/6426/1810/6829/9612/8841/23468/23186/7469/4841/112869/29128/3184/4848/1107/5977/207/112939/49854/3609/328/51538/6432/27316/57215/3191/10013/22985/1655/1488/6427/1487/2521/1020/10657/4784/6935/11338/5716/1786/55915/4089/6714/10516/90806/56257,155,ATRT_vs_MB,Down,GO_BP
GO:0006338,chromatin remodeling,119/701,256/5514,0.46484375,3.6564171718972895,16.609289126197673,1.0332070620447375e-42,1.1659741695174863e-39,1.0622999977391551e-39,8545/22880/6045/23774/53615/57459/29890/8019/7468/23013/51773/9031/55929/51412/23411/8467/55729/8971/10951/8089/6599/3148/11143/84864/4152/4221/345630/23234/7290/546/57492/1788/10445/125476/3007/23028/3066/6605/11177/4297/339287/2186/11168/25942/6598/6597/84656/201161/9112/5925/22976/6601/5929/10927/8359/3008/9555/50809/142/4676/11335/79813/3054/7443/317772/64426/26097/51780/9739/7913/3020/1108/6602/9730/6015/91746/9329/55506/54969/6419/10155/55193/4204/8295/9219/3009/23558/10428/196528/5928/8289/3146/10919/84823/3006/54815/6421/25836/115426/8841/23468/23326/112869/29128/1107/9416/6733/5977/4001/328/1106/10013/23476/10432/4171/7158/1786/9733/4678,119,ATRT_vs_MB,Down,GO_BP
GO:0045892,negative regulation of DNA-templated transcription,136/701,341/5514,0.39882697947214074,3.1371354704841425,15.54830592501279,1.1428317259440321e-39,1.0317484821822722e-36,9.400091691080701e-37,283248/8545/6045/1912/53615/51222/57459/7468/7182/84733/7750/2551/5514/23013/57466/51773/55929/1602/1385/23411/51592/8467/55729/10951/3148/57332/57507/84864/4152/4221/7290/51523/1788/51317/3007/23028/359948/9611/6664/3066/6605/9839/2186/4150/25942/6597/8241/9112/5925/23211/6601/23309/3008/9555/142/11335/79813/57727/3054/5494/9745/64426/84324/23168/55758/10409/1108/8805/9730/6015/7541/26145/5469/1027/10363/55506/10155/7090/4204/79718/22938/81857/9219/8452/3009/55192/5928/4781/3146/2547/10919/1021/9774/3006/54815/5814/7251/6421/7936/25836/7520/1810/6829/9612/8841/23468/23186/7469/4841/112869/29128/4848/1107/5977/112939/49854/3609/328/57215/3191/10013/1655/1488/6427/1487/1020/10657/4784/6935/5716/1786/55915/4089/6714/10516/56257,136,ATRT_vs_MB,Down,GO_BP
GO:1902679,negative regulation of RNA biosynthetic process,136/701,342/5514,0.39766081871345027,3.1279625597517327,15.505752652931488,1.6920194103056752e-39,1.2729626030199697e-36,1.1597754098358372e-36,283248/8545/6045/1912/53615/51222/57459/7468/7182/84733/7750/2551/5514/23013/57466/51773/55929/1602/1385/23411/51592/8467/55729/10951/3148/57332/57507/84864/4152/4221/7290/51523/1788/51317/3007/23028/359948/9611/6664/3066/6605/9839/2186/4150/25942/6597/8241/9112/5925/23211/6601/23309/3008/9555/142/11335/79813/57727/3054/5494/9745/64426/84324/23168/55758/10409/1108/8805/9730/6015/7541/26145/5469/1027/10363/55506/10155/7090/4204/79718/22938/81857/9219/8452/3009/55192/5928/4781/3146/2547/10919/1021/9774/3006/54815/5814/7251/6421/7936/25836/7520/1810/6829/9612/8841/23468/23186/7469/4841/112869/29128/4848/1107/5977/112939/49854/3609/328/57215/3191/10013/1655/1488/6427/1487/1020/10657/4784/6935/5716/1786/55915/4089/6714/10516/56257,136,ATRT_vs_MB,Down,GO_BP
GO:0000122,negative regulation of transcription by RNA polymerase II,103/701,247/5514,0.41700404858299595,3.280114584717032,13.991638132031385,9.226310033459769e-32,5.949651927291057e-29,5.420630571537943e-29,8545/6045/53615/51222/57459/7468/7182/84733/2551/23013/57466/55929/1602/23411/51592/55729/3148/57332/57507/4152/4221/51523/1788/51317/3007/23028/359948/9611/6664/3066/9839/2186/4150/25942/6597/8241/9112/5925/23309/3008/9555/142/79813/57727/3054/5494/9745/64426/84324/23168/1108/9730/7541/26145/5469/10363/55506/10155/4204/79718/22938/81857/9219/8452/3009/55192/5928/4781/3146/10919/1021/3006/54815/5814/7251/6421/7936/25836/1810/6829/9612/8841/23468/112869/29128/4848/1107/5977/112939/49854/57215/1655/1488/1487/10657/4784/6935/5716/1786/4089/6714/10516/56257,103,ATRT_vs_MB,Down,GO_BP
GO:0006259,DNA metabolic process,133/701,401/5514,0.3316708229426434,2.608891466056684,12.767507228770123,6.40840150099213e-29,3.6159405469348094e-26,3.294424297944244e-26,5599/7468/57634/56252/26168/3149/5514/79621/55929/51412/1602/23411/8467/58525/8971/8089/6599/3148/57332/23126/11143/4221/546/57492/10445/125476/3007/23028/6605/11177/3980/8099/10902/6877/25942/6598/7155/6597/9112/5885/22976/6601/54386/3008/9555/142/54780/259282/55257/27336/6878/7913/7515/1108/6602/9730/1027/8243/4521/10535/92675/54969/6419/10155/4774/222229/91875/55193/7334/56941/8295/55651/3009/9656/57599/3181/4292/1454/196528/5928/8289/4781/3146/2547/10919/3182/3006/3978/6421/5395/25836/7520/4176/56893/6596/7153/23583/4174/29089/23326/4841/112869/29128/3184/2332/84337/2237/5977/207/4173/328/64710/23063/1854/2072/5886/5887/4796/3835/988/7014/79077/4171/4175/2521/7158/9126/4784/3150/55512/4678/3178/6714,133,ATRT_vs_MB,Down,GO_BP
GO:0006281,DNA repair,100/701,261/5514,0.3831417624521073,3.013757030186761,12.719460683790341,3.0493912173292455e-27,1.5294391061138015e-24,1.3934469574392235e-24,5599/7468/57634/26168/79621/55929/51412/23411/8467/8089/6599/3148/57332/23126/11143/4221/546/57492/10445/125476/23028/6605/3980/10902/6877/6598/7155/6597/9112/5885/22976/6601/54386/9555/142/54780/259282/55257/27336/6878/7913/7515/1108/6602/9730/8243/4521/10535/54969/6419/10155/91875/55193/7334/56941/8295/9656/57599/4292/1454/196528/5928/8289/3146/2547/3978/6421/5395/25836/7520/4176/56893/6596/23583/4174/29089/23326/4841/112869/29128/2332/84337/2237/5977/4173/328/64710/2072/5886/5887/4796/3835/988/7014/4171/4175/2521/7158/9126/3150,100,ATRT_vs_MB,Down,GO_BP
GO:1902680,positive regulation of RNA biosynthetic process,145/701,481/5514,0.30145530145530147,2.3712190188652387,12.011879744910342,1.2164706062822349e-26,5.491148316758008e-24,5.00289543025757e-24,53615/6613/51222/57459/8019/7545/7182/57634/4802/2551/4899/5514/51773/9031/55929/51412/1385/23411/7343/8467/64641/55729/8089/9878/6599/3148/23126/6925/11143/4221/546/57492/23060/10445/125476/23028/6664/3066/6605/58499/7716/4297/339287/10902/9839/2186/6877/4150/11168/6598/7155/6597/9112/10084/5925/22976/6601/10927/142/3054/5494/7443/55257/2969/6878/7913/5015/1108/6602/8805/5469/5728/10155/4774/91875/4204/79718/22938/8295/81857/26993/9219/23558/55023/5928/8289/4781/3146/9862/2547/4686/9774/7337/3182/115098/22916/54815/5814/23636/6421/7936/25836/6596/7153/6829/8841/2962/24148/7392/7469/55082/23326/112869/29128/3184/1107/207/5530/9810/3609/328/64710/27316/10521/57215/253738/2963/23476/9181/1488/6777/988/10432/1487/2521/7158/4784/3150/6935/5300/5526/4089/79366/10516/56257,145,ATRT_vs_MB,Down,GO_BP
