ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0009101,glycoprotein biosynthetic process,22/221,90/5514,0.24444444444444444,6.09894419306184,9.965081595200955,3.1228047536756537e-12,1.031774690614436e-8,9.440731844796292e-9,285203/2683/2590/8693/6646/10905/113189/55568/283464/84061/8985/3074/26229/11285/79709/5074/347734/29929/9375/81031/10195/55858,22,ATRT_vs_MB,Up,GO_BP
GO:0009100,glycoprotein metabolic process,24/221,116/5514,0.20689655172413793,5.16211577469184,9.256906925679859,1.460334757462015e-11,2.412473019327249e-8,2.2074112754899515e-8,285203/2683/2590/8693/6646/10905/113189/55568/283464/84061/8985/3074/26229/11285/79709/5074/347734/29929/9375/81031/2720/4669/10195/55858,24,ATRT_vs_MB,Up,GO_BP
GO:0030199,collagen fibril organization,13/221,41/5514,0.3170731707317073,7.9110473457675745,9.075326502808455,3.1583311842697563e-9,3.152703268013506e-6,2.884721481373388e-6,5351/4015/10609/30001/10491/5033/8985/79709/7837/64175/302/60681/871,13,ATRT_vs_MB,Up,GO_BP
GO:0006635,fatty acid beta-oxidation,13/221,42/5514,0.30952380952380953,7.722689075630252,8.935807667222376,4.413670961316891e-9,3.152703268013506e-6,2.884721481373388e-6,3030/3032/26063/51/37/1374/30/55862/1666/5825/2109/8310/2110,13,ATRT_vs_MB,Up,GO_BP
GO:0019395,fatty acid oxidation,14/221,50/5514,0.28,6.98606334841629,8.68780673897014,4.771040054499858e-9,3.152703268013506e-6,2.884721481373388e-6,9518/3030/3032/26063/51/37/1374/30/55862/1666/5825/2109/8310/2110,14,ATRT_vs_MB,Up,GO_BP
GO:0034440,lipid oxidation,14/221,53/5514,0.2641509433962264,6.590625800392726,8.356058216557368,1.0985879386133567e-8,5.672331729608642e-6,5.190179918260488e-6,9518/3030/3032/26063/51/37/1374/30/55862/1666/5825/2109/8310/2110,14,ATRT_vs_MB,Up,GO_BP
GO:0072329,monocarboxylic acid catabolic process,15/221,62/5514,0.24193548387096775,6.036345059115457,8.148404592460501,1.2017651969509835e-8,5.672331729608642e-6,5.190179918260488e-6,9123/3030/3032/26063/51/37/1374/30/3939/55862/1666/5825/2109/8310/2110,15,ATRT_vs_MB,Up,GO_BP
GO:0006493,protein O-linked glycosylation,11/221,33/5514,0.3333333333333333,8.316742081447964,8.613586139651106,2.975642883181948e-8,1.2289405107541446e-5,1.1244797842761256e-5,285203/2590/8693/113189/55568/283464/8985/26229/79709/347734/9375,11,ATRT_vs_MB,Up,GO_BP
GO:0009062,fatty acid catabolic process,13/221,50/5514,0.26,6.487058823529412,7.963582048759373,4.612682571862732e-8,1.622813034091659e-5,1.4848728921598207e-5,3030/3032/26063/51/37/1374/30/55862/1666/5825/2109/8310/2110,13,ATRT_vs_MB,Up,GO_BP
GO:0016042,lipid catabolic process,21/221,133/5514,0.15789473684210525,3.9395094070016667,7.011458452540717,4.911661725459017e-8,1.622813034091659e-5,1.4848728921598207e-5,3949/4758/3030/3032/79887/57552/26063/51/37/3074/1374/30/55862/1666/5825/6696/2109/8310/2110/2720/4669,21,ATRT_vs_MB,Up,GO_BP
GO:0030258,lipid modification,16/221,83/5514,0.1927710843373494,4.809682167584365,7.145408724989748,1.2236503808624447e-7,3.675400780335925e-5,3.362989372092767e-5,9518/3030/57674/3032/79143/26063/51/37/1374/30/55862/1666/5825/2109/8310/2110,16,ATRT_vs_MB,Up,GO_BP
GO:1901135,carbohydrate derivative metabolic process,42/221,458/5514,0.09170305676855896,2.2880120136734576,5.8815027753334554,1.9129121846403367e-7,5.266884881709727e-5,4.8191963107781115e-5,4833/5210/285203/2683/2590/4758/8693/6646/64841/10905/113189/55568/6774/283464/84061/8985/64802/3074/26229/11285/79709/5074/1890/2584/347734/3939/29929/7360/706/9375/1635/81031/83440/9563/2720/159/4669/3099/2247/10195/23463/55858,42,ATRT_vs_MB,Up,GO_BP
GO:0019752,carboxylic acid metabolic process,40/221,428/5514,0.09345794392523364,2.3317968452657842,5.861528412586223,2.3838487241436244e-7,6.058643218900412e-5,5.5436546848101126e-5,9518/5210/29785/9123/3030/30001/3032/80270/3155/26275/6774/26063/51/37/8985/157506/1374/30/2584/3939/6515/23597/8801/55862/1666/9444/7360/5825/64834/55256/2109/6319/83440/25953/8310/2110/25902/159/3099/23463,40,ATRT_vs_MB,Up,GO_BP
GO:0006029,proteoglycan metabolic process,9/221,26/5514,0.34615384615384615,8.63661677688827,7.974800106032956,3.911093886390327e-7,8.60853499525934e-5,7.876804035422718e-5,113189/3074/26229/11285/347734/9375/81031/2720/4669,9,ATRT_vs_MB,Up,GO_BP
GO:0043436,oxoacid metabolic process,40/221,436/5514,0.09174311926605505,2.2890115820498984,5.730505082540854,3.921513113704861e-7,8.60853499525934e-5,7.876804035422718e-5,9518/5210/29785/9123/3030/30001/3032/80270/3155/26275/6774/26063/51/37/8985/157506/1374/30/2584/3939/6515/23597/8801/55862/1666/9444/7360/5825/64834/55256/2109/6319/83440/25953/8310/2110/25902/159/3099/23463,40,ATRT_vs_MB,Up,GO_BP
GO:0006082,organic acid metabolic process,40/221,437/5514,0.09153318077803203,2.283773569276329,5.714322576925842,4.1687820800287363e-7,8.60853499525934e-5,7.876804035422718e-5,9518/5210/29785/9123/3030/30001/3032/80270/3155/26275/6774/26063/51/37/8985/157506/1374/30/2584/3939/6515/23597/8801/55862/1666/9444/7360/5825/64834/55256/2109/6319/83440/25953/8310/2110/25902/159/3099/23463,40,ATRT_vs_MB,Up,GO_BP
GO:0032787,monocarboxylic acid metabolic process,30/221,291/5514,0.10309278350515463,2.572188272612772,5.630282939772378,1.2372021743102968e-6,2.4045388140713061e-4,2.2001514827363298e-4,9518/5210/29785/9123/3030/3032/80270/6774/26063/51/37/157506/1374/30/2584/3939/23597/55862/1666/9444/5825/64834/2109/6319/83440/25953/8310/2110/25902/3099,30,ATRT_vs_MB,Up,GO_BP
GO:1901137,carbohydrate derivative biosynthetic process,28/221,266/5514,0.10526315789473684,2.6263396046677783,5.555131312802424,1.918389287474242e-6,3.521310114341608e-4,3.221996510892411e-4,4833/285203/2683/2590/8693/6646/64841/10905/113189/55568/6774/283464/84061/8985/3074/26229/11285/79709/5074/347734/29929/7360/9375/1635/81031/159/10195/55858,28,ATRT_vs_MB,Up,GO_BP
GO:0030198,extracellular matrix organization,17/221,116/5514,0.14655172413793102,3.6564986737400527,5.908283743698685,2.874154437887892e-6,4.748103131390797e-4,4.3445113397968556e-4,2683/5351/4015/10609/30001/7078/6774/10491/5033/8985/79709/7837/64175/81031/302/60681/871,17,ATRT_vs_MB,Up,GO_BP
GO:0043062,extracellular structure organization,17/221,116/5514,0.14655172413793102,3.6564986737400527,5.908283743698685,2.874154437887892e-6,4.748103131390797e-4,4.3445113397968556e-4,2683/5351/4015/10609/30001/7078/6774/10491/5033/8985/79709/7837/64175/81031/302/60681/871,17,ATRT_vs_MB,Up,GO_BP
GO:0045229,external encapsulating structure organization,17/221,117/5514,0.1452991452991453,3.6252465483234717,5.864432664425039,3.24450792810747e-6,5.104692473555753e-4,4.6707903606639875e-4,2683/5351/4015/10609/30001/7078/6774/10491/5033/8985/79709/7837/64175/81031/302/60681/871,17,ATRT_vs_MB,Up,GO_BP
GO:0030166,proteoglycan biosynthetic process,6/221,14/5514,0.42857142857142855,10.69295410471881,7.419557682890086,8.883283843474144e-6,0.001334107719038117,0.001220707712844868,113189/26229/11285/347734/9375/81031,6,ATRT_vs_MB,Up,GO_BP
GO:0016054,organic acid catabolic process,17/221,127/5514,0.13385826771653545,3.3397940642035135,5.450611066916483,1.0114193436405601e-5,0.0013923872964118377,0.001274033489006881,9123/3030/3032/3155/26275/26063/51/37/1374/30/3939/55862/1666/5825/2109/8310/2110,17,ATRT_vs_MB,Up,GO_BP
GO:0046395,carboxylic acid catabolic process,17/221,127/5514,0.13385826771653545,3.3397940642035135,5.450611066916483,1.0114193436405601e-5,0.0013923872964118377,0.001274033489006881,9123/3030/3032/3155/26275/26063/51/37/1374/30/3939/55862/1666/5825/2109/8310/2110,17,ATRT_vs_MB,Up,GO_BP
GO:0044282,small molecule catabolic process,21/221,189/5514,0.1111111111111111,2.7722473604826545,5.065643473437127,1.7748353415801222e-5,0.0023456223874322893,0.002146242989902363,9123/3030/3032/3155/26275/26063/51/37/1374/30/2584/3939/55862/1666/5825/2109/25953/8310/2110/2720/3099,21,ATRT_vs_MB,Up,GO_BP
GO:0006672,ceramide metabolic process,9/221,41/5514,0.21951219512195122,5.476878931685245,5.8788684241137155,2.5910808194098658e-5,0.0032926657797423832,0.003012787090423132,4758/3074/9517/29956/64834/10558/9375/2720/4669,9,ATRT_vs_MB,Up,GO_BP
GO:0018126,protein hydroxylation,5/221,12/5514,0.4166666666666667,10.395927601809955,6.657469383050569,6.217539196388914e-5,0.007608425742544064,0.0069617047064440395,5351/10609/10536/8985/64175,5,ATRT_vs_MB,Up,GO_BP
GO:0006631,fatty acid metabolic process,19/221,177/5514,0.10734463276836158,2.678272873686632,4.637028796166524,7.301887433702387e-5,0.008616227171768817,0.00788384237202754,9518/29785/3030/3032/26063/51/37/1374/30/23597/55862/1666/9444/5825/64834/2109/6319/8310/2110,19,ATRT_vs_MB,Up,GO_BP
GO:0016266,protein O-linked glycosylation via N-acetyl-galactosamine,4/221,7/5514,0.5714285714285714,14.25727213962508,7.17108448722164,7.993386254518688e-5,0.009106947649975774,0.008332851296906595,2590/8693/55568/283464,4,ATRT_vs_MB,Up,GO_BP
GO:0048514,blood vessel morphogenesis,23/221,246/5514,0.09349593495934959,2.3327447301622337,4.369490811731234,1.1164838231317877e-4,0.011673346643418644,0.010681104740632837,2683/3949/8091/4015/57674/6772/6774/6464/1890/7837/3315/9444/1490/302/60681/306/7453/3678/3606/5054/4669/3099/2247,23,ATRT_vs_MB,Up,GO_BP
GO:0006486,protein glycosylation,10/221,60/5514,0.16666666666666666,4.158371040723982,5.025975803166444,1.1305904739388518e-4,0.011673346643418644,0.010681104740632837,2683/2590/8693/10905/55568/84061/26229/11285/29929/10195,10,ATRT_vs_MB,Up,GO_BP
GO:0043413,macromolecule glycosylation,10/221,60/5514,0.16666666666666666,4.158371040723982,5.025975803166444,1.1305904739388518e-4,0.011673346643418644,0.010681104740632837,2683/2590/8693/10905/55568/84061/26229/11285/29929/10195,10,ATRT_vs_MB,Up,GO_BP
GO:0017185,peptidyl-lysine hydroxylation,4/221,8/5514,0.5,12.475113122171946,6.636254786310672,1.5484924774432916e-4,0.015047703369037163,0.013768638994480291,5351/10609/10536/8985,4,ATRT_vs_MB,Up,GO_BP
GO:0033540,fatty acid beta-oxidation using acyl-CoA oxidase,4/221,8/5514,0.5,12.475113122171946,6.636254786310672,1.5484924774432916e-4,0.015047703369037163,0.013768638994480291,26063/51/30/8310,4,ATRT_vs_MB,Up,GO_BP
GO:0002286,T cell activation involved in immune response,7/221,32/5514,0.21875,5.457861990950226,5.167390457335865,2.1573376990317427e-4,0.02036526787885965,0.018634207132689217,6778/6774/440275/3383/3958/3606/10892,7,ATRT_vs_MB,Up,GO_BP
GO:0001568,blood vessel development,24/221,276/5514,0.08695652173913043,2.169584890812512,4.073265598648779,2.4298482642387363e-4,0.022300607402902177,0.020405041564016523,2683/3949/8091/4015/57674/6772/6774/6464/1890/7837/3315/9444/1490/81031/302/60681/306/7453/3678/3606/5054/4669/3099/2247,24,ATRT_vs_MB,Up,GO_BP
GO:0001573,ganglioside metabolic process,4/221,9/5514,0.4444444444444444,11.088989441930618,6.189127744690601,2.6998981361959644e-4,0.023651973980607,0.021641541121544323,4758/3074/2720/4669,4,ATRT_vs_MB,Up,GO_BP
GO:0035295,tube development,30/221,384/5514,0.078125,1.9492364253393666,3.9402203610936644,2.7202633512804665e-4,0.023651973980607,0.021641541121544323,2683/3949/8091/4015/57674/10905/6772/6774/6464/8985/157506/1890/7837/8546/3315/9444/1490/302/60681/306/4054/7453/3678/1889/25902/3606/5054/4669/3099/2247,30,ATRT_vs_MB,Up,GO_BP
GO:0008202,steroid metabolic process,14/221,121/5514,0.11570247933884298,2.886803036535657,4.2878859718904225,3.055182019847136e-4,0.02588287536814086,0.023682814469638255,3949/6646/80270/2232/6713/37/51700/30/1717/9444/5825/6696/706/9563,14,ATRT_vs_MB,Up,GO_BP
GO:0006487,protein N-linked glycosylation,8/221,45/5514,0.17777777777777778,4.435595776772248,4.728174990712418,3.5034875880463425e-4,0.028530030137205373,0.026104959396601832,2683/10905/84061/3074/11285/29929/10195/55858,8,ATRT_vs_MB,Up,GO_BP
GO:0044283,small molecule biosynthetic process,24/221,283/5514,0.08480565371024736,2.1159202468701532,3.937977234769745,3.540348776105994e-4,0.028530030137205373,0.026104959396601832,5210/5360/80270/3155/2232/6713/26063/51/37/8985/9517/157506/60386/1717/9444/7360/5825/64834/10558/1635/55256/6319/9563/25902,24,ATRT_vs_MB,Up,GO_BP
GO:0001944,vasculature development,24/221,286/5514,0.08391608391608392,2.0937252792456413,3.881169977463367,4.139502767435439e-4,0.030747411692827336,0.028133862107111034,2683/3949/8091/4015/57674/6772/6774/6464/1890/7837/3315/9444/1490/81031/302/60681/306/7453/3678/3606/5054/4669/3099/2247,24,ATRT_vs_MB,Up,GO_BP
GO:0030323,respiratory tube development,10/221,70/5514,0.14285714285714285,3.56431803490627,4.4116498414581,4.187752803199849e-4,0.030747411692827336,0.028133862107111034,8091/4015/10905/8985/157506/8546/1490/302/4054/2247,10,ATRT_vs_MB,Up,GO_BP
GO:0030324,lung development,10/221,70/5514,0.14285714285714285,3.56431803490627,4.4116498414581,4.187752803199849e-4,0.030747411692827336,0.028133862107111034,8091/4015/10905/8985/157506/8546/1490/302/4054/2247,10,ATRT_vs_MB,Up,GO_BP
GO:0070085,glycosylation,10/221,70/5514,0.14285714285714285,3.56431803490627,4.4116498414581,4.187752803199849e-4,0.030747411692827336,0.028133862107111034,2683/2590/8693/10905/55568/84061/26229/11285/29929/10195,10,ATRT_vs_MB,Up,GO_BP
GO:0001501,skeletal system development,15/221,141/5514,0.10638297872340426,2.654279387696159,4.0658296685090445,4.6975730474048177e-4,0.03321979708439044,0.030396093165021457,7059/8091/4015/145864/3074/157506/2201/1490/64175/81031/302/4054/871/25902/2247,15,ATRT_vs_MB,Up,GO_BP
GO:0001676,long-chain fatty acid metabolic process,8/221,47/5514,0.1702127659574468,4.2468470203138535,4.56746685884437,4.769884316101541e-4,0.03321979708439044,0.030396093165021457,29785/51/1374/30/23597/9444/5825/64834,8,ATRT_vs_MB,Up,GO_BP
GO:0008610,lipid biosynthetic process,24/221,289/5514,0.08304498269896193,2.0719911067967245,3.8250414219202375,4.8261206418000646e-4,0.03321979708439044,0.030396093165021457,3949/80270/3155/2232/6713/79143/26063/51/37/51700/3074/9517/157506/29956/1717/9444/5825/64834/706/10558/9375/10390/6319/9563,24,ATRT_vs_MB,Up,GO_BP
GO:0034383,low-density lipoprotein particle clearance,5/221,18/5514,0.2777777777777778,6.930618401206637,5.149345798570337,5.519695339529006e-4,0.03721851714653844,0.034054919473957695,3949/6646/57552/54502/302,5,ATRT_vs_MB,Up,GO_BP
GO:0006689,ganglioside catabolic process,3/221,5/5514,0.6,14.970135746606335,6.385404709136081,5.98357897942072e-4,0.038764205780404036,0.03546922358905327,4758/3074/2720,3,ATRT_vs_MB,Up,GO_BP
GO:0042447,hormone catabolic process,3/221,5/5514,0.6,14.970135746606335,6.385404709136081,5.98357897942072e-4,0.038764205780404036,0.03546922358905327,3416/6696/1889,3,ATRT_vs_MB,Up,GO_BP
GO:0006665,sphingolipid metabolic process,9/221,61/5514,0.14754098360655737,3.6811809212966398,4.302416744797931,6.3812199574762e-4,0.039149600315791934,0.03582185934336512,4758/3074/9517/29956/64834/10558/9375/2720/4669,9,ATRT_vs_MB,Up,GO_BP
GO:0019915,lipid storage,7/221,38/5514,0.18421052631578946,4.596094308168611,4.544962846018227,6.590020511744227e-4,0.039149600315791934,0.03582185934336512,123/6646/57674/6713/4232/3074/10226,7,ATRT_vs_MB,Up,GO_BP
GO:0170062,nutrient storage,7/221,38/5514,0.18421052631578946,4.596094308168611,4.544962846018227,6.590020511744227e-4,0.039149600315791934,0.03582185934336512,123/6646/57674/6713/4232/3074/10226,7,ATRT_vs_MB,Up,GO_BP
GO:0060541,respiratory system development,10/221,74/5514,0.13513513513513514,3.3716521951816074,4.196687156723178,6.591956646951554e-4,0.039149600315791934,0.03582185934336512,8091/4015/10905/8985/157506/8546/1490/302/4054/2247,10,ATRT_vs_MB,Up,GO_BP
GO:0180064,protein O-linked glycosylation via xylose,4/221,11/5514,0.36363636363636365,9.07280954339778,5.475962669700312,6.63552547725287e-4,0.039149600315791934,0.03582185934336512,113189/26229/347734/9375,4,ATRT_vs_MB,Up,GO_BP
GO:0006687,glycosphingolipid metabolic process,5/221,19/5514,0.2631578947368421,6.565849011669445,4.965506548320204,7.248974901435614e-4,0.0420186194286724,0.038447010003551406,4758/3074/9375/2720/4669,5,ATRT_vs_MB,Up,GO_BP
GO:0035239,tube morphogenesis,25/221,316/5514,0.07911392405063292,1.9739103041411308,3.6432045073908914,7.571030378737901e-4,0.04312876615750005,0.03946279355305853,2683/3949/8091/4015/57674/6772/6774/6464/157506/1890/7837/3315/9444/1490/302/60681/306/7453/3678/25902/3606/5054/4669/3099/2247,25,ATRT_vs_MB,Up,GO_BP
