ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0002250,adaptive immune response,49/439,186/5514,0.26344086021505375,3.308913219193181,9.420852567257612,1.1896620298298441e-14,5.098891459850712e-11,4.320351582013644e-11,3383/51571/5595/10384/6891/23180/6890/3106/2214/3956/721/28874/3115/64167/3426/972/28452/7248/720/715/3105/2534/3107/28408/5027/3122/28938/3263/718/29108/28448/28908/28825/28912/5788/28937/1075/713/28410/714/28784/214/716/563/28915/28468/3123/28822/5909,49,EPN_like_vs_Glial,Down,GO_BP
GO:0006897,endocytosis,66/439,358/5514,0.18435754189944134,2.3155979180717985,7.5703589055166205,2.3340524910683693e-11,5.0018744883595155e-8,4.238147944308355e-8,3685/23011/4035/11031/4830/11151/29934/5595/55198/1793/824/5906/51606/6642/5868/22905/9784/348/26052/51429/3092/51479/30846/4542/30011/6653/63916/30845/23301/721/8867/5290/196527/409/4627/3684/51517/8411/720/929/54413/30844/715/5594/2534/9026/196051/5027/7052/4641/287/718/23154/5286/29108/3689/4644/5788/53353/716/10203/6855/6456/274/140885/5909,66,EPN_like_vs_Glial,Down,GO_BP
GO:0098657,import into cell,71/439,422/5514,0.16824644549763032,2.1132366753392566,6.998545117180984,3.029469808520672e-10,4.3281025331065334e-7,3.667252926103971e-7,3685/23011/4035/11031/4830/11151/29934/5595/55198/1793/824/5906/51606/6642/5868/22905/9784/348/26052/51429/3092/51479/30846/6506/4542/30011/6653/63916/30845/23301/721/8867/5290/482/2670/196527/409/4627/3684/208/51517/8411/720/929/54413/30844/715/56262/5594/2534/9026/196051/5027/7052/4641/287/718/23154/5286/29108/3689/4644/5788/53353/716/10203/6855/6456/274/140885/5909,71,EPN_like_vs_Glial,Down,GO_BP
GO:0002449,lymphocyte mediated immunity,34/439,136/5514,0.25,3.140091116173121,7.43189478293214,7.956276299614064e-10,8.364695376817017e-7,7.087506213625442e-7,5295/3383/51571/11151/5595/10384/6891/23180/3106/2214/721/409/3426/972/28452/720/715/3105/3107/28408/5027/3122/3263/718/28448/5788/1075/713/28410/714/716/563/28468/3123,34,EPN_like_vs_Glial,Down,GO_BP
GO:0030036,actin cytoskeleton organization,63/439,363/5514,0.17355371900826447,2.1798979649466292,6.840064904706709,9.758160728904593e-10,8.364695376817017e-7,7.087506213625442e-7,391/5295/4035/23325/9897/51571/11151/10006/26999/2764/85477/57580/79585/10095/22902/389/3936/51429/10979/822/3092/9475/55742/30846/2275/4763/11344/4542/30011/81553/63916/3059/5872/23406/29767/5290/4627/51474/23022/7248/2037/10174/9026/4641/5358/25959/9922/29108/55616/5911/26084/388/1465/4644/51466/79784/8153/25802/6624/11135/6456/274/7148,63,EPN_like_vs_Glial,Down,GO_BP
GO:0030029,actin filament-based process,66/439,394/5514,0.16751269035532995,2.1040204433241216,6.688034101626536,1.7200703300216724e-9,1.228703572412148e-6,1.0410951997499597e-6,391/817/5295/4035/23325/9897/51571/11151/10006/26999/2764/85477/57580/79585/10095/22902/389/3936/51429/10979/822/3092/9475/55742/30846/2275/4763/11344/4542/30011/81553/63916/3059/5872/23406/29767/5290/4627/51474/23022/7248/2037/10174/9026/4641/5358/287/25959/9922/29108/55616/5911/26084/388/1465/4644/51466/79784/8153/25802/6624/11135/6456/23171/274/7148,66,EPN_like_vs_Glial,Down,GO_BP
GO:0019883,antigen processing and presentation of endogenous antigen,11/439,16/5514,0.6875,8.635250569476081,8.994751110842193,2.189065262136452e-9,1.340333387645262e-6,1.1356804743414677e-6,6891/6890/6892/3106/64167/972/3105/3107/3122/563/3123,11,EPN_like_vs_Glial,Down,GO_BP
GO:0002252,immune effector process,50/439,264/5514,0.1893939393939394,2.378856906191758,6.75226912274922,3.142791518423834e-9,1.683750555995569e-6,1.4266619392845037e-6,5295/4035/3383/51571/11151/5595/55198/10384/6891/23180/3936/5781/3106/2214/3956/51704/721/409/3684/3426/972/28452/7248/720/23586/715/3105/2534/3107/28408/196051/5027/3122/3263/718/29108/3689/28448/5788/1075/629/713/6284/710/28410/714/716/563/28468/3123,50,EPN_like_vs_Glial,Down,GO_BP
GO:0002443,leukocyte mediated immunity,38/439,173/5514,0.21965317919075145,2.7589239864642447,6.913008121069355,4.177695766265524e-9,1.9895115615793376e-6,1.6857368881422293e-6,5295/3383/51571/11151/5595/10384/6891/23180/3106/2214/721/409/3684/3426/972/28452/720/23586/715/3105/3107/28408/5027/3122/3263/718/3689/28448/5788/1075/713/6284/28410/714/716/563/28468/3123,38,EPN_like_vs_Glial,Down,GO_BP
GO:0006954,inflammatory response,51/439,278/5514,0.18345323741007194,2.304239524098261,6.562784884644029,6.760398409080865e-9,2.705196233724383e-6,2.292145051538454e-6,5184/4035/5595/5578/55198/3428/347/348/23780/22933/2687/12/2214/3956/92689/51704/721/196527/3684/10135/143/720/241/929/259217/5594/2534/140609/5027/2161/2634/2840/1536/718/5265/29108/4907/3689/5788/3818/3827/1075/6291/325/5354/11343/23646/960/1116/140885/3123,51,EPN_like_vs_Glial,Down,GO_BP
GO:0002483,antigen processing and presentation of endogenous peptide antigen,10/439,14/5514,0.7142857142857143,8.971688903351772,8.782966941421591,6.942874141616476e-9,2.705196233724383e-6,2.292145051538454e-6,6891/6890/6892/3106/64167/3105/3107/3122/563/3123,10,EPN_like_vs_Glial,Down,GO_BP
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,32/439,134/5514,0.23880597014925373,2.9994900214191005,6.891102908578815,8.686121373554471e-9,3.102393017254539e-6,2.628694626207274e-6,3383/51571/5595/10384/6891/23180/3106/2214/3956/721/3426/972/28452/720/715/3105/3107/28408/5027/3122/3263/718/28448/5788/1075/713/28410/714/716/563/28468/3123,32,EPN_like_vs_Glial,Down,GO_BP
GO:0007015,actin filament organization,47/439,250/5514,0.188,2.361348519362187,6.4787261104143274,1.2469444443180817e-8,4.111079914113306e-6,3.483367071171969e-6,391/5295/23325/9897/51571/11151/10006/26999/2764/85477/57580/79585/10095/22902/389/3936/51429/10979/822/3092/9475/11344/4542/30011/81553/63916/3059/23406/29767/5290/51474/7248/10174/9026/4641/5358/25959/29108/55616/388/4644/51466/8153/25802/6624/11135/274,47,EPN_like_vs_Glial,Down,GO_BP
GO:0001913,T cell mediated cytotoxicity,12/439,22/5514,0.5454545454545454,6.851107889832263,8.087092590124536,1.736211440460752e-8,5.217604234081106e-6,4.420938332288679e-6,51571/6891/3106/2214/3105/3107/5027/3122/5788/1075/563/3123,12,EPN_like_vs_Glial,Down,GO_BP
GO:0001916,positive regulation of T cell mediated cytotoxicity,10/439,15/5514,0.6666666666666666,8.373576309794988,8.409887416427106,1.9355597326925262e-8,5.217604234081106e-6,4.420938332288679e-6,51571/6891/3106/3105/3107/5027/3122/5788/563/3123,10,EPN_like_vs_Glial,Down,GO_BP
GO:0001906,cell killing,25/439,91/5514,0.27472527472527475,3.450649578212221,6.9325074079801565,1.9477757290083456e-8,5.217604234081106e-6,4.420938332288679e-6,5295/2597/3383/51571/11151/6891/3106/2214/409/3684/720/715/3105/3107/5027/3122/2634/718/5788/3827/1075/629/716/563/3123,25,EPN_like_vs_Glial,Down,GO_BP
GO:0090066,regulation of anatomical structure size,44/439,230/5514,0.19130434782608696,2.402852332375953,6.3914987034028945,2.1913109004762946e-8,5.524681482024352e-6,4.681128549005088e-6,23011/9897/51571/11151/56996/26999/85477/57580/5868/22902/348/4504/51429/822/5781/9475/11344/81553/7143/3059/23406/51704/29767/6916/5290/196527/51474/7248/56262/4478/9026/5027/6271/25959/5286/29108/51466/6648/4133/3827/8153/25802/11135/274,44,EPN_like_vs_Glial,Down,GO_BP
GO:0006909,phagocytosis,28/439,117/5514,0.23931623931623933,3.0058991881315347,6.449618959880932,7.274421800635855e-8,1.7321206576402928e-5,1.4676465036370587e-5,3685/4035/11031/11151/55198/1793/5906/5868/63916/721/5290/196527/4627/3684/720/929/715/2534/196051/5027/7052/718/29108/3689/5788/716/140885/5909,28,EPN_like_vs_Glial,Down,GO_BP
GO:0070374,positive regulation of ERK1 and ERK2 cascade,18/439,54/5514,0.3333333333333333,4.186788154897494,6.9208906249838735,7.701885006277365e-8,1.7373831124686727e-5,1.4721054444131253e-5,3383/5595/5578/5906/2246/348/4504/10979/5781/409/10135/972/29108/2247/5788/960/1116/3123,18,EPN_like_vs_Glial,Down,GO_BP
GO:0001914,regulation of T cell mediated cytotoxicity,10/439,17/5514,0.5882352941176471,7.388449685113225,7.758277400959115,1.0826002879239767e-7,2.2252401178421402e-5,1.8854725069517362e-5,51571/6891/3106/3105/3107/5027/3122/5788/563/3123,10,EPN_like_vs_Glial,Down,GO_BP
GO:0032535,regulation of cellular component size,37/439,186/5514,0.1989247311827957,2.4985671246968915,6.11446971092393,1.0902949714112213e-7,2.2252401178421402e-5,1.8854725069517362e-5,23011/9897/51571/11151/56996/26999/85477/57580/5868/22902/348/4504/51429/822/11344/81553/7143/3059/23406/51704/29767/5290/196527/51474/7248/56262/4478/9026/5027/25959/29108/51466/4133/8153/25802/11135/274,37,EPN_like_vs_Glial,Down,GO_BP
GO:0030334,regulation of cell migration,63/439,411/5514,0.15328467153284672,1.9253113413032275,5.734614719028619,1.4134376896403258e-7,2.6578993109673733e-5,2.2520698044643363e-5,3685/5295/4035/3383/51571/11151/10982/5595/5578/55198/1793/6678/57580/347/8895/22902/2246/348/389/8613/10979/397/9475/23236/2752/1992/4763/6653/7143/7070/11240/3675/482/196527/51474/208/972/23586/4478/5594/25932/2534/64805/4641/5286/9922/29108/5911/9289/388/5176/2247/5788/51466/6648/3911/816/5340/11117/58494/93185/5420/7148,63,EPN_like_vs_Glial,Down,GO_BP
GO:0032970,regulation of actin filament-based process,39/439,204/5514,0.19117647058823528,2.401246147661798,5.997779394856113,1.4865550115111229e-7,2.6578993109673733e-5,2.2520698044643363e-5,391/817/5295/4035/23325/9897/51571/11151/26999/2764/85477/57580/389/51429/10979/822/9475/11344/81553/3059/23406/29767/5290/4627/51474/7248/10174/9026/287/25959/29108/55616/26084/51466/8153/25802/6624/11135/274,39,EPN_like_vs_Glial,Down,GO_BP
GO:2000145,regulation of cell motility,65/439,430/5514,0.1511627906976744,1.8986597446628173,5.707356198326961,1.4883243925155613e-7,2.6578993109673733e-5,2.2520698044643363e-5,3685/5295/4035/3383/51571/11151/10982/5595/5578/55198/1793/6678/57580/347/8895/22902/2246/348/389/8613/10979/397/9475/23236/2752/1992/4763/6653/7143/7070/11240/3675/482/196527/51474/208/972/23586/4478/5594/25932/2534/64805/4641/5286/9922/29108/5911/9289/388/5176/2247/5788/51466/6648/3911/284119/816/5340/11117/199731/58494/93185/5420/7148,65,EPN_like_vs_Glial,Down,GO_BP
GO:0001912,positive regulation of leukocyte mediated cytotoxicity,11/439,22/5514,0.5,6.280182232346242,7.297989271385433,2.271357837369581e-7,3.894015876386409e-5,3.299446121652654e-5,51571/6891/3106/3684/3105/3107/5027/3122/5788/563/3123,11,EPN_like_vs_Glial,Down,GO_BP
GO:0001910,regulation of leukocyte mediated cytotoxicity,13/439,31/5514,0.41935483870967744,5.2672496142258804,7.006933646045256,2.363364781966732e-7,3.895915944426698e-5,3.3010560719778244e-5,3383/51571/6891/3106/409/3684/3105/3107/5027/3122/5788/563/3123,13,EPN_like_vs_Glial,Down,GO_BP
GO:0040012,regulation of locomotion,66/439,447/5514,0.1476510067114094,1.8545504578740581,5.542736766010278,2.9125305499096055e-7,4.541328484102203e-5,3.8479218189337625e-5,3685/5295/4035/3383/51571/11151/10982/5595/5578/55198/1793/6678/57580/347/8895/22902/2246/348/389/8613/10979/397/9475/23236/2752/347733/1992/4763/6653/7143/7070/11240/3675/482/196527/51474/208/972/23586/4478/5594/25932/2534/64805/4641/5286/9922/29108/5911/9289/388/5176/2247/5788/51466/6648/3911/284119/816/5340/11117/199731/58494/93185/5420/7148,66,EPN_like_vs_Glial,Down,GO_BP
GO:0002456,T cell mediated immunity,16/439,47/5514,0.3404255319148936,4.275868753937866,6.632986581648909,2.966803489380814e-7,4.541328484102203e-5,3.8479218189337625e-5,3383/51571/5595/10384/6891/23180/3106/2214/3105/3107/5027/3122/5788/1075/563/3123,16,EPN_like_vs_Glial,Down,GO_BP
GO:0032956,regulation of actin cytoskeleton organization,36/439,188/5514,0.19148936170212766,2.40517617409005,5.765239506831478,4.402611744651568e-7,6.494870158229885e-5,5.503180992188301e-5,391/5295/4035/23325/9897/51571/11151/26999/2764/85477/57580/389/51429/10979/822/9475/11344/81553/3059/23406/29767/5290/51474/7248/10174/9026/25959/29108/55616/26084/51466/8153/25802/6624/11135/274,36,EPN_like_vs_Glial,Down,GO_BP
GO:0001909,leukocyte mediated cytotoxicity,17/439,54/5514,0.3148148148148148,3.9541888129587446,6.4157442121207024,4.546106037025118e-7,6.494870158229885e-5,5.503180992188301e-5,5295/3383/51571/11151/6891/3106/2214/409/3684/3105/3107/5027/3122/5788/1075/563/3123,17,EPN_like_vs_Glial,Down,GO_BP
GO:0002684,positive regulation of immune system process,65/439,444/5514,0.1463963963963964,1.8387920950563321,5.420633782695253,5.001634928679998e-7,6.915163646555635e-5,5.859300680457043e-5,5184/5295/23325/3383/51571/11151/5595/5578/55198/3428/10384/5906/6891/23180/10612/22933/5781/3106/2214/4763/30011/3059/83666/5872/3956/51704/7070/721/5290/4332/196527/409/3684/3115/3426/972/720/929/23586/715/3105/5594/2534/3107/196051/140609/5027/3122/64805/2634/3263/718/29108/3689/5788/1075/629/713/710/714/716/563/140885/58494/3123,65,EPN_like_vs_Glial,Down,GO_BP
GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,8/439,12/5514,0.6666666666666666,8.373576309794988,7.519980981331156,5.646790597632989e-7,7.563170156704684e-5,6.4083643295505965e-05,6891/6890/6892/3106/64167/3105/3107/563,8,EPN_like_vs_Glial,Down,GO_BP
GO:0031343,positive regulation of cell killing,11/439,24/5514,0.4583333333333333,5.756833712984054,6.868242989504079,6.936881207991435e-7,9.009537229530694e-5,7.633888410708278e-5,51571/6891/3106/3684/3105/3107/5027/3122/5788/563/3123,11,EPN_like_vs_Glial,Down,GO_BP
GO:0019882,antigen processing and presentation,17/439,56/5514,0.30357142857142855,3.8129677839245035,6.222289871121753,8.132970754150454e-7,1.025232725067319e-4,8.68691922656937e-5,3383/51762/6891/23180/6890/6892/5696/3106/3115/64167/972/3105/3107/3122/29108/563/3123,17,EPN_like_vs_Glial,Down,GO_BP
