ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0003341,cilium movement,21/181,44/5514,0.4772727272727273,14.53967855349071,16.610722416922613,2.2630500649445423e-20,5.992556571973148e-17,5.614746319025564e-17,25911/123872/9576/51364/219681/83538/28981/90506/146845/1770/1767/79659/83853/221421/345895/29105/352909/10383/54585/56683/5360,21,EPN_like_vs_Glial,Up,GO_BP
GO:0060271,cilium assembly,30/181,130/5514,0.23076923076923078,7.03017424564386,12.817298655283237,4.4721384301571104e-18,5.921111281528014e-15,5.547805410463321e-15,89891/123872/56912/26160/9576/145173/51364/51626/83538/28981/90506/89765/10413/1767/79659/27077/26146/221421/345895/29105/80173/5990/352909/8100/9696/4957/56683/6674/83544/79583,30,EPN_like_vs_Glial,Up,GO_BP
GO:0044782,cilium organization,30/181,136/5514,0.22058823529411764,6.720019499512512,12.442397060165336,1.7476369738783613e-17,1.5425809022766334e-14,1.445326437695192e-14,89891/123872/56912/26160/9576/145173/51364/51626/83538/28981/90506/89765/10413/1767/79659/27077/26146/221421/345895/29105/80173/5990/352909/8100/9696/4957/56683/6674/83544/79583,30,EPN_like_vs_Glial,Up,GO_BP
GO:0060294,cilium movement involved in cell motility,16/181,32/5514,0.5,15.232044198895027,14.873742180382985,3.5650213796749444e-16,2.360044153344813e-13,2.2112514189194326e-13,25911/9576/219681/28981/90506/146845/1770/1767/79659/83853/221421/345895/29105/10383/54585/5360,16,EPN_like_vs_Glial,Up,GO_BP
GO:0001539,cilium or flagellum-dependent cell motility,16/181,33/5514,0.48484848484848486,14.770467101958815,14.615821578286694,6.724654049934467e-16,2.9678139873710783e-13,2.7807034378413225e-13,25911/9576/219681/28981/90506/146845/1770/1767/79659/83853/221421/345895/29105/10383/54585/5360,16,EPN_like_vs_Glial,Up,GO_BP
GO:0060285,cilium-dependent cell motility,16/181,33/5514,0.48484848484848486,14.770467101958815,14.615821578286694,6.724654049934467e-16,2.9678139873710783e-13,2.7807034378413225e-13,25911/9576/219681/28981/90506/146845/1770/1767/79659/83853/221421/345895/29105/10383/54585/5360,16,EPN_like_vs_Glial,Up,GO_BP
GO:0035082,axoneme assembly,12/181,19/5514,0.631578947368421,19.240476882814768,14.671571429411356,4.495780922057273e-14,1.7006896973725228e-11,1.5934670125246604e-11,123872/9576/51364/83538/90506/89765/1767/221421/345895/352909/6674/83544,12,EPN_like_vs_Glial,Up,GO_BP
GO:0007018,microtubule-based movement,28/181,169/5514,0.16568047337278108,5.047304586616105,9.844255535975384,5.088247101866053e-13,1.6842097907176635e-10,1.5780261077760903e-10,25911/89891/123872/56912/26160/9576/51364/51626/219681/83538/28981/90506/146845/1770/1767/79659/83853/26146/221421/345895/29105/80173/352909/8100/10383/54585/56683/5360,28,EPN_like_vs_Glial,Up,GO_BP
GO:0120031,plasma membrane bounded cell projection assembly,32/181,240/5514,0.13333333333333333,4.061878453038674,8.934515292913574,4.445581442754034e-12,1.3079888511569647e-9,1.2255246152714922e-9,89891/123872/56912/26160/9576/145173/51364/51626/83538/28981/90506/89765/10413/1767/79659/27077/26146/221421/345895/29105/80173/5990/352909/8100/9353/9696/4957/56683/6674/7430/83544/79583,32,EPN_like_vs_Glial,Up,GO_BP
GO:0030031,cell projection assembly,32/181,248/5514,0.12903225806451613,3.930850115843878,8.700145464289212,1.0953204629667098e-11,2.719177181198316e-9,2.5477423342679405e-9,89891/123872/56912/26160/9576/145173/51364/51626/83538/28981/90506/89765/10413/1767/79659/27077/26146/221421/345895/29105/80173/5990/352909/8100/9353/9696/4957/56683/6674/7430/83544/79583,32,EPN_like_vs_Glial,Up,GO_BP
GO:0030317,flagellated sperm motility,12/181,27/5514,0.4444444444444444,13.539594843462245,12.032209869288575,1.2322555201805058e-11,2.719177181198316e-9,2.5477423342679405e-9,25911/9576/219681/28981/90506/146845/1767/83853/29105/10383/54585/5360,12,EPN_like_vs_Glial,Up,GO_BP
GO:0097722,sperm motility,12/181,27/5514,0.4444444444444444,13.539594843462245,12.032209869288575,1.2322555201805058e-11,2.719177181198316e-9,2.5477423342679405e-9,25911/9576/219681/28981/90506/146845/1767/83853/29105/10383/54585/5360,12,EPN_like_vs_Glial,Up,GO_BP
GO:0007017,microtubule-based process,40/181,390/5514,0.10256410256410256,3.1245218869528264,8.017453400677786,3.425769642552246e-11,6.97802924113719e-9,6.538088297567323e-9,23363/25911/89891/83987/123872/56912/26160/9576/51364/51626/219681/83538/28981/90506/89765/146845/80129/1770/1767/79659/83853/26146/221421/345895/29105/80173/6566/1069/352909/8100/10383/9696/54585/4957/56683/6674/5360/7430/117583/83544,40,EPN_like_vs_Glial,Up,GO_BP
GO:0003351,epithelial cilium movement involved in extracellular fluid movement,9/181,14/5514,0.6428571428571429,19.58405682715075,12.825393234443228,6.317179964684083e-11,1.1948494676059607e-8,1.1195182839669462e-8,25911/123872/9576/83538/1770/1767/83853/345895/352909,9,EPN_like_vs_Glial,Up,GO_BP
GO:0001578,microtubule bundle formation,12/181,33/5514,0.36363636363636365,11.077850326469111,10.696518946942499,2.1165325347710224e-10,3.736385434715778e-8,3.500819076810736e-8,123872/9576/51364/83538/90506/89765/1767/221421/345895/352909/6674/83544,12,EPN_like_vs_Glial,Up,GO_BP
GO:0006858,extracellular transport,9/181,16/5514,0.5625,17.136049723756905,11.906999596407186,3.409798306186336e-10,5.643216196738386e-8,5.287430662948154e-8,25911/123872/9576/83538/1770/1767/83853/345895/352909,9,EPN_like_vs_Glial,Up,GO_BP
GO:0070286,axonemal dynein complex assembly,7/181,11/5514,0.6363636363636364,19.386238071320946,11.244417366148147,1.081353029576795e-8,1.6843663660702075e-6,1.5781728115866907e-6,123872/51364/83538/1767/352909/6674/83544,7,EPN_like_vs_Glial,Up,GO_BP
GO:0099111,microtubule-based transport,18/181,117/5514,0.15384615384615385,4.68678283042924,7.4252617887008165,3.283422964462799e-8,4.830280005498606e-6,4.5257473258706535e-6,25911/89891/123872/56912/26160/9576/51626/83538/28981/1770/1767/79659/83853/26146/345895/80173/352909/8100,18,EPN_like_vs_Glial,Up,GO_BP
GO:0007368,determination of left/right symmetry,10/181,32/5514,0.3125,9.520027624309392,8.904180768603691,3.9074853396372363e-8,5.445800620715475e-6,5.102461465664801e-6,25911/123872/26160/51626/83538/146845/1767/79659/80173/352909,10,EPN_like_vs_Glial,Up,GO_BP
GO:0042073,intraciliary transport,9/181,25/5514,0.36,10.967071823204419,9.201072835830425,4.712469639332216e-8,6.239309802475854e-6,5.845942599950544e-6,89891/56912/26160/51626/28981/79659/26146/80173/8100,9,EPN_like_vs_Glial,Up,GO_BP
GO:0022414,reproductive process,36/181,421/5514,0.0855106888361045,2.605005183659007,6.31216206743743,5.609536765271254e-8,7.073358740208705e-6,6.627407596864334e-6,25911/2591/8607/9576/219681/3148/28981/90506/89765/146845/2956/5087/10657/1767/83853/7155/3066/5111/4254/29105/4678/6240/5990/1069/84058/352909/10155/10383/9353/596/54585/4957/6674/5360/1396/84152,36,EPN_like_vs_Glial,Up,GO_BP
GO:0009799,specification of symmetry,10/181,35/5514,0.2857142857142857,8.704025256511445,8.422646267737555,1.0205368297186016e-7,1.125992302122857e-5,1.0550023279152385e-5,25911/123872/26160/51626/83538/146845/1767/79659/80173/352909,10,EPN_like_vs_Glial,Up,GO_BP
GO:0009855,determination of bilateral symmetry,10/181,35/5514,0.2857142857142857,8.704025256511445,8.422646267737555,1.0205368297186016e-7,1.125992302122857e-5,1.0550023279152385e-5,25911/123872/26160/51626/83538/146845/1767/79659/80173/352909,10,EPN_like_vs_Glial,Up,GO_BP
GO:0060972,left/right pattern formation,10/181,35/5514,0.2857142857142857,8.704025256511445,8.422646267737555,1.0205368297186016e-7,1.125992302122857e-5,1.0550023279152385e-5,25911/123872/26160/51626/83538/146845/1767/79659/80173/352909,10,EPN_like_vs_Glial,Up,GO_BP
GO:0044458,motile cilium assembly,7/181,15/5514,0.4666666666666667,14.216574585635358,9.442134286496113,1.885294362911021e-7,1.9969037891953533e-5,1.871005816160537e-5,123872/9576/51364/28981/90506/221421/352909,7,EPN_like_vs_Glial,Up,GO_BP
GO:0035720,intraciliary anterograde transport,6/181,10/5514,0.6,18.278453038674034,10.074259561344133,2.169586080361698e-7,2.2096399772299137e-5,2.0703297131224788e-5,56912/26160/28981/26146/80173/8100,6,EPN_like_vs_Glial,Up,GO_BP
GO:0048609,multicellular organismal reproductive process,25/181,247/5514,0.10121457489878542,3.0834097568613412,6.171475410933696,3.5132579702782594e-7,3.4455952241840116e-5,3.228362197249847e-5,25911/2591/8607/9576/219681/3148/28981/90506/89765/146845/2956/10657/83853/3066/5111/5990/1069/84058/352909/10155/9353/596/54585/4957/84152,25,EPN_like_vs_Glial,Up,GO_BP
GO:0003006,developmental process involved in reproduction,26/181,271/5514,0.0959409594095941,2.922753868422662,5.979514208678939,5.753793071065018e-7,5.44144430435006e-5,5.0983798001880636e-5,25911/2591/8607/9576/219681/3148/28981/90506/89765/146845/2956/5087/10657/83853/4254/4678/6240/5990/1069/352909/10155/9353/596/54585/4957/1396,26,EPN_like_vs_Glial,Up,GO_BP
GO:0036158,outer dynein arm assembly,5/181,7/5514,0.7142857142857143,21.76006314127861,10.124361500289636,7.185222396966985e-7,6.560851347299509e-5,6.14721204706032e-5,123872/51364/83538/1767/83544,5,EPN_like_vs_Glial,Up,GO_BP
GO:0070925,organelle assembly,36/181,468/5514,0.07692307692307693,2.34339141521462,5.5962790776364715,8.039353557709982e-7,7.096069406938677e-5,6.648686433516641e-5,23363/89891/123872/56912/26160/9576/145173/51364/51626/83538/28981/90506/89765/10413/91807/1767/79659/27077/26146/10058/221421/345895/29105/80173/5990/1069/352909/8100/9696/4957/56683/5239/6674/7430/83544/79583,36,EPN_like_vs_Glial,Up,GO_BP
GO:0007283,spermatogenesis,18/181,152/5514,0.11842105263157894,3.6075894155277695,6.0054435702714155,1.8565057093153599e-6,1.5858151994409912e-4,1.4858349598832947e-4,25911/2591/8607/9576/219681/3148/28981/90506/89765/146845/2956/10657/83853/5990/1069/352909/54585/4957,18,EPN_like_vs_Glial,Up,GO_BP
GO:0048232,male gamete generation,18/181,153/5514,0.11764705882352941,3.5840103997400066,5.971240465517534,2.0443446265116684e-6,1.6916951784384055e-4,1.5850395673315797e-4,25911/2591/8607/9576/219681/3148/28981/90506/89765/146845/2956/10657/83853/5990/1069/352909/54585/4957,18,EPN_like_vs_Glial,Up,GO_BP
GO:0003002,regionalization,13/181,85/5514,0.15294117647058825,4.659213519662009,6.263034235909221,3.119622289034558e-6,2.5032605519283364e-4,2.3454385120428878e-4,25911/123872/26160/51626/83538/146845/5087/1767/79659/26146/80173/352909/79971,13,EPN_like_vs_Glial,Up,GO_BP
GO:0000226,microtubule cytoskeleton organization,24/181,272/5514,0.08823529411764706,2.688007799805005,5.259662587002572,7.200686584427094e-6,5.608064139871454e-4,5.254494823372961e-4,23363/83987/123872/26160/9576/51364/83538/90506/89765/80129/1767/26146/221421/345895/6566/1069/352909/10383/9696/4957/6674/7430/117583/83544,24,EPN_like_vs_Glial,Up,GO_BP
GO:0007389,pattern specification process,13/181,96/5514,0.13541666666666666,4.1253453038674035,5.69064659269972,1.24220797682675e-5,9.398190636106383e-4,8.805666771069623e-4,25911/123872/26160/51626/83538/146845/5087/1767/79659/26146/80173/352909/79971,13,EPN_like_vs_Glial,Up,GO_BP
GO:0007276,gamete generation,20/181,209/5514,0.09569377990430622,2.91522377012345,5.199929600504677,1.3507600791655318e-5,9.93559080452869e-4,9.30918569179286e-4,25911/2591/8607/9576/219681/3148/28981/90506/89765/146845/2956/10657/83853/5990/1069/352909/10155/596/54585/4957,20,EPN_like_vs_Glial,Up,GO_BP
GO:0007423,sensory organ development,17/181,162/5514,0.10493827160493827,3.196848782484141,5.228138818412032,1.8795751403830056e-5,0.0013451662085768104,0.0012603580671074663,8842/26160/145173/5754/5087/6657/27077/3066/26146/23347/6240/8100/3150/4781/596/284217/79583,17,EPN_like_vs_Glial,Up,GO_BP
GO:0048736,appendage development,9/181,48/5514,0.1875,5.712016574585635,6.040044054473662,2.0128000785811396e-5,0.0013666396430981687,0.0012804776748220636,2591/26160/145173/5087/79659/27077/3066/26146/79583,9,EPN_like_vs_Glial,Up,GO_BP
GO:0060173,limb development,9/181,48/5514,0.1875,5.712016574585635,6.040044054473662,2.0128000785811396e-5,0.0013666396430981687,0.0012804776748220636,2591/26160/145173/5087/79659/27077/3066/26146/79583,9,EPN_like_vs_Glial,Up,GO_BP
GO:0001654,eye development,14/181,117/5514,0.11965811965811966,3.6452755347782975,5.327643165433635,2.4285881070723675e-5,0.0016077253268819073,0.001506363728518308,8842/26160/145173/5087/6657/27077/3066/26146/6240/3150/4781/596/284217/79583,14,EPN_like_vs_Glial,Up,GO_BP
GO:0045934,negative regulation of nucleobase-containing compound metabolic process,32/181,461/5514,0.06941431670281996,2.114643880106902,4.605316064107739,3.127415193078595e-5,0.002019852544212712,0.0018925077304457634,3068/10856/3148/7515/2956/10413/10657/7936/57805/6657/9967/3066/9112/5111/9774/23347/4784/22985/8971/9555/10155/27250/25920/8683/4781/10921/90523/1021/7430/3009/948/10642,32,EPN_like_vs_Glial,Up,GO_BP
GO:0007286,spermatid development,9/181,51/5514,0.17647058823529413,5.37601559961001,5.783567933170752,3.35367247889092e-5,0.0021144106485959896,0.001981104268858621,9576/219681/3148/28981/90506/89765/146845/83853/5990,9,EPN_like_vs_Glial,Up,GO_BP
GO:0048880,sensory system development,14/181,121/5514,0.11570247933884298,3.52477055842199,5.1730524771580155,3.5632328220869964e-5,0.0021414884706422626,0.002006474926579668,8842/26160/145173/5087/6657/27077/3066/26146/6240/3150/4781/596/284217/79583,14,EPN_like_vs_Glial,Up,GO_BP
GO:0150063,visual system development,14/181,121/5514,0.11570247933884298,3.52477055842199,5.1730524771580155,3.5632328220869964e-5,0.0021414884706422626,0.002006474926579668,8842/26160/145173/5087/6657/27077/3066/26146/6240/3150/4781/596/284217/79583,14,EPN_like_vs_Glial,Up,GO_BP
GO:0003352,regulation of cilium movement,4/181,7/5514,0.5714285714285714,17.40805051302289,8.001952295537437,3.639236449354298e-5,0.0021414884706422626,0.002006474926579668,123872/345895/29105/56683,4,EPN_like_vs_Glial,Up,GO_BP
