ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0003341,cilium movement,27/423,44/5514,0.6136363636363636,7.999032882011605,13.434866038243829,7.157821005817476e-20,2.860981056025245e-16,2.6506541366806193e-16,493/28981/25911/79659/54585/5360/123872/83538/146845/51364/219681/9576/90506/1770/83853/221421/1767/345895/23230/352909/10383/56683/361/583/54919/9368/582,27,MB_vs_EPN_like,Down,GO_BP
GO:0044782,cilium organization,46/423,136/5514,0.3382352941176471,4.409052982895286,11.602603138398859,3.846145158590319e-19,7.686521099442753e-16,7.121441404168812e-16,28981/79659/89891/51626/145173/123872/26123/26160/57728/83538/6102/89765/51364/57539/9576/79989/90506/80173/27077/26146/9742/221421/10413/1767/345895/6738/56912/55764/5990/352909/56683/8100/123016/4957/84747/83544/92104/1756/6674/583/54919/3983/9368/582/79583/9696,46,MB_vs_EPN_like,Down,GO_BP
GO:0060271,cilium assembly,44/423,130/5514,0.3384615384615385,4.412002182214948,11.347261991902695,2.335151118917491e-18,3.1111996741044037e-15,2.8824777671409593e-15,28981/79659/89891/51626/145173/123872/26123/26160/57728/83538/6102/89765/51364/57539/9576/79989/90506/80173/27077/26146/9742/221421/10413/1767/345895/6738/56912/55764/5990/352909/56683/8100/123016/4957/84747/83544/1756/6674/583/54919/3983/582/79583/9696,44,MB_vs_EPN_like,Down,GO_BP
GO:0035082,axoneme assembly,15/423,19/5514,0.7894736842105263,10.291153415453529,11.692980211494211,4.320057252168241e-14,4.316817209229115e-11,3.999463529770493e-11,123872/83538/89765/51364/9576/79989/90506/221421/1767/345895/352909/83544/6674/583/54919,15,MB_vs_EPN_like,Down,GO_BP
GO:0060294,cilium movement involved in cell motility,19/423,32/5514,0.59375,7.739804964539007,11.020858696470494,6.02511964531144e-14,4.8164806444619654e-11,4.462393876253821e-11,493/28981/25911/79659/54585/5360/146845/219681/9576/90506/1770/83853/221421/1767/345895/23230/10383/583/582,19,MB_vs_EPN_like,Down,GO_BP
GO:0007018,microtubule-based movement,44/423,169/5514,0.2603550295857988,3.393847832473037,9.110215904103331,1.2348687817864837e-13,6.600260211035735e-11,6.115037705232535e-11,493/28981/25911/79659/54585/89891/5360/51626/123872/5813/26160/57728/8546/83538/146845/51364/219681/57539/9576/79989/90506/1770/83853/80173/26146/9742/221421/1767/345895/23230/56912/55764/3315/352909/10383/56683/361/8100/92104/583/54919/9368/582/4130,44,MB_vs_EPN_like,Down,GO_BP
GO:0001539,cilium or flagellum-dependent cell motility,19/423,33/5514,0.5757575757575758,7.505265420159038,10.803257334395724,1.321042824325391e-13,6.600260211035735e-11,6.115037705232535e-11,493/28981/25911/79659/54585/5360/146845/219681/9576/90506/1770/83853/221421/1767/345895/23230/10383/583/582,19,MB_vs_EPN_like,Down,GO_BP
GO:0060285,cilium-dependent cell motility,19/423,33/5514,0.5757575757575758,7.505265420159038,10.803257334395724,1.321042824325391e-13,6.600260211035735e-11,6.115037705232535e-11,493/28981/25911/79659/54585/5360/146845/219681/9576/90506/1770/83853/221421/1767/345895/23230/10383/583/582,19,MB_vs_EPN_like,Down,GO_BP
GO:0120031,plasma membrane bounded cell projection assembly,52/423,240/5514,0.21666666666666667,2.8243498817966906,8.329258149239,1.805873215337424e-12,7.688597248490112e-10,7.123364923742338e-10,5962/28981/79659/89891/51626/145173/123872/26123/26160/57728/83538/6102/89765/51364/57539/9576/79989/90506/80173/27077/26146/9742/221421/10413/1767/345895/6738/56912/55764/5990/352909/10163/56683/8100/123016/4957/84747/83544/23580/100506658/9353/1756/6674/583/54919/5064/3983/9368/582/79583/9696/3691,52,MB_vs_EPN_like,Down,GO_BP
GO:0030031,cell projection assembly,53/423,248/5514,0.21370967741935484,2.7858041638069095,8.2943407976347,1.9235920061271233e-12,7.688597248490112e-10,7.123364923742338e-10,5962/28981/79659/89891/51626/145173/123872/26123/26160/57728/83538/6102/89765/51364/57539/9576/79989/90506/80173/27077/26146/9742/221421/10413/1767/345895/6738/56912/55764/5990/352909/10163/56683/8100/123016/4957/84747/83544/23580/100506658/92154/9353/1756/6674/583/54919/5064/3983/9368/582/79583/9696/3691,53,MB_vs_EPN_like,Down,GO_BP
GO:0016054,organic acid catabolic process,35/423,127/5514,0.27559055118110237,3.592449879935221,8.519250197455461,7.83478582127554e-12,2.538424306331219e-9,2.3518103603158233e-9,7263/26275/493/1666/3032/18/23576/3030/3712/55862/30/1384/2746/37/2109/3155/56922/5825/2108/51084/11112/10455/10247/8659/6566/7915/56267/10157/3945/2326/2653/4329/10840/56898/2731,35,MB_vs_EPN_like,Down,GO_BP
GO:0046395,carboxylic acid catabolic process,35/423,127/5514,0.27559055118110237,3.592449879935221,8.519250197455461,7.83478582127554e-12,2.538424306331219e-9,2.3518103603158233e-9,7263/26275/493/1666/3032/18/23576/3030/3712/55862/30/1384/2746/37/2109/3155/56922/5825/2108/51084/11112/10455/10247/8659/6566/7915/56267/10157/3945/2326/2653/4329/10840/56898/2731,35,MB_vs_EPN_like,Down,GO_BP
GO:0044282,small molecule catabolic process,44/423,189/5514,0.2328042328042328,3.0347104957034032,8.2042021500215,8.256071048863109e-12,2.538424306331219e-9,2.3518103603158233e-9,7263/26275/493/1666/3032/18/23576/3030/3712/55862/30/1384/217/2746/37/2109/4351/10413/3155/56922/5825/2108/51084/11112/10455/10247/8659/5315/572/64080/5214/6566/5236/7915/56267/10157/3945/2326/2653/4329/10840/84532/56898/2731,44,MB_vs_EPN_like,Down,GO_BP
GO:0042073,intraciliary transport,15/423,25/5514,0.6,7.821276595744681,9.852618806145074,2.3647729908384424e-11,6.751426888843753e-9,6.255091264488451e-9,28981/79659/89891/51626/26160/57728/57539/79989/80173/26146/9742/56912/55764/8100/92104,15,MB_vs_EPN_like,Down,GO_BP
GO:0001578,microtubule bundle formation,17/423,33/5514,0.5151515151515151,6.715237481194928,9.491262423389788,2.998573749262105e-11,7.990199517200422e-9,7.402794701687077e-9,123872/83538/89765/51364/9576/79989/90506/51673/221421/1767/11076/345895/352909/83544/6674/583/54919,17,MB_vs_EPN_like,Down,GO_BP
GO:0043436,oxoacid metabolic process,72/423,436/5514,0.1651376146788991,2.152644934608628,7.228614654568743,9.169280522360974e-11,2.2906008904923006e-8,2.122205847214862e-8,29968/7263/26275/493/1666/9444/3032/18/23576/11160/3030/8801/3712/6507/145482/7923/65263/55862/30/1384/26227/477/25874/2746/37/2109/22949/1312/54996/2052/10413/3155/114876/56922/84869/3418/5825/2108/51084/11112/10455/10247/79966/80201/8659/873/23788/80025/5723/5315/5214/6566/5236/7915/56267/10157/27068/5730/230/3945/2326/2946/50/2653/4329/10840/5092/3421/84532/80017/56898/2731,72,MB_vs_EPN_like,Down,GO_BP
GO:0006082,organic acid metabolic process,72/423,437/5514,0.16475972540045766,2.1477189736598663,7.206681511437034,1.023643586699178e-10,2.4067667153156557e-8,2.2298316644010575e-8,29968/7263/26275/493/1666/9444/3032/18/23576/11160/3030/8801/3712/6507/145482/7923/65263/55862/30/1384/26227/477/25874/2746/37/2109/22949/1312/54996/2052/10413/3155/114876/56922/84869/3418/5825/2108/51084/11112/10455/10247/79966/80201/8659/873/23788/80025/5723/5315/5214/6566/5236/7915/56267/10157/27068/5730/230/3945/2326/2946/50/2653/4329/10840/5092/3421/84532/80017/56898/2731,72,MB_vs_EPN_like,Down,GO_BP
GO:0003351,epithelial cilium movement involved in extracellular fluid movement,11/423,14/5514,0.7857142857142857,10.242147922998987,9.979716857234546,1.4109301329701101e-10,3.133048745267517e-8,2.9027205893502033e-8,25911/123872/83538/9576/1770/83853/1767/345895/352909/361/9368,11,MB_vs_EPN_like,Down,GO_BP
GO:0019752,carboxylic acid metabolic process,70/423,428/5514,0.16355140186915887,2.1319679194008083,7.027979028263566,2.756757984782665e-10,5.7993482448296386e-8,5.3730053132772394e-8,29968/7263/26275/493/1666/9444/3032/18/23576/11160/3030/8801/3712/6507/145482/7923/65263/55862/30/1384/26227/477/25874/2746/37/2109/22949/1312/2052/10413/3155/114876/56922/84869/3418/5825/2108/51084/11112/10455/10247/79966/80201/8659/873/23788/80025/5723/5315/5214/6566/5236/7915/56267/10157/5730/230/3945/2326/2946/50/2653/4329/10840/5092/3421/84532/80017/56898/2731,70,MB_vs_EPN_like,Down,GO_BP
