ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0006325,chromatin organization,157/754,331/5514,0.4743202416918429,3.46870266934857,18.43607099709112,6.115199764697048e-54,2.639320218443246e-50,2.4814836939902233e-50,8545/22880/29890/56916/23411/23774/8479/7468/84733/79677/9611/125476/51412/9031/6599/54780/54892/339287/5925/4171/8726/8467/2186/23234/57634/8089/55729/84864/79813/114991/51317/57492/10445/23310/55183/6830/11177/1788/114049/29128/10919/2956/4297/7153/58499/23028/29028/54665/7290/53615/10927/23013/23210/6597/23198/23168/8805/9730/11143/1786/55929/6732/11011/6602/9188/8295/7913/8208/10902/22976/11198/3066/11335/3148/142/8019/345630/4678/57459/10514/51773/10951/4796/57050/55257/317772/6045/56254/3009/1107/2959/222229/9070/546/3007/3146/7443/6827/23515/9219/5929/64426/6749/54969/79697/10155/10428/57332/4152/5757/6598/5928/1106/3006/328/3054/23186/51377/10038/4288/9810/9329/6418/26155/1108/4221/25842/25836/4001/55506/1387/23326/6605/81611/6421/6419/1017/201161/5111/9100/10363/9733/3008/55193/8520/9656/3276/4869/7150/3930/23468/2091/7052/4641/8971/25879/23170,157,MB_vs_EPN_like,Up,GO_BP
GO:0016072,rRNA metabolic process,101/754,166/5514,0.608433734939759,4.449474289731872,17.95921914354304,3.396685737000503e-47,7.330047820447085e-44,6.8916965874404945e-44,2483/51575/5394/114049/55695/10927/6597/9188/22894/51010/79707/9790/345630/57647/11056/79050/57050/23246/5393/2976/9136/55646/22984/9330/55651/51096/23404/1662/134430/79066/55272/11340/51202/55661/84916/23517/51441/6598/81887/117246/55720/27340/84365/55127/705/11103/79002/9329/4809/5822/57418/23160/55226/317781/23560/23076/27043/54512/8568/10813/55506/50628/6949/55813/23029/54606/10607/51602/8886/10528/10849/27292/10199/9221/285855/10521/1736/55299/10436/54433/10969/118460/84135/23481/51154/79954/7150/51013/84172/10556/4839/55505/2091/10799/55781/25926/10885/65095/64216/25879/79039,101,MB_vs_EPN_like,Up,GO_BP
GO:0006259,DNA metabolic process,164/754,401/5514,0.4089775561097257,2.99085178300932,16.475910009083307,1.6513713341849516e-45,2.3757728927807506e-42,2.2336970151870136e-42,56916/23411/5599/7468/79621/4174/58525/79677/125476/51412/4176/1602/4175/4173/6599/54780/3978/4171/8467/57634/8089/26168/4830/57492/10445/4172/55183/6830/11177/9319/5394/29128/23244/10919/3980/4292/2956/23126/7153/5514/3149/23028/6878/4999/3838/3835/29089/2237/6597/23198/9730/11143/55929/6602/4521/8295/7913/8208/10902/22976/11198/51010/3148/6877/142/4678/56949/4436/5422/23595/5558/4796/55257/55270/23063/55671/3009/222229/55651/5001/546/3007/3146/7515/10492/259282/7155/6749/54969/79697/5984/151987/10155/3182/10535/57332/5982/5983/7298/6598/5928/3006/5073/328/79892/5985/56252/79077/51377/10038/6418/2547/1108/4221/57418/7520/25842/55226/7014/25836/23560/54512/26354/57103/1854/1387/23326/6605/8243/6421/6419/1017/5111/9100/3184/54386/64318/3008/1736/2521/55193/3178/4841/54433/55512/118460/9656/3276/9126/4869/7150/6714/56893/5965/5395/56647/5763/1022/55505/4913/8971/4781/4774/1454,164,MB_vs_EPN_like,Up,GO_BP
GO:0006364,rRNA processing,88/754,142/5514,0.6197183098591549,4.531998356184855,16.969648856223408,5.221650030747322e-42,5.6341603831763604e-39,5.2972265443502436e-39,2483/51575/5394/114049/55695/9188/22894/51010/79707/9790/345630/57647/11056/79050/57050/23246/5393/9136/55646/22984/55651/51096/23404/1662/134430/79066/55272/11340/51202/55661/84916/23517/51441/81887/117246/55720/27340/55127/705/11103/4809/5822/57418/23160/55226/317781/23560/23076/27043/54512/8568/10813/50628/55813/23029/54606/10607/51602/8886/10528/27292/10199/9221/285855/10521/1736/55299/10436/54433/10969/118460/84135/23481/51154/79954/51013/10556/4839/55505/2091/10799/55781/25926/10885/65095/64216/25879/79039,88,MB_vs_EPN_like,Up,GO_BP
GO:0006338,chromatin remodeling,122/754,256/5514,0.4765625,3.4851002984084882,16.20428250635592,1.0540344759588884e-41,9.098425596477124e-39,8.5543219048874e-39,8545/22880/29890/56916/23411/23774/7468/125476/51412/9031/6599/339287/5925/4171/8726/8467/2186/23234/8089/55729/84864/79813/57492/10445/55183/6830/11177/1788/29128/10919/4297/23028/29028/54665/7290/53615/10927/23013/23210/6597/9730/11143/1786/55929/6602/9188/8295/7913/8208/22976/11198/3066/11335/3148/142/8019/345630/4678/57459/10514/51773/10951/317772/6045/56254/3009/1107/2959/9070/546/3007/3146/7443/6827/9219/5929/64426/6749/54969/79697/10155/10428/4152/6598/5928/1106/3006/328/3054/51377/10038/9329/6418/26155/1108/4221/25842/25836/4001/55506/1387/23326/6605/6421/6419/1017/201161/9100/9733/3008/55193/8520/3276/4869/7150/3930/23468/2091/7052/4641/8971/25879,122,MB_vs_EPN_like,Up,GO_BP
GO:0042254,ribosome biogenesis,103/754,193/5514,0.533678756476684,3.902791330520471,16.33706493351665,8.136879454836091e-41,5.853128621178761e-38,5.503100052349672e-38,2483/55319/84864/51575/5394/114049/55695/23195/9188/22894/51010/54475/79707/9790/345630/10514/57647/11056/79050/57050/23246/5393/9136/55646/22984/55651/51096/23404/1662/134430/79066/55272/11340/51202/55661/84916/23517/8241/51441/81887/117246/55720/27340/55127/83939/705/11103/4809/26155/30836/5822/57418/7520/23160/55226/317781/23560/23076/27043/54512/8568/10813/50628/55813/90441/23029/54606/10607/51602/8886/10528/27292/10199/56902/9221/285855/10521/1736/55299/10436/54433/10969/118460/84135/23481/51154/4869/79954/51491/51013/10556/4839/55505/2091/64794/10799/55781/25926/10885/65095/64216/25879/79039,103,MB_vs_EPN_like,Up,GO_BP
GO:0006281,DNA repair,111/754,261/5514,0.42528735632183906,3.1101253086984357,13.899558076918172,3.7638898235148354e-32,2.3207069254700043e-29,2.1819241006992016e-29,56916/23411/5599/7468/79621/4174/79677/125476/51412/4176/4175/4173/6599/54780/3978/4171/8467/57634/8089/26168/57492/10445/4172/55183/9319/5394/29128/3980/4292/2956/23126/23028/6878/3835/29089/2237/6597/23198/9730/11143/55929/6602/4521/8295/7913/8208/10902/22976/11198/3148/6877/142/56949/4436/5422/4796/55257/55671/546/3146/7515/259282/7155/6749/54969/79697/5984/151987/10155/10535/57332/5982/5983/6598/5928/328/5985/51377/10038/2547/1108/4221/7520/25842/7014/25836/57103/1387/23326/6605/8243/6421/6419/1017/5111/9100/54386/2521/55193/4841/9656/3276/9126/4869/56893/5965/5395/56647/1022/4913/1454,111,MB_vs_EPN_like,Up,GO_BP
GO:0051052,regulation of DNA metabolic process,98/754,215/5514,0.4558139534883721,3.333366232804886,13.889332404286549,2.32803894376185e-31,1.255977010159518e-28,1.1808671221318332e-28,56916/23411/7468/4174/58525/79677/125476/51412/4176/1602/4175/4173/6599/54780/4171/8467/57634/8089/26168/57492/10445/4172/55183/6830/11177/5394/23244/10919/3980/4292/2956/5514/23028/6878/3838/6597/11143/55929/6602/8295/7913/10902/22976/51010/6877/142/4436/23595/55257/23063/55671/3009/5001/546/3007/3146/7515/7155/79697/5984/151987/10155/57332/5982/5983/6598/3006/5073/5985/56252/51377/7520/55226/7014/23560/26354/57103/1387/23326/6605/6419/1017/5111/3184/54386/3008/1736/2521/55193/3178/118460/9656/3276/9126/6714/56893/5395/8971,98,MB_vs_EPN_like,Up,GO_BP
GO:0022613,ribonucleoprotein complex biogenesis,118/754,302/5514,0.39072847682119205,2.8573963145783194,13.212409946939232,5.09511424578989e-30,2.443390342758796e-27,2.2972708090666698e-27,10569/2483/55319/84864/51575/5394/114049/55695/8161/8559/23195/6732/9188/22894/57461/51010/54475/79707/9790/345630/56949/10514/57647/11056/79050/57050/23246/5393/51340/58155/9136/55646/22984/55651/10978/51096/4686/23404/1662/134430/79066/55692/55272/11340/51202/55661/84916/23517/8241/51441/81887/117246/55720/27340/55127/83939/705/11103/4809/26155/30836/5822/57418/7520/23160/51631/55226/317781/23560/23076/27043/54512/8568/51747/10813/50628/55813/90441/23029/54606/10607/51602/8886/10528/27292/9733/10199/56902/9221/285855/6426/10521/1736/55299/10436/54433/10969/118460/84135/23481/51154/4869/79954/51491/51013/10556/4839/55505/2091/64794/10799/55781/25926/10885/65095/64216/25879/79039,118,MB_vs_EPN_like,Up,GO_BP
GO:0006310,DNA recombination,68/754,120/5514,0.5666666666666667,4.144031830238727,13.857927310262362,3.866428853192436e-29,1.6687506930378553e-26,1.5689561293744043e-26,56916/7468/4174/79677/125476/4176/4175/4173/54780/3978/4171/57634/8089/26168/10445/4172/55183/6830/9319/29128/3980/4292/2956/23126/7153/3149/23028/3838/2237/9730/55929/8295/10902/22976/51010/3148/142/4436/4796/55257/3009/3007/3146/7515/7155/151987/3006/328/51377/2547/1108/7520/25842/7014/25836/1387/6421/54386/3008/2521/4841/118460/9656/3276/56893/5965/5395/8971,68,MB_vs_EPN_like,Up,GO_BP
