ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0043436,oxoacid metabolic process,126/810,436/5514,0.2889908256880734,1.9672782874617736,8.73275316405411,1.0577166574802437e-15,2.453195193063106e-12,2.0498973085181376e-12,9444/55862/873/18/230/30/79966/493/2597/1312/23576/3032/3030/8801/51084/6507/29968/1384/58478/51144/10247/37/1666/477/145482/5860/3712/2584/7360/80221/4199/8659/2184/7263/3176/3945/8671/2746/6774/5236/2946/9446/4329/84836/35/56898/5825/5315/11160/26275/56922/4482/5214/10455/11315/2628/2109/25874/7915/5213/2593/7923/2023/80025/5223/3155/26227/5562/1374/376497/65263/2752/22949/2110/5571/22933/5092/23597/1622/91452/2108/9380/23788/11112/114876/6307/8644/54996/54704/3417/11343/10840/2944/3295/435/834/2954/113675/5730/2948/3419/3421/84706/23305/5027/5723/2052/8050/972/23205/56267/241/10993/883/5354/1545/2653/10873/5625/23657/2875/51268/6652/5224/226/586,126,MB_vs_Glial,Down,GO_BP
GO:0006082,organic acid metabolic process,126/810,437/5514,0.28832951945080093,1.9627765064836005,8.702929592945287,1.2887167100117629e-15,2.453195193063106e-12,2.0498973085181376e-12,9444/55862/873/18/230/30/79966/493/2597/1312/23576/3032/3030/8801/51084/6507/29968/1384/58478/51144/10247/37/1666/477/145482/5860/3712/2584/7360/80221/4199/8659/2184/7263/3176/3945/8671/2746/6774/5236/2946/9446/4329/84836/35/56898/5825/5315/11160/26275/56922/4482/5214/10455/11315/2628/2109/25874/7915/5213/2593/7923/2023/80025/5223/3155/26227/5562/1374/376497/65263/2752/22949/2110/5571/22933/5092/23597/1622/91452/2108/9380/23788/11112/114876/6307/8644/54996/54704/3417/11343/10840/2944/3295/435/834/2954/113675/5730/2948/3419/3421/84706/23305/5027/5723/2052/8050/972/23205/56267/241/10993/883/5354/1545/2653/10873/5625/23657/2875/51268/6652/5224/226/586,126,MB_vs_Glial,Down,GO_BP
GO:0019752,carboxylic acid metabolic process,124/810,428/5514,0.2897196261682243,1.972239529248875,8.689800986066222,1.5053355653895107e-15,2.453195193063106e-12,2.0498973085181376e-12,9444/55862/873/18/230/30/79966/493/2597/1312/23576/3032/3030/8801/51084/6507/29968/1384/58478/51144/10247/37/1666/477/145482/5860/3712/2584/7360/80221/4199/8659/2184/7263/3176/3945/8671/2746/6774/5236/2946/9446/4329/35/56898/5825/5315/11160/26275/56922/4482/5214/10455/11315/2628/2109/25874/7915/5213/2593/7923/2023/80025/5223/3155/26227/5562/1374/376497/65263/2752/22949/2110/5571/22933/5092/23597/1622/91452/2108/9380/23788/11112/114876/6307/8644/54704/3417/11343/10840/2944/3295/435/834/2954/113675/5730/2948/3419/3421/84706/23305/5027/5723/2052/8050/972/23205/56267/241/10993/883/5354/1545/2653/10873/5625/23657/2875/51268/6652/5224/226/586,124,MB_vs_Glial,Down,GO_BP
GO:0044282,small molecule catabolic process,66/810,189/5514,0.3492063492063492,2.3771898883009994,7.994066754420666,1.286182979260533e-12,1.5720371464011866e-9,1.3135989848710868e-9,55862/18/30/493/23576/3032/3030/4351/51084/1384/10247/37/1666/5860/3712/2584/8659/2184/7263/9784/3176/3945/2746/5236/4329/35/56898/217/5825/5315/26275/56922/5214/10455/11315/2109/7915/5213/2023/5223/3155/1374/2752/2110/91452/2108/11112/874/8644/10840/3295/2954/113675/84706/5019/56267/10993/883/348/2653/5625/2875/51268/6652/5224/586,66,MB_vs_Glial,Down,GO_BP
GO:0016054,organic acid catabolic process,50/810,127/5514,0.3937007874015748,2.6800816564596097,7.9480686933330364,4.8637479176040386e-12,3.963143928194358e-9,3.311615029512505e-9,55862/18/30/493/23576/3032/3030/51084/1384/10247/37/1666/5860/3712/8659/2184/7263/3176/3945/2746/4329/35/56898/5825/26275/56922/10455/2109/7915/3155/1374/2752/2110/91452/2108/11112/10840/3295/2954/113675/84706/56267/10993/883/2653/5625/2875/51268/6652/586,50,MB_vs_Glial,Down,GO_BP
GO:0046395,carboxylic acid catabolic process,50/810,127/5514,0.3937007874015748,2.6800816564596097,7.9480686933330364,4.8637479176040386e-12,3.963143928194358e-9,3.311615029512505e-9,55862/18/30/493/23576/3032/3030/51084/1384/10247/37/1666/5860/3712/8659/2184/7263/3176/3945/2746/4329/35/56898/5825/26275/56922/10455/2109/7915/3155/1374/2752/2110/91452/2108/11112/10840/3295/2954/113675/84706/56267/10993/883/2653/5625/2875/51268/6652/586,50,MB_vs_Glial,Down,GO_BP
GO:0032787,monocarboxylic acid metabolic process,84/810,291/5514,0.28865979381443296,1.9650248186330659,7.018233502305033,1.171595431158122e-10,8.182757232760084e-8,6.837536644097252e-8,9444/55862/873/18/230/30/79966/2597/1312/3032/3030/51084/6507/1384/51144/37/1666/145482/3712/2584/80221/4199/2184/3945/8671/6774/5236/2946/35/56898/5825/5315/11160/56922/5214/10455/11315/2628/2109/25874/7915/5213/2593/7923/2023/80025/5223/26227/5562/1374/376497/22949/2110/5571/22933/23597/1622/91452/2108/9380/23788/114876/6307/8644/54704/3417/11343/2944/3295/5730/2948/23305/5027/2052/8050/972/23205/10993/5354/1545/10873/6652/5224/226,84,MB_vs_Glial,Down,GO_BP
GO:0009063,amino acid catabolic process,30/810,62/5514,0.4838709677419355,3.293906810035842,7.536965737812015,2.541597660587176e-10,1.553233870326338e-7,1.2978869106235305e-7,18/493/23576/10247/5860/3712/8659/2184/3176/2746/4329/26275/56922/2109/7915/3155/2752/2108/11112/2954/113675/84706/56267/10993/883/2653/5625/2875/51268/586,30,MB_vs_Glial,Down,GO_BP
GO:0170035,L-amino acid catabolic process,24/810,45/5514,0.5333333333333333,3.6306172839506177,7.352123837201652,1.289948944081224e-9,7.007289319570115e-7,5.855312107578049e-7,493/23576/10247/5860/3712/8659/2184/3176/2746/4329/26275/56922/3155/2752/11112/2954/113675/84706/56267/10993/883/5625/2875/51268,24,MB_vs_Glial,Down,GO_BP
GO:0098657,import into cell,106/810,422/5514,0.25118483412322273,1.7099175004388274,6.296841467139647,3.029961379461441e-9,1.4813481184186985e-6,1.2378189593357741e-6,27131/482/5594/5595/3685/493/8724/55207/10163/2670/6507/287/7879/495/6653/824/5899/477/476/977/4035/975/2824/11031/311/4735/9784/5868/5869/160/55707/998/6774/8650/51479/1793/928/1808/6642/5906/22905/11315/60682/3958/26052/6520/1191/376497/25938/8411/4043/721/6506/2060/116985/5359/140885/9367/56262/196527/1173/961/10203/112574/301/23479/54413/302/8140/63916/196051/51517/6509/8867/274/30011/1175/30845/5027/967/3092/53353/3689/23396/30844/5538/3684/720/11151/7410/9026/199/483/3766/6538/6536/348/929/5286/5621/9368/23657/5909/3673/5806/6529,106,MB_vs_Glial,Down,GO_BP
GO:0006865,amino acid transport,24/810,47/5514,0.5106382978723404,3.47612293144208,7.073745706736545,4.103940284295868e-9,1.8240149136293178e-6,1.5241523677849057e-6,18/2670/6507/477/4735/10755/94097/6520/6506/56262/83733/8140/4915/6509/5027/7957/3766/6538/6536/57348/2697/9368/23657/6529,24,MB_vs_Glial,Down,GO_BP
GO:0030029,actin filament-based process,100/810,394/5514,0.25380710659898476,1.7277683775145702,6.220268915416849,4.987062858719255e-9,2.0318125263565366e-6,1.697788680235915e-6,9444/391/389/5339/57580/817/2037/10006/10163/9948/5872/120/287/6711/5962/10787/23191/81553/10580/57175/477/476/4035/6709/10160/2824/11034/3996/998/81873/6050/26999/83660/118/9897/822/10552/1465/29085/7082/23325/7111/29767/5295/84168/54749/6717/1496/10611/116985/5911/84978/1073/50488/10979/2036/961/6281/301/2764/55160/63916/23580/85477/8572/10174/274/30011/358/8153/1901/22808/3092/23406/23171/3845/23396/26084/55616/11151/9026/199/25802/9922/23500/10486/3693/79784/11135/6640/22998/388/2318/85415/2697/4082/9368/11346/10391/226,100,MB_vs_Glial,Down,GO_BP
GO:1901606,alpha-amino acid catabolic process,25/810,51/5514,0.49019607843137253,3.336964415395788,6.957038975903893,5.787794072875717e-9,2.1766557863299525e-6,1.8188201454923614e-6,493/23576/10247/5860/3712/8659/2184/3176/2746/4329/26275/56922/3155/2752/11112/2954/113675/84706/56267/10993/883/2653/5625/2875/51268,25,MB_vs_Glial,Down,GO_BP
