ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0005929,cilium,78/431,280/5669,0.2785714285714286,3.6640868412330128,13.114269677849956,4.377826144907413e-26,2.2195578554680585e-23,1.8340787428138428e-23,8842/54585/1808/2767/9742/79659/28981/89891/57539/51626/2776/1027/2771/481/10383/1069/4131/493/4082/203/6738/26160/123872/146845/89765/3796/55764/83538/403/84747/23136/9576/80173/6102/56912/1499/124045/5594/83853/476/122481/27077/90506/84058/345895/221421/80129/57728/1770/79989/26146/1385/26123/9368/2947/1767/56683/83658/9696/8100/123016/11020/92104/202018/83544/10856/2773/29105/55684/85379/23230/7248/8607/207/2782/95681/79583/4957,78,ATRT_vs_EPN_like,Down,GO_CC
GO:0031514,motile cilium,34/431,71/5669,0.4788732394366197,6.298683049573543,12.886989607527903,3.933570108590623e-20,9.97160022527723e-18,8.239794227468781e-18,79659/28981/51626/481/10383/1069/493/203/26160/146845/89765/83538/9576/80173/56912/124045/83853/476/122481/90506/84058/345895/221421/57728/1770/9368/2947/1767/9696/8100/11020/29105/23230/4957,34,ATRT_vs_EPN_like,Down,GO_CC
GO:0097729,9+2 motile cilium,27/431,51/5669,0.5294117647058824,6.9634229561894365,12.270454298493163,1.1655874737381493e-17,1.969842830617472e-15,1.6277326826238015e-15,79659/28981/481/10383/1069/493/203/26160/146845/89765/83538/9576/124045/476/90506/345895/221421/1770/9368/2947/1767/9696/8100/11020/29105/23230/4957,27,ATRT_vs_EPN_like,Down,GO_CC
GO:0036064,ciliary basal body,37/431,126/5669,0.29365079365079366,3.8624277243766802,9.320048486747726,1.7125509788597904e-13,2.1706583657047843e-11,1.7936718147005175e-11,9742/28981/89891/57539/51626/1027/2771/1069/493/26160/3796/55764/403/23136/6102/56912/1499/5594/27077/80129/79989/26146/1385/56683/9696/8100/123016/202018/10856/2773/29105/55684/7248/8607/207/95681/4957,37,ATRT_vs_EPN_like,Down,GO_CC
GO:0097542,ciliary tip,16/431,24/5669,0.6666666666666666,8.76875483372003,10.939459700841534,3.9832689688497893e-13,3.1421918854861483e-11,2.5964753875708236e-11,9742/79659/28981/89891/57539/51626/26160/55764/80173/56912/57728/79989/26146/83658/8100/11020,16,ATRT_vs_EPN_like,Down,GO_CC
GO:0005930,axoneme,21/431,43/5669,0.4883720930232558,6.423622727027465,10.239874751499265,4.3383319917954706e-13,3.1421918854861483e-11,2.5964753875708236e-11,9742/79659/89891/57539/51626/10383/26160/123872/146845/89765/83538/9576/83853/345895/221421/1770/26146/1767/92104/83544/29105,21,ATRT_vs_EPN_like,Down,GO_CC
GO:0097014,ciliary plasm,21/431,43/5669,0.4883720930232558,6.423622727027465,10.239874751499265,4.3383319917954706e-13,3.1421918854861483e-11,2.5964753875708236e-11,9742/79659/89891/57539/51626/10383/26160/123872/146845/89765/83538/9576/83853/345895/221421/1770/26146/1767/92104/83544/29105,21,ATRT_vs_EPN_like,Down,GO_CC
GO:0030990,intraciliary transport particle,13/431,16/5669,0.8125,10.686919953596288,11.129534971014994,1.0834668518072673e-12,6.866471173328557e-11,5.6739448292012166e-11,9742/28981/57539/26160/55764/80173/56912/57728/79989/26146/8100/11020/92104,13,ATRT_vs_EPN_like,Down,GO_CC
GO:0036126,sperm flagellum,20/431,44/5669,0.45454545454545453,5.978696477536384,9.50936537193284,8.648964466251125e-12,4.872249982654801e-10,4.026067669670115e-10,28981/481/10383/493/203/26160/146845/89765/9576/124045/476/90506/221421/9368/2947/8100/11020/29105/23230/4957,20,ATRT_vs_EPN_like,Down,GO_CC
GO:1905360,GTPase complex,13/431,21/5669,0.6190476190476191,8.142415202740029,9.405420246305649,2.760392613745499e-10,1.399519055168968e-8,1.156459221337588e-8,55970/2767/2775/2776/2771/2783/10672/2787/10670/59345/2773/58528/2782,13,ATRT_vs_EPN_like,Down,GO_CC
GO:0005834,heterotrimeric G-protein complex,11/431,17/5669,0.6470588235294118,8.510850279787089,8.895764922630992,3.5329491368473183e-9,1.5880186447742054e-7,1.31222136534856e-7,55970/2767/2775/2776/2771/2783/10672/2787/59345/2773/2782,11,ATRT_vs_EPN_like,Down,GO_CC
GO:0030992,intraciliary transport particle B,9/431,11/5669,0.8181818181818182,10.761653659565495,9.29520719365789,3.758624011299894e-9,1.5880186447742054e-7,1.31222136534856e-7,28981/26160/80173/56912/79989/26146/8100/11020/92104,9,ATRT_vs_EPN_like,Down,GO_CC
GO:0035869,ciliary transition zone,11/431,18/5669,0.6111111111111112,8.0380252642433625,8.578181465610564,8.467895835684638e-9,3.3024793759170086e-7,2.728925135710515e-7,9742/51626/1069/55764/403/84747/27077/57728/26146/123016/79583,11,ATRT_vs_EPN_like,Down,GO_CC
GO:0032838,plasma membrane bounded cell projection cytoplasm,25/431,95/5669,0.2631578947368421,3.461350592257907,6.939410962755721,2.003147453783708e-8,7.254255421916715e-7,5.994381102300119e-7,9742/79659/89891/57539/51626/10383/26160/123872/146845/89765/83538/127829/9576/83853/345895/221421/1770/26146/1767/10458/4130/92104/83544/7345/29105,25,ATRT_vs_EPN_like,Down,GO_CC
