ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0030684,preribosome,33/317,75/5669,0.44,7.868643533123029,14.5722588891537,2.246444730680408e-22,1.0445967997663897e-19,1.0049884321464982e-19,55781/84128/79954/27292/84916/22984/25879/79050/10199/55226/55813/55127/55272/705/134430/51096/56902/5394/23160/10436/51388/5822/9790/27340/84135/57647/26155/10813/65083/10607/57050/117246/90441,33,ATRT_vs_EPN_like,Up,GO_CC
GO:0032040,small-subunit processome,27/317,57/5669,0.47368421052631576,8.471027727046323,13.795754087774398,1.5840497312428578e-19,3.682915625139645e-17,3.543269135674814e-17,84128/79954/27292/84916/22984/25879/79050/10199/55226/55813/55127/55272/134430/51096/56902/5394/23160/10436/5822/9790/27340/84135/57647/10813/65083/10607/57050,27,ATRT_vs_EPN_like,Up,GO_CC
GO:0030686,90S preribosome,13/317,19/5669,0.6842105263157895,12.235928939066909,11.938453163508827,8.241038420159628e-13,1.2773609551247423e-10,1.2289267819536288e-10,84916/79050/10199/55813/55127/55272/134430/51096/5822/27340/26155/65083/10607,13,ATRT_vs_EPN_like,Up,GO_CC
GO:0071162,CMG complex,6/317,6/5669,1,17.883280757097793,10.069216677085183,2.922780747680749e-8,3.3977326191788704e-6,3.2688995204324164e-6,4174/4175/4173/4172/4171/4176,6,ATRT_vs_EPN_like,Up,GO_CC
GO:0031261,DNA replication preinitiation complex,6/317,7/5669,0.8571428571428571,15.328526363226677,9.231071484148703,1.9496387558474395e-7,1.8131640429381188e-5,1.7444136236529722e-5,4174/4175/4173/4172/4171/4176,6,ATRT_vs_EPN_like,Up,GO_CC
GO:0042555,MCM complex,6/317,8/5669,0.75,13.412460567823343,8.54954096168795,7.431779256658953e-7,5.7596289239106884e-5,5.541238919438693e-5,4174/4175/4173/4172/4171/4176,6,ATRT_vs_EPN_like,Up,GO_CC
GO:0030688,"preribosome, small subunit precursor",5/317,8/5669,0.625,11.177050473186119,7.009819641660978,2.5811085343906632e-5,0.0017145935264166548,0.0016495806422797473,55781/79050/705/27340/117246,5,ATRT_vs_EPN_like,Up,GO_CC
GO:0005602,complement component C1 complex,4/317,5/5669,0.8,14.306624605678232,7.243989038555791,4.589410811241778e-5,0.0023711955858082517,0.0022812860757634567,714/713/715/712,4,ATRT_vs_EPN_like,Up,GO_CC
GO:0034388,Pwp2p-containing subcomplex of 90S preribosome,4/317,5/5669,0.8,14.306624605678232,7.243989038555791,4.589410811241778e-5,0.0023711955858082517,0.0022812860757634567,55813/134430/51096/5822,4,ATRT_vs_EPN_like,Up,GO_CC
GO:0005788,endoplasmic reticulum lumen,21/317,158/5669,0.13291139240506328,2.3768917461965415,4.271689075167681,1.6600950372535218e-4,0.00763777688740498,0.007348172444022902,136227/30001/285203/10491/79709/64175/81567/27348/5034/60681/871/7448/64374/8974/54982/8985/79070/1301/2335/10954/6696,21,ATRT_vs_EPN_like,Up,GO_CC
GO:0030312,external encapsulating structure,25/317,208/5669,0.1201923076923077,2.149432783305023,4.110225585570747,2.0759584386209804e-4,0.00763777688740498,0.007348172444022902,136227/143282/9518/5351/7059/4015/7837/7078/64175/145864/6275/5176/3383/871/2201/3998/714/7448/8985/713/1301/2335/5054/1490/712,25,ATRT_vs_EPN_like,Up,GO_CC
GO:0031012,extracellular matrix,25/317,208/5669,0.1201923076923077,2.149432783305023,4.110225585570747,2.0759584386209804e-4,0.00763777688740498,0.007348172444022902,136227/143282/9518/5351/7059/4015/7837/7078/64175/145864/6275/5176/3383/871/2201/3998/714/7448/8985/713/1301/2335/5054/1490/712,25,ATRT_vs_EPN_like,Up,GO_CC
GO:1990904,ribonucleoprotein complex,44/317,458/5669,0.09606986899563319,1.7180444395465126,3.9004078816754806,2.1352924631454784e-4,0.00763777688740498,0.007348172444022902,10799/55781/84128/79954/27292/84916/57510/22984/25879/1659/79050/10199/55226/55813/55127/55272/705/134430/51096/56902/5394/23160/10436/51388/10625/5822/5937/9790/27340/84135/57647/26155/10813/9961/65083/10607/143/57050/23517/10556/124995/117246/90441/90459,44,ATRT_vs_EPN_like,Up,GO_CC
GO:0000228,nuclear chromosome,15/317,106/5669,0.14150943396226415,2.530652937325159,3.871342821858793,7.326147733109463e-4,0.024333276399256434,0.023410622455424974,10609/8091/56916/64151/5558/4174/4999/4175/4173/4172/4171/4176/65083/5422/23397,15,ATRT_vs_EPN_like,Up,GO_CC
GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,12/317,77/5669,0.15584415584415584,2.7870047933139412,3.8421471881556775,0.0010420628938293001,0.032303949708708306,0.031079068763330005,64841/5034/4245/871/3998/29097/6890/22820/2335/51290/51614/51112,12,ATRT_vs_EPN_like,Up,GO_CC
