ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0098590,plasma membrane region,136/923,450/5669,0.3022222222222222,1.8562272781991092,8.347445121345226,8.847774032654599e-15,5.184795583135595e-12,3.3435272397084224e-12,55198/495/2775/6711/5594/23396/388/84168/5595/10580/10787/975/4646/10672/5962/2823/5879/10552/361/493/4035/4897/4735/30845/5898/10160/7082/6814/1399/10768/287/3685/989/4685/23011/23122/4478/11258/5728/5213/490/24138/1410/482/208/55327/1499/8867/477/928/1785/9429/3675/6812/11021/94030/2059/55914/23136/27020/57669/6507/10617/1739/5064/3636/6506/64398/160/960/2060/376497/5789/476/115207/22920/9368/84896/8573/481/3705/9351/57026/27347/10163/1173/84687/529/6810/5335/8613/92154/5364/9847/523/119/781/2596/2026/9342/6102/8572/57406/526/8671/9053/8082/2768/2898/8140/113026/163/667/5911/6855/161742/2893/8714/8825/5420/8898/64805/9194/10458/26123/54413/2890/2039/56907/26232/583/9026/288/9854/3766/7168,136,ATRT_vs_Glial,Down,GO_CC
GO:0098794,postsynapse,116/923,366/5669,0.31693989071038253,1.9466221456523929,8.256734005148013,2.7920697892699026e-14,8.180764482560814e-12,5.275542391304711e-12,118/5813/2775/120/6711/2776/10006/4131/10787/7248/81609/10672/2823/6252/91107/112936/5879/28988/818/5530/10313/1400/817/4897/10152/55177/10160/9217/7249/1399/287/391/5621/3983/23191/9922/4204/9101/5728/5217/1410/55327/1499/10611/4504/477/1785/9371/3675/6812/94030/2059/55914/23136/27020/26052/1739/5064/23154/55619/160/2060/2017/29/207/55740/23673/50488/476/115207/22920/84896/1501/57026/5534/6009/1173/84687/6810/5364/51517/119/2596/8572/57406/80315/824/4905/8082/2898/163/5881/1175/613/85461/2893/5027/8825/30011/5289/8898/7204/116988/28964/9194/10458/54413/156/2890/2039/4983/26232/23236/9026/288/6622,116,ATRT_vs_Glial,Down,GO_CC
GO:0030424,axon,94/923,296/5669,0.31756756756756754,1.9504772920265876,7.40680796883216,8.991468575811842e-12,1.7563335284752465e-9,1.1326095504268251e-9,23176/57447/2664/6711/1809/57580/10006/4131/2823/55207/5048/3996/22933/4130/11315/22902/5339/1400/4897/5868/57465/79969/127829/1837/64601/4685/23303/23011/5621/23122/1639/81846/23557/11336/4134/1410/1312/23001/4763/8867/4504/1785/9371/3675/6812/94030/2059/23136/27020/1739/5064/6506/64398/274/2017/29/10409/214/7345/50488/476/5414/51062/84687/7431/2596/2026/80315/9053/10540/2898/667/5881/613/10300/6855/57609/85461/8898/10382/28964/6091/2890/4983/10381/79784/57731/547/22911/288/6622/1454/10947/4644,94,ATRT_vs_Glial,Down,GO_CC
GO:0015629,actin cytoskeleton,89/923,285/5669,0.312280701754386,1.9180057402444357,7.012408469173034,9.282648681563417e-11,1.3599080318490406e-8,8.769660201792807e-9,118/2037/6709/6711/1809/10580/10787/23012/4082/7248/4646/81873/5962/5879/28988/3996/830/10552/8976/5339/1400/10152/5868/7111/4735/7082/84516/2764/989/23580/29767/83660/1073/3983/11258/64236/51164/24138/1410/10611/1785/10671/7525/274/10120/2017/9578/116985/399687/85477/9368/55915/8573/2633/57026/23406/10163/84687/92154/9531/119/140465/25932/54776/25802/8572/64759/824/10540/667/5881/3005/5829/10391/10458/10801/1266/2039/79778/4983/10634/79784/55604/57731/9026/22998/6622/4644/7168,89,ATRT_vs_Glial,Down,GO_CC
GO:0098793,presynapse,92/923,300/5669,0.30666666666666664,1.8835247381726252,6.934011278810897,1.3111154355576458e-10,1.536627290473561e-8,9.909272449793577e-9,23176/2664/2775/23396/5869/2823/5879/28988/11315/493/1400/9815/9805/55177/5868/8723/57465/6814/9217/9230/11311/64601/7879/114088/201475/83660/5621/23557/9922/2983/5217/490/534/27342/55327/1499/9885/4763/8867/10611/4504/1785/3675/25927/6812/94030/27020/26052/6506/274/160/5906/5789/23673/115207/5414/8573/1173/529/523/781/2596/9342/5872/7466/526/8417/51382/824/8773/2898/163/1175/6855/85461/5027/8825/51606/5289/8898/7204/28964/10458/54413/156/2890/4983/6844/6856/6622/10947/3766,92,ATRT_vs_Glial,Down,GO_CC
GO:0005768,endosome,134/923,500/5669,0.268,1.6460368364030338,6.670999716582757,2.4789035965254016e-10,2.4210625126064758e-8,1.5612743704431916e-8,55198/10254/5594/23396/388/84168/5595/79735/5869/1783/4646/81609/28952/1027/55207/112936/5879/28988/3996/23180/6653/9146/361/23301/4035/22902/57599/55823/146691/84557/5868/30845/27131/65082/8723/79643/10652/22905/53916/287/9230/11311/127829/29062/54472/51479/10890/64601/7879/10203/201475/11188/23011/1185/29934/9135/27072/10397/81846/9101/54862/23102/29924/6642/208/27342/8027/51715/80700/124997/477/1785/6272/54521/11021/9784/8724/10617/8649/23154/274/160/5906/2060/10043/23673/116985/3716/55680/6845/9445/115825/10791/9946/10163/1173/529/6810/8073/10612/112574/523/9907/460/8572/9341/5872/57406/8417/51382/26088/163/347862/1175/5911/23230/11031/55240/10016/51606/4534/5289/8898/28964/2890/79778/55604/3105/64114/8905/10947/4644/55004/3122,134,ATRT_vs_Glial,Down,GO_CC
GO:0070161,anchoring junction,132/923,492/5669,0.2682926829268293,1.6478344740110458,6.630700749495812,3.193112121856099e-10,2.6730910048681052e-8,1.723800378565924e-8,118/2037/120/5594/23396/388/5595/10580/10787/975/9459/2273/4082/10982/81873/10672/5962/5786/2783/5879/28988/3996/966/22933/11315/4035/22902/5339/5295/199731/9815/10152/23336/30845/5898/7082/79969/9448/287/2665/10890/3685/1465/23580/7529/391/83660/23011/23122/4478/10397/23191/64236/51164/3696/7531/55327/1499/10611/5290/157378/477/928/1785/3675/55914/23136/8895/57669/1739/8649/64398/7525/960/3845/5906/2017/9578/207/55740/214/116985/6645/3716/85477/8573/481/1501/9351/57026/10791/10163/84687/8613/58494/7431/6641/25932/8572/84978/5872/64759/824/8773/2768/977/667/5297/55616/421/5829/5027/11135/8825/5420/30011/220296/7074/10391/28964/10458/2890/1266/79778/28316/7145/57731/22800/5097/288/2318/726,132,ATRT_vs_Glial,Down,GO_CC
GO:0031252,cell leading edge,74/923,232/5669,0.31896551724137934,1.959063398961408,6.577540752025415,1.3841839248312077e-9,1.0139147249388596e-7,6.53844775018952e-8,55198/6711/1809/10006/23396/84168/10787/9459/7248/4646/5962/5879/28988/5048/8976/22902/199731/10152/5868/27131/348110/3685/6285/83660/23122/3983/1639/23191/24138/6642/208/1499/5290/2059/23136/57669/3636/6506/960/2017/9578/207/55740/116985/6845/9368/57026/29085/10163/84687/6810/5335/7431/92154/9847/8572/5872/526/667/5881/55616/5911/5829/5420/4534/28964/10458/2890/26084/10381/55604/9026/4644/7168,74,ATRT_vs_Glial,Down,GO_CC
GO:0019898,extrinsic component of membrane,37/923,86/5669,0.43023255813953487,2.642457607901434,6.768017690717089,3.071175342181527e-9,1.999676389464861e-7,1.289534441921834e-7,2775/55970/2776/59345/2771/2767/10672/2783/5530/5295/10160/1399/54472/1837/2782/5621/534/1499/5290/6812/274/116985/3716/1173/84687/2773/523/526/51382/2768/163/51606/5289/7204/28316/26232/56997,37,ATRT_vs_Glial,Down,GO_CC
GO:0098978,glutamatergic synapse,91/923,316/5669,0.2879746835443038,1.7687199144232484,6.201046042912527,6.101624948214762e-9,3.4685504078745946e-7,2.2367695283401824e-7,5813/2775/6711/64854/4131/5595/81609/81873/2823/91107/112936/5879/28988/5048/10552/5530/8976/493/4897/84557/55177/5520/10160/9217/7879/391/23122/9135/9101/54862/2983/11165/5217/490/55327/1499/9885/4763/6272/9371/3675/25927/6812/94030/2059/55914/23136/1739/6506/23154/55619/274/160/5906/2060/2017/29/207/5789/22920/84896/57026/5534/1173/84687/6810/5364/51517/3556/57406/2898/163/5881/613/85461/30011/5289/7204/116988/28964/9194/10458/54413/2890/56896/4983/8404/26232/23236/9026/10947,91,ATRT_vs_Glial,Down,GO_CC
