ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0030684,preribosome,37/426,75/5669,0.49333333333333335,6.565039123630673,13.828256098125276,1.399772146632369e-22,6.732904025301694e-20,6.144263001533661e-20,55781/84128/79954/27292/84916/25879/79050/10436/22984/10199/55813/27340/55272/55226/5394/5822/9790/55127/57647/56902/23160/10885/51096/57050/26155/10607/65083/705/134430/117246/10813/30836/23481/23246/90441/84135/2091,37,ATRT_vs_Glial,Up,GO_CC
GO:0032040,small-subunit processome,30/426,57/5669,0.5263157894736842,7.003953545836422,12.985112346497129,1.5038632285612824e-19,3.616791064689884e-17,3.3005840332108145e-17,84128/79954/27292/84916/25879/79050/10436/22984/10199/55813/27340/55272/55226/5394/5822/9790/55127/57647/56902/23160/10885/51096/57050/10607/65083/134430/10813/30836/84135/2091,30,ATRT_vs_Glial,Up,GO_CC
GO:0030686,90S preribosome,16/426,19/5669,0.8421052631578947,11.206325673338275,12.701405757266102,6.223264669913095e-16,9.97796768742733e-14,9.105618832820213e-14,84916/79050/10199/55813/27340/55272/5822/55127/10885/51096/26155/10607/65083/134430/23481/23246,16,ATRT_vs_Glial,Up,GO_CC
GO:0031261,DNA replication preinitiation complex,7/426,7/5669,1,13.307511737089202,9.286758192465125,1.2924471357312326e-8,1.4268162693557753e-6,1.3020732778670716e-6,4172/4175/4171/4176/4174/4173/23595,7,ATRT_vs_Glial,Up,GO_CC
GO:1990904,ribonucleoprotein complex,68/426,458/5669,0.14847161572052403,1.9757877688254712,6.208080845985949,1.4831769951723236e-8,1.4268162693557753e-6,1.3020732778670716e-6,10799/55781/84128/79954/27292/1659/84916/25879/79050/6936/10436/22984/57510/23517/10199/55813/57703/27340/55272/55226/23398/1938/5394/5822/9790/55127/57647/9775/56902/23160/10885/51096/57050/10625/26155/10607/65083/1665/10556/705/134430/4931/117246/10813/124995/4869/55131/3187/6231/90459/30836/7072/9410/5937/10250/23481/4904/10128/64960/8559/23246/90441/6192/6633/84135/51538/2091/10614,68,ATRT_vs_Glial,Up,GO_CC
GO:0000228,nuclear chromosome,26/426,106/5669,0.24528301886792453,3.264106652493578,6.706950095932187,3.957896621856036e-8,3.1729137918545888e-6,2.8955138444104687e-6,10609/56916/8091/64151/5111/5558/4172/4175/4171/4999/4176/81611/4174/10051/1104/5422/10592/4173/23595/5393/65083/23397/23347/10498/10128/3065,26,ATRT_vs_Glial,Up,GO_CC
GO:0071162,CMG complex,6/426,6/5669,1,13.307511737089202,8.597108236238064,1.7426495546776124e-7,1.1974491939999022e-5,1.0927591944369388e-5,4172/4175/4171/4176/4174/4173,6,ATRT_vs_Glial,Up,GO_CC
GO:0034388,Pwp2p-containing subcomplex of 90S preribosome,5/426,5/5669,1,13.307511737089202,7.8473573522129865,2.344505244107836e-6,1.4096337780198363e-4,1.2863930089381152e-4,55813/5822/10885/51096/134430,5,ATRT_vs_Glial,Up,GO_CC
GO:0000781,"chromosome, telomeric region",21/426,94/5669,0.22340425531914893,2.9729547497752473,5.497793292983247,4.199750663986659e-6,2.0582612085323849e-4,1.8783125592690766e-4,79677/5111/4436/4172/4175/4171/8520/4999/4176/2237/4174/56897/4173/55226/23595/55183/23411/983/23347/54780/23353,21,ATRT_vs_Glial,Up,GO_CC
GO:0042555,MCM complex,6/426,8/5669,0.75,9.980633802816902,7.244946709630524,4.27912933166816e-6,2.0582612085323849e-4,1.8783125592690766e-4,4172/4175/4171/4176/4174/4173,6,ATRT_vs_Glial,Up,GO_CC
