ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0000785,chromatin,166/717,327/5669,0.5076452599388379,4.013725214216558,21.36041896535548,3.959476192623266e-68,2.264820382180508e-65,1.833862657636039e-65,22880/6045/23774/1912/53615/57459/8019/7468/23394/7182/84733/57634/4802/10274/2551/5514/51773/9031/55929/51412/1385/23411/51592/8467/64641/8971/10951/8089/9878/6599/3148/57332/23126/6925/11143/4221/7290/546/57492/1788/10445/125476/3007/4661/23028/9611/6664/3066/6605/1060/11177/8099/7112/339287/10902/9839/2186/6877/11168/25942/6598/7155/6597/84656/9112/5925/114991/5885/6601/10927/8359/23309/3008/9555/50809/142/4676/11335/79813/3054/7443/317772/55257/64426/23047/6878/51780/9739/10409/7913/5015/7515/3020/1108/6602/8805/6015/5469/55506/54969/10155/1059/4774/222229/55193/4204/440686/8295/26993/9219/3009/23558/3151/10428/5989/196528/5928/8289/4781/23310/10919/3182/3006/54815/6421/7936/25836/23383/4176/115426/1810/9612/8841/7392/23468/23326/112869/29128/3184/1107/9416/6733/5977/10592/9810/64710/23063/27316/57215/1106/3191/253738/23476/4796/3835/6777/4171/9126/4784/3150/6935/1786/4678/10473/4089/79366,166,ATRT_vs_MB,Down,GO_CC
GO:0016604,nuclear body,126/717,397/5669,0.31738035264483627,2.509385242878071,11.865658168560149,1.8598455118584253e-25,5.319158163915096e-23,4.307010659040564e-23,79872/6045/23774/6613/57459/29890/2483/57634/56252/10274/7750/26168/5514/10569/1602/83759/23411/55729/10951/1659/27332/4152/345630/7290/546/124245/10445/1060/339287/143684/8241/10084/5925/54386/283489/50809/142/11325/10147/54780/79813/7443/64426/84324/6252/26097/9739/10409/118/10929/6015/5728/91746/1059/10189/8539/22938/9667/10285/54892/55651/26993/11051/9589/9656/3181/10465/140890/5511/3796/10919/9774/84271/5546/6429/54815/6421/7936/5411/3550/51631/51747/23383/6426/54890/4082/9612/24148/23468/4301/9092/7469/55082/4841/1107/2332/6733/84248/2130/328/6428/6432/10521/54971/63893/22985/1655/8559/4670/6305/4796/3835/6427/9158/988/7014/10432/7158/5936/9129/11338/9733/5300/10286/51593/90806,126,ATRT_vs_MB,Down,GO_CC
GO:0098687,chromosomal region,82/717,203/5669,0.4039408866995074,3.1937808740578904,12.111296372373308,2.7174808465694715e-24,5.181330147459126e-22,4.1954090262826934e-22,57459/10274/5514/9031/51412/23411/8467/10951/9878/6599/11143/4221/546/1788/10445/23028/3066/6605/1060/11177/25942/6598/6597/201161/114991/5885/23122/6601/54386/8359/9555/283489/142/54780/11335/23047/7515/3020/23332/1108/6602/8243/55506/1059/10189/222229/55193/55651/9219/10428/3181/196528/5928/23310/2547/7756/7520/4176/115426/7153/4174/23468/2332/57132/2237/4173/328/23063/2072/51143/3835/79643/7014/4171/4175/10540/7158/9126/4085/1786/25777/23157,82,ATRT_vs_MB,Down,GO_CC
GO:0005667,transcription regulator complex,60/717,131/5669,0.4580152671755725,3.6213229422849658,11.549518564770764,2.7429944685350466e-21,3.9224820900051167e-19,3.1760988583037387e-19,283248/53615/57459/23394/4802/23013/1602/1385/55729/6925/84864/4221/23028/9611/3066/8099/6877/25942/9112/5925/142/11335/55758/6878/1108/5469/9329/9330/2976/10155/7090/79718/8295/81857/9219/5928/3146/9862/2547/3182/9328/2975/54815/6421/1810/6596/9612/8841/2962/23468/23186/23326/4841/1107/2963/1488/6777/10432/1487/4089,60,ATRT_vs_MB,Down,GO_CC
GO:0070603,SWI/SNF superfamily-type complex,36/717,56/5669,0.6428571428571429,5.082785415421399,11.682538682779859,1.3811498504914105e-19,1.5800354289621735e-17,1.279380914139412e-17,53615/57459/57634/51773/9031/55929/51412/8467/6599/57492/10445/125476/3066/6605/11177/8099/10902/2186/6598/6597/9112/5925/6601/7913/1108/6602/55193/8295/9219/10428/196528/5928/8289/54815/1107/5977,36,ATRT_vs_MB,Down,GO_CC
GO:0140168,nuclear ribonucleoprotein granule,85/717,250/5669,0.34,2.688228730822873,10.387855419849329,2.513134249386352e-19,2.3958546510816553e-17,1.9399632802280615e-17,79872/23774/57459/29890/2483/57634/56252/10569/1602/83759/27332/4152/345630/124245/339287/143684/8241/10084/50809/11325/7443/84324/26097/9739/10409/10929/6015/91746/10189/8539/22938/10285/54892/55651/26993/11051/9589/3181/10465/140890/5511/10919/9774/84271/5546/6429/54815/6421/5411/3550/51631/51747/6426/54890/4082/24148/4301/9092/55082/4841/2332/6733/84248/2130/328/6428/6432/10521/54971/22985/1655/8559/4670/3835/6427/9158/988/10432/5936/9129/11338/9733/5300/10286/90806,85,ATRT_vs_MB,Down,GO_CC
GO:0000118,histone deacetylase complex,29/717,40/5669,0.725,5.732252440725244,11.427900642515377,3.1971490168979546e-18,2.6125274823794714e-16,2.1154068683234588e-16,283248/53615/57459/57634/55929/51317/9611/3066/8099/10902/25942/9112/23309/64426/55758/51780/1108/79718/8295/9219/10428/5928/54815/116092/8841/23468/23186/1107/10013,29,ATRT_vs_MB,Down,GO_CC
GO:0016607,nuclear speck,75/717,217/5669,0.3456221198156682,2.7326803308717196,9.902721591904575,1.3724611330507679e-17,9.81309710131299e-16,7.945827612399183e-16,79872/23774/57459/29890/57634/56252/10569/1602/83759/27332/4152/124245/339287/143684/8241/10084/50809/11325/84324/26097/9739/10409/10929/6015/91746/10189/8539/22938/10285/54892/26993/9589/10465/140890/5511/10919/9774/84271/5546/6429/54815/6421/5411/3550/51631/51747/6426/54890/4082/24148/4301/9092/55082/4841/6733/84248/328/6428/6432/10521/54971/22985/1655/8559/3835/6427/9158/988/10432/5936/9129/11338/9733/5300/10286,75,ATRT_vs_MB,Down,GO_CC
GO:0000775,"chromosome, centromeric region",52/717,121/5669,0.4297520661157025,3.3978583860668303,10.144535594540562,4.317204831352568e-17,2.74382351503741e-15,2.221719445374421e-15,10274/9031/51412/8467/10951/6599/11143/546/1788/10445/6605/1060/11177/25942/6598/6597/201161/114991/5885/23122/6601/8359/9555/283489/11335/23047/3020/23332/6602/8243/1059/222229/55193/10428/196528/23310/7756/115426/7153/23468/2332/57132/23063/51143/3835/79643/10540/7158/9126/4085/1786/23157,52,ATRT_vs_MB,Down,GO_CC
GO:0000792,heterochromatin,31/717,49/5669,0.6326530612244898,5.0021062818432815,10.70539461588036,9.87068522492089e-17,5.646031948654749e-15,4.571685788384413e-15,22880/6045/1912/53615/84733/9031/23411/8467/10951/57332/546/1788/1060/11177/11168/7155/114991/3008/9555/11335/6015/10155/1059/222229/4204/3009/23310/115426/23468/29128/1786,31,ATRT_vs_MB,Down,GO_CC
GO:0000228,nuclear chromosome,47/717,106/5669,0.44339622641509435,3.5057366911397074,9.90873047931313,3.3316978053092128e-16,1.7324828587607908e-14,1.4028201285512475e-14,57634/9031/55929/8467/546/10445/125476/3066/6605/11177/10902/25942/6598/5885/54386/23309/9555/142/64426/3020/8805/8243/55506/222229/55193/8295/54892/10428/4292/5928/23310/3550/4176/6596/7153/4174/4173/10592/23476/4796/988/4171/4175/9126/22920/10286/25777,47,ATRT_vs_MB,Down,GO_CC
GO:0032993,protein-DNA complex,35/717,68/5669,0.5147058823529411,4.069550414307982,9.689037153775546,7.852581048548378e-15,3.743063633141393e-13,3.0308207555800763e-13,57634/4802/55929/8971/8089/3007/10902/84656/54386/8359/3008/9555/50809/142/317772/55257/3020/5469/55506/440686/8295/3009/2547/3006/7520/4176/55197/4174/4173/4796/988/7014/4171/4175/10286,35,ATRT_vs_MB,Down,GO_CC
GO:0005721,pericentric heterochromatin,15/717,15/5669,1,7.906555090655509,10.19091990787475,2.9799469625235204e-14,1.2783085831372566e-12,1.0350676786536493e-12,9031/8467/10951/546/1060/11177/114991/9555/11335/1059/222229/23310/115426/23468/1786,15,ATRT_vs_MB,Down,GO_CC
GO:1904949,ATPase complex,36/717,74/5669,0.4864864864864865,3.8464322062648426,9.377797265643474,3.128727301384894e-14,1.2783085831372566e-12,1.0350676786536493e-12,53615/57459/57634/51773/9031/55929/51412/8467/6599/57492/10445/125476/3066/6605/11177/8099/10902/2186/6598/6597/9112/5925/6601/7913/1108/6602/55193/8295/9219/10428/196528/5928/8289/54815/1107/5977,36,ATRT_vs_MB,Down,GO_CC
