ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0031514,motile cilium,37/438,71/5669,0.5211267605633803,6.744903209209595,14.094674777873683,3.048814199207349e-23,1.405503345834588e-20,1.123247336550076e-20,493/476/28981/79659/151011/51626/26160/57728/83538/89765/146845/124045/9576/1069/122481/84058/90506/1770/83853/80173/221421/1767/345895/23230/56912/10383/8100/4957/301/203/1512/583/481/9368/582/9696/2947,37,MB_vs_EPN_like,Down,GO_CC
GO:0005929,cilium,68/438,280/5669,0.24285714285714285,3.1432811480756686,10.64299073040378,1.0465210984297413e-18,2.4122311318805536e-16,1.9278020234232074e-16,8842/493/476/28981/79659/54585/151011/89891/2771/51626/123872/26123/26160/57728/83538/6102/89765/146845/124045/57539/9576/1069/122481/84058/5594/79989/90506/80129/1770/83853/80173/27077/26146/9742/5578/221421/1499/1767/345895/4832/6738/23230/56912/55764/10383/56683/8100/123016/4957/84747/301/83544/203/92104/5315/1808/1512/85379/682/6674/583/481/9368/6285/582/79583/9696/2947,68,MB_vs_EPN_like,Down,GO_CC
GO:0097729,9+2 motile cilium,26/438,51/5669,0.5098039215686274,6.598352583042349,11.620212855670205,2.4303212830870203e-16,3.7345937050103875e-14,2.9846050844928315e-14,493/476/28981/79659/26160/83538/89765/146845/124045/9576/1069/90506/1770/221421/1767/345895/23230/10383/8100/4957/203/1512/481/9368/9696/2947,26,MB_vs_EPN_like,Down,GO_CC
GO:0005930,axoneme,22/438,43/5669,0.5116279069767442,6.621960284591696,10.707343938226565,4.738119548897102e-14,4.368546224083129e-12,3.4912459833978645e-12,79659/89891/51626/123872/26160/83538/89765/146845/57539/9576/1770/83853/26146/9742/221421/1767/345895/10383/83544/92104/1512/582,22,MB_vs_EPN_like,Down,GO_CC
GO:0097014,ciliary plasm,22/438,43/5669,0.5116279069767442,6.621960284591696,10.707343938226565,4.738119548897102e-14,4.368546224083129e-12,3.4912459833978645e-12,79659/89891/51626/123872/26160/83538/89765/146845/57539/9576/1770/83853/26146/9742/221421/1767/345895/10383/83544/92104/1512/582,22,MB_vs_EPN_like,Down,GO_CC
GO:0030990,intraciliary transport particle,12/438,16/5669,0.75,9.707191780821917,10.091558096799977,5.36560687526505e-11,4.122574615828646e-9,3.294670888320645e-9,28981/26160/57728/57539/79989/80173/26146/9742/56912/55764/8100/92104,12,MB_vs_EPN_like,Down,GO_CC
GO:0036126,sperm flagellum,19/438,44/5669,0.4318181818181818,5.5889892071398926,8.841821176238739,1.1708388342162835e-10,7.71081003676724e-9,6.162309653769912e-9,493/476/28981/26160/89765/146845/124045/9576/90506/221421/23230/10383/8100/4957/203/1512/481/9368/2947,19,MB_vs_EPN_like,Down,GO_CC
GO:0097542,ciliary tip,14/438,24/5669,0.5833333333333334,7.550038051750382,9.30415821243903,2.1138590151226562e-10,1.2181112574644306e-8,9.734877043328021e-9,28981/79659/89891/51626/26160/57728/57539/79989/80173/26146/9742/56912/55764/8100,14,MB_vs_EPN_like,Down,GO_CC
GO:0045178,basal part of cell,31/438,115/5669,0.26956521739130435,3.488961683541791,7.802320918625222,2.927620133102943e-10,1.4995920904005073e-8,1.1984409901590993e-8,493/476/6507/6814/960/1000/127700/6810/1499/975/1496/10163/83481/2064/361/7082/2054/301/287/6566/23705/682/23513/302/481/358/5064/1605/3673/5547/3691,31,MB_vs_EPN_like,Down,GO_CC
GO:0009925,basal plasma membrane,29/438,105/5669,0.2761904761904762,3.5747118938899765,7.705296306721388,5.980454402770755e-10,2.7569894796773183e-8,2.2033253062839625e-8,493/476/6507/6814/960/1000/127700/6810/1499/975/1496/10163/83481/2064/361/7082/2054/301/287/6566/23705/682/23513/302/481/358/5064/1605/3691,29,MB_vs_EPN_like,Down,GO_CC
GO:0042383,sarcolemma,21/438,60/5669,0.35,4.530022831050228,7.953715189249483,1.3072285999255614e-9,5.4784762233243976e-8,4.378277607406186e-8,23336/5962/493/5339/476/477/1000/361/90523/301/79026/5239/287/6717/682/302/1756/481/358/1605/2318,21,MB_vs_EPN_like,Down,GO_CC
GO:0016323,basolateral plasma membrane,26/438,95/5669,0.2736842105263158,3.5422734919490506,7.230364732163799,5.888688949500779e-9,2.2622380047665492e-7,1.8079308178291867e-7,493/476/6814/960/1000/6810/1499/975/1496/10163/83481/2064/361/7082/2054/301/287/6566/23705/682/23513/302/481/358/5064/1605,26,MB_vs_EPN_like,Down,GO_CC
GO:0099568,cytoplasmic region,27/438,108/5669,0.25,3.2357305936073057,6.787573039227762,2.5138936530722026e-8,8.914653646663733e-7,7.124394968220818e-7,79659/89891/51626/123872/26160/8546/83538/89765/146845/57539/9576/1770/83853/26146/9742/221421/1499/1767/345895/3315/1496/10383/83544/92104/1512/582/4130,27,MB_vs_EPN_like,Down,GO_CC
GO:0032838,plasma membrane bounded cell projection cytoplasm,25/438,95/5669,0.2631578947368421,3.406032203797164,6.842887063833649,2.7722475326753396e-8,9.128615089738083e-7,7.295388243882473e-7,79659/89891/51626/123872/26160/8546/83538/89765/146845/57539/9576/1770/83853/26146/9742/221421/1767/345895/3315/10383/83544/92104/1512/582/4130,25,MB_vs_EPN_like,Down,GO_CC
