ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0000785,chromatin,160/776,327/5669,0.4892966360856269,3.5745136984141994,19.097447068071222,3.218353395406172e-57,1.9181386236620784e-54,1.5481973702111795e-54,22880/56916/23411/23774/7468/84733/7182/1912/9611/125476/51412/4176/64641/9031/6599/339287/5925/4171/8726/4802/8467/2186/10592/6925/57634/8089/79813/114991/57492/10445/4661/23310/6664/1060/55183/11177/1788/5394/29128/23244/10919/2956/23126/5514/23028/6878/4999/9878/7290/53615/3835/10927/5015/51592/6597/8805/2551/11143/9839/1786/55929/6732/6602/9188/8295/7913/8208/10902/7112/11198/51010/23394/3066/11335/3148/6877/142/8019/4678/57459/10514/23309/5422/51773/23595/10951/4796/10274/55257/317772/23063/6045/56254/3009/1107/222229/1059/5001/546/23047/3007/6908/7515/5469/7443/23515/9219/64426/7155/6749/54969/151987/10155/10428/3182/57332/6598/5928/1106/3006/3054/51377/9810/6418/1108/3516/4221/23160/25842/253738/25836/23076/27043/54512/55506/1387/23326/6605/81611/4089/23383/6421/5111/3184/1385/3008/80335/55193/5989/8520/23532/9126/11052/23468/1104/7052/4641/8971/4781/4774,160,MB_vs_EPN_like,Up,GO_CC
GO:0098687,chromosomal region,88/776,203/5669,0.43349753694581283,3.166878269260068,12.52004509283274,3.8918218728348836e-26,1.1597629181047953e-23,9.360855767818641e-24,23411/4174/79677/51412/4176/64151/9031/4175/4173/6599/54780/4085/4171/8467/9918/114991/10445/23310/1060/4172/55183/11177/1788/10051/23244/7153/5514/55920/23028/4999/9878/3835/2237/6597/11143/1786/6602/3066/11335/142/57459/4436/23595/10951/10274/23063/2959/222229/1059/55651/9984/5001/546/23047/7515/8563/9219/10428/80145/6598/5928/283489/25777/328/2547/1108/4221/7520/84295/55226/10189/7014/55506/6605/9184/8243/1017/201161/5111/54386/80335/55193/54433/8520/9126/23468/51112/23157,88,MB_vs_EPN_like,Up,GO_CC
GO:0000228,nuclear chromosome,58/776,106/5669,0.5471698113207547,3.9973011087337094,12.404719564112154,7.401013462026235e-24,1.4703346744558788e-21,1.1867590007529786e-21,56916/4174/125476/4176/64151/9031/4175/4173/54892/4171/8467/10592/57634/9918/10445/23310/4172/11177/10051/4292/7153/4999/23397/8805/55929/8295/10902/3066/142/23309/5422/23595/5558/4796/5393/222229/5001/546/64426/10428/6598/5928/25777/84365/51377/55506/6605/81611/8243/5111/54386/55193/9126/7150/10609/11052/1104/10286,58,MB_vs_EPN_like,Up,GO_CC
GO:0030684,preribosome,47/776,75/5669,0.6266666666666667,4.578058419243987,12.42152738793526,5.228554572741456e-23,7.79054631338477e-21,6.28802484142854e-21,5394/9790/345630/57647/79050/57050/23246/9136/22984/51096/134430/55272/84916/117246/27340/55127/705/11103/4809/26155/30836/5822/7520/23160/55226/23076/8568/10813/55813/90441/10607/51602/10528/27292/10199/56902/10436/10969/84135/23481/51154/79954/2091/55781/10885/65095/25879,47,MB_vs_EPN_like,Up,GO_CC
GO:0000781,"chromosome, telomeric region",49/776,94/5669,0.5212765957446809,3.8081404913358194,10.932475084393172,4.146947851990987e-19,4.9431618395732565e-17,3.989800354441855e-17,23411/4174/79677/4176/4175/4173/54780/4171/4172/55183/5514/23028/4999/9878/2237/3066/11335/142/57459/4436/23595/10951/222229/55651/9984/5001/546/7515/8563/9219/80145/5928/25777/328/2547/1108/4221/7520/55226/10189/7014/55506/1017/5111/54386/80335/54433/8520/23468,49,MB_vs_EPN_like,Up,GO_CC
GO:0016604,nuclear body,117/776,397/5669,0.2947103274559194,2.152980472097432,9.486099548413062,1.0968181724598892e-17,1.0895060513101565e-15,8.793787803757359e-16,29890/1659/79872/23411/23774/10569/6613/79677/10212/1602/2483/54780/54892/339287/5925/143684/57634/26168/55729/79813/10929/10445/1060/10051/10919/5514/10285/8161/7290/8559/3835/23198/7750/6732/10482/9877/142/124245/345630/57459/23595/10951/4796/10274/51340/57018/6045/55671/5546/9589/1107/2959/1059/55651/9984/7072/55421/546/7443/23515/64426/23517/80145/8241/4152/5936/8539/54439/283489/9939/5073/328/55660/56252/79811/9904/140890/10915/51631/10189/7014/7174/51747/26354/50628/1387/51602/23383/29883/6421/1017/5111/9733/54386/9221/64318/8189/6426/63893/10521/1736/4841/51593/54433/9656/4869/4627/11052/23468/55505/2091/2022/4641/84271/10286/25896/114034,117,MB_vs_EPN_like,Up,GO_CC
GO:0032993,protein-DNA complex,39/776,68/5669,0.5735294117647058,4.1898688599151,10.537866018144443,2.342560918391691e-17,1.9945232962306397e-15,1.609850134894741e-15,4174/4176/4175/4173/4171/4802/57634/8089/4172/55929/8295/10902/142/5422/23595/5558/4796/55257/317772/3009/2959/3007/5469/3006/2547/57418/7520/7014/55506/55197/5111/5437/54386/3008/4869/7150/7052/10286/8971,39,MB_vs_EPN_like,Up,GO_CC
GO:0032040,small-subunit processome,35/776,57/5669,0.6140350877192983,4.485779526134925,10.532626526315426,5.1859951684384017e-17,3.863566400486609e-15,3.1184207789162496e-15,5394/9790/345630/57647/79050/57050/9136/22984/51096/134430/55272/84916/27340/55127/11103/4809/30836/5822/7520/23160/55226/10813/55813/10607/51602/10528/27292/10199/56902/10436/84135/79954/2091/10885/25879,35,MB_vs_EPN_like,Up,GO_CC
GO:0005667,transcription regulator complex,56/776,131/5669,0.42748091603053434,3.122924372393169,9.789305200377251,1.3913180431271845e-16,9.213617263375578e-15,7.436635622328927e-15,283248/9611/1602/5925/4802/6925/55729/84864/23028/6878/53615/23013/8295/10153/23394/3066/11335/6877/142/57459/2976/1107/9330/2959/9439/3146/6908/5469/9219/10155/3182/9862/5928/10625/23186/81857/9329/2547/1108/3516/4221/1387/55758/23326/9282/4089/6421/1017/10849/1385/4841/2963/9519/23468/1022/80324,56,MB_vs_EPN_like,Up,GO_CC
GO:0070603,SWI/SNF superfamily-type complex,34/776,56/5669,0.6071428571428571,4.435428939617084,10.28811086802375,2.416166485030069e-16,1.440035225077921e-14,1.1623032459565699e-14,125476/51412/9031/6599/5925/8467/2186/57634/57492/10445/11177/53615/6597/55929/6602/9188/8295/7913/10902/3066/57459/10514/51773/1107/9219/10428/6598/5928/51377/1108/6605/81611/55193/4641,34,MB_vs_EPN_like,Up,GO_CC
