ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0009986,cell surface,92/831,276/5669,0.3333333333333333,2.2739671079021258,8.992491724150407,8.527842603607244e-16,4.818231071038093e-13,3.5547638642404936e-13,482/960/3685/6507/361/51704/6653/4478/966/6810/824/477/977/3383/1410/4735/3306/3916/8671/1756/3679/928/27020/9341/4907/4897/1605/5738/3958/2023/84168/6520/1191/3106/4043/721/3105/10384/6506/214/140885/56262/196527/10979/961/58494/1000/3696/6281/301/3675/54413/6678/9019/302/8140/4217/3556/6509/4059/135228/307/10791/726/7143/25932/5027/967/1901/972/3689/64805/3684/1464/720/3107/3693/2152/117/3122/929/5621/3123/3115/23657/3655/83692/952/3673/1508/6529/4155,92,MB_vs_Glial,Down,GO_CC
GO:0070161,anchoring junction,131/831,492/5669,0.266260162601626,1.8164005557023077,7.852885427747957,2.6658729705199967e-13,7.531091141718991e-11,5.556240506978521e-11,391/23336/5339/5594/5595/960/3685/2037/10163/9948/5872/9459/120/8895/287/5962/220296/10787/23191/3315/5786/10580/57175/6645/4478/966/824/477/977/4035/975/3383/2783/3996/998/1756/81873/8650/7431/928/309/10397/83660/118/199731/5906/823/1605/157378/11315/1465/7082/2273/51056/5295/9815/3716/6520/7205/23284/5604/1499/1501/8825/1496/22933/10611/116985/214/64398/84978/64759/55914/10979/9351/23586/5348/58494/1000/8613/3696/25996/10672/301/3675/8573/9019/57863/302/8506/23580/85477/8572/10174/30011/10791/726/22800/2768/23114/30845/25932/5027/6641/3689/3845/28316/9414/23396/30844/55616/51678/1464/11151/5101/3693/4355/11135/117/6640/388/2318/2697/4082/55612/3655/11346/83692/3673/10391/794,131,MB_vs_Glial,Down,GO_CC
GO:0098797,plasma membrane protein complex,66/831,196/5669,0.336734693877551,2.297170853901127,7.6594042993552724,8.026928940150555e-12,1.5117382837283547e-9,1.115320652736709e-9,5578/482/59345/3685/55970/2771/10580/495/6645/477/476/4035/2783/3306/160/1756/3679/1605/2776/6520/3106/1499/8825/1496/7189/3105/2060/214/8082/1173/5348/10203/1000/3696/10672/6281/2775/3675/302/8140/7402/2782/8867/1804/1175/2768/2787/6641/972/3689/28316/3684/483/3107/3693/6640/10681/3122/3123/3115/1536/2697/9368/3655/3119/3673,66,MB_vs_Glial,Down,GO_CC
GO:0098590,plasma membrane region,117/831,450/5669,0.26,1.7736943441636583,7.088666281601753,3.4396689171962365e-11,4.858532345539684e-9,3.584497082130815e-9,389/482/5594/5595/6814/960/3685/493/10163/6507/287/6711/5962/10787/361/10580/495/10768/4478/6810/92154/477/476/4035/975/10160/1410/4735/160/8671/5364/1756/8650/928/27020/4897/1605/10552/7082/5213/84168/6520/23284/5562/376497/4685/1499/8825/1496/989/6506/2060/5911/8082/64398/55914/10979/9351/23586/1173/5348/26123/1000/8613/10672/301/2775/3675/8573/54413/57863/5064/24138/6102/302/8140/7402/8572/8867/94030/161742/2768/358/30845/9194/3689/64805/23396/583/115207/8714/3684/1464/79901/9026/199/5101/483/2915/3766/6538/4355/6536/117/93185/388/26232/10681/113026/57348/2697/9368/23657/55612/952/65009/1508,117,MB_vs_Glial,Down,GO_CC
GO:0098552,side of membrane,73/831,241/5669,0.3029045643153527,2.0663850482596082,7.0110836649594654,1.791606559254433e-10,2.0245154119575095e-8,1.4936340999258014e-8,27131/482/59345/3685/6892/2670/55970/2771/361/966/824/92154/10160/3383/2783/5868/3916/160/928/4907/4897/4045/1837/1605/2539/2776/3716/84168/6277/3106/7189/3105/10384/214/10979/1173/112574/10672/2775/3675/5064/8140/4217/3300/2782/4059/135228/1175/2768/5027/2787/22821/1901/66004/972/3689/3845/3684/50863/7957/3107/2152/10681/3122/929/5621/3123/3115/3119/4974/3673/1508/622,73,MB_vs_Glial,Down,GO_CC
GO:0045178,basal part of cell,43/831,115/5669,0.3739130434782609,2.550797886255428,6.96279619838797,1.0309201565301712e-9,9.707831473992446e-8,7.162182140104349e-8,6814/960/493/10163/6507/287/361/4478/6810/476/4035/975/160/8671/8650/1605/7082/6520/376497/1499/8825/1496/2060/55914/1000/8613/301/3675/8573/5064/302/8140/23187/358/9194/5547/8714/483/3766/6536/952/65009/3673,43,MB_vs_Glial,Down,GO_CC
GO:0009925,basal plasma membrane,40/831,105/5669,0.38095238095238093,2.598819551888144,6.853036424364741,2.1108761701919698e-9,1.7037786230835183e-7,1.2570029524752183e-7,6814/960/493/10163/6507/287/361/4478/6810/476/4035/975/160/8671/8650/1605/7082/6520/376497/1499/8825/1496/2060/55914/1000/8613/301/3675/8573/5064/302/8140/358/9194/8714/483/3766/6536/952/65009,40,MB_vs_Glial,Down,GO_CC
GO:0016323,basolateral plasma membrane,37/831,95/5669,0.3894736842105263,2.6569510418645894,6.749482840896443,4.202819910118568e-9,2.9682415615212386e-7,2.1898903742196752e-7,6814/960/493/10163/287/361/4478/6810/476/4035/975/160/8671/8650/1605/7082/6520/1499/8825/1496/55914/1000/8613/301/3675/8573/5064/302/8140/358/9194/8714/483/3766/6536/952/65009,37,MB_vs_Glial,Down,GO_CC
GO:0005911,cell-cell junction,63/831,227/5669,0.2775330396475771,1.8933030105440607,5.692656228361048,1.3605143526885955e-7,8.541006769656184e-6,6.301329633505076e-6,23336/10163/9948/5872/9459/120/287/5962/220296/10580/4478/477/3996/998/10397/118/199731/1605/157378/11315/7082/5295/23284/1499/1501/8825/1496/22933/10611/64398/84978/10979/23586/5348/58494/1000/8613/301/8573/57863/302/8506/23580/8572/30011/10791/23114/25932/5027/28316/9414/23396/30844/51678/11151/5101/4355/11135/117/2697/11346/83692/794,63,MB_vs_Glial,Down,GO_CC
GO:0030055,cell-substrate junction,80/831,314/5669,0.25477707006369427,1.7380640315175486,5.576498994765028,1.571981545925495e-7,8.881695734479046e-6,6.5526809703841694e-6,391/5339/5594/5595/960/3685/2037/8895/5962/10787/23191/3315/5786/10580/57175/6645/4478/966/824/977/4035/975/3383/2783/998/1756/81873/8650/7431/928/309/83660/118/823/1605/1465/2273/51056/9815/3716/7205/5604/1499/214/64759/55914/10979/9351/1000/3696/25996/10672/301/3675/8573/9019/10174/30011/726/22800/2768/23114/30845/6641/3689/3845/23396/55616/1464/3693/11135/388/2318/2697/4082/55612/3655/83692/3673/10391,80,MB_vs_Glial,Down,GO_CC
GO:0031234,extrinsic component of cytoplasmic side of plasma membrane,14/831,22/5669,0.6363636363636364,4.341209933267695,6.5071184313227635,1.9370411106314843e-7,9.949347522788987e-6,7.340366313971942e-6,59345/55970/2771/2783/1837/2776/3716/7189/10672/2775/2782/2768/2787/10681,14,MB_vs_Glial,Down,GO_CC
GO:0042383,sarcolemma,25/831,60/5669,0.4166666666666667,2.8424588848776575,5.94583990019086,3.0997272560584704e-7,1.4594549163941966e-5,1.0767473626308373e-5,23336/5339/817/493/287/5962/361/477/476/3916/1756/1837/1605/6717/8082/5348/1000/301/302/7402/274/358/6641/6640/2318,25,MB_vs_Glial,Down,GO_CC
GO:0005925,focal adhesion,78/831,310/5669,0.25161290322580643,1.7164783975777336,5.376808508640814,3.9579384068715276e-7,1.7201809229864714e-5,1.2691041369401825e-5,391/5339/5594/5595/960/3685/2037/8895/5962/10787/23191/3315/5786/10580/57175/6645/4478/966/824/977/4035/975/3383/2783/998/81873/8650/7431/928/309/83660/118/823/1605/1465/2273/51056/9815/3716/7205/5604/1499/214/64759/10979/9351/1000/3696/25996/10672/301/3675/8573/9019/10174/30011/726/22800/2768/23114/30845/6641/3689/3845/23396/55616/1464/3693/11135/388/2318/2697/4082/55612/3655/83692/3673/10391,78,MB_vs_Glial,Down,GO_CC
GO:0019897,extrinsic component of plasma membrane,23/831,54/5669,0.42592592592592593,2.9056246378749386,5.830984130574237,5.763038079278517e-7,2.3257975105659728e-5,1.7159120897701453e-5,59345/55970/2771/10160/2783/1837/2776/54472/3716/1499/1496/7189/116985/1173/1000/10672/2775/2782/2768/2787/28316/26232/10681,23,MB_vs_Glial,Down,GO_CC
GO:1905360,GTPase complex,13/831,21/5669,0.6190476190476191,4.223081771818234,6.132197419004414,8.570232891933266e-7,3.22812105596153e-5,2.38162261417935e-5,59345/55970/2771/2783/2776/10670/64121/10672/2775/2782/2768/2787/10681,13,MB_vs_Glial,Down,GO_CC
GO:0030139,endocytic vesicle,52/831,184/5669,0.2826086956521739,1.9279286349604978,5.302951718566244,9.573313632206911e-7,3.380576376373066e-5,2.4941001304960118e-5,6814/3685/817/8724/6892/5872/6890/7879/6810/4035/11031/311/5868/5869/3916/160/998/7431/3920/928/9341/5906/818/6891/3106/25938/112936/3105/2060/9367/1173/54413/6678/51715/51762/23580/30011/1175/30845/972/30844/11151/3107/3693/348/3122/3123/3115/1536/3119/3732/816,52,MB_vs_Glial,Down,GO_CC
GO:0098857,membrane microdomain,39/831,126/5669,0.30952380952380953,2.111540885909117,5.229025695353967,1.984404778681181e-6,6.595227646793337e-5,4.865785091998438e-5,5594/5595/493/23180/10580/51704/824/477/476/2824/3383/5868/3945/1756/3920/11160/1605/11315/1499/6506/5359/1200/5348/1000/8613/6281/302/161742/79180/7143/1901/3689/5538/3684/9289/117/929/5621/2697,39,MB_vs_Glial,Down,GO_CC
GO:0097449,astrocyte projection,10/831,14/5669,0.7142857142857143,4.87278665979027,6.012481976930979,2.4886630438113715e-6,7.811636776407915e-5,5.763219680405282e-5,482/2670/220296/361/4504/6506/2915/9289/3766/23657,10,MB_vs_Glial,Down,GO_CC
GO:0030666,endocytic vesicle membrane,33/831,101/5669,0.32673267326732675,2.2289380562604997,5.164443938467992,3.2937130840332638e-6,9.451313029979243e-5,6.972929594544539e-5,817/6892/6890/7879/6810/4035/11031/5868/3916/160/3920/928/9341/818/6891/3106/3105/2060/9367/1173/51715/51762/1175/972/11151/3107/348/3122/3123/3115/1536/3119/816,33,MB_vs_Glial,Down,GO_CC
GO:0005834,heterotrimeric G-protein complex,11/831,17/5669,0.6470588235294118,4.414171444751186,5.842398961850813,3.3455975327360155e-6,9.451313029979243e-5,6.972929594544539e-5,59345/55970/2771/2783/2776/10672/2775/2782/2768/2787/10681,11,MB_vs_Glial,Down,GO_CC
