ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0000785,chromatin,214/1050,327/5669,0.654434250764526,3.5333216834134267,22.498204709554194,8.269912368041176e-84,4.85443856004017e-81,3.464658023663566e-81,22880/56916/23774/23411/8467/7468/2956/7182/84733/1912/3148/53615/23028/4176/3066/9031/23244/6045/4171/125476/2186/4802/6599/4678/7515/339287/64641/79813/57634/5514/8726/23126/9611/10951/6597/57459/10592/11335/11198/7112/23394/8019/7155/51592/114991/51412/55929/51773/6878/6749/1788/142/5925/23310/10927/29128/222229/23309/8805/10428/7290/6925/7913/6602/10155/10445/57492/11143/2551/4661/25942/3009/1060/6664/5469/9878/3182/11177/5928/57332/8089/10274/10919/23047/55183/5111/7443/10902/4999/81611/55257/3835/546/5015/3054/54969/1107/23595/6908/6418/4796/5394/51010/6605/1786/64426/5422/6732/8295/8208/6598/1385/9839/9739/1108/11091/56254/9112/7936/196528/1059/8971/9219/9646/6421/9126/9188/112869/151987/3007/1660/11052/3190/10514/27043/4781/6877/9416/8520/5001/4089/9810/5885/3184/3191/1104/23063/253738/23450/25836/25842/3516/23451/23468/23515/115426/3151/11168/1387/23613/84656/26057/55193/55506/1106/7528/6601/8359/5989/23383/3006/8099/9555/3183/27316/4221/10735/317772/51780/8841/54815/7392/440686/23476/4774/57215/5977/86/26993/9612/6015/10933/8289/3008/57805/8896/6594/9678/56943/5591/3150/23160/23532/54512/23076/23435/80335/1810/23326/9274/3020/4784/6603/8815,214,MB_vs_Glial,Up,GO_CC
GO:0016604,nuclear body,229/1050,397/5669,0.5768261964735516,3.114312102674823,20.82630563508463,4.394724474044211e-74,1.289851633131976e-71,9.205791266682085e-72,29890/79872/1659/23774/23411/10569/6613/26168/79677/54780/6045/2483/339287/1602/79813/57634/5514/10951/10212/55729/57459/10051/7750/54892/10929/283489/142/5925/124245/7290/143684/10445/9589/1060/10482/10274/10919/10189/9939/5111/7443/9877/91746/9984/10285/84324/11325/56252/2959/5546/3835/8559/546/51747/55671/3550/55421/1107/23595/4796/1665/64426/6732/8241/5411/5936/27332/4152/9739/8161/10250/57018/9775/23517/55660/84271/24148/7936/10915/140890/9343/11051/8539/54439/1059/6426/4841/10594/9646/6421/7072/51593/56339/26097/1660/11052/10946/51340/9774/58517/10450/64783/22938/6627/9129/80145/9295/8189/23347/6117/9092/10521/10291/11338/4869/1655/10084/9410/79811/55082/55651/1025/10992/51631/8106/51808/57187/345630/3192/22985/9879/9221/328/10465/83759/23451/10284/6432/8175/23468/23198/23515/9967/51503/25962/54890/26121/55596/10147/6431/30827/1387/4670/9656/9584/9733/54386/7307/7158/27339/1736/55234/7919/2130/6427/23091/7469/23383/6634/8227/6428/10921/10286/79882/7014/26354/79228/10421/50628/6629/5073/54815/6429/51602/6625/9904/57092/29883/23398/26993/9612/3181/6015/10933/10772/54433/9128/10432/23524/57703/2091/84321/6631/7874/84844/6430/9667/5511/55269/8683/10238/54971/51329/64318/4928/25896/23435/114034/988/25929/8899/55505/1017/5987/63893/4301/1478/5598/2035,229,MB_vs_Glial,Up,GO_CC
GO:0140168,nuclear ribonucleoprotein granule,170/1050,250/5669,0.68,3.671352380952381,20.595730392490527,1.1380967168635869e-69,2.2268759093297515e-67,1.589342081795465e-67,29890/79872/23774/10569/79677/2483/339287/1602/57634/10212/57459/10051/54892/10929/124245/143684/9589/10482/10919/10189/9939/7443/9877/91746/9984/10285/84324/11325/56252/5546/3835/8559/51747/55671/3550/55421/1665/6732/8241/5411/5936/27332/4152/9739/8161/10250/57018/9775/23517/55660/84271/24148/10915/140890/9343/11051/8539/54439/6426/4841/10594/9646/6421/7072/56339/26097/1660/11052/10946/51340/9774/58517/10450/64783/22938/6627/9129/80145/9295/8189/9092/10521/10291/11338/4869/1655/10084/9410/55082/55651/10992/51631/8106/51808/57187/345630/3192/22985/9879/9221/328/10465/83759/23451/10284/6432/8175/23198/9967/51503/25962/54890/26121/6431/30827/4670/9584/9733/7307/27339/1736/55234/7919/2130/6427/23091/8227/6428/10921/10286/79882/79228/10421/50628/6629/5073/54815/6429/51602/6625/9904/29883/26993/3181/6015/10933/10772/54433/9128/10432/23524/57703/2091/84321/6631/84844/6430/5511/55269/8683/54971/51329/64318/23435/114034/988/8899/55505/1017/4301,170,MB_vs_Glial,Up,GO_CC
GO:0005681,spliceosomal complex,121/1050,144/5669,0.8402777777777778,4.536699735449736,20.495045367517793,2.697380440498207e-67,3.958405796431119e-65,2.825151092942859e-65,1659/10569/2483/55696/9716/55192/3189/10189/8449/9939/10713/10285/11325/8559/51747/3550/55692/23020/6635/3187/1665/55131/56949/5411/10250/9775/55015/23517/55660/24148/140890/9343/8539/58155/6426/10594/4236/55280/3190/10946/51340/23759/29896/10450/22938/6627/9129/3178/9092/10291/11338/10236/9416/1655/9410/51639/10992/51631/57461/3192/9879/23450/220988/10465/6626/23451/8175/51691/6636/51503/26121/55596/79665/4670/7307/4691/27339/55234/7919/56259/25804/4904/6633/79171/10492/3183/4809/6634/8227/27316/6434/10286/10283/10262/6629/6632/7536/6625/9785/11157/22913/23398/27336/84991/3181/51690/9128/10625/23524/57819/57703/27238/6631/8896/84844/5511/988/8899/3185/27258/5935,121,MB_vs_Glial,Up,GO_CC
GO:0016607,nuclear speck,148/1050,217/5669,0.6820276497695853,3.682299758613123,19.208561528033528,1.2244416840736583e-60,1.4374945371024749e-58,1.0259532426554022e-58,29890/79872/23774/10569/79677/339287/1602/57634/10212/57459/10051/54892/10929/124245/143684/9589/10482/10919/10189/9939/9877/91746/9984/10285/84324/11325/56252/5546/3835/8559/51747/55671/3550/55421/1665/6732/8241/5411/5936/27332/4152/9739/10250/57018/9775/23517/55660/84271/24148/10915/140890/9343/8539/54439/6426/4841/10594/9646/6421/56339/26097/11052/10946/51340/9774/58517/10450/64783/22938/6627/9129/80145/9295/9092/10521/10291/11338/4869/1655/10084/9410/55082/10992/51631/8106/57187/3192/22985/9879/328/10465/83759/23451/10284/6432/8175/23198/9967/51503/25962/54890/26121/6431/30827/9584/9733/7307/27339/55234/7919/6427/23091/8227/6428/10921/10286/79882/79228/10421/6629/5073/54815/6429/6625/9904/29883/26993/6015/10933/10772/9128/10432/23524/57703/84321/84844/6430/5511/55269/8683/54971/51329/64318/23435/114034/988/8899/4301,148,MB_vs_Glial,Up,GO_CC
GO:1990904,ribonucleoprotein complex,229/1050,458/5669,0.5,2.6995238095238094,18.085688432061968,3.363857620031168e-58,3.290974038263826e-56,2.3487988294252717e-56,1659/10569/57060/2483/7155/10949/124245/55696/4686/9716/3182/1993/55192/3189/10189/8449/9939/10137/57510/10713/10285/7153/11325/8559/51538/51747/3550/55692/23020/2975/6635/5394/3187/1665/55131/56949/51692/5411/7520/149986/10250/9775/55015/23517/55660/24148/140890/9343/23210/8539/79050/9790/58155/3608/6426/3609/10594/57647/4236/55280/7072/51593/57050/1660/11052/3190/10946/51340/23759/29896/10450/9136/22938/6627/9129/3178/9092/10521/10291/11338/10236/9416/4869/1655/23246/9410/51639/55651/10992/51631/3184/3191/8106/57461/30836/51808/345630/3192/9879/1996/23450/220988/10465/6626/22984/23451/8175/23468/51691/6636/51503/26121/55596/79665/4670/27340/9733/7307/4691/27339/1736/55234/7919/10969/56259/25804/4904/6633/79171/84916/10492/3183/4809/6634/8227/23350/27316/6434/10286/79882/117246/6727/10283/55272/10421/92906/10262/50628/6629/6632/7536/10436/51602/6625/9785/5822/11157/51096/10528/26155/22913/4931/23398/27336/84991/26993/3181/6726/26528/8568/54433/23481/51690/9128/10432/10625/23524/57819/10658/57703/10607/23636/1994/27238/2091/11100/6631/8896/11103/134430/55813/5591/84844/10813/389677/5511/23160/10199/27292/55127/55226/23076/4928/90441/285855/84549/79954/988/10885/51154/705/1995/8899/22827/55505/56257/10556/10799/56902/55781/3185/27258/25879/65095/65083/6176/5935/1454/84128,229,MB_vs_Glial,Up,GO_CC
GO:0035770,ribonucleoprotein granule,197/1050,365/5669,0.5397260273972603,2.9140065231572083,18.022858678003846,1.5594884605437473e-56,1.307742466198828e-54,9.333479808968592e-55,92312/29890/79872/23774/10569/55802/79677/2483/339287/1602/57634/10212/57459/10051/54892/10929/124245/143684/9589/3182/10482/10919/10189/9939/7443/9877/91746/9984/10285/84324/11325/56252/5546/3835/8559/80153/51747/55671/3550/55421/1665/51441/6732/8241/5411/5936/27332/4152/9739/149986/8161/10250/57018/9775/23517/55660/84271/24148/10915/140890/9343/11051/8539/54888/54439/6426/4841/10594/9646/6421/7072/56339/26097/1660/11052/3190/10946/51340/9774/58517/10450/64783/22938/6627/9129/80145/9295/8189/9092/10521/10291/11338/4869/1655/10084/9410/55082/55651/1025/10992/51631/3191/8106/51808/57187/345630/3192/22985/9879/9221/328/10465/83759/23451/10284/6432/8175/23198/9967/51503/25962/54890/26121/6431/30827/4670/9584/9733/7307/23019/4691/7150/27339/1736/55234/7919/2130/6427/23091/25804/4904/8227/6428/10921/10286/79882/9513/79228/9924/10421/50628/6629/5073/54815/6429/51602/6625/9904/11157/29883/26993/3181/6015/10933/5436/10772/54433/9128/10432/23524/57819/10658/57703/1994/2091/55239/84321/6631/84844/6430/9125/5511/55269/8683/54971/51329/64318/23435/114034/988/203068/8899/55505/1017/9908/4301/27258,197,MB_vs_Glial,Up,GO_CC
GO:0071013,catalytic step 2 spliceosome,68/1050,74/5669,0.918918918918919,4.961287001287001,16.35263384464555,1.5412007785207003e-43,1.1308560712395639e-41,8.071025129621563e-42,1659/10569/2483/55696/9716/10189/9939/23020/6635/3187/56949/5411/10250/9775/23517/24148/9343/6426/10594/3190/10946/51340/23759/10450/22938/6627/3178/9092/10291/10236/9416/1655/9410/10992/57461/3192/23450/220988/23451/8175/6636/51503/55596/4670/7307/27339/6633/10492/3183/6634/27316/10286/10283/6629/6632/9785/22913/23398/3181/51690/23524/57819/57703/8896/988/8899/3185/27258,68,MB_vs_Glial,Up,GO_CC
GO:0005684,U2-type spliceosomal complex,67/1050,74/5669,0.9054054054054054,4.888326898326898,16.051446415260457,7.050398113330416e-42,4.5984263250277274e-40,3.2819397065561468e-40,1659/55696/9716/8449/9939/11325/8559/51747/3550/55692/23020/6635/1665/56949/9775/55015/55660/24148/9343/10594/4236/10946/51340/10450/22938/6627/9129/9092/10291/11338/9410/51639/10992/51631/57461/9879/23450/23451/8175/51691/6636/51503/26121/27339/55234/25804/6633/4809/6634/10286/10283/10262/6629/6632/6625/11157/27336/51690/9128/23524/57819/57703/6631/8896/84844/988/27258,67,MB_vs_Glial,Up,GO_CC
GO:0000228,nuclear chromosome,78/1050,106/5669,0.7358490566037735,3.97288409703504,14.730312815158934,1.1557329398029981e-35,6.784152356643599e-34,4.841912737279929e-34,56916/8467/4175/4176/3066/9031/4172/4174/4171/125476/57634/64151/10592/9918/4173/10051/55929/4292/54892/142/23310/222229/23309/8805/10428/10445/25942/11177/5928/5111/10902/7153/4999/81611/546/8243/23397/3550/23595/4796/6605/64426/5422/8295/6598/5393/5558/9126/1660/11052/23347/6117/10714/5001/5885/3192/1104/84365/54386/7150/27339/55193/55506/7528/6596/9555/10286/5425/23476/86/10933/23435/988/10609/25777/3020/65083/6119,78,MB_vs_Glial,Up,GO_CC
