ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0016853,isomerase activity,34/312,230/5624,0.14782608695652175,2.664659977703456,6.24692498369242,9.536477210353768e-8,3.0280564603668626e-5,2.7672203225556028e-5,29785/64005/56916/2071/5373/4343/1662/10212/24137/81567/1659/9188/4174/5034/10682/60681/3832/4175/11056/1973/4173/51202/4172/4627/5480/4171/57647/4176/4641/10954/23517/8560/55661/169714,34,ATRT_vs_EPN_like,Up,GO_MF
GO:0004386,helicase activity,19/312,84/5624,0.2261904761904762,4.077228327228327,6.886154903609255,9.736515949732677e-8,3.0280564603668626e-5,2.7672203225556028e-5,56916/2071/4343/1662/10212/1659/9188/4174/4175/11056/1973/4173/51202/4172/4171/57647/4176/23517/55661,19,ATRT_vs_EPN_like,Up,GO_MF
GO:0120543,macromolecular conformation isomerase activity,24/312,137/5624,0.17518248175182483,3.157776530039304,6.1962876967353635,3.543102521893498e-7,5.8220864297966646e-5,5.320573146201047e-5,64005/56916/2071/4343/1662/10212/24137/1659/9188/4174/3832/4175/11056/1973/4173/51202/4172/4627/4171/57647/4176/4641/23517/55661,24,ATRT_vs_EPN_like,Up,GO_MF
GO:0120545,nucleic acid conformation isomerase activity,19/312,91/5624,0.2087912087912088,3.763595378979995,6.440908424102769,3.7441070288081446e-7,5.8220864297966646e-5,5.320573146201047e-5,56916/2071/4343/1662/10212/1659/9188/4174/4175/11056/1973/4173/51202/4172/4171/57647/4176/23517/55661,19,ATRT_vs_EPN_like,Up,GO_MF
GO:0030515,snoRNA binding,10/312,26/5624,0.38461538461538464,6.93293885601578,7.348055114405465,5.739446650597509e-7,7.139871633343302e-5,6.524844613310852e-5,3669/55813/9188/55127/55272/705/55720/9790/57647/10607,10,ATRT_vs_EPN_like,Up,GO_MF
GO:0140640,"catalytic activity, acting on a nucleic acid",38/312,300/5624,0.12666666666666668,2.2832478632478637,5.535851853501689,9.715070570380714e-7,1.0071289824628007e-4,9.203751066676467e-5,10799/8091/56916/64216/2071/3669/27292/4343/1662/5558/10212/1659/84172/55226/9188/4174/5394/10436/4175/11056/51106/1973/4173/51202/4172/4171/57647/81627/4176/5422/23517/10556/117246/4234/55661/7453/54464/90459,38,ATRT_vs_EPN_like,Up,GO_MF
GO:0008194,UDP-glycosyltransferase activity,11/312,34/5624,0.3235294117647059,5.831825037707391,6.848209851683705,1.1648665593673925e-6,1.0350671427521688e-4,9.459066797870555e-5,2683/8693/285203/79709/55568/11285/283464/4245/8985/79070/3074,11,ATRT_vs_EPN_like,Up,GO_MF
GO:0140098,"catalytic activity, acting on RNA",28/312,208/5624,0.1346153846153846,2.426528599605523,5.08048447070616,9.022226798945861e-6,6.739823621739467e-4,6.159256652122715e-4,10799/64216/3669/27292/4343/1662/5558/10212/1659/84172/55226/9188/5394/10436/11056/51106/1973/51202/57647/81627/23517/10556/117246/4234/55661/7453/54464/90459,28,ATRT_vs_EPN_like,Up,GO_MF
GO:0019864,IgG binding,5/312,7/5624,0.7142857142857143,12.875457875457876,7.618675516396514,9.752156365860965e-6,6.739823621739467e-4,6.159256652122715e-4,714/713/2214/2217/712,5,ATRT_vs_EPN_like,Up,GO_MF
GO:0016758,hexosyltransferase activity,13/312,60/5624,0.21666666666666667,3.9055555555555554,5.483319524636921,1.7781199650003084e-5,0.0010928868464118466,9.987458065026183e-4,2683/8693/285203/79709/55568/11285/1890/4245/8985/10195/79070/3074/29929,13,ATRT_vs_EPN_like,Up,GO_MF
GO:0017116,single-stranded DNA helicase activity,6/312,12/5624,0.5,9.012820512820513,6.73363407807569,1.9327580885096964e-5,0.0010928868464118466,9.987458065026183e-4,4174/4175/4173/4172/4171/4176,6,ATRT_vs_EPN_like,Up,GO_MF
GO:0140657,ATP-dependent activity,34/312,295/5624,0.1152542372881356,2.0775315080399825,4.60734179637577,2.9890741755410993e-5,0.0015493367809888033,0.001415877241045784,64005/56916/2071/79677/57674/9319/10312/4343/1662/10212/24137/1659/9188/4174/27348/3832/4175/11056/23250/1973/4173/51202/4172/4627/4171/57647/55902/4176/3416/6890/4641/23517/55661/29028,34,ATRT_vs_EPN_like,Up,GO_MF
GO:0016757,glycosyltransferase activity,15/312,82/5624,0.18292682926829268,3.297373358348968,5.07852449479368,3.48148752864195e-5,0.0016657578790886867,0.0015222698505802858,2683/8693/285203/79709/55568/11285/283464/1890/4245/8985/10195/79070/3074/143/29929,15,ATRT_vs_EPN_like,Up,GO_MF
GO:0016887,ATP hydrolysis activity,27/312,214/5624,0.1261682242990654,2.2742631200575123,4.605742712100605,4.29329293118654e-5,0.0019074487165700199,0.001743141490857693,56916/2071/79677/57674/9319/4343/1662/10212/1659/9188/4174/27348/4175/11056/23250/1973/4173/51202/4172/4171/57647/4176/3416/6890/23517/55661/29028,27,ATRT_vs_EPN_like,Up,GO_MF
GO:0048029,monosaccharide binding,10/312,42/5624,0.23809523809523808,4.291819291819292,5.189171459637615,7.170654629542125e-5,0.0029734314530501346,0.0027173007017212264,5351/10536/64175/3099/6515/3998/8974/8985/2584/2203,10,ATRT_vs_EPN_like,Up,GO_MF
GO:0003724,RNA helicase activity,11/312,51/5624,0.21568627450980393,3.8878833584715937,5.020564145263987,8.285868212605573e-5,0.0030316529577886268,0.0027705070184563525,4343/1662/10212/1659/9188/11056/1973/51202/57647/23517/55661,11,ATRT_vs_EPN_like,Up,GO_MF
GO:0008186,"ATP-dependent activity, acting on RNA",11/312,51/5624,0.21568627450980393,3.8878833584715937,5.020564145263987,8.285868212605573e-5,0.0030316529577886268,0.0027705070184563525,4343/1662/10212/1659/9188/11056/1973/51202/57647/23517/55661,11,ATRT_vs_EPN_like,Up,GO_MF
GO:0008649,rRNA methyltransferase activity,5/312,10/5624,0.5,9.012820512820513,6.145843769727416,1.0181165464152524e-4,0.003166342459351435,0.0028935943950749283,64216/27292/10436/51106/117246,5,ATRT_vs_EPN_like,Up,GO_MF
GO:0034511,U3 snoRNA binding,5/312,10/5624,0.5,9.012820512820513,6.145843769727416,1.0181165464152524e-4,0.003166342459351435,0.0028935943950749283,3669/55720/9790/57647/10607,5,ATRT_vs_EPN_like,Up,GO_MF
GO:0140102,"catalytic activity, acting on a rRNA",5/312,10/5624,0.5,9.012820512820513,6.145843769727416,1.0181165464152524e-4,0.003166342459351435,0.0028935943950749283,64216/27292/10436/51106/117246,5,ATRT_vs_EPN_like,Up,GO_MF
GO:0019798,procollagen-proline dioxygenase activity,4/312,6/5624,0.6666666666666666,12.017094017094015,6.543108454450759,1.2755625471257189e-4,0.003778094782439034,0.003452650503498186,10536/64175/5034/8974,4,ATRT_vs_EPN_like,Up,GO_MF
GO:0030246,carbohydrate binding,15/312,95/5624,0.15789473684210525,2.8461538461538463,4.3978326850455245,1.9979945153985622e-4,0.0056488754026268444,0.005162282479977146,5351/10536/8693/64175/3099/55568/6515/3998/7448/8974/8985/8987/3074/2584/2203,15,ATRT_vs_EPN_like,Up,GO_MF
GO:0008378,galactosyltransferase activity,4/312,7/5624,0.5714285714285714,10.3003663003663,5.966630825456739,2.846283858415204e-4,0.007376618999726071,0.00674119861203601,2683/79709/11285/8985,4,ATRT_vs_EPN_like,Up,GO_MF
GO:0035250,UDP-galactosyltransferase activity,4/312,7/5624,0.5714285714285714,10.3003663003663,5.966630825456739,2.846283858415204e-4,0.007376618999726071,0.00674119861203601,2683/79709/11285/8985,4,ATRT_vs_EPN_like,Up,GO_MF
GO:0008173,RNA methyltransferase activity,7/312,26/5624,0.2692307692307692,4.853057199211046,4.772083000661927,3.9800275318627724e-4,0.009902308499274577,0.00904932575665641,64216/27292/10436/51106/81627/117246/4234,7,ATRT_vs_EPN_like,Up,GO_MF
