ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0005525,GTP binding,68/920,203/5624,0.33497536945812806,2.047718997644035,6.7235313310002915,7.959464380013062e-10,5.843412855699712e-7,5.011144681192159e-7,23176/2775/2776/388/5869/2771/2794/2767/10672/55207/5879/2634/5868/4735/30845/5898/53916/9230/127829/10890/989/7879/391/347733/201475/23011/8396/403/5870/7280/51128/81876/2983/10670/51560/51715/1785/11021/64121/26052/3845/5906/5414/55915/50808/2633/6009/51062/2773/6102/5872/7277/2768/318/5881/5911/11031/79861/5027/80086/10382/116988/10801/8153/10381/2746/22800/22808,68,ATRT_vs_Glial,Down,GO_MF
GO:0003924,GTPase activity,60/920,172/5624,0.3488372093023256,2.1324570273003034,6.670406943216037,1.3937715742786753e-9,5.843412855699712e-7,5.011144681192159e-7,23176/2775/2776/388/5869/2771/2794/2767/10672/2783/55207/5879/394/2634/5868/4735/5898/53916/9230/127829/10890/989/2782/7879/391/347733/201475/23011/403/5870/7280/51128/81876/10670/51560/51715/1785/11021/64121/26052/4594/3845/5906/5414/2633/6009/51062/2773/5872/2768/5881/5911/11031/10382/116988/10801/8153/10381/22800/22808,60,ATRT_vs_Glial,Down,GO_MF
GO:0019001,guanyl nucleotide binding,68/920,208/5624,0.3269230769230769,1.9984949832775918,6.489070995864466,2.5629003753068915e-9,5.843412855699712e-7,5.011144681192159e-7,23176/2775/2776/388/5869/2771/2794/2767/10672/55207/5879/2634/5868/4735/30845/5898/53916/9230/127829/10890/989/7879/391/347733/201475/23011/8396/403/5870/7280/51128/81876/2983/10670/51560/51715/1785/11021/64121/26052/3845/5906/5414/55915/50808/2633/6009/51062/2773/6102/5872/7277/2768/318/5881/5911/11031/79861/5027/80086/10382/116988/10801/8153/10381/2746/22800/22808,68,ATRT_vs_Glial,Down,GO_MF
GO:0032561,guanyl ribonucleotide binding,68/920,208/5624,0.3269230769230769,1.9984949832775918,6.489070995864466,2.5629003753068915e-9,5.843412855699712e-7,5.011144681192159e-7,23176/2775/2776/388/5869/2771/2794/2767/10672/55207/5879/2634/5868/4735/30845/5898/53916/9230/127829/10890/989/7879/391/347733/201475/23011/8396/403/5870/7280/51128/81876/2983/10670/51560/51715/1785/11021/64121/26052/3845/5906/5414/55915/50808/2633/6009/51062/2773/6102/5872/7277/2768/318/5881/5911/11031/79861/5027/80086/10382/116988/10801/8153/10381/2746/22800/22808,68,ATRT_vs_Glial,Down,GO_MF
GO:0003779,actin binding,75/920,242/5624,0.30991735537190085,1.8945382680560547,6.290411540847109,5.572892960684756e-9,1.0164956760288996e-6,8.717177831134262e-7,118/2037/120/6709/6711/4131/84168/2036/10580/23012/4082/4646/81873/5962/28988/114793/830/10552/4130/8976/5339/7111/65108/2764/64601/29767/83660/1073/23122/4478/3983/23191/64236/55364/5217/10611/2059/23136/3636/274/55740/54899/6645/399687/85477/2633/23406/29085/10163/84687/92154/6641/119/25802/8572/667/83988/10391/1266/2039/79778/4983/7145/10634/56907/79784/57731/6744/148741/9026/22998/6622/2318/4644/7168,75,ATRT_vs_Glial,Down,GO_MF
GO:0008289,lipid binding,96/920,355/5624,0.2704225352112676,1.6531047152480096,5.621823355163443,9.268010024378021e-8,1.4087375237054593e-5,1.2080932365110298e-5,55198/5037/6711/5306/10254/57580/4131/5578/975/65991/81609/9146/51100/146691/84557/23541/27131/5333/8723/22905/1687/51479/64853/2946/11188/1622/29934/3709/81846/9922/347/29924/5728/5217/5730/6642/8027/5104/310/9885/23001/4763/51228/56270/477/1785/23111/2173/11021/9784/55852/128/8724/8895/5947/144402/1608/274/207/2152/11345/10043/116985/54899/476/51024/85477/55915/2633/11152/1173/92154/9847/112574/84747/2596/3306/23612/26088/2639/6855/221749/5027/4534/7074/4983/6844/414149/57731/23236/9026/6622/59339/54749/26207/9854,96,ATRT_vs_Glial,Down,GO_MF
GO:0005543,phospholipid binding,69/920,232/5624,0.2974137931034483,1.8181034482758622,5.627578642758796,1.4432856660176933e-7,1.8803950391544803e-5,1.612573308046836e-5,55198/5037/6711/5306/10254/57580/4131/65991/81609/9146/146691/84557/23541/27131/5333/8723/22905/1687/51479/64853/11188/29934/3709/81846/29924/5217/6642/8027/5104/310/9885/23001/4763/51228/56270/1785/11021/9784/8724/8895/144402/274/207/2152/11345/10043/116985/54899/85477/55915/11152/92154/9847/112574/2596/23612/26088/221749/4534/4983/6844/57731/23236/9026/6622/59339/54749/26207/9854,69,ATRT_vs_Glial,Down,GO_MF
GO:0003925,G protein activity,23/920,47/5624,0.48936170212765956,2.9914893617021274,6.062767256341218,1.9496855306341105e-7,2.222641504922886e-5,1.906074143764663e-5,2775/2776/5869/2767/10672/55207/5879/5868/5898/53916/9230/10890/7879/51128/81876/11021/3845/5906/2633/2768/5881/5911/22808,23,ATRT_vs_Glial,Down,GO_MF
GO:0035091,phosphatidylinositol binding,45/920,136/5624,0.33088235294117646,2.02269820971867,5.338929639436894,9.373617799572464e-7,9.49859937023343e-5,8.14572868430683e-5,55198/5306/10254/65991/81609/9146/146691/27131/5333/8723/1687/51479/64853/11188/29934/3709/81846/5217/6642/8027/9885/23001/56270/1785/11021/9784/8724/207/10043/116985/54899/85477/55915/11152/92154/112574/2596/23612/26088/221749/4534/23236/9026/26207/9854,45,ATRT_vs_Glial,Down,GO_MF
GO:0019003,GDP binding,22/920,53/5624,0.41509433962264153,2.537489745693191,4.97310790343446,1.1039364871186213e-5,0.0010067900762521828,8.63394536767511e-4,388/5869/55207/5868/5898/9230/10890/7879/201475/23011/403/11021/64121/3845/5906/2633/6009/2773/5911/11031/22800/22808,22,ATRT_vs_Glial,Down,GO_MF
