ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0140640,"catalytic activity, acting on a nucleic acid",68/423,300/5624,0.22666666666666666,3.0136485421591805,10.222004658233672,1.2061433539896583e-17,8.430942044387712e-15,7.414607565578531e-15,10799/56916/64216/8091/2071/2956/5111/5558/4436/4172/27292/4175/1662/1659/10212/4343/23244/3669/4171/10436/23517/5983/4176/84172/2237/5982/4174/11056/9188/81627/56897/5422/22894/55621/51106/4173/55226/5394/57647/9775/5393/54606/4839/51202/64794/23016/3978/1665/9044/79731/10556/51010/117246/5437/4234/54464/11284/8087/54517/90459/55661/9533/54973/5965/51651/2091/80324/1022,68,ATRT_vs_Glial,Up,GO_MF
GO:0140098,"catalytic activity, acting on RNA",46/423,208/5624,0.22115384615384615,2.940352791416621,8.13174662188042,9.291511778497378e-12,3.247383366584834e-9,2.855917304548668e-9,10799/64216/5558/27292/1662/1659/10212/4343/3669/10436/23517/84172/2237/11056/9188/81627/22894/55621/51106/55226/5394/57647/9775/5393/54606/4839/51202/64794/23016/1665/79731/10556/51010/117246/5437/4234/54464/8087/54517/90459/55661/9533/54973/51651/2091/80324,46,ATRT_vs_Glial,Up,GO_MF
GO:0004386,helicase activity,27/423,84/5624,0.32142857142857145,4.27355623100304,8.620160747682144,2.766051191264105e-11,6.444899275645365e-9,5.667978581397324e-9,56916/2071/4172/4175/1662/1659/10212/4343/4171/23517/5983/4176/5982/4174/11056/9188/56897/4173/57647/9775/54606/51202/64794/1665/9044/55661/5965,27,ATRT_vs_Glial,Up,GO_MF
GO:0120545,nucleic acid conformation isomerase activity,28/423,91/5624,0.3076923076923077,4.090925622840516,8.476951811234663,3.822676959342397e-11,6.680127986450838e-9,5.874850905936736e-9,56916/2071/4172/4175/1662/1659/10212/4343/4171/23517/5983/4176/5982/4174/11056/9188/56897/4173/57647/9775/54606/51202/64794/1665/9044/8087/55661/5965,28,ATRT_vs_Glial,Up,GO_MF
GO:0016853,isomerase activity,47/423,230/5624,0.20434782608695654,2.7169082125603867,7.581695245781096,1.0266415597933989e-10,1.4352449005911718e-8,1.2622287808828315e-8,56916/29785/64005/2071/5480/5373/4172/4175/1662/24137/1659/10212/4343/169714/4171/23517/5983/4176/3832/5982/4174/11056/9188/56897/4173/23398/10020/57647/9775/54606/10954/51202/64794/1665/9044/60681/81567/10682/8087/54517/5034/55661/5965/3835/3833/9601/80324,47,ATRT_vs_Glial,Up,GO_MF
GO:0120543,macromolecular conformation isomerase activity,33/423,137/5624,0.24087591240875914,3.2025676864937624,7.442740301969658,9.276469517144809e-10,1.0807086987473702e-7,9.504312628092226e-8,56916/64005/2071/4172/4175/1662/24137/1659/10212/4343/4171/23517/5983/4176/3832/5982/4174/11056/9188/56897/4173/57647/9775/54606/51202/64794/1665/9044/8087/55661/5965/3835/3833,33,ATRT_vs_Glial,Up,GO_MF
GO:0008194,UDP-glycosyltransferase activity,15/423,34/5624,0.4411764705882353,5.86566541510221,8.114963947620895,5.369927989204825e-9,5.362256663505961e-7,4.7158465348806285e-7,285203/2683/8693/55568/79709/11285/283464/79070/126792/2590/152002/4245/3074/8985/26229,15,ATRT_vs_Glial,Up,GO_MF
GO:0017116,single-stranded DNA helicase activity,9/423,12/5624,0.75,9.97163120567376,8.871846176831225,1.2742107952299694e-8,1.0051698666914862e-6,8.839984973237375e-7,4172/4175/4171/5983/4176/5982/4174/56897/4173,9,ATRT_vs_Glial,Up,GO_MF
GO:0016887,ATP hydrolysis activity,41/423,214/5624,0.19158878504672897,2.5472702768387796,6.580899150457185,1.2942101287873211e-8,1.0051698666914862e-6,8.839984973237375e-7,56916/79677/2071/9319/4436/4172/4175/1662/1659/10212/4343/27348/4171/23517/4176/5982/4174/11056/9188/10051/56897/10592/4173/57647/57674/9775/23250/54606/51202/64794/3416/29028/1665/9044/4931/23347/23456/55661/5965/3835/3833,41,ATRT_vs_Glial,Up,GO_MF
GO:0140657,ATP-dependent activity,50/423,295/5624,0.1694915254237288,2.253475978683335,6.306885725508076,2.2061066412087047e-8,1.5420685422048848e-6,1.356175029964088e-6,56916/79677/64005/2071/9319/2956/4436/4172/4175/1662/24137/1659/10212/10312/4343/27348/4171/23517/5983/4176/3832/5982/4174/11056/9188/10051/56897/10592/4173/57647/57674/9775/23250/54606/51202/64794/3416/29028/1665/9044/4931/23347/10055/23456/55661/10054/5965/3835/3833/1022,50,ATRT_vs_Glial,Up,GO_MF
