ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0003682,chromatin binding,123/725,232/5624,0.5301724137931034,4.1126753864447085,18.625254145212313,1.817432346222433e-51,1.3358127744734882e-48,1.1115033612160353e-48,22880/6045/1912/53615/57459/8019/7468/23394/84733/57634/10274/2551/51412/23411/7343/8467/64641/8971/10951/9878/6599/57332/11143/4221/7290/546/57492/23060/1788/51317/3007/23028/3066/6605/4297/11168/25942/6598/7155/6597/84656/5430/9112/5885/23211/6601/23309/3008/9555/50809/142/4676/11335/57727/3054/7443/84324/51780/3020/1108/6602/8805/6015/5469/8243/55506/54969/10155/1059/4774/222229/91875/55193/27245/4204/9219/3009/23558/11051/3151/4292/5928/8289/10919/7019/3006/23636/6421/7936/25836/116092/7153/6829/9612/8841/2962/23468/29089/23186/7469/4841/3184/1107/2332/10592/328/64710/27316/1106/23476/2072/1655/6777/1487/2521/9126/6294/3150/6935/1786/10473/4089/79366,123,ATRT_vs_MB,Down,GO_MF
GO:0043565,sequence-specific DNA binding,108/725,218/5624,0.4954128440366973,3.8430370136032903,16.469183377222024,2.5142671029965123e-41,9.239931603512183e-39,7.688364141268281e-39,100131017/53615/51222/57459/7545/7468/23394/7182/55609/84107/4802/2551/4899/1602/1385/23411/7343/64641/58525/3148/6925/11143/4152/4221/51523/1788/9611/6664/1060/7716/4297/9839/2186/4150/6598/6597/9112/5925/5885/54386/5929/9555/3054/9745/26097/10409/5015/3020/8805/7541/5469/55506/126208/1059/4774/222229/4204/79718/9667/9219/23558/3181/5989/5928/7247/4781/3146/163033/2547/10919/7019/3182/9328/54815/5814/6421/7520/4174/7392/29128/3184/1107/112939/49854/4001/328/27316/57215/1106/3191/253738/10013/23476/5887/6777/988/7257/7014/4171/7158/9126/6294/4784/6935/1786/4089/3178/116412,108,ATRT_vs_MB,Down,GO_MF
GO:0003690,double-stranded DNA binding,105/725,220/5624,0.4772727272727273,3.702319749216301,15.728587789935268,2.9581645082614324e-38,7.247503045240509e-36,6.030503787017165e-36,8545/51222/7545/23394/7182/55609/84107/4802/2551/4899/3149/1602/1385/23411/7343/64641/58525/8971/3148/6925/11143/27332/4152/4221/1788/3007/9611/6664/1060/7716/9839/2186/4150/11168/6598/6597/9112/10084/5925/5885/5929/3008/9555/3054/9745/10409/5015/3020/8805/7541/5469/55506/126208/6419/1059/4774/27245/4204/79718/3009/23558/57599/4292/5989/5928/4781/3146/163033/2547/10919/7019/3182/9328/3006/5814/6421/5395/7520/4174/7392/29128/1107/2237/112939/4001/328/64710/27316/57215/1106/3191/253738/10013/23476/5887/6777/988/7014/4171/9126/6294/4784/6935/4089/116412,105,ATRT_vs_MB,Down,GO_MF
GO:0140110,transcription regulator activity,118/725,277/5624,0.4259927797833935,3.30452881862318,15.130952267420104,6.465048489584437e-37,1.1879526599611402e-34,9.884718874864626e-35,100131017/283248/51222/84450/7545/23394/7182/55609/84107/4802/2551/4899/23013/55929/51412/1602/1385/23411/64641/55729/58525/6599/3148/6925/11143/84864/7290/57492/23060/1788/4661/23028/359948/9611/6664/6605/7716/10902/9839/4150/11168/25942/6598/6597/9112/10084/5925/6601/23309/57727/3054/9745/55758/2969/6878/51780/10409/5015/1108/6602/8805/7541/26145/5469/126208/10155/4774/7090/27245/4204/7570/79718/22938/8295/9219/23558/5989/8289/4781/3146/9862/163033/7019/9774/7337/115098/5814/7251/25836/9612/8841/7392/23186/55082/23326/4848/5977/112939/49854/2130/328/64710/10521/57215/253738/23476/1488/6427/6777/988/10432/1487/2521/7158/4784/6935/4089/116412,118,ATRT_vs_MB,Down,GO_MF
GO:1990837,sequence-specific double-stranded DNA binding,84/725,172/5624,0.4883720930232558,3.788420208500401,14.287092177446576,1.6883696341912869e-31,2.4819033622611917e-29,2.0651426472950264e-29,51222/7545/23394/7182/55609/84107/4802/2551/4899/1602/1385/23411/7343/64641/58525/3148/6925/11143/4221/1788/9611/6664/1060/7716/9839/2186/4150/6598/6597/9112/5925/5885/5929/9555/3054/9745/10409/5015/3020/8805/7541/5469/55506/126208/1059/4774/79718/23558/5989/5928/4781/3146/163033/2547/10919/7019/3182/9328/5814/6421/7520/4174/7392/29128/1107/112939/4001/27316/57215/1106/3191/253738/10013/23476/5887/6777/988/4171/9126/6294/4784/6935/4089/116412,84,ATRT_vs_MB,Down,GO_MF
GO:0000976,transcription cis-regulatory region binding,76/725,152/5624,0.5,3.8786206896551723,13.839886146526226,2.118113191997951e-29,2.2240188515978486e-27,1.850562051956104e-27,51222/7545/23394/7182/55609/84107/4802/2551/4899/1602/1385/23411/7343/64641/58525/3148/6925/4221/1788/9611/6664/7716/9839/2186/4150/6598/6597/9112/5925/5885/5929/9555/3054/9745/10409/5015/3020/8805/7541/5469/55506/4774/79718/23558/5989/5928/4781/3146/163033/2547/10919/7019/9328/5814/6421/7520/7392/29128/1107/112939/27316/57215/1106/3191/253738/10013/23476/5887/6777/988/9126/6294/4784/6935/4089/116412,76,ATRT_vs_MB,Down,GO_MF
GO:0001067,transcription regulatory region nucleic acid binding,76/725,152/5624,0.5,3.8786206896551723,13.839886146526226,2.118113191997951e-29,2.2240188515978486e-27,1.850562051956104e-27,51222/7545/23394/7182/55609/84107/4802/2551/4899/1602/1385/23411/7343/64641/58525/3148/6925/4221/1788/9611/6664/7716/9839/2186/4150/6598/6597/9112/5925/5885/5929/9555/3054/9745/10409/5015/3020/8805/7541/5469/55506/4774/79718/23558/5989/5928/4781/3146/163033/2547/10919/7019/9328/5814/6421/7520/7392/29128/1107/112939/27316/57215/1106/3191/253738/10013/23476/5887/6777/988/9126/6294/4784/6935/4089/116412,76,ATRT_vs_MB,Down,GO_MF
GO:0003712,transcription coregulator activity,72/725,186/5624,0.3870967741935484,3.0028031145717464,10.68499821373097,1.2235693102592313e-19,1.1241543038006687e-17,9.35386538500807e-18,283248/23013/55929/51412/23411/55729/6599/3148/11143/84864/7290/57492/1788/23028/359948/9611/6605/10902/11168/25942/6598/6597/9112/10084/5925/6601/23309/57727/3054/55758/6878/51780/10409/1108/6602/8805/26145/5469/10155/7090/4204/79718/22938/8295/9219/23558/8289/3146/9862/9774/7337/115098/7251/25836/9612/8841/23186/55082/23326/4848/5977/2130/328/64710/10521/23476/1488/6427/10432/1487/2521/7158,72,ATRT_vs_MB,Down,GO_MF
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,54/725,119/5624,0.453781512605042,3.520092726745871,10.688349964103274,1.2171719917887356e-18,9.879200050301373e-17,8.220286758646755e-17,51222/7545/23394/7182/55609/84107/4802/2551/4899/1602/1385/23411/64641/58525/6925/1788/6664/7716/9839/2186/4150/9112/5925/9555/3054/9745/5015/3020/8805/7541/5469/55506/4774/23558/5989/5928/4781/10919/5814/7392/112939/27316/57215/1106/253738/10013/5887/6777/988/6294/4784/6935/4089/116412,54,ATRT_vs_MB,Down,GO_MF
GO:0000987,cis-regulatory region sequence-specific DNA binding,51/725,108/5624,0.4722222222222222,3.663141762452107,10.749626119538398,1.344108850381139e-18,9.879200050301373e-17,8.220286758646755e-17,51222/7545/7182/55609/84107/4802/2551/4899/1602/1385/23411/64641/58525/3148/6925/1788/6664/9839/2186/4150/9112/5885/3054/9745/5015/3020/8805/7541/5469/4774/23558/5989/5928/4781/9328/7392/29128/112939/27316/57215/1106/253738/10013/5887/6777/9126/6294/4784/6935/4089/116412,51,ATRT_vs_MB,Down,GO_MF
GO:0003700,DNA-binding transcription factor activity,45/725,90/5624,0.5,3.8786206896551723,10.589743601783995,9.186265199162018e-18,6.138095383076439e-16,5.107387637046059e-16,100131017/51222/84450/7545/23394/7182/55609/84107/4802/2551/4899/1602/1385/64641/58525/6925/23060/4661/6664/7716/9839/4150/9745/2969/5015/7541/126208/4774/27245/7570/5989/4781/163033/5814/7392/112939/49854/57215/253738/6777/988/4784/6935/4089/116412,45,ATRT_vs_MB,Down,GO_MF
GO:0031491,nucleosome binding,32/725,49/5624,0.6530612244897959,5.065953553835327,10.996066123793165,1.3599232570491753e-17,8.329529949426199e-16,6.930836950399745e-16,53615/57459/8467/8971/6599/7290/57492/3007/3066/6605/6598/6597/84656/6601/3008/9555/50809/142/4676/7443/3020/1108/9219/3009/3151/5928/8289/3006/116092/3150/10473/79366,32,ATRT_vs_MB,Down,GO_MF
GO:0008270,zinc ion binding,118/725,438/5624,0.2694063926940639,2.089850417257125,9.136650642759854,1.194927581644036e-16,6.755936711602819e-15,5.621481173564249e-15,92312/100131017/22880/79872/6045/23774/1912/51222/84450/57459/7545/7468/23394/7182/55609/84107/7750/5514/10569/51773/9031/83759/51592/64641/58525/9202/23126/11143/27332/57507/4152/64763/51523/546/23060/1788/124245/51317/23361/4661/359948/58499/11177/116988/3980/55696/7716/4297/55148/9839/2186/4150/5430/8241/9112/114991/23211/283489/142/27342/9782/79813/9745/51780/1108/80829/8805/6015/7541/26145/126208/6419/10155/7570/1397/26993/9219/56931/196528/257160/9146/163033/10919/80856/7337/54815/9203/7756/115426/6596/284695/9406/23326/29128/284273/1107/5977/49854/9810/23077/2130/51538/6432/57215/253738/10013/10713/9181/11083/126299/4171/2521/5936/6935/1786/51101/644/116412,118,ATRT_vs_MB,Down,GO_MF
