ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0008194,UDP-glycosyltransferase activity,12/224,34/5624,0.35294117647058826,8.861344537815127,9.363572037569725,3.0024623591093512e-9,1.8525192755704697e-6,1.6339716206942472e-6,285203/2683/2590/8693/55568/283464/8985/3074/26229/11285/79709/2997,12,ATRT_vs_MB,Up,GO_MF
GO:0016758,hexosyltransferase activity,14/224,60/5624,0.23333333333333334,5.858333333333333,7.7051401797516235,5.7363239991206355e-8,1.769655953728716e-5,1.560883951339668e-5,285203/2683/2590/8693/55568/8985/3074/26229/11285/79709/1890/29929/2997/10195,14,ATRT_vs_MB,Up,GO_MF
GO:0016757,glycosyltransferase activity,16/224,82/5624,0.1951219512195122,4.898954703832753,7.24324251460035,9.448015417075778e-8,1.9287384712159075e-5,1.7011989927810704e-5,285203/2683/2590/8693/55568/283464/8985/3074/26229/11285/79709/1890/29929/2997/143/10195,16,ATRT_vs_MB,Up,GO_MF
GO:0030246,carbohydrate binding,17/224,95/5624,0.17894736842105263,4.492857142857143,6.9924682345454725,1.406931073604947e-7,1.9287384712159075e-5,1.7011989927810704e-5,5351/2590/8693/10536/55568/5033/8985/3074/2584/6515/7360/64175/3958/9563/2997/3099/3482,17,ATRT_vs_MB,Up,GO_MF
GO:0016491,oxidoreductase activity,34/224,327/5624,0.10397553516819572,2.610528615115771,6.111368993553015,1.562997140369455e-7,1.9287384712159075e-5,1.7011989927810704e-5,29785/5351/4015/3030/30001/3032/80270/10536/2232/6713/26063/373156/5033/51/37/8985/1371/51700/157506/7837/30/3939/84263/1717/1666/64175/55256/6319/9563/1192/8310/2110/51060/25902,34,ATRT_vs_MB,Up,GO_MF
GO:0048029,monosaccharide binding,11/224,42/5624,0.2619047619047619,6.575680272108843,7.386501018720369,4.505280035964395e-7,4.6329296369833856e-5,4.086368032620337e-5,5351/10536/5033/8985/2584/6515/7360/64175/2997/3099/3482,11,ATRT_vs_MB,Up,GO_MF
GO:0016408,C-acyltransferase activity,5/224,9/5624,0.5555555555555556,13.9484126984127,7.917244890625376,1.0601070294848956e-5,9.34408624560258e-4,8.241734349529189e-4,3030/3032/9517/30/10558,5,ATRT_vs_MB,Up,GO_MF
GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",9/224,42/5624,0.21428571428571427,5.380102040816326,5.802633330399362,3.0364219228439624e-5,0.0022883767504650694,0.0020184095879731143,29785/26063/51/37/1371/30/1717/1666/8310,9,ATRT_vs_MB,Up,GO_MF
GO:0016634,"oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor",4/224,6/5624,0.6666666666666666,16.738095238095237,7.8550345184028645,3.451850798871191e-5,0.0022883767504650694,0.0020184095879731143,51/1371/30/8310,4,ATRT_vs_MB,Up,GO_MF
GO:0048306,calcium-dependent protein binding,9/224,43/5624,0.20930232558139536,5.254983388704319,5.704101653078749,3.708876418906109e-5,0.0022883767504650694,0.0020184095879731143,6284/6282/6275/6277/307/302/306/311/6281,9,ATRT_vs_MB,Up,GO_MF
