ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0003823,antigen binding,25/446,60/5624,0.4166666666666667,5.2541106128550075,9.722127013782801,6.045125059531693e-13,4.5277986695892383e-10,4.027962276509013e-10,6891/6890/6892/3106/721/3115/28452/720/3105/3107/28408/3122/28938/718/28448/28908/28825/28912/28937/28410/5340/140885/28468/3123/28822,25,EPN_like_vs_Glial,Down,GO_MF
GO:0005102,signaling receptor binding,75/446,491/5624,0.15274949083503056,1.9261505301708786,6.303868450095498,7.371127875248948e-9,2.7604873892807313e-6,2.455749444753992e-6,3685/5295/4035/310/3383/51571/5578/4905/2764/51762/10384/6642/6891/6890/8895/6892/9784/2246/348/3936/8613/23780/10979/5781/10314/3092/3106/5803/10755/3696/3611/63916/3956/51704/25927/7070/3675/2670/116173/409/4627/3684/10135/66004/972/54413/4478/3105/6772/2534/64114/3107/6285/5027/3122/4641/2840/718/29108/3689/2247/1363/5788/3827/3911/6284/214/5340/11117/9351/199731/58494/1890/7148/3123,75,EPN_like_vs_Glial,Down,GO_MF
GO:0004866,endopeptidase inhibitor activity,20/446,63/5624,0.31746031746031744,4.003131895508577,7.034588241688694,3.467862346778904e-8,8.65809632579133e-6,7.702304791266829e-6,2597/12/5037/1992/6653/721/5973/720/6906/2634/718/5267/5265/5176/3827/5271/3697/710/259/274,20,EPN_like_vs_Glial,Down,GO_MF
GO:0042605,peptide antigen binding,9/446,13/5624,0.6923076923076923,8.729906864436012,8.188347235863217,6.157167388305033e-8,1.1529295934601175e-5,1.0256544623150228e-5,6891/6890/6892/3106/3115/3105/3107/3122/3123,9,EPN_like_vs_Glial,Down,GO_MF
GO:0030414,peptidase inhibitor activity,20/446,66/5624,0.30303030303030304,3.8211713548036417,6.765698028344111,8.347119883078233e-8,1.2503985584851193e-5,1.1123635549449521e-5,2597/12/5037/1992/6653/721/5973/720/6906/2634/718/5267/5265/5176/3827/5271/3697/710/259/274,20,EPN_like_vs_Glial,Down,GO_MF
GO:0061135,endopeptidase regulator activity,22/446,80/5624,0.275,3.467713004484305,6.523767585004311,1.2980418407885524e-7,1.6203888979177097e-5,1.441509623191498e-5,2597/12/9475/5037/1992/6653/721/5973/720/6906/2634/718/5267/5265/29108/5176/3827/5271/3697/710/259/274,22,EPN_like_vs_Glial,Down,GO_MF
GO:0046977,TAP binding,6/446,6/5624,1,12.609865470852018,8.349921512130562,2.411177903877093e-7,2.5799603571484894e-5,2.2951512979762402e-5,6891/6890/6892/3106/3105/3107,6,EPN_like_vs_Glial,Down,GO_MF
GO:0005178,integrin binding,22/446,85/5624,0.25882352941176473,3.2637298865734636,6.171472994807694,4.161335252219727e-7,3.849412043237204e-5,3.424464652335254e-5,3685/310/3383/5578/2246/3936/8613/10979/5803/3696/3611/7070/3675/2670/4627/3684/3689/2247/3911/11117/58494/7148,22,EPN_like_vs_Glial,Down,GO_MF
GO:0061134,peptidase regulator activity,24/446,99/5624,0.24242424242424243,3.0569370838429135,6.059585423096154,4.6254617341969075e-7,3.849412043237204e-5,3.424464652335254e-5,2597/1762/12/9475/5037/1992/6653/721/5973/720/6906/2634/718/5267/5265/29108/5176/3827/5271/1075/3697/710/259/274,24,EPN_like_vs_Glial,Down,GO_MF
GO:0042625,ATPase-coupled ion transmembrane transporter activity,7/446,13/5624,0.5384615384615384,6.7899275612280094,6.133312881162216,2.120924826158994e-5,0.0013238105789942385,0.001177671416630389,51606/529/523/526/51382/528/534,7,EPN_like_vs_Glial,Down,GO_MF
GO:0044769,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism",7/446,13/5624,0.5384615384615384,6.7899275612280094,6.133312881162216,2.120924826158994e-5,0.0013238105789942385,0.001177671416630389,51606/529/523/526/51382/528/534,7,EPN_like_vs_Glial,Down,GO_MF
GO:0046961,"proton-transporting ATPase activity, rotational mechanism",7/446,13/5624,0.5384615384615384,6.7899275612280094,6.133312881162216,2.120924826158994e-5,0.0013238105789942385,0.001177671416630389,51606/529/523/526/51382/528/534,7,EPN_like_vs_Glial,Down,GO_MF
GO:0004857,enzyme inhibitor activity,31/446,183/5624,0.16939890710382513,2.136097429488593,4.585347003573294,3.536579304032198e-5,0.0020376137682462433,0.0018126758700019285,2597/2764/57580/12/55742/5037/1992/6653/83666/721/5973/7453/720/8073/6906/151636/2634/718/5267/5265/5176/80243/5788/3434/3827/5271/3697/710/259/274/140885,31,EPN_like_vs_Glial,Down,GO_MF
GO:0008233,peptidase activity,31/446,185/5624,0.16756756756756758,2.113004484304933,4.5174535632940875,4.395431003156402e-5,0.002351555586688675,0.0020919607706751902,5184/824/823/5550/5696/2687/9520/54858/51056/5699/131870/826/5698/64167/3426/9805/79716/715/7052/2161/726/1363/7347/3818/1075/629/1200/716/80150/5340/10404,31,EPN_like_vs_Glial,Down,GO_MF
GO:0004867,serine-type endopeptidase inhibitor activity,11/446,35/5624,0.3142857142857143,3.9631005765534915,5.160405250292938,4.9953230554447517e-5,0.0024943313123520793,0.002218975083576511,12/5037/1992/6906/5267/5265/5176/5271/3697/710/259,11,EPN_like_vs_Glial,Down,GO_MF
GO:0008289,lipid binding,48/446,355/5624,0.1352112676056338,1.7049958946504136,4.027236304795012,1.3172755104490642e-4,0.006166495983289682,0.0054857591981201164,81609/310/2171/29934/5578/51228/55198/23541/2596/85477/57580/347/6642/8895/22905/9784/348/51429/23780/10979/822/29886/3092/23236/51479/5037/4763/11344/1608/7070/23760/8411/241/929/9026/5027/84557/5286/9922/2638/2173/713/6284/714/1200/6855/6456/274,48,EPN_like_vs_Glial,Down,GO_MF
