ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0003682,chromatin binding,111/777,232/5624,0.47844827586206895,3.4630541871921183,15.339141664889882,1.4453603376709669e-37,1.1505068287860896e-34,9.798021657474765e-35,22880/56916/23411/7468/84733/1912/51412/64641/6599/8726/8467/10592/57634/23060/51317/57492/6830/1788/10051/10919/4292/2956/4297/7153/7343/23028/29028/55206/9878/7290/53615/23397/29089/6597/8805/2551/11143/1786/6602/8208/11198/23394/3066/11335/142/8019/57459/4436/23309/5422/10951/10274/6045/56254/3009/1107/2959/222229/1059/546/3007/54623/5469/7443/9219/7155/6749/54969/10155/57332/6598/5928/1106/3006/328/79892/3054/23186/10038/6418/26155/1108/3516/4221/6829/25842/25836/27043/55506/1387/6605/8243/4089/6421/5111/3184/64318/3008/80335/2521/55193/4841/9126/4869/7150/23468/1104/23636/8971/4774/80324,111,MB_vs_EPN_like,Up,GO_MF
GO:0140640,"catalytic activity, acting on a nucleic acid",113/777,300/5624,0.37666666666666665,2.7263492063492065,12.303489266482408,1.2879082120342652e-26,5.125874683896376e-24,4.365330992368772e-24,56916/1659/10569/4174/4176/10212/4175/4173/3978/4171/8467/2186/57634/4830/51163/4172/1788/56931/5394/114049/23244/3980/4292/2956/9716/55695/7153/23210/2237/6597/1786/9188/80755/22894/8449/51010/345630/4436/57647/11056/5422/51773/5558/5393/23063/1107/23404/546/1662/23047/7515/79066/7155/63935/5984/51202/55661/10535/23517/5982/5983/81887/5928/117246/81627/1106/5073/54517/328/5985/79002/2547/90957/1108/7520/55226/317781/7014/25836/54512/2617/54606/55621/8886/23383/29883/8731/6419/5111/5437/27292/8732/10521/1736/10436/10623/7150/60528/2687/84172/5965/5395/10556/4839/1022/2091/4913/64794/10799/114034/64216/80324/79039,113,MB_vs_EPN_like,Up,GO_MF
GO:0043565,sequence-specific DNA binding,92/777,218/5624,0.42201834862385323,3.0546089995631283,12.38732275744902,6.029105943250457e-26,1.5997227769424545e-23,1.362366395597647e-23,100131017/23411/51222/7545/7468/55609/84107/4174/7182/58525/9611/4899/64641/1602/5925/4171/4802/2186/6925/163033/6664/1060/1788/29128/10919/4297/7343/4999/53615/5015/6597/8805/2551/11143/9839/1786/4150/51523/23394/3148/57459/4436/10514/5422/23595/9745/1107/2959/222229/1059/5001/9070/3146/126208/6908/5469/7716/9219/5929/3182/4152/6598/5928/1106/328/3054/79811/7541/2547/3516/4221/7520/253738/7014/4001/55506/4089/6421/3184/54386/1385/3178/5989/3276/9126/4869/7150/9519/49854/116412/4781/4774,92,MB_vs_EPN_like,Up,GO_MF
GO:0003690,double-stranded DNA binding,91/777,220/5624,0.41363636363636364,2.993939393939394,12.078796522322655,6.746024766618594e-25,1.3424589285571e-22,1.143273670974309e-22,8545/23411/51222/7545/55609/84107/4174/7182/58525/9611/4899/64641/1602/5925/4171/4802/2186/6925/163033/6664/1060/1788/29128/10919/4292/2956/3149/7343/4999/5015/2237/6597/8805/2551/11143/9839/4150/23394/3148/4436/10514/5422/23595/9745/3009/1107/2959/1059/5001/9070/3007/3146/126208/6908/5469/7716/5929/3182/4152/6598/5928/1106/3006/328/3054/7541/2547/3516/4221/7520/253738/7014/4001/55506/4089/6421/6419/5111/1385/3008/5989/9126/4869/7150/9519/5395/116412/4913/8971/4781/4774,91,MB_vs_EPN_like,Up,GO_MF
GO:1990837,sequence-specific double-stranded DNA binding,74/777,172/5624,0.43023255813953487,3.1140642303433004,11.273597345628174,1.4019729813618894e-21,2.231940986328128e-19,1.9007802105201198e-19,23411/51222/7545/55609/84107/4174/7182/58525/9611/4899/64641/1602/5925/4171/4802/2186/6925/163033/6664/1060/1788/29128/10919/7343/4999/5015/6597/8805/2551/11143/9839/4150/23394/3148/4436/10514/5422/23595/9745/1107/2959/1059/5001/9070/3146/126208/6908/5469/7716/5929/3182/6598/5928/1106/3054/7541/2547/3516/4221/7520/253738/4001/55506/4089/6421/1385/5989/9126/4869/7150/9519/116412/4781/4774,74,MB_vs_EPN_like,Up,GO_MF
GO:0042393,histone binding,45/777,77/5624,0.5844155844155844,4.230055658627087,11.425739728549399,3.8103063337798735e-20,5.055006402814632e-18,4.3049776823758575e-18,23411/1912/9031/6599/4171/8467/23234/9918/8089/23310/6830/29128/29028/55206/7290/6597/7913/8208/3066/8019/4678/51773/4796/56254/1107/546/7443/5929/6749/54969/5757/5928/1106/6418/26155/1108/25842/84295/81611/9733/8125/8520/4869/1104/5763,45,MB_vs_EPN_like,Up,GO_MF
GO:0140110,transcription regulator activity,95/777,277/5624,0.34296028880866425,2.4823792332817605,10.129829977556936,4.783626678412901e-19,5.439666908595242e-17,4.632564783305125e-17,283248/100131017/23411/51222/7545/55609/84107/7182/58525/9611/4899/51412/64641/1602/6599/5925/4802/6925/84450/55729/84864/23060/57492/163033/4661/6664/9319/1788/23028/6878/7290/5015/23013/6597/8805/2551/11143/9839/55929/4150/6602/8295/10902/10153/23394/3148/10514/23309/2969/9745/56254/9439/3146/126208/5469/7716/9219/10155/7337/6598/9862/328/3054/23186/7541/26155/1108/3516/23160/10915/253738/7570/25836/23076/1387/55758/23326/9282/6605/4089/29883/1385/10521/2521/5989/4869/49854/116412/2274/7041/4781/4774/64216/80324/79039,95,MB_vs_EPN_like,Up,GO_MF
GO:0140097,"catalytic activity, acting on DNA",50/777,99/5624,0.5050505050505051,3.655603655603656,10.67266198904914,1.5730495054425535e-18,1.5651842579153407e-16,1.3329524756644796e-16,56916/4174/4176/4175/4173/3978/4171/8467/2186/4830/4172/1788/23244/3980/4292/2956/7153/2237/6597/1786/4436/5422/51773/23063/1107/546/23047/7515/7155/5984/5982/5983/5928/1106/328/5985/2547/1108/7520/7014/25836/23383/6419/5111/1736/7150/5965/5395/1022/4913,50,MB_vs_EPN_like,Up,GO_MF
GO:0000976,transcription cis-regulatory region binding,61/777,152/5624,0.40131578947368424,2.9047619047619047,9.53119790959275,3.548822219701275e-16,2.8248624868822148e-14,2.405727904723812e-14,23411/51222/7545/55609/84107/7182/58525/9611/4899/64641/1602/5925/4802/2186/6925/163033/6664/1788/29128/10919/7343/5015/6597/8805/2551/9839/4150/23394/3148/10514/9745/1107/2959/9070/3146/6908/5469/7716/5929/6598/5928/1106/3054/7541/2547/3516/4221/7520/253738/55506/4089/6421/1385/5989/9126/4869/7150/9519/116412/4781/4774,61,MB_vs_EPN_like,Up,GO_MF
GO:0001067,transcription regulatory region nucleic acid binding,61/777,152/5624,0.40131578947368424,2.9047619047619047,9.53119790959275,3.548822219701275e-16,2.8248624868822148e-14,2.405727904723812e-14,23411/51222/7545/55609/84107/7182/58525/9611/4899/64641/1602/5925/4802/2186/6925/163033/6664/1788/29128/10919/7343/5015/6597/8805/2551/9839/4150/23394/3148/10514/9745/1107/2959/9070/3146/6908/5469/7716/5929/6598/5928/1106/3054/7541/2547/3516/4221/7520/253738/55506/4089/6421/1385/5989/9126/4869/7150/9519/116412/4781/4774,61,MB_vs_EPN_like,Up,GO_MF
