ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0003682,chromatin binding,162/1056,232/5624,0.6982758620689655,3.7188479623824455,20.333255903934898,5.02233177559907e-68,3.827016813006492e-65,2.971105745143871e-65,22880/56916/23411/8467/7468/2956/84733/1912/53615/23028/3066/6045/4436/6599/64641/57634/8726/7343/10951/6597/57459/10592/11335/11198/23394/8019/10051/7155/51412/4292/6749/1788/142/4297/222229/23309/8805/7290/23060/6602/51317/10155/57492/11143/2551/25942/3009/5469/9878/5928/57332/10274/10919/5111/7443/7153/84324/29028/55206/2959/546/8243/23397/29089/3054/54969/1107/6418/6605/5430/1786/5422/6830/8208/6598/6829/1108/56254/9112/7936/11051/57727/54623/2521/23211/1059/8971/4841/9219/6421/9869/9126/983/3007/1660/23186/27043/6117/4869/1655/4089/5885/1025/3184/6294/3192/1104/25836/25842/328/3516/23468/3151/11168/1387/10038/84656/26057/7150/55193/55506/1106/2962/7528/6601/27245/4904/7469/3006/9555/3183/27316/4221/10735/51780/8841/79892/23476/26155/29803/4774/86/9612/6015/10933/8289/3008/116092/23636/6594/56943/3150/64318/4928/10664/80335/80324/3020/1487/83743/6603/2071,162,MB_vs_Glial,Up,GO_MF
GO:0043565,sequence-specific DNA binding,132/1056,218/5624,0.6055045871559633,3.224770642201835,16.107510545670085,2.770842583321687e-44,1.0556910242455627e-41,8.1958606938252e-42,100131017/23411/51222/7545/7468/55609/58525/84107/7182/4899/3148/53615/4174/4436/4171/2186/4802/64641/1602/7343/9611/6597/57459/23394/1788/5925/4297/29128/222229/8805/6925/11143/2551/163033/1060/6664/5469/3182/5928/51523/5929/10919/4150/4999/2959/7716/5015/3054/1107/23595/6908/126208/2547/1786/5422/6598/7520/4152/1385/9839/9745/9112/9070/3146/9328/1059/9219/6421/4001/9126/5981/26097/1660/10514/3178/6117/4781/4869/5001/4089/5885/79811/1025/3184/3191/6294/3192/253738/328/3516/9967/7541/30827/54386/4691/7158/7150/55506/1106/55749/7528/3276/4904/5989/9555/27316/4221/3068/7014/22803/54815/7392/10898/79718/23476/29803/4774/57215/3181/9519/2079/49854/9667/10664/23435/988/5887/10589/3020/4784/83743/116412,132,MB_vs_Glial,Up,GO_MF
GO:0003690,double-stranded DNA binding,131/1056,220/5624,0.5954545454545455,3.1712465564738292,15.794859466199195,8.668408285300763e-43,2.2017757044663936e-40,1.709349282925975e-40,8545/23411/51222/7545/2956/55609/3149/58525/84107/7182/4899/3148/4174/4436/4171/2186/2237/4802/64641/1602/7343/9611/6597/23394/4292/1788/5925/29128/8805/6925/11143/2551/163033/3009/1060/6664/5469/3182/5928/5929/10919/5111/4150/4999/2959/7716/5015/3054/1107/23595/6908/126208/2547/5422/27332/6598/7520/4152/1385/9839/9745/9112/9070/3146/9328/1059/8971/6421/4001/9126/5981/3007/1660/10514/4781/4869/10084/5001/4089/5885/1025/3191/6294/3192/253738/328/3516/9967/7541/11168/30827/6419/7150/4437/55506/1106/5395/55749/7528/27245/4904/5989/3006/9555/27316/4221/3068/7014/22803/7392/10898/79718/23476/4774/57215/3008/9519/5591/10621/10664/23435/988/5887/85364/10589/3020/4784/83743/4913/116412/8815,131,MB_vs_Glial,Up,GO_MF
GO:0140110,transcription regulator activity,147/1056,277/5624,0.5306859205776173,2.8263045618641285,14.986870327832538,9.328264730606351e-40,1.7770344311805098e-37,1.3796012575265182e-37,283248/100131017/23411/51222/7545/55609/58525/84107/7182/4899/3148/23028/4802/6599/84864/84450/64641/1602/23013/9611/6597/2969/55729/23394/51412/55929/6878/1788/5925/9319/23309/8805/7290/6925/23060/6602/10155/57492/11143/2551/4661/163033/25942/6664/5469/10902/4150/9439/7716/5015/3054/6605/126208/8295/6598/9862/1385/9839/9745/1108/56254/9112/10915/10153/57727/3146/359948/2521/9219/55758/1660/9774/23186/10514/22938/4781/10521/4869/10084/7337/4089/55082/1025/90390/3192/253738/25836/328/3516/10284/9967/7541/11168/1387/23613/7158/2130/55749/6427/7528/6601/27245/5989/26145/3068/51780/8841/7536/7392/57592/79718/23476/1488/26155/22913/4774/57215/9282/5977/29883/86/9612/8289/7570/10432/9477/49854/8896/56943/9125/23160/7090/23076/4928/10664/988/5987/8148/23326/80324/1487/4784/64216/79039/6603/116412/2274,147,MB_vs_Glial,Up,GO_MF
GO:1990837,sequence-specific double-stranded DNA binding,104/1056,172/5624,0.6046511627906976,3.220225510923185,14.217929014317972,8.94617595887064e-35,1.3633972161318855e-32,1.0584738713442736e-32,23411/51222/7545/55609/58525/84107/7182/4899/3148/4174/4436/4171/2186/4802/64641/1602/7343/9611/6597/23394/1788/5925/29128/8805/6925/11143/2551/163033/1060/6664/5469/3182/5928/5929/10919/4150/4999/2959/7716/5015/3054/1107/23595/6908/126208/2547/5422/6598/7520/1385/9839/9745/9112/9070/3146/9328/1059/6421/4001/9126/1660/10514/4781/4869/5001/4089/5885/1025/3191/6294/3192/253738/3516/9967/7541/30827/7150/55506/1106/55749/7528/4904/5989/9555/27316/4221/3068/22803/7392/10898/79718/23476/4774/57215/9519/10664/23435/988/5887/10589/3020/4784/83743/116412,104,MB_vs_Glial,Up,GO_MF
GO:0140640,"catalytic activity, acting on a nucleic acid",146/1056,300/5624,0.4866666666666667,2.5918686868686867,13.623910977247608,7.865459510361463e-34,9.989133578159057e-32,7.755067096180951e-32,56916/1659/10569/8467/2956/4175/4176/3980/23244/4172/4174/4436/4171/2186/2237/7515/57634/6597/10212/4173/3978/7155/51773/4292/5983/1788/51163/5982/22894/9716/114049/5928/55695/56931/8449/23047/5111/7153/11325/546/23020/1107/5394/79066/51010/2547/5430/1665/1786/5422/5984/63935/51692/7520/5393/9775/79002/23517/1108/23210/11056/55621/54888/5558/57647/9188/56339/5981/8731/1660/80755/54517/81887/10521/10714/9416/1655/10535/81627/345630/23063/9879/25836/328/56897/54890/79665/5437/6419/23019/7150/1736/4437/7919/5985/1106/317781/5395/1662/54606/23383/6596/51202/117246/7014/22803/55661/9924/23404/1022/5073/10436/8886/9785/29883/23016/64794/8732/4839/9477/5434/79009/2091/90957/6594/2021/10623/5511/27292/54512/23583/55226/10621/5965/114034/60528/56257/10556/10799/84172/80324/64216/79731/79039/4913/2071,146,MB_vs_Glial,Up,GO_MF
GO:0003729,mRNA binding,126/1056,242/5624,0.5206611570247934,2.772915101427498,13.554288610322345,6.759406842306306e-33,7.358097162624864e-31,5.712461120866382e-31,29890/55802/57060/23013/10212/10949/10929/4686/9716/3182/10482/1993/10189/9939/91746/57510/1719/80153/51747/55692/55421/10657/51441/5936/27332/149986/5393/9775/6829/56254/84271/7936/11051/58155/2521/6426/3609/9188/7072/1479/56339/1660/11052/3190/29894/58517/10450/64783/3178/8880/65109/10521/10236/9416/22950/1655/51639/9810/55651/51631/3184/3191/11340/57187/3192/1996/220988/83759/23451/6432/202559/8563/51691/6431/4670/4691/7919/6427/22916/4904/79171/10492/3183/9933/27316/6428/6434/10921/50804/79882/9513/26354/79869/4440/23283/92906/7536/5073/6429/6625/9904/3181/23016/10772/26528/10432/23524/10658/1994/79009/26156/6631/6430/5511/8683/54512/7298/4928/8570/23435/25929/4628/1995/9908/8148/1478,126,MB_vs_Glial,Up,GO_MF
GO:0000976,transcription cis-regulatory region binding,88/1056,152/5624,0.5789473684210527,3.0833333333333335,12.518735553764367,1.5794376076224379e-27,1.337257174453664e-25,1.0381800415015323e-25,23411/51222/7545/55609/58525/84107/7182/4899/3148/2186/4802/64641/1602/7343/9611/6597/23394/1788/5925/29128/8805/6925/2551/163033/6664/5469/5928/5929/10919/4150/2959/7716/5015/3054/1107/6908/2547/6598/7520/1385/9839/9745/9112/9070/3146/9328/6421/9126/1660/10514/4781/4869/4089/5885/1025/3191/6294/3192/253738/3516/9967/7541/30827/7150/55506/1106/55749/7528/5989/9555/27316/4221/3068/22803/7392/79718/23476/4774/57215/9519/10664/23435/988/5887/10589/3020/4784/116412,88,MB_vs_Glial,Up,GO_MF
GO:0001067,transcription regulatory region nucleic acid binding,88/1056,152/5624,0.5789473684210527,3.0833333333333335,12.518735553764367,1.5794376076224379e-27,1.337257174453664e-25,1.0381800415015323e-25,23411/51222/7545/55609/58525/84107/7182/4899/3148/2186/4802/64641/1602/7343/9611/6597/23394/1788/5925/29128/8805/6925/2551/163033/6664/5469/5928/5929/10919/4150/2959/7716/5015/3054/1107/6908/2547/6598/7520/1385/9839/9745/9112/9070/3146/9328/6421/9126/1660/10514/4781/4869/4089/5885/1025/3191/6294/3192/253738/3516/9967/7541/30827/7150/55506/1106/55749/7528/5989/9555/27316/4221/3068/22803/7392/79718/23476/4774/57215/9519/10664/23435/988/5887/10589/3020/4784/116412,88,MB_vs_Glial,Up,GO_MF
GO:0003712,transcription coregulator activity,99/1056,186/5624,0.532258064516129,2.8346774193548385,12.233466570536837,6.846202050267062e-27,5.216805962303501e-25,4.0500690023685145e-25,283248/23411/3148/23028/6599/84864/23013/9611/6597/55729/51412/55929/6878/1788/5925/9319/23309/8805/7290/6602/10155/57492/11143/25942/5469/10902/9439/3054/6605/8295/6598/9862/1108/56254/9112/10915/10153/57727/3146/359948/2521/9219/55758/1660/9774/23186/10514/22938/10521/4869/10084/7337/55082/90390/3192/25836/328/10284/9967/11168/1387/23613/7158/2130/55749/6427/6601/26145/3068/51780/8841/7536/79718/23476/1488/26155/22913/9282/5977/29883/86/9612/8289/10432/9477/8896/56943/9125/7090/23076/4928/5987/8148/23326/80324/1487/79039/6603/2274,99,MB_vs_Glial,Up,GO_MF
