ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
HALLMARK_HYPOXIA,Genes up-regulated in response to low oxygen levels (hypoxia).,16/103,100/2091,0.16,3.2481553398058254,5.242932320325666,1.634194072646995e-5,3.8065152806810636e-4,2.6408838071710725e-4,123/4015/30001/3669/5033/2584/3939/6515/6275/7360/1490/26355/302/2997/5054/3099,16,ATRT_vs_MB,Up,Hallmark
HALLMARK_PEROXISOME,Genes encoding components of peroxisome.,12/103,59/2091,0.2033898305084746,4.129011025176897,5.548234554225929,1.7302342184913927e-5,3.8065152806810636e-4,2.6408838071710725e-4,80270/3155/2071/373156/51/3416/60386/30/347734/5825/706/9961,12,ATRT_vs_MB,Up,Hallmark
HALLMARK_APOPTOSIS,Genes mediating programmed cell death (apoptosis) by activation of caspases.,13/103,84/2091,0.15476190476190477,3.141816920943135,4.5596537804346156,1.5744220003661852e-4,0.0023091522672037384,0.0016020434389691007,3875/3669/7078/2232/6890/3315/5611/706/3958/4000/1191/3606/3482,13,ATRT_vs_MB,Up,Hallmark
HALLMARK_INTERFERON_GAMMA_RESPONSE,Genes up-regulated in response to IFNG [GeneID=3458].,13/103,87/2091,0.14942528735632185,3.0334784064278546,4.40893704973803,2.272409601862752e-4,0.002499650562049027,0.0017342073277373633,57674/3669/6772/6890/6774/6892/27348/3383/7706/684/7453/4940/9961,13,ATRT_vs_MB,Up,Hallmark
HALLMARK_FATTY_ACID_METABOLISM,Genes encoding proteins involved in metabolism of fatty acids.,14/103,109/2091,0.12844036697247707,2.6074641489266948,3.922710744064545,6.5275050565522e-4,0.0057442044497659365,0.003985213613473974,3032/3155/26275/51/37/1371/1374/30/3939/84263/8801/1666/2110/6281,14,ATRT_vs_MB,Up,Hallmark
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",15/103,124/2091,0.12096774193548387,2.455762605699969,3.803494454821094,7.928651958900138e-4,0.005814344769860101,0.004033875558036912,5351/4015/7078/4232/11167/8985/79709/2201/1490/6696/64175/3678/871/5054/2247,15,ATRT_vs_MB,Up,Hallmark
HALLMARK_GLYCOLYSIS,Genes encoding proteins involved in glycolysis and gluconeogenesis.,14/103,117/2091,0.11965811965811966,2.429176001991536,3.6206674460223534,0.0013417947223317733,0.00843413825465686,0.0058514356312212665,2683/5351/9123/30001/3669/5033/26229/11285/2584/3939/7360/26355/2997/3099,14,ATRT_vs_MB,Up,Hallmark
HALLMARK_INFLAMMATORY_RESPONSE,Genes defining inflammatory response.,8/103,48/2091,0.16666666666666666,3.383495145631068,3.801756284288931,0.0019264676549834783,0.01059557210240913,0.007350994999279062,3949/6892/3383/684/5025/3678/3606/5054,8,ATRT_vs_MB,Up,Hallmark
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Genes involved in cholesterol homeostasis.,7/103,45/2091,0.15555555555555556,3.1579288025889967,3.330229160509036,0.005537053140790234,0.02436303381947703,0.016902583271885974,3949/6713/6282/1717/3958/6319/1191,7,ATRT_vs_MB,Up,Hallmark
HALLMARK_TNFA_SIGNALING_VIA_NFKB,Genes regulated by NF-kB in response to TNF [GeneID=7124].,7/103,45/2091,0.15555555555555556,3.1579288025889967,3.330229160509036,0.005537053140790234,0.02436303381947703,0.016902583271885974,2683/3949/6890/3383/6515/3606/5054,7,ATRT_vs_MB,Up,Hallmark
HALLMARK_INTERFERON_ALPHA_RESPONSE,Genes up-regulated in response to alpha interferon proteins.,7/103,49/2091,0.14285714285714285,2.900138696255201,3.062943875221971,0.00891285822763814,0.03336418763745838,0.023147402906370646,3669/6890/10544/4343/7706/684/7453,7,ATRT_vs_MB,Up,Hallmark
HALLMARK_IL2_STAT5_SIGNALING,Genes up-regulated by STAT5 in response to IL2 stimulation.,9/103,74/2091,0.12162162162162163,2.469036998163212,2.928054863440515,0.009099323901125013,0.03336418763745838,0.023147402906370646,123/5033/9144/6515/6696/307/5025/3099/3482,9,ATRT_vs_MB,Up,Hallmark
