category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,14/227,45/3259,0.3111111111111111,4.466568771414587,6.406296146971675,1.0169085991892732e-6,2.633252283546422e-4,2.1247588570702836e-4,55970/2767/2775/2776/2771/2783/5594/2787/1385/59345/2773/818/207/2782,14,ATRT_vs_EPN_like,Down,KEGG
Human Diseases,Substance dependence,hsa05034,Alcoholism,14/227,47/3259,0.2978723404255319,4.276502015184178,6.19006871621953,1.8350190129243359e-6,2.633252283546422e-4,2.1247588570702836e-4,55970/2775/4129/2771/2783/5594/2787/1385/3014/9555/59345/3020/2773/2782,14,ATRT_vs_EPN_like,Down,KEGG
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,16/227,65/3259,0.24615384615384617,3.533988478481871,5.645699108891657,5.417855299301386e-6,5.183081569664994e-4,4.1822040906887894e-4,2767/2776/2771/481/493/10672/5530/5594/476/1385/91807/572/2773/490/477/207,16,ATRT_vs_EPN_like,Down,KEGG
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,12/227,40/3259,0.3,4.307048458149779,5.757499860282636,9.491375045115138e-6,6.810061594870112e-4,5.49500660506666e-4,55970/2775/2776/2771/2783/5594/2787/1385/59345/2773/818/2782,12,ATRT_vs_EPN_like,Down,KEGG
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,11/227,35/3259,0.3142857142857143,4.5121460037759595,5.715219799486928,1.3778121209040384e-5,7.908641573989181e-4,6.381445612608178e-4,55970/2775/4129/2776/2771/2783/5594/2787/59345/2773/2782,11,ATRT_vs_EPN_like,Down,KEGG
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,15/227,63/3259,0.23809523809523808,3.4182924271029997,5.302730741775801,1.6662234577231812e-5,7.970102206109217e-4,6.431037907001753e-4,55970/2775/4129/2776/2771/2783/5530/5516/2787/1385/59345/2773/818/207/2782,15,ATRT_vs_EPN_like,Down,KEGG
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,14/227,59/3259,0.23728813559322035,3.4067049951467183,5.103848166057726,3.350621116034573e-5,0.0013737546575741748,0.0011084761586881294,2776/2771/481/493/5594/5516/476/1385/781/2773/490/818/477/207,14,ATRT_vs_EPN_like,Down,KEGG
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,12/227,46/3259,0.2608695652173913,3.7452595288258954,5.1301590630262135,4.536521151317368e-5,0.0016274769630351058,0.0013132034911708171,55970/2775/2776/2771/2783/5530/5594/2787/59345/2773/2782/6507,12,ATRT_vs_EPN_like,Down,KEGG
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,11/227,40/3259,0.275,3.948127753303965,5.132626673768013,5.585195342684864e-5,0.0017810567370561733,0.001437126287006632,55970/2767/2775/2776/2771/2783/2787/59345/2773/2782/6507,11,ATRT_vs_EPN_like,Down,KEGG
Environmental Information Processing,Signaling molecules and interaction,hsa04081,Hormone signaling,11/227,43/3259,0.2558139534883721,3.6726769798176417,4.826658261722496,1.1523222951353251e-4,0.003307164987038383,0.002668535841366016,55970/2767/2775/2776/2771/2783/10672/2787/59345/2773/2782,11,ATRT_vs_EPN_like,Down,KEGG
