category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,24/577,46/3259,0.5217391304347826,2.946876648330947,6.167313835758562,9.246210491268282e-8,1.6681055541348378e-5,1.0247369334715093e-5,2775/55970/2776/5594/5578/5595/59345/2771/2783/5530/5567/2782/3709/2752/6507/6506/23154/5534/2773/2898/2893/156/2890/23236,24,ATRT_vs_Glial,Down,KEGG
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,48/577,131/3259,0.366412213740458,2.0695622263087565,5.79485257913331,1.0524325262680364e-7,1.6681055541348378e-5,1.0247369334715093e-5,55970/81553/5594/23396/26999/5595/10787/9459/81873/10672/5962/5879/10552/8976/5295/5305/10152/1399/3685/1073/4478/8396/23191/5217/3696/208/2246/5290/3675/3679/3845/207/55740/85477/23365/51571/10163/54776/2768/5881/5829/79837/7074/28964/10458/79784/22800/22808,48,ATRT_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,54/577,159/3259,0.33962264150943394,1.9182498937248615,5.50570150056781,3.0560818673092393e-07,3.229259839790096e-5,1.9837724401831905e-5,5594/10006/26999/388/5595/10787/5869/1783/4646/81873/55207/5879/10552/8976/55823/5868/65082/5898/84516/2597/127829/64601/7879/391/347733/89953/27072/1639/11258/23191/51164/7280/5217/208/1499/63916/5290/1785/10640/10671/10120/207/112574/83658/6500/6990/7277/10540/79861/5420/5289/10382/26084/10381,54,ATRT_vs_Glial,Down,KEGG
Cellular Processes,Transport and catabolism,hsa04140,Autophagy - animal,36/577,94/3259,0.3829787234042553,2.163132858881227,5.306894503201936,1.3101579275296392e-6,7.306279690874058e-5,4.488333862897894e-5,5594/5595/7248/10533/5516/55823/5295/51100/84557/5567/65082/7249/10652/64422/64601/7879/2475/27072/10670/5728/208/23001/5290/56270/64121/3845/207/11345/8660/11152/6009/9342/8417/5289/22800/22808,36,ATRT_vs_Glial,Down,KEGG
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,28/577,65/3259,0.4307692307692308,2.4330622583655512,5.41238074889734,1.3205630892674275e-6,7.306279690874058e-5,4.488333862897894e-5,5594/23396/5578/5781/5595/56894/7248/10672/5295/5898/7249/55326/2475/208/5290/1785/26052/1608/3845/207/6009/5335/8613/2768/22800/23236/183/22808,28,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,22/577,45/3259,0.4888888888888889,2.761332563065665,5.517708395347478,1.3828920550550267e-6,7.306279690874058e-5,4.488333862897894e-5,2775/55970/2776/5594/5578/5595/59345/2771/2767/2783/818/817/5295/5567/2782/3709/208/5290/3845/207/2773/23236,22,ATRT_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,38/577,103/3259,0.36893203883495146,2.0837946526223687,5.1835963906048,1.961627006908824e-6,8.883368017001388e-5,5.45715783876891e-5,2775/55970/2776/5594/5578/5595/7248/59345/2771/2767/10672/2783/5879/5530/5295/5567/7249/1399/3685/2782/2475/3709/208/1499/5290/3845/207/3716/23365/355/5534/6009/2773/2768/5881/5829/3105/23236,38,ATRT_vs_Glial,Down,KEGG
Environmental Information Processing,Signal transduction,hsa04070,Phosphatidylinositol signaling system,24/577,53/3259,0.4528301886792453,2.5576665249664825,5.302305204201343,2.611703765451483e-6,1.03488761706015e-4,6.357436797480583e-5,23396/5578/8776/5295/5305/5333/3612/3709/8396/5728/8867/5290/3636/1608/3705/5335/8760/113026/5297/79837/4534/5289/8898/23236,24,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,18/577,35/3259,0.5142857142857142,2.9047784104976477,5.254301932131504,5.163169251626553e-6,1.8185829475173525e-4,1.1171769725741665e-4,2775/4129/55970/2776/5594/5578/5595/59345/2771/2783/5567/4128/2782/3709/3845/2773/1573/23236,18,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,25/577,59/3259,0.423728813559322,2.393296712980642,5.008742313970588,7.075083851285665e-6,2.0987534527779742e-4,1.2892890212981082e-4,2776/5594/5578/5595/2771/5516/818/493/817/5567/5520/490/482/208/477/207/476/481/5529/5526/2773/781/23236/183/7168,25,ATRT_vs_Glial,Down,KEGG
