category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Genetic Information Processing,Chromosome,hsa03082,ATP-dependent chromatin remodeling,38/354,55/3259,0.6909090909090909,6.360657421674371,13.994495530185919,4.520493587621844e-25,1.2657382045341165e-22,1.2086372329009984e-22,53615/57459/57634/51773/9031/55929/51412/8467/8089/6599/57492/10445/125476/3066/6605/11177/8099/10902/2186/6598/6597/9112/6601/9555/317772/55257/1108/6602/55506/55193/8295/9219/196528/5928/8289/54815/1107/5977,38,ATRT_vs_MB,Down,KEGG
Genetic Information Processing,Transcription,hsa03040,Spliceosome,41/354,116/3259,0.35344827586206895,3.253920709136957,8.62778949909159,7.374699580126506e-13,1.0324579412177107e-10,9.858808912379644e-11,10569/1659/55696/10084/51729/11325/29896/10929/10189/22938/10285/9716/10465/4686/22916/6429/9785/10523/6426/6635/24148/9092/51691/9416/23020/6428/6432/27316/10713/22985/1655/8559/4670/6427/988/2521/220988/9129/11338/10286/3178,41,ATRT_vs_MB,Down,KEGG
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,24/354,68/3259,0.35294117647058826,3.2492522432701896,6.542343146670527,5.700787169491807e-8,5.320734691525687e-6,5.0807015475470835e-6,10274/546/3066/5925/5885/23047/5529/1027/8243/1021/25836/23383/4176/4174/4173/7531/23063/4171/4175/9126/4085/5526/4089/7532,24,ATRT_vs_MB,Down,KEGG
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,15/354,47/3259,0.3191489361702128,2.9381536242336823,4.671468889656279,7.411318719441576e-5,0.005187923103609103,0.004953881459837263,7468/4221/9611/3066/4297/25942/3020/1027/440686/5546/79058/2130/1655/2521/6935,15,ATRT_vs_MB,Down,KEGG
Genetic Information Processing,Chromosome,hsa03083,Polycomb repressive complex,9/354,23/3259,0.391304347826087,3.602431834929993,4.371627277006739,3.881044895245288e-4,0.02173385141337361,0.02075337691352217,6045/1912/84733/57332/3066/11335/3054/6015/5928,9,ATRT_vs_MB,Down,KEGG
Genetic Information Processing,Replication and repair,hsa03030,DNA replication,9/354,25/3259,0.36,3.314237288135593,4.054263635834068,7.959674306864199e-4,0.032779830777537704,0.03130104141915255,79621/10535/3978/4176/4174/2237/4173/4171/4175,9,ATRT_vs_MB,Down,KEGG
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,17/354,70/3259,0.24285714285714285,2.235794995964487,3.648146711725562,9.671171355534833e-4,0.032779830777537704,0.03130104141915255,51412/6599/57492/6605/6598/6597/5925/6601/6602/5728/55193/196528/8289/5335/1021/207/4089,17,ATRT_vs_MB,Down,KEGG
Genetic Information Processing,Information processing in viruses,hsa03250,Viral life cycle - HIV-1,11/354,36/3259,0.3055555555555556,2.8130100439422474,3.8179075720583664,0.0010362646766325727,0.032779830777537704,0.03130104141915255,4131/11168/6598/9146/7251/7936/6829/79869/7469/79643/5300,11,ATRT_vs_MB,Down,KEGG
Human Diseases,Substance dependence,hsa05034,Alcoholism,13/354,47/3259,0.2765957446808511,2.546399807669191,3.7272373573345243,0.0010536374178494261,0.032779830777537704,0.03130104141915255,1385/3066/8359/9555/317772/3020/5567/55506/440686/2775/8841/10013/2786,13,ATRT_vs_MB,Down,KEGG
Environmental Information Processing,Signal transduction,hsa04330,Notch signaling pathway,7/354,17/3259,0.4117647058823529,3.7907942838152207,4.026705638558076,0.0012428640375006295,0.03480019305001763,0.0332302595289642,23013/3066/7090/22938/9612/1488/1487,7,ATRT_vs_MB,Down,KEGG
