category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Metabolism,Glycan biosynthesis and metabolism,hsa00514,Other types of O-glycan biosynthesis,8/143,17/3259,0.47058823529411764,10.724804607157548,8.610803403431829,1.9682980747796718e-7,4.389304706758668e-5,4.040190785074063e-5,285203/2683/2590/8693/55568/283464/8985/79709,8,ATRT_vs_MB,Up,KEGG
Metabolism,Global and overview maps,hsa01212,Fatty acid metabolism,9/143,41/3259,0.21951219512195122,5.002728978338735,5.524588410949673,4.938963047234367e-5,0.005506943797666319,0.005068935759003692,3030/3032/51/37/1374/30/64834/6319/8310,9,ATRT_vs_MB,Up,KEGG
Metabolism,Carbohydrate metabolism,hsa00640,Propanoate metabolism,7/143,27/3259,0.25925925925925924,5.908572908572908,5.48587978361631,1.146960642956695e-4,0.008525740779311432,0.007847625451808966,3030/26275/51/3939/8801/55862/8310,7,ATRT_vs_MB,Up,KEGG
Organismal Systems,Development and regeneration,hsa04382,Cornified envelope formation,10/143,59/3259,0.1694915254237288,3.8627474220694555,4.753121140994152,1.9113691214666694e-4,0.010655882852176682,0.009808341544368436,3856/3875/6284/9517/6282/6275/6277/64834/10558/6281,10,ATRT_vs_MB,Up,KEGG
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,7/143,32/3259,0.21875,4.985358391608392,4.852747818095614,3.613768677360306e-4,0.015197616105552429,0.01398883710447356,3030/3032/51/37/1374/30/8310,7,ATRT_vs_MB,Up,KEGG
Metabolism,Lipid metabolism,hsa01040,Biosynthesis of unsaturated fatty acids,5/143,16/3259,0.3125,7.121940559440559,5.257998522573346,4.4771600565654096e-4,0.015197616105552429,0.01398883710447356,51/30/64834/6319/8310,5,ATRT_vs_MB,Up,KEGG
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,7/143,34/3259,0.20588235294117646,4.692102015631427,4.635463072080096,5.364946666508244e-4,0.015197616105552429,0.01398883710447356,123/5360/51/1374/30/6319/8310,7,ATRT_vs_MB,Up,KEGG
Metabolism,Lipid metabolism,hsa00600,Sphingolipid metabolism,6/143,26/3259,0.23076923076923078,5.259279182356106,4.670514917495829,7.142997824989167e-4,0.015197616105552429,0.01398883710447356,4758/3074/9517/29956/10558/2720,6,ATRT_vs_MB,Up,KEGG
Metabolism,Glycan biosynthesis and metabolism,hsa00512,Mucin type O-glycan biosynthesis,3/143,5/3259,0.6,13.674125874125874,6.074899227822449,7.754377519602677e-4,0.015197616105552429,0.01398883710447356,2590/8693/55568,3,ATRT_vs_MB,Up,KEGG
Metabolism,Glycan biosynthesis and metabolism,hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,3/143,5/3259,0.6,13.674125874125874,6.074899227822449,7.754377519602677e-4,0.015197616105552429,0.01398883710447356,113189/26229/11285,3,ATRT_vs_MB,Up,KEGG
Genetic Information Processing,Information processing in viruses,hsa03266,Virion - Herpesvirus,3/143,5/3259,0.6,13.674125874125874,6.074899227822449,7.754377519602677e-4,0.015197616105552429,0.01398883710447356,3416/3678/3482,3,ATRT_vs_MB,Up,KEGG
Metabolism,Carbohydrate metabolism,hsa00052,Galactose metabolism,5/143,18/3259,0.2777777777777778,6.330613830613831,4.857566927526359,8.178089384153774e-4,0.015197616105552429,0.01398883710447356,2683/2584/7360/2720/3099,5,ATRT_vs_MB,Up,KEGG
Cellular Processes,Transport and catabolism,hsa04146,Peroxisome,7/143,40/3259,0.175,3.988286713286713,4.073208162253923,0.001490658008132351,0.023909764742222298,0.022008044015734474,3155/26063/373156/51/30/5825/8310,7,ATRT_vs_MB,Up,KEGG
Metabolism,Lipid metabolism,hsa00592,alpha-Linolenic acid metabolism,3/143,6/3259,0.5,11.395104895104895,5.4589272154832145,0.0015010614636372743,0.023909764742222298,0.022008044015734474,51/30/8310,3,ATRT_vs_MB,Up,KEGG
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,4/143,15/3259,0.26666666666666666,6.077389277389277,4.221730465300984,0.003323328024725172,0.04940680996758089,0.04547712033834445,6772/6778/6774/3606,4,ATRT_vs_MB,Up,KEGG
