category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,30/292,88/3259,0.3409090909090909,3.8048723536737237,8.36689867167273,2.2826718749286548e-11,6.642575156042385e-9,4.541315624858061e-9,3685/11151/51606/6891/6890/529/523/5868/526/23673/3106/2214/347733/7280/51382/528/534/3684/3115/8411/929/715/3105/3107/3122/1536/718/3689/7277/3123,30,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,17/292,31/3259,0.5483870967741935,6.120525850640742,8.985388087267623,8.257180254056477e-11,1.2014197269652174e-8,8.213721410614074e-9,3383/2214/721/3684/3115/3426/720/715/3122/718/3689/629/713/714/716/5340/3123,17,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,12/292,25/3259,0.48,5.357260273972603,6.859961711135695,3.8492675868899776e-7,3.733789559283278e-5,2.5526721892007224e-5,3383/51606/529/523/526/51382/528/534/3115/3122/3689/3123,12,EPN_like_vs_Glial,Down,KEGG
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,17/292,51/3259,0.3333333333333333,3.720319634703196,6.141805188568706,8.661936854840591e-7,6.301559061896531e-5,4.3081738567496633e-5,721/3684/3426/720/715/2161/718/5265/3689/3818/3827/629/713/710/714/716/5340,17,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,14/292,38/3259,0.3684210526315789,4.111932227829848,6.052499451199347,2.113554271301837e-6,1.230088585897669e-4,8.40972120581152e-5,5595/721/3684/720/929/715/5594/718/29108/3689/713/710/714/716,14,EPN_like_vs_Glial,Down,KEGG
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,14/292,40/3259,0.35,3.906335616438356,5.801275146984069,4.296610155474619e-6,2.0838559254051902e-4,1.4246654726047422e-4,5295/3383/5595/5578/5781/3106/2214/5290/6452/3105/5594/2534/3107/3689,14,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,20/292,78/3259,0.2564102564102564,2.8617843343870737,5.220390985232233,9.451052885917457e-6,3.787658652256955e-4,2.589500760631451e-4,817/11151/5595/51606/5868/2214/3684/3115/208/972/8411/929/6772/5594/3122/718/3689/816/818/3123,20,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,7/292,11/3259,0.6363636363636364,7.102428393524284,6.35915216188958,1.0412807291428054e-5,3.787658652256955e-4,2.589500760631451e-4,3106/3115/3105/3107/3122/1363/3123,7,EPN_like_vs_Glial,Down,KEGG
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,17/292,61/3259,0.2786885245901639,3.1104311699977543,5.219213622638933,1.3673859583476131e-5,4.4212145986572825e-4,3.022642644768408e-4,3685/3383/4685/3106/3696/3684/3115/54413/3105/3107/3122/1462/3689/5788/214/58494/3123,17,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,6/292,9/3259,0.6666666666666666,7.440639269406392,6.068994479323159,3.278624779786937e-5,7.950665090983322e-4,5.435614766488869e-4,3106/3115/3105/3107/3122/3123,6,EPN_like_vs_Glial,Down,KEGG
