category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Genetic Information Processing,Translation,hsa03008,Ribosome biogenesis in eukaryotes,34/374,50/3259,0.68,5.925454545454547,12.635280613764436,2.37825950362262e-21,6.492648444889752e-19,6.458852125627747e-19,23195/10482/55131/9790/345630/55651/51096/134430/55272/84916/55127/4809/5822/23160/55226/23560/26354/10813/6949/55813/10607/51602/10528/10199/1736/10436/54433/84135/10556/55505/2091/10799/55781/10885,34,MB_vs_EPN_like,Up,KEGG
Genetic Information Processing,Chromosome,hsa03082,ATP-dependent chromatin remodeling,32/374,55/3259,0.5818181818181818,5.069907632474477,10.95867573161797,3.7331764392209263e-17,5.095785839536565e-15,5.069260638521047e-15,125476/51412/9031/6599/8467/2186/57634/8089/57492/10445/11177/53615/6597/55929/6602/8295/10902/3066/57459/51773/55257/317772/1107/9219/6598/5928/51377/1108/84295/55506/6605/55193,32,MB_vs_EPN_like,Up,KEGG
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,32/374,68/3259,0.47058823529411764,4.10066058508965,9.302158072264573,1.2277957273304377e-13,1.1172941118706982e-11,1.1114782373728172e-11,4174/4176/4175/4173/4085/5925/4171/4172/9319/23244/4999/3066/23595/10274/23063/5001/546/23047/25836/1387/9184/8243/4089/5529/23383/1017/5111/7532/9126/1022/2932/1021,32,MB_vs_EPN_like,Up,KEGG
Genetic Information Processing,Replication and repair,hsa03030,DNA replication,17/374,25/3259,0.68,5.925454545454547,8.899892162051978,3.364102435142061e-11,2.2959999119844565e-9,2.2840484954385573e-9,79621/4174/4176/4175/4173/3978/4171/4172/2237/5422/5558/5984/10535/5982/5983/5985/5111,17,MB_vs_EPN_like,Up,KEGG
Genetic Information Processing,Replication and repair,hsa03410,Base excision repair,14/374,25/3259,0.56,4.879786096256685,7.010455085892288,7.409580395196563e-8,4.045630895777324e-6,4.024572088338343e-6,3978/3980/2237/142/3146/7515/5984/5982/5983/328/5985/10038/5111/4913,14,MB_vs_EPN_like,Up,KEGG
Genetic Information Processing,Replication and repair,hsa03430,Mismatch repair,10/374,19/3259,0.5263157894736842,4.586265128060793,5.643975514530066,1.2535207087987988e-5,5.703519225034535e-4,5.673830576668247e-4,3978/4292/2956/4436/5984/5982/5983/5985/5111/5395,10,MB_vs_EPN_like,Up,KEGG
Genetic Information Processing,Chromosome,hsa03083,Polycomb repressive complex,11/374,23/3259,0.4782608695652174,4.167519181585678,5.488041002170163,1.4793814540037713e-5,5.769587670614708e-4,5.739555114781549e-4,84733/1912/8726/3066/11335/54881/6045/57332/5928/3054/1387,11,MB_vs_EPN_like,Up,KEGG
Genetic Information Processing,"Folding, sorting and degradation",hsa03018,RNA degradation,17/374,50/3259,0.34,2.9627272727272733,5.0349890817861604,1.9811967862685607e-5,6.760834033141464e-4,6.725641721806431e-4,55802/5394/80153/22894/51010/5393/23404/11340/23517/5073/54512/51691/29883/118460/51690/51013/2026,17,MB_vs_EPN_like,Up,KEGG
Genetic Information Processing,Transcription,hsa03040,Spliceosome,29/374,116/3259,0.25,2.178475935828877,4.652816824173684,2.640282156762128e-5,8.008855875511788e-4,7.967167209878703e-4,1659/10569/10929/9716/10285/8559/8449/57461/55696/56949/51340/9984/4686/8563/80145/9939/55660/4809/22916/10523/10915/10189/51691/6426/2521/3178/51690/10286/29896,29,MB_vs_EPN_like,Up,KEGG
Genetic Information Processing,Transcription,hsa03022,Basal transcription factors,8/374,14/3259,0.5714285714285714,4.979373567608862,5.371676009570016,4.4971330607070976e-5,0.0012277173255730376,0.0012213266628025592,6878/6877/2969/2959/6908/2963/9519/1022,8,MB_vs_EPN_like,Up,KEGG
Genetic Information Processing,Translation,hsa03015,mRNA surveillance pathway,17/374,65/3259,0.26153846153846155,2.2790209790209794,3.7497759799369508,7.326946088816715e-4,0.01818414802042694,0.018089493692963757,10482/10914/10978/4686/9939/22916/10189/5529/8731/8732/8189/80335/2521/65109/11052/26528/23283,17,MB_vs_EPN_like,Up,KEGG
