category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,26/545,55/3259,0.4727272727272727,2.8268223519599665,6.122097999001045,1.0534038607594118e-7,3.328756199999741e-5,2.2509577235174797e-5,230/2597/29968/5091/5315/5214/5213/2023/5223/26227/65263/2752/3417/435/113675/3419/3421/7086/95/84706/5723/10993/2875/5224/226/586,26,MB_vs_Glial,Down,KEGG
Metabolism,Amino acid metabolism,hsa00260,"Glycine, serine and threonine metabolism",16/545,26/3259,0.6153846153846154,3.6798870853916728,6.1470845541462875,3.1273321271171623e-7,4.9411847608451165e-5,3.3413074831830735e-5,4129/29968/2628/2593/5223/26227/55349/9380/113675/4128/5723/10993/501/2653/51268/5224,16,MB_vs_Glial,Down,KEGG
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,11/545,15/3259,0.7333333333333333,4.385198776758409,5.887870528342456,1.8684130547850254e-6,1.7337356135056054e-4,1.1723795121307058e-4,873/2946/9446/2952/373156/2947/2944/2948/4257/2052/1545,11,MB_vs_Glial,Down,KEGG
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,18/545,35/3259,0.5142857142857142,3.075334207077326,5.530869602676397,2.1946020424121587e-6,1.7337356135056054e-4,1.1723795121307058e-4,5578/5594/59345/5595/4129/55970/2771/2783/3709/2776/5604/2775/2782/4128/2787/3845/23236/10681,18,MB_vs_Glial,Down,KEGG
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,25/545,61/3259,0.4098360655737705,2.4507444728530605,5.124901018278749,5.0100462215246795e-6,2.777490011454666e-4,1.8781827858937284e-4,3685/3383/4897/3106/4685/3105/214/58494/1000/1462/3696/54413/57863/8506/94030/23114/3689/3684/3107/3122/3123/3115/3655/3119/83692,25,MB_vs_Glial,Down,KEGG
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,19/545,40/3259,0.475,2.840412844036697,5.247514318466173,5.273715211622784e-6,2.777490011454666e-4,1.8781827858937284e-4,5578/59345/55970/2771/6507/2783/2776/6506/2775/2782/2787/64805/79627/23236/2915/6538/6536/10681/6529,19,MB_vs_Glial,Down,KEGG
Human Diseases,Cardiovascular disease,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,18/545,38/3259,0.47368421052631576,2.832544664413327,5.0911966689268855,9.860940420436708e-6,4.1373225549192345e-4,2.7977231134197354e-4,3685/6645/1756/3679/1837/1605/1499/1496/8082/1000/3696/3675/6641/3693/6640/2697/3655/3673,18,MB_vs_Glial,Down,KEGG
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,20/545,45/3259,0.4444444444444444,2.65769622833843,5.017150623427188,1.0550236491794879e-05,4.1373225549192345e-4,2.7977231134197354e-4,5578/5594/59345/5595/817/55970/2771/2783/3709/2776/5295/818/5604/2775/2782/2787/3845/23236/10681/816,20,MB_vs_Glial,Down,KEGG
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,32/545,91/3259,0.3516483516483517,2.102792620223813,4.780692721398172,1.1924505503472851e-5,4.1373225549192345e-4,2.7977231134197354e-4,230/2597/8801/29968/4199/2746/4329/35/5091/5315/26275/8802/5214/2539/5213/2023/5223/26227/3417/113675/3419/3421/7086/84706/5723/9104/10993/2653/10873/2875/5224/226,32,MB_vs_Glial,Down,KEGG
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,16/545,32/3259,0.5,2.989908256880734,5.068476415576566,1.3092792895314033e-5,4.1373225549192345e-4,2.7977231134197354e-4,6645/3383/1756/1837/1605/3106/3105/8082/6641/3689/3107/6640/3122/3123/3115/3119,16,MB_vs_Glial,Down,KEGG
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,12/545,20/3259,0.6,3.5878899082568805,5.201447151978521,1.4681539963721283e-5,4.2176060259417505e-4,2.8520120695075797e-4,873/2946/9446/2952/373156/2947/874/2944/2948/4257/2052/1545,12,MB_vs_Glial,Down,KEGG
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,18/545,40/3259,0.45,2.6909174311926605,4.821262501116625,2.3884805475834256e-5,6.289665441969687e-4,4.253171501398556e-4,5578/5594/59345/5595/817/55970/2771/2783/2776/818/2775/2782/2787/23236/2977/117/10681/816,18,MB_vs_Glial,Down,KEGG
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,13/545,24/3259,0.5416666666666666,3.2390672782874614,4.932924756042316,2.9000267714298365e-5,7.049295844398679e-4,4.7668456242935776e-4,960/966/928/3675/3684/3122/929/3123/3115/3655/3119/952/3673,13,MB_vs_Glial,Down,KEGG
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,10/545,16/3259,0.625,3.7373853211009176,4.918031663746369,4.8466890194197246e-5,0.001093966950097595,7.397577977009054e-4,4129/2946/9446/2952/373156/2947/2944/2948/4128/4257,10,MB_vs_Glial,Down,KEGG
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,21/545,54/3259,0.3888888888888889,2.3254841997961266,4.400745845112747,7.349463342452793e-5,0.0015482869441433883,0.001046976181416082,817/5257/3945/5834/5836/2997/5315/5214/3709/2776/818/5213/5223/5562/1374/5571/5255/5260/23236/816/5224,21,MB_vs_Glial,Down,KEGG
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,7/545,9/3259,0.7777777777777778,4.650968399592253,4.914241755011197,9.32917913804117e-5,0.0016377892264561166,0.0011074990438727237,3106/3105/3107/3122/3123/3115/3119,7,MB_vs_Glial,Down,KEGG
Human Diseases,Immune disease,hsa05330,Allograft rejection,7/545,9/3259,0.7777777777777778,4.650968399592253,4.914241755011197,9.32917913804117e-5,0.0016377892264561166,0.0011074990438727237,3106/3105/3107/3122/3123/3115/3119,7,MB_vs_Glial,Down,KEGG
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,7/545,9/3259,0.7777777777777778,4.650968399592253,4.914241755011197,9.32917913804117e-5,0.0016377892264561166,0.0011074990438727237,3106/3105/3107/3122/3123/3115/3119,7,MB_vs_Glial,Down,KEGG
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,39/545,131/3259,0.29770992366412213,1.7802507178373836,4.084184210354662,1.0828336636749567e-4,0.0018009233564278229,0.0012178129292300067,5594/5595/3685/10163/9459/55970/5962/10787/23191/81553/4478/2246/998/81873/3679/1793/26999/10552/2247/5295/5604/1073/3696/10672/3675/79837/85477/22800/2768/22808/3689/3845/23396/3684/7410/3693/79784/3655/3673,39,MB_vs_Glial,Down,KEGG
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,14/545,30/3259,0.4666666666666667,2.790581039755352,4.414580654549555,1.2080371646511769e-4,0.0019086987201488595,0.0012906923390746787,4129/8659/223/112849/217/2628/55748/51056/2593/65263/1152/4128/501/5625,14,MB_vs_Glial,Down,KEGG
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,14/545,31/3259,0.45161290322580644,2.700562296537437,4.262609017792189,1.8700190633625584e-4,0.0026860273819207655,0.0018163343055626765,5578/59345/18/55970/2771/2783/2752/2775/2782/11345/2787/6538/10681/6529,14,MB_vs_Glial,Down,KEGG
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,14/545,31/3259,0.45161290322580644,2.700562296537437,4.262609017792189,1.8700190633625584e-4,0.0026860273819207655,0.0018163343055626765,5578/482/817/2771/495/477/476/3709/2776/818/23236/483/3766/816,14,MB_vs_Glial,Down,KEGG
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,18/545,46/3259,0.391304347826087,2.3399282010370963,4.100850624630449,2.1965179984289468e-4,0.0029253172611663648,0.0019781459161118324,5578/5594/59345/5595/55970/2771/6507/2783/3709/2776/2752/6506/2775/2782/2787/23236/2915/10681,18,MB_vs_Glial,Down,KEGG
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,37/545,126/3259,0.29365079365079366,1.7559778651521771,3.877778730595262,2.2217599451896443e-4,0.0029253172611663648,0.0019781459161118324,482/5339/3685/287/6711/6645/477/476/6709/1756/3679/7431/83660/1837/1605/1465/7111/29767/2273/2023/10611/8082/1462/3696/3675/8572/6641/483/25802/23500/3693/79784/375790/6640/2318/3655/3673,37,MB_vs_Glial,Down,KEGG
Metabolism,Amino acid metabolism,hsa00280,"Valine, leucine and isoleucine degradation",16/545,39/3259,0.41025641025641024,2.4532580569277815,4.090872805517825,2.586931418033302e-4,0.003235093713115361,0.002187621664764885,18/30/3032/3030/3712/223/4329/35/217/26275/56922/3155/11112/5019/501/586,16,MB_vs_Glial,Down,KEGG
Metabolism,Amino acid metabolism,hsa00340,Histidine metabolism,7/545,10/3259,0.7,4.185871559633027,4.520872684790761,2.6617859664873226e-4,0.003235093713115361,0.002187621664764885,4129/223/3176/217/55748/4128/501,7,MB_vs_Glial,Down,KEGG
Environmental Information Processing,Signaling molecules and interaction,hsa04517,IgSF CAM signaling,46/545,169/3259,0.27218934911242604,1.6276423646924705,3.7544405515987123,2.8320769237819357e-4,0.0033145789182040435,0.0022413708207708887,5578/5594/5595/2037/5803/287/6711/5962/10580/4478/92154/6709/3383/998/81873/4897/199731/5906/10552/7082/5295/5781/5604/4685/1499/7189/2036/58494/1000/8573/54413/57863/8506/3556/94030/23114/3689/9414/3684/51678/57524/7410/79784/253559/7277/4155,46,MB_vs_Glial,Down,KEGG
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,22/545,63/3259,0.3492063492063492,2.088189893694481,3.9078730512188162,3.1539909615826473e-4,0.0035595040852147023,0.002406993102260441,5578/59345/4129/817/1312/55970/2771/2783/5520/3709/2776/818/5525/5516/2775/2782/4128/5521/2787/23236/10681/816,22,MB_vs_Glial,Down,KEGG
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,15/545,36/3259,0.4166666666666667,2.4915902140672785,4.032176113027795,3.29118129777209e-4,0.003586252724468898,0.002425080956253119,2946/9446/2539/2937/51056/2952/373156/2947/50484/3417/2944/9588/2948/4257/26873,15,MB_vs_Glial,Down,KEGG
Human Diseases,Cardiovascular disease,hsa05410,Hypertrophic cardiomyopathy,16/545,41/3259,0.3902439024390244,2.333586932199597,3.850251592273817,5.088332880514996e-4,0.005327116431727981,0.003602280598403665,3685/6645/1756/3679/1837/1605/5562/5571/8082/3696/3675/6641/3693/6640/3655/3673,16,MB_vs_Glial,Down,KEGG
Organismal Systems,Endocrine system,hsa04916,Melanogenesis,13/545,30/3259,0.43333333333333335,2.5912538226299695,3.9231501875056627,5.225968651378716e-4,0.005327116431727981,0.003602280598403665,5578/5594/5595/817/2771/2776/818/5604/1499/2775/3845/23236/816,13,MB_vs_Glial,Down,KEGG
Organismal Systems,Excretory system,hsa04960,Aldosterone-regulated sodium reabsorption,10/545,20/3259,0.5,2.989908256880734,3.9995529185484306,5.886330408357163e-4,0.005755342452725097,0.0038918538237947852,5578/482/5594/5595/477/476/5295/9351/3845/483,10,MB_vs_Glial,Down,KEGG
Organismal Systems,Nervous system,hsa04730,Long-term depression,14/545,34/3259,0.4117647058823529,2.4622773880194275,3.840371453588073,6.010325979111652e-4,0.005755342452725097,0.0038918538237947852,5578/5594/5595/2771/3709/2776/5604/5516/10672/2775/2768/3845/23236/2977,14,MB_vs_Glial,Down,KEGG
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,7/545,11/3259,0.6363636363636364,3.8053377814845706,4.175825696664872,6.268250486973761e-4,0.00582578574671679,0.003939488696147596,3106/3105/3107/3122/3123/3115/3119,7,MB_vs_Glial,Down,KEGG
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,27/545,88/3259,0.3068181818181818,1.8347164303586323,3.5567312167289984,7.456397656755903e-4,0.00673206188438533,0.0045523269904404464,3685/6890/7879/5868/5869/3916/3920/9341/6891/3106/8411/3105/528/3689/3684/11151/3107/3693/534/3122/7277/929/3123/3115/1536/3119/3673,27,MB_vs_Glial,Down,KEGG
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,13/545,32/3259,0.40625,2.429300458715596,3.64055761903749,0.001095249826588406,0.00955902636981964,0.006463965200111215,6892/6890/3306/6891/3106/3105/972/3107/3122/3123/3115/3119/1508,13,MB_vs_Glial,Down,KEGG
Metabolism,Metabolism of other amino acids,hsa00410,beta-Alanine metabolism,9/545,18/3259,0.5,2.989908256880734,3.7931381511218065,0.0011192530876054643,0.00955902636981964,0.006463965200111215,18/3030/223/4329/35/217/26275/55748/501,9,MB_vs_Glial,Down,KEGG
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,19/545,56/3259,0.3392857142857143,2.0288663171690695,3.479712499901712,0.0011993359923241306,0.009973425620379612,0.006744188544094141,5594/59345/5595/55970/2771/2783/3709/2776/5562/5604/5571/10672/2782/22800/2787/22808/3845/23236/10681,19,MB_vs_Glial,Down,KEGG
Organismal Systems,Digestive system,hsa04978,Mineral absorption,9/545,19/3259,0.47368421052631576,2.832544664413327,3.5894485550753483,0.0018157277258754444,0.01471205029170873,0.009948521682934286,482/493/477/476/2495/79901/483/4494/2512,9,MB_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,29/545,103/3259,0.2815533980582524,1.6836376592143938,3.1589660829980093,0.0021752078259053348,0.017184141824652145,0.011620189175231131,5578/5594/59345/5595/3685/6892/55970/2771/6890/2783/6774/3709/2776/5295/6891/3716/3106/5604/1499/3105/10672/2775/2782/2768/2787/3845/23236/3107/10681,29,MB_vs_Glial,Down,KEGG
Metabolism,Carbohydrate metabolism,hsa00650,Butanoate metabolism,7/545,13/3259,0.5384615384615384,3.2199011997177136,3.5933534196130408,0.0023934481028639867,0.018447063426951703,0.012474196787712177,18/3030/35/7915/3155/5019/622,7,MB_vs_Glial,Down,KEGG
Organismal Systems,Excretory system,hsa04961,Endocrine and other factor-regulated calcium reabsorption,12/545,31/3259,0.3870967741935484,2.314767682746375,3.2955808747421913,0.002765233751786546,0.0204739486035797,0.013844808682633842,5578/482/493/477/476/160/2776/26052/1173/1175/23236/483,12,MB_vs_Glial,Down,KEGG
Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism,9/545,20/3259,0.45,2.6909174311926605,3.3986058018333853,0.0028197142863624954,0.0204739486035797,0.013844808682633842,4129/3030/223/217/4128/56267/501/883/1545,9,MB_vs_Glial,Down,KEGG
Environmental Information Processing,Signaling molecules and interaction,hsa04081,Hormone signaling,15/545,43/3259,0.3488372093023256,2.085982504800512,3.2119435654948902,0.0028508029701186923,0.0204739486035797,0.013844808682633842,59345/3685/55970/2771/2783/6774/2776/5295/10672/2775/2782/2768/2787/23236/10681,15,MB_vs_Glial,Down,KEGG
