category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Genetic Information Processing,Transcription,hsa03040,Spliceosome,107/522,116/3259,0.9224137931034483,5.758901440084556,22.789610741186568,8.194460615717682e-78,2.1223652994708798e-75,2.0529280279376934e-75,1659/10569/10929/55696/4686/9716/10189/8449/9939/9984/10713/10285/11325/8559/23020/6635/1665/56949/51729/9775/10523/55660/24148/10915/9343/2521/6426/10594/3190/10946/51340/29896/58517/10450/22938/6627/9129/3178/80145/9092/10291/11338/9416/1655/10084/9410/51639/10992/57461/57187/3192/22985/9879/23450/220988/10465/6626/23451/6432/8175/8563/51691/6636/51503/26121/6431/4670/7307/27339/7919/56259/6427/22916/25804/6633/3183/4809/6634/23350/27316/6428/6434/10286/79228/10262/6629/6632/7536/6429/6625/9785/11157/84991/10772/51690/9128/57819/27238/84321/6631/8896/84844/6430/8683/988/22827/27258,107,MB_vs_Glial,Up,KEGG
Genetic Information Processing,Chromosome,hsa03082,ATP-dependent chromatin remodeling,45/522,55/3259,0.8181818181818182,5.108150470219436,13.416981657556265,1.8830910944109765e-27,2.4386029672622145e-25,2.35881937089375e-25,8467/53615/3066/9031/125476/2186/6599/57634/6597/57459/51412/55929/51773/6602/10445/57492/11177/5928/8089/10902/55257/1107/6605/8295/84295/6598/1108/9112/196528/9219/55193/55506/7528/6601/8099/9555/317772/54815/5977/86/10933/8289/6594/9274/6603,45,MB_vs_Glial,Up,KEGG
Genetic Information Processing,Translation,hsa03008,Ribosome biogenesis in eukaryotes,37/522,50/3259,0.74,4.620038314176245,11.263845983353729,5.565623512336766e-20,4.804988298984074e-18,4.647783845390002e-18,10482/23195/55131/9790/55651/345630/23560/1736/84916/6949/4809/26354/22803/55272/10436/51602/5822/51096/10528/4931/54433/10607/2091/134430/55813/10813/23160/10199/55127/55226/10885/55505/10556/10799/55781/65083/84128,37,MB_vs_Glial,Up,KEGG
Genetic Information Processing,Replication and repair,hsa03030,DNA replication,22/522,25/3259,0.88,5.494099616858238,9.849543082258911,3.0924583005232156e-15,2.0023667495887822e-13,1.936855461906646e-13,79621/4175/4176/4172/4174/4171/2237/4173/3978/5983/5982/5111/5422/5984/5558/5981/6117/10714/10535/5985/5425/6119,22,MB_vs_Glial,Up,KEGG
Genetic Information Processing,Translation,hsa03015,mRNA surveillance pathway,37/522,65/3259,0.5692307692307692,3.5538756262894196,9.081599771394615,2.8355513731101502e-14,1.4688156112710577e-12,1.4207604774741388e-12,4686/10482/10189/9939/51692/5411/10250/9775/11051/2521/53981/1479/8731/11052/29894/8189/65109/55339/10914/8106/1477/22985/81608/10284/10978/7919/22916/10921/79869/4440/23283/10898/26528/8732/23435/80335/1478,37,MB_vs_Glial,Up,KEGG
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,35/522,68/3259,0.5147058823529411,3.2134606716249716,8.054456808028812,7.81571888362528e-12,3.373785318098246e-10,3.2634054286014334e-10,4175/4176/3066/23244/4172/4174/4171/4085/4173/5925/9319/10274/23047/5111/4999/546/8243/23595/9184/9126/983/5001/4089/5885/23063/25836/1387/1021/23383/10735/1022/5591/902/8881/1017,35,MB_vs_Glial,Up,KEGG
Genetic Information Processing,Replication and repair,hsa03430,Mismatch repair,16/522,19/3259,0.8421052631578947,5.257511595079653,8.127061151190503,9.290173390428993e-11,3.4373641544587276e-9,3.324904160785114e-9,2956/4436/3978/4292/5983/5982/5111/5984/5981/6117/10714/4437/5985/5395/5425/6119,16,MB_vs_Glial,Up,KEGG
Genetic Information Processing,Transcription,hsa03022,Basal transcription factors,13/522,14/3259,0.9285714285714286,5.797345374931582,7.854726105407967,4.812756784421412e-10,1.558130008956432e-8,1.5071527824898632e-8,2969/6878/2959/6908/6877/2962/2963/1022/9519/2958/902/8148/2071,13,MB_vs_Glial,Up,KEGG
Genetic Information Processing,Replication and repair,hsa03410,Base excision repair,18/522,25/3259,0.72,4.495172413793103,7.66023324014448,5.914560255240336e-10,1.70207900678583e-8,1.6463922114002342e-8,3980/2237/7515/3978/5983/142/5982/5111/5984/3146/5981/10714/328/10038/5985/5425/23583/4913,18,MB_vs_Glial,Up,KEGG
Genetic Information Processing,Chromosome,hsa03083,Polycomb repressive complex,16/522,23/3259,0.6956521739130435,4.343161752457104,7.025713631138814,1.2464944819929574e-8,3.2284207083617593e-7,3.122796702256041e-7,84733/1912/3066/6045/8726/11335/5928/57332/3054/54881/11091/1387/7528/6015/7874/10238,16,MB_vs_Glial,Up,KEGG
Genetic Information Processing,"Folding, sorting and degradation",hsa03018,RNA degradation,25/522,50/3259,0.5,3.121647509578544,6.601562940721746,1.8476566638168838e-8,4.350391599350663e-7,4.2080601529992194e-7,55802/22894/80153/5394/51010/5393/23517/11340/25904/51691/23019/25804/22803/9924/23404/5073/11157/29883/23016/51690/57819/9125/54512/118460/27258,25,MB_vs_Glial,Up,KEGG
Genetic Information Processing,Replication and repair,hsa03420,Nucleotide excision repair,19/522,33/3259,0.5757575757575758,3.594624404969233,6.541429722404682,5.130717886617431e-8,1.1073799438615955e-6,1.0711498745745165e-6,3978/5983/5982/5111/5430/5984/5981/6117/10714/5437/5985/1022/5425/5436/5434/902/5887/6119/2071,19,MB_vs_Glial,Up,KEGG
Genetic Information Processing,Translation,hsa03013,Nucleocytoplasmic transport,27/522,79/3259,0.34177215189873417,2.133784373635967,4.45455007638824,4.687450480127808e-5,9.338843648870017e-4,9.033305378707843e-4,6613/4686/3838/10482/10189/9939/57510/9984/5411/10250/9775/80145/65109/51808/57187/22985/10284/8563/10762/7919/22916/10921/79228/9972/23636/84321/4928,27,MB_vs_Glial,Up,KEGG
Genetic Information Processing,Transcription,hsa03020,RNA polymerase,8/522,12/3259,0.6666666666666666,4.1621966794380585,4.791944172782858,1.1202069160932804e-4,0.0020723827947725687,0.002004580797219555,5430/5437/5436/10849/5434/10623/10621/84172,8,MB_vs_Glial,Up,KEGG
Environmental Information Processing,Signal transduction,hsa04330,Notch signaling pathway,9/522,17/3259,0.5294117647058824,3.3052738336714,4.1611547676588625,4.703129843788665e-4,0.008120737530275094,0.007855051949625982,3066/23013/22938/3516/1387/1488/9612/7090/1487,9,MB_vs_Glial,Up,KEGG
Genetic Information Processing,Information processing in viruses,hsa03250,Viral life cycle - HIV-1,13/522,36/3259,0.3611111111111111,2.254523201362282,3.3050131214761396,0.0025719584405544736,0.04163357725647554,0.040271454529734525,6598/6829/7936/11052/1025/6827/11168/1387/51497/7469/79869/9972/25920,13,MB_vs_Glial,Up,KEGG
