ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
R-HSA-5617833,Cilium Assembly,30/269,99/4133,0.30303030303030304,4.655852202320604,9.713506112529156,1.927608799539519e-13,9.921978769842088e-11,9.110159776032899e-11,54585/9742/79659/28981/89891/57539/51626/10383/1069/26160/55764/403/84747/80173/6102/56912/27077/57728/79989/26146/79969/26123/83658/8100/123016/11020/92104/79598/95681/4957,30,ATRT_vs_EPN_like,Down,Reactome
R-HSA-5620924,Intraflagellar transport,18/269,34/4133,0.5294117647058824,8.134047671113054,11.019813485233096,2.1663709104458707e-13,9.921978769842088e-11,9.110159776032899e-11,9742/79659/28981/89891/57539/51626/10383/26160/55764/80173/56912/57728/79989/26146/83658/8100/11020/92104,18,ATRT_vs_EPN_like,Down,Reactome
R-HSA-1852241,Organelle biogenesis and maintenance,34/269,153/4133,0.2222222222222222,3.414291615035109,8.028448816644863,7.300920450079706e-11,2.2292143774243367e-8,2.0468194524960297e-8,54585/3418/9742/79659/28981/89891/57539/51626/10383/1069/26160/55764/403/84747/80173/6102/56912/27077/57728/79989/26146/79969/1385/26123/6604/83658/8100/123016/11020/92104/27109/79598/95681/4957,34,ATRT_vs_EPN_like,Down,Reactome
R-HSA-392518,Signal amplification,10/269,19/4133,0.5263157894736842,8.086480140872627,8.167948085182784,6.339952051417616e-8,1.4518490197746341e-5,1.333058339232283e-5,55970/2767/2776/2771/2783/10672/2787/59345/2773/2782,10,ATRT_vs_EPN_like,Down,Reactome
R-HSA-428930,Thromboxane signalling through TP receptor,8/269,12/4133,0.6666666666666666,10.242874845105327,8.459294131669505,1.1464033240733963e-7,2.1002108897024617e-5,1.9283710651255654e-5,55970/2767/2776/2783/10672/2787/59345/2782,8,ATRT_vs_EPN_like,Down,Reactome
R-HSA-202040,G-protein activation,7/269,10/4133,0.7,10.755018587360594,8.148152927381474,4.6472087957546736e-7,6.951746914769829e-5,6.382953096875539e-5,55970/2767/2776/2783/2787/59345/2782,7,ATRT_vs_EPN_like,Down,Reactome
R-HSA-456926,Thrombin signalling through proteinase activated receptors (PARs),9/269,18/4133,0.5,7.682156133828996,7.495587691642499,5.312470349714935e-7,6.951746914769829e-5,6.382953096875539e-5,55970/2767/2776/2783/10672/5594/2787/59345/2782,9,ATRT_vs_EPN_like,Down,Reactome
R-HSA-392170,ADP signalling through P2Y purinoceptor 12,7/269,12/4133,0.5833333333333334,8.962515489467163,7.28747945657264,2.7366165251620746e-6,3.1334259213105755e-4,2.877048162637497e-4,55970/2771/2783/2787/59345/2773/2782,7,ATRT_vs_EPN_like,Down,Reactome
R-HSA-111885,Opioid Signalling,14/269,52/4133,0.2692307692307692,4.136545610523306,6.004926821190218,3.279704197380646e-6,3.338010049778524e-4,3.0648931622305687e-4,55970/2767/2776/2771/2783/5530/5594/5516/2787/1385/59345/2773/818/2782,14,ATRT_vs_EPN_like,Down,Reactome
R-HSA-418592,ADP signalling through P2Y purinoceptor 1,7/269,13/4133,0.5384615384615384,8.273091221046611,6.929148044416597,5.601109079351321e-6,5.13061591668581e-4,4.7108275309491645e-4,55970/2767/2776/2783/2787/59345/2782,7,ATRT_vs_EPN_like,Down,Reactome
