ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
R-HSA-6790901,rRNA modification in the nucleus and cytosol,28/235,48/4133,0.5833333333333334,10.25921985815603,15.841348740095189,1.7223532064819415e-23,1.4347202209994572e-20,1.4213946461914128e-20,84128/27292/84916/25926/22984/25879/79050/10199/55226/55813/55127/55272/134430/51096/56902/23160/10436/11056/5822/9790/51202/27340/84135/57647/10813/65083/10607/57050,28,ATRT_vs_EPN_like,Up,Reactome
R-HSA-72312,rRNA processing,40/235,162/4133,0.24691358024691357,4.342526924087207,10.655544523776268,2.364094197046526e-16,9.84645233069878e-14,9.754999213076191e-14,10799/55781/84128/27292/84916/25926/22984/25879/79050/10199/55226/55813/9188/55127/55272/705/134430/51096/56902/5394/23160/10436/51388/11056/55720/51106/5822/9790/51202/27340/84135/57647/10813/65083/10607/57050/23517/10556/117246/90459,40,ATRT_vs_EPN_like,Up,Reactome
R-HSA-8868773,rRNA processing in the nucleus and cytosol,39/235,157/4133,0.2484076433121019,4.368803360889009,10.565631757212458,4.713271147414972e-16,1.3087182885988906e-13,1.2965630103766098e-13,10799/55781/84128/27292/84916/25926/22984/25879/79050/10199/55226/55813/9188/55127/55272/705/134430/51096/56902/5394/23160/10436/51388/11056/55720/5822/9790/51202/27340/84135/57647/10813/65083/10607/57050/23517/10556/117246/90459,39,ATRT_vs_EPN_like,Up,Reactome
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,37/235,148/4133,0.25,4.396808510638298,10.331917505974806,2.3438314186148378e-15,4.881028929265399e-13,4.835694295247455e-13,10799/55781/84128/84916/25926/22984/25879/79050/10199/55813/9188/55127/55272/705/134430/51096/56902/5394/23160/10436/51388/11056/55720/5822/9790/51202/27340/84135/57647/10813/65083/10607/57050/23517/10556/117246/90459,37,ATRT_vs_EPN_like,Up,Reactome
R-HSA-176974,Unwinding of DNA,6/235,6/4133,1,17.58723404255319,9.982183139155682,3.180181488378316e-8,5.2981823596382745e-6,5.248973235554948e-6,4174/4175/4173/4172/4171/4176,6,ATRT_vs_EPN_like,Up,Reactome
R-HSA-68962,Activation of the pre-replicative complex,9/235,16/4133,0.5625,9.89281914893617,8.749881839879942,4.309942480431829e-8,5.983636810332856e-6,5.928061236243077e-6,5558/4174/4999/4175/4173/4172/4171/4176/5422,9,ATRT_vs_EPN_like,Up,Reactome
R-HSA-1474290,Collagen formation,13/235,39/4133,0.3333333333333333,5.86241134751773,7.49036965177075,1.0101772905985792e-7,1.2021109758123093e-5,1.1909458583899039e-5,136227/5351/10536/4015/10491/79709/7837/64175/5034/871/8974/8985/1301,13,ATRT_vs_EPN_like,Up,Reactome
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,11/235,30/4133,0.36666666666666664,6.448652482269503,7.353467008991249,3.325200514581168e-7,3.462365035807641e-5,3.430206846620573e-5,136227/5351/10536/10491/79709/64175/5034/871/8974/8985/1301,11,ATRT_vs_EPN_like,Up,Reactome
R-HSA-69190,DNA strand elongation,8/235,22/4133,0.36363636363636365,6.395357833655706,6.229468952546478,1.548377984504054e-5,0.0014331098456576413,0.0014197992278961152,5558/4174/4175/4173/4172/4171/4176/5422,8,ATRT_vs_EPN_like,Up,Reactome
R-HSA-176187,Activation of ATR in response to replication stress,7/235,18/4133,0.3888888888888889,6.8394799054373525,6.095631030969379,3.261339466409229e-5,0.0027166957755188877,0.0026914633070156163,4174/4999/4175/4173/4172/4171/4176,7,ATRT_vs_EPN_like,Up,Reactome
R-HSA-173623,Classical antibody-mediated complement activation,4/235,5/4133,0.8,14.069787234042554,7.17921311714477,4.872823837722011e-5,0.003690056597111305,0.0036557836256211067,714/713/715/712,4,ATRT_vs_EPN_like,Up,Reactome
R-HSA-166786,Creation of C4 and C2 activators,4/235,6/4133,0.6666666666666666,11.72482269503546,6.4541890469605026,1.396534519670934e-4,0.009694277124049067,0.009604237398438702,714/713/715/712,4,ATRT_vs_EPN_like,Up,Reactome
R-HSA-1474244,Extracellular matrix organization,20/235,152/4133,0.13157894736842105,2.314109742441209,4.05275649435918,3.1236366128657673e-4,0.020015302296286033,0.019829401655763253,136227/5351/10536/4015/10491/79709/7837/64175/5034/3383/871/2201/3678/7448/8974/8985/1301/2335/5054/6696,20,ATRT_vs_EPN_like,Up,Reactome
